"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2011-12"
"All Districts, Learning Disability"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2011-12",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""",7,"*"
"Ansonia School District","=""0020011""",75,97.4
"Ashford School District","=""0030011""",7,"*"
"Avon School District","=""0040011""",66,60.0
"Barkhamsted School District","=""0050011""",10,"*"
"Berlin School District","=""0070011""",69,78.4
"Bethany School District","=""0080011""",25,100.0
"Bethel School District","=""0090011""",104,85.2
"Bloomfield School District","=""0110011""",66,86.8
"Bolton School District","=""0120011""",18,69.2
"Bozrah School District","=""0130011""",9,"*"
"Branford School District","=""0140011""",89,72.4
"Bridgeport School District","=""0150011""",524,54.2
"Bristol School District","=""0170011""",265,69.7
"Brookfield School District","=""0180011""",66,86.8
"Brooklyn School District","=""0190011""",48,80.0
"Canaan School District","=""0210011""","*","*"
"Canterbury School District","=""0220011""",15,"*"
"Canton School District","=""0230011""",31,64.6
"Chaplin School District","=""0240011""","*","*"
"Cheshire School District","=""0250011""",91,73.4
"Chester School District","=""0260011""",15,"*"
"Clinton School District","=""0270011""",54,78.3
"Colchester School District","=""0280011""",97,96.0
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""",16,"*"
"Connecticut Technical High School System","=""9000016""",420,99.8
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",69,93.2
"Cromwell School District","=""0330011""",42,91.3
"Danbury School District","=""0340011""",380,85.0
"Darien School District","=""0350011""",158,91.3
"Deep River School District","=""0360011""",16,"*"
"Department of Mental Health and Addiction Services","=""3370015""",0,"*"
"Derby School District","=""0370011""",36,90.0
"East Granby School District","=""0400011""",32,100.0
"East Haddam School District","=""0410011""",35,87.5
"East Hampton School District","=""0420011""",29,74.4
"East Hartford School District","=""0430011""",233,82.9
"East Haven School District","=""0440011""",80,78.4
"East Lyme School District","=""0450011""",114,91.9
"East Windsor School District","=""0470011""",49,84.5
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""",18,85.7
"Ellington School District","=""0480011""",102,80.3
"Enfield School District","=""0490011""",208,91.2
"Essex School District","=""0500011""",6,"*"
"Fairfield School District","=""0510011""",326,91.3
"Farmington School District","=""0520011""",82,87.2
"Franklin School District","=""0530011""",10,"*"
"Glastonbury School District","=""0540011""",139,88.5
"Granby School District","=""0560011""",59,92.2
"Greenwich School District","=""0570011""",281,87.3
"Griswold School District","=""0580011""",62,86.1
"Groton School District","=""0590011""",181,92.8
"Guilford School District","=""0600011""",100,78.1
"Hamden School District","=""0620011""",199,84.0
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",1200,89.0
"Hartland School District","=""0650011""",9,"*"
"Hebron School District","=""0670011""",28,96.6
"Kent School District","=""0680011""",11,"*"
"Killingly School District","=""0690011""",63,91.3
"Lebanon School District","=""0710011""",27,55.1
"Ledyard School District","=""0720011""",66,83.5
"Lisbon School District","=""0730011""",23,95.8
"Litchfield School District","=""0740011""",32,78.0
"Madison School District","=""0760011""",126,90.0
"Manchester School District","=""0770011""",257,82.1
"Mansfield School District","=""0780011""",46,88.5
"Marlborough School District","=""0790011""",18,75.0
"Meriden School District","=""0800011""",327,82.0
"Middletown School District","=""0830011""",152,95.0
"Milford School District","=""0840011""",131,91.6
"Monroe School District","=""0850011""",84,67.7
"Montville School District","=""0860011""",65,85.5
"Naugatuck School District","=""0880011""",174,79.8
"New Britain School District","=""0890011""",420,83.2
"New Canaan School District","=""0900011""",103,85.1
"New Fairfield School District","=""0910011""",68,74.7
"New Hartford School District","=""0920011""",9,"*"
"New Haven School District","=""0930011""",673,88.1
"New London School District","=""0950011""",123,75.0
"New Milford School District","=""0960011""",109,63.7
"Newington School District","=""0940011""",174,85.3
"Newtown School District","=""0970011""",96,91.4
"Norfolk School District","=""0980011""","*","*"
"North Branford School District","=""0990011""",72,91.1
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""",97,87.4
"North Stonington School District","=""1020011""",23,92.0
"Norwalk School District","=""1030011""",374,89.7
"Norwich School District","=""1040011""",161,67.1
"Old Saybrook School District","=""1060011""",39,92.9
"Orange School District","=""1070011""",35,89.7
"Oxford School District","=""1080011""",41,77.4
"Plainfield School District","=""1090011""",62,80.5
"Plainville School District","=""1100011""",84,93.3
"Plymouth School District","=""1110011""",69,97.2
"Pomfret School District","=""1120011""",24,75.0
"Portland School District","=""1130011""",36,92.3
"Preston School District","=""1140011""",10,"*"
"Putnam School District","=""1160011""",45,83.3
"Redding School District","=""1170011""",34,94.4
