"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2011-12"
"All Districts, Speech Language Impairment"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2011-12",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",37,100.0
"Ashford School District","=""0030011""",9,"*"
"Avon School District","=""0040011""",61,81.3
"Barkhamsted School District","=""0050011""","*","*"
"Berlin School District","=""0070011""",57,77.0
"Bethany School District","=""0080011""",13,"*"
"Bethel School District","=""0090011""",40,100.0
"Bloomfield School District","=""0110011""",39,78.0
"Bolton School District","=""0120011""",7,"*"
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",74,83.1
"Bridgeport School District","=""0150011""",278,66.2
"Bristol School District","=""0170011""",145,77.5
"Brookfield School District","=""0180011""",40,97.6
"Brooklyn School District","=""0190011""",13,"*"
"Canaan School District","=""0210011""","*","*"
"Canterbury School District","=""0220011""",7,"*"
"Canton School District","=""0230011""",10,"*"
"Chaplin School District","=""0240011""",7,"*"
"Cheshire School District","=""0250011""",50,84.7
"Chester School District","=""0260011""",6,"*"
"Clinton School District","=""0270011""",30,71.4
"Colchester School District","=""0280011""",101,99.0
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""","*","*"
"Connecticut Technical High School System","=""9000016""",46,100.0
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",28,96.6
"Cromwell School District","=""0330011""",52,98.1
"Danbury School District","=""0340011""",127,88.8
"Darien School District","=""0350011""",108,88.5
"Deep River School District","=""0360011""","*","*"
"Derby School District","=""0370011""",43,86.0
"East Granby School District","=""0400011""",14,"*"
"East Haddam School District","=""0410011""",40,85.1
"East Hampton School District","=""0420011""",23,79.3
"East Hartford School District","=""0430011""",241,93.4
"East Haven School District","=""0440011""",79,77.5
"East Lyme School District","=""0450011""",22,91.7
"East Windsor School District","=""0470011""",15,"*"
"Eastford School District","=""0390011""",7,"*"
"Easton School District","=""0460011""",11,"*"
"Ellington School District","=""0480011""",25,78.1
"Enfield School District","=""0490011""",145,93.5
"Essex School District","=""0500011""",14,"*"
"Fairfield School District","=""0510011""",148,87.6
"Farmington School District","=""0520011""",56,84.8
"Franklin School District","=""0530011""",6,"*"
"Glastonbury School District","=""0540011""",87,91.6
"Granby School District","=""0560011""",33,94.3
"Greenwich School District","=""0570011""",160,90.9
"Griswold School District","=""0580011""",26,96.3
"Groton School District","=""0590011""",104,93.7
"Guilford School District","=""0600011""",29,67.4
"Hamden School District","=""0620011""",112,76.7
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",353,94.1
"Hartland School District","=""0650011""",10,"*"
"Hebron School District","=""0670011""",29,96.7
"Kent School District","=""0680011""","*","*"
"Killingly School District","=""0690011""",57,96.6
"Lebanon School District","=""0710011""",18,72.0
"Ledyard School District","=""0720011""",42,100.0
"Lisbon School District","=""0730011""",17,"*"
"Litchfield School District","=""0740011""",28,93.3
"Madison School District","=""0760011""",22,95.7
"Manchester School District","=""0770011""",160,82.5
"Mansfield School District","=""0780011""",16,80.0
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",135,92.5
"Middletown School District","=""0830011""",103,93.6
"Milford School District","=""0840011""",178,88.6
"Monroe School District","=""0850011""",38,88.4
"Montville School District","=""0860011""",42,91.3
"Naugatuck School District","=""0880011""",66,86.8
"New Britain School District","=""0890011""",150,92.6
"New Canaan School District","=""0900011""",97,84.3
"New Fairfield School District","=""0910011""",46,86.8
"New Hartford School District","=""0920011""",19,73.1
"New Haven School District","=""0930011""",210,90.5
"New London School District","=""0950011""",77,83.7
"New Milford School District","=""0960011""",57,63.3
"Newington School District","=""0940011""",70,95.9
"Newtown School District","=""0970011""",78,95.1
"Norfolk School District","=""0980011""",6,"*"
"North Branford School District","=""0990011""",69,93.2
"North Canaan School District","=""1000011""",13,"*"
"North Haven School District","=""1010011""",36,92.3
"North Stonington School District","=""1020011""",14,"*"
"Norwalk School District","=""1030011""",176,90.3
"Norwich School District","=""1040011""",78,77.2
"Old Saybrook School District","=""1060011""",32,100.0
"Orange School District","=""1070011""",35,77.8
"Oxford School District","=""1080011""",15,71.4
"Plainfield School District","=""1090011""",25,80.6
"Plainville School District","=""1100011""",38,95.0
"Plymouth School District","=""1110011""",24,100.0
"Pomfret School District","=""1120011""",14,"*"
"Portland School District","=""1130011""",22,95.7
"Preston School District","=""1140011""",21,87.5
"Putnam School District","=""1160011""",25,89.3
"Redding School District","=""1170011""",39,95.1
"Regional School District 01","=""2010012""","*","*"
"Regional School District 04","=""2040012""",16,"*"
"Regional School District 05","=""2050012""",29,78.4
"Regional School District 06","=""2060012""",9,"*"
"Regional School District 07","=""2070012""",9,"*"
"Regional School District 08","=""2080012""",11,"*"
"Regional School District 09","=""2090012""",12,"*"
"Regional School District 10","=""2100012""",28,100.0
"Regional School District 11","=""2110012""","*","*"
"Regional School District 12","=""2120012""",13,61.9
"Regional School District 13","=""2130012""",55,94.8
"Regional School District 14","=""2140012""",41,95.3
"Regional School District 15","=""2150012""",79,91.9
"Regional School District 16","=""2160012""",36,92.3
"Regional School District 17","=""2170012""",35,92.1
"Regional School District 18","=""2180012""",28,93.3
"Regional School District 19","=""2190012""",6,"*"
"Ridgefield School District","=""1180011""",56,96.6
"Rocky Hill School District","=""1190011""",29,80.6
"Salem School District","=""1210011""","*","*"
"Salisbury School District","=""1220011""","*","*"
"Scotland School District","=""1230011""",10,"*"
"Seymour School District","=""1240011""",41,97.6
"Sharon School District","=""1250011""","*","*"
"Shelton School District","=""1260011""",53,60.2
"Sherman School District","=""1270011""",12,"*"
"Simsbury School District","=""1280011""",74,91.4
"Somers School District","=""1290011""",32,86.5
"South Windsor School District","=""1320011""",62,96.9
"Southington School District","=""1310011""",101,83.5
"Sprague School District","=""1330011""",6,"*"
"Stafford School District","=""1340011""",15,71.4
"Stamford School District","=""1350011""",195,79.6
"Sterling School District","=""1360011""",11,"*"
"Stonington School District","=""1370011""",28,100.0
"Stratford School District","=""1380011""",40,95.2
"Suffield School District","=""1390011""",30,93.8
"Thomaston School District","=""1400011""",20,95.2
"Thompson School District","=""1410011""",39,97.5
"Tolland School District","=""1420011""",17,81.0
"Torrington School District","=""1430011""",78,84.8
"Trumbull School District","=""1440011""",35,94.6
"Unified School District #1","=""3360015""","*","*"
"Unified School District #2","=""3470015""",0,0
"Union School District","=""1450011""","*","*"
"Vernon School District","=""1460011""",73,83.0
"Voluntown School District","=""1470011""",10,"*"
"Wallingford School District","=""1480011""",128,97.0
"Waterbury School District","=""1510011""",506,84.6
"Waterford School District","=""1520011""",53,96.4
"Watertown School District","=""1530011""",32,88.9
"West Hartford School District","=""1550011""",132,83.0
"West Haven School District","=""1560011""",160,88.9
"Westbrook School District","=""1540011""","*","*"
"Weston School District","=""1570011""",24,80.0
"Westport School District","=""1580011""",73,80.2
"Wethersfield School District","=""1590011""",99,96.1
"Willington School District","=""1600011""",12,"*"
"Wilton School District","=""1610011""",37,80.4
"Winchester School District","=""1620011""",31,79.5
"Windham School District","=""1630011""",49,73.1
"Windsor Locks School District","=""1650011""",9,"*"
"Windsor School District","=""1640011""",47,94.0
"Wolcott School District","=""1660011""",33,97.1
"Woodbridge School District","=""1670011""",16,"*"
"Woodstock School District","=""1690011""",12,"*"

