"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2013-14"
"All Districts, Learning Disability"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2013-14",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",85,94.4
"Ashford School District","=""0030011""",6,"*"
"Avon School District","=""0040011""",66,69.5
"Barkhamsted School District","=""0050011""",12,"*"
"Berlin School District","=""0070011""",75,81.5
"Bethany School District","=""0080011""",13,"*"
"Bethel School District","=""0090011""",95,79.8
"Bloomfield School District","=""0110011""",65,77.4
"Bolton School District","=""0120011""",22,95.7
"Bozrah School District","=""0130011""",12,"*"
"Branford School District","=""0140011""",90,78.3
"Bridgeport School District","=""0150011""",440,43.9
"Bristol School District","=""0170011""",354,72.5
"Brookfield School District","=""0180011""",101,91.8
"Brooklyn School District","=""0190011""",47,79.7
"Canaan School District","=""0210011""","*","*"
"Canterbury School District","=""0220011""",9,"*"
"Canton School District","=""0230011""",34,55.7
"Chaplin School District","=""0240011""",11,"*"
"Cheshire School District","=""0250011""",85,67.5
"Chester School District","=""0260011""",14,"*"
"Clinton School District","=""0270011""",44,77.2
"Colchester School District","=""0280011""",124,98.4
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""",24,100.0
"Connecticut Technical High School System","=""9000016""",507,100.0
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",71,89.9
"Cromwell School District","=""0330011""",50,92.6
"Danbury School District","=""0340011""",374,73.0
"Darien School District","=""0350011""",140,88.1
"Deep River School District","=""0360011""",17,"*"
"Derby School District","=""0370011""",45,90.0
"East Granby School District","=""0400011""",33,100.0
"East Haddam School District","=""0410011""",41,87.2
"East Hampton School District","=""0420011""",34,89.5
"East Hartford School District","=""0430011""",245,83.9
"East Haven School District","=""0440011""",86,77.5
"East Lyme School District","=""0450011""",118,89.4
"East Windsor School District","=""0470011""",49,69.0
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""",24,85.7
"Ellington School District","=""0480011""",112,77.2
"Enfield School District","=""0490011""",202,87.4
"Essex School District","=""0500011""",8,"*"
"Fairfield School District","=""0510011""",318,91.1
"Farmington School District","=""0520011""",95,82.6
"Franklin School District","=""0530011""",11,"*"
"Glastonbury School District","=""0540011""",134,86.5
"Granby School District","=""0560011""",50,80.6
"Greenwich School District","=""0570011""",276,80.2
"Griswold School District","=""0580011""",52,76.5
"Groton School District","=""0590011""",189,90.0
"Guilford School District","=""0600011""",92,84.4
"Hamden School District","=""0620011""",212,82.5
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",1113,88.6
"Hartland School District","=""0650011""",14,"*"
"Hebron School District","=""0670011""",30,90.9
"Kent School District","=""0680011""",9,"*"
"Killingly School District","=""0690011""",72,86.7
"Lebanon School District","=""0710011""",38,60.3
"Ledyard School District","=""0720011""",68,73.9
"Lisbon School District","=""0730011""",17,"*"
"Litchfield School District","=""0740011""",42,85.7
"Madison School District","=""0760011""",139,94.6
"Manchester School District","=""0770011""",249,92.9
"Mansfield School District","=""0780011""",48,90.6
"Marlborough School District","=""0790011""",26,92.9
"Meriden School District","=""0800011""",399,80.0
"Middletown School District","=""0830011""",143,85.6
"Milford School District","=""0840011""",133,85.3
"Monroe School District","=""0850011""",86,71.7
"Montville School District","=""0860011""",64,80.0
"Naugatuck School District","=""0880011""",182,74.0
"New Britain School District","=""0890011""",485,85.7
"New Canaan School District","=""0900011""",89,84.8
"New Fairfield School District","=""0910011""",71,95.9
"New Hartford School District","=""0920011""",17,"*"
"New Haven School District","=""0930011""",760,82.2
"New London School District","=""0950011""",142,79.8
"New Milford School District","=""0960011""",122,73.9
"Newington School District","=""0940011""",185,83.3
"Newtown School District","=""0970011""",92,91.1
"Norfolk School District","=""0980011""","*","*"
"North Branford School District","=""0990011""",101,96.2
"North Canaan School District","=""1000011""",7,"*"
"North Haven School District","=""1010011""",103,91.2
"North Stonington School District","=""1020011""",17,"*"
"Norwalk School District","=""1030011""",416,89.8
"Norwich School District","=""1040011""",134,62.0
"Old Saybrook School District","=""1060011""",51,92.7
"Orange School District","=""1070011""",33,80.5
"Oxford School District","=""1080011""",34,51.5
"Plainfield School District","=""1090011""",60,88.2
"Plainville School District","=""1100011""",76,95.0
"Plymouth School District","=""1110011""",62,89.9
"Pomfret School District","=""1120011""",20,80.0
"Portland School District","=""1130011""",50,94.3
"Preston School District","=""1140011""",14,"*"
"Putnam School District","=""1160011""",58,86.6
"Redding School District","=""1170011""",28,96.6
"Regional School District 01","=""2010012""",25,89.3
"Regional School District 04","=""2040012""",52,89.7
"Regional School District 05","=""2050012""",87,94.6
"Regional School District 06","=""2060012""",47,92.2
"Regional School District 07","=""2070012""",35,72.9
"Regional School District 08","=""2080012""",65,80.2
"Regional School District 09","=""2090012""",39,86.7
"Regional School District 10","=""2100012""",74,85.1
"Regional School District 11","=""2110012""",18,69.2
"Regional School District 12","=""2120012""",38,82.6
"Regional School District 13","=""2130012""",86,85.1
"Regional School District 14","=""2140012""",60,95.2
"Regional School District 15","=""2150012""",148,78.3
"Regional School District 16","=""2160012""",53,67.1
"Regional School District 17","=""2170012""",118,95.9
"Regional School District 18","=""2180012""",50,90.9
"Regional School District 19","=""2190012""",49,84.5
"Ridgefield School District","=""1180011""",170,92.9
"Rocky Hill School District","=""1190011""",68,90.7
"Salem School District","=""1210011""",19,86.4
"Salisbury School District","=""1220011""",9,"*"
"Scotland School District","=""1230011""","*","*"
"Seymour School District","=""1240011""",108,97.3
"Sharon School District","=""1250011""",11,"*"
"Shelton School District","=""1260011""",146,60.3
"Sherman School District","=""1270011""",14,"*"
"Simsbury School District","=""1280011""",146,76.0
"Somers School District","=""1290011""",51,87.9
"South Windsor School District","=""1320011""",128,90.1
"Southington School District","=""1310011""",182,75.2
"Sprague School District","=""1330011""","*","*"
"Stafford School District","=""1340011""",36,61.0
"Stamford School District","=""1350011""",468,68.7
"Sterling School District","=""1360011""",20,71.4
"Stonington School District","=""1370011""",116,93.5
"Stratford School District","=""1380011""",199,91.7
"Suffield School District","=""1390011""",82,91.1
"Thomaston School District","=""1400011""",37,78.7
"Thompson School District","=""1410011""",16,57.1
"Tolland School District","=""1420011""",105,84.7
"Torrington School District","=""1430011""",203,71.2
"Trumbull School District","=""1440011""",156,80.4
"Unified School District #1","=""3360015""",67,85.9
"Unified School District #2","=""3470015""",0,0
"Union School District","=""1450011""","*","*"
"Vernon School District","=""1460011""",111,83.5
"Voluntown School District","=""1470011""",14,"*"
"Wallingford School District","=""1480011""",209,96.3
"Waterbury School District","=""1510011""",753,73.2
"Waterford School District","=""1520011""",104,94.5
"Watertown School District","=""1530011""",91,87.5
"West Hartford School District","=""1550011""",241,79.0
"West Haven School District","=""1560011""",248,91.5
"Westbrook School District","=""1540011""",26,92.9
"Weston School District","=""1570011""",43,66.2
"Westport School District","=""1580011""",202,84.9
"Wethersfield School District","=""1590011""",119,90.2
"Willington School District","=""1600011""",19,"*"
"Wilton School District","=""1610011""",134,60.6
"Winchester School District","=""1620011""",38,56.7
"Windham School District","=""1630011""",107,79.3
"Windsor Locks School District","=""1650011""",70,83.3
"Windsor School District","=""1640011""",166,86.5
"Wolcott School District","=""1660011""",61,85.9
"Woodbridge School District","=""1670011""",10,"*"
"Woodstock School District","=""1690011""",15,29.4

