"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2013-14"
"All Districts"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,,"2013-14",
"District","District Code","Disability","Count","Rate (%)"
"Andover School District","=""0010011""","All Disabilities",14,"*"
"Andover School District","=""0010011""","Autism","*","*"
"Andover School District","=""0010011""","Intellectual Disability","*","*"
"Andover School District","=""0010011""","Learning Disability","*","*"
"Andover School District","=""0010011""","Other Health Impairment",7,"*"
"Andover School District","=""0010011""","Speech Language Impairment",0,"*"
"Ansonia School District","=""0020011""","All Disabilities",238,74.6
"Ansonia School District","=""0020011""","Autism",9,27.3
"Ansonia School District","=""0020011""","Emotional Disturbance",15,48.4
"Ansonia School District","=""0020011""","Intellectual Disability",10,"*"
"Ansonia School District","=""0020011""","Learning Disability",85,94.4
"Ansonia School District","=""0020011""","Other Disabilities",8,30.8
"Ansonia School District","=""0020011""","Other Health Impairment",71,88.8
"Ansonia School District","=""0020011""","Speech Language Impairment",40,97.6
"Ashford School District","=""0030011""","All Disabilities",28,65.1
"Ashford School District","=""0030011""","Autism","*","*"
"Ashford School District","=""0030011""","Intellectual Disability",0,0
"Ashford School District","=""0030011""","Learning Disability",6,"*"
"Ashford School District","=""0030011""","Other Disabilities","*","*"
"Ashford School District","=""0030011""","Other Health Impairment",11,"*"
"Ashford School District","=""0030011""","Speech Language Impairment",6,"*"
"Avon School District","=""0040011""","All Disabilities",208,63.4
"Avon School District","=""0040011""","Autism",30,56.6
"Avon School District","=""0040011""","Emotional Disturbance","*","*"
"Avon School District","=""0040011""","Intellectual Disability","*","*"
"Avon School District","=""0040011""","Learning Disability",66,69.5
"Avon School District","=""0040011""","Other Disabilities","*","*"
"Avon School District","=""0040011""","Other Health Impairment",49,69.0
"Avon School District","=""0040011""","Speech Language Impairment",54,88.5
"Barkhamsted School District","=""0050011""","All Disabilities",25,71.4
"Barkhamsted School District","=""0050011""","Learning Disability",12,"*"
"Barkhamsted School District","=""0050011""","Other Disabilities",0,0
"Barkhamsted School District","=""0050011""","Other Health Impairment","*","*"
"Barkhamsted School District","=""0050011""","Speech Language Impairment","*","*"
"Berlin School District","=""0070011""","All Disabilities",207,70.9
"Berlin School District","=""0070011""","Autism",17,48.6
"Berlin School District","=""0070011""","Emotional Disturbance",9,42.9
"Berlin School District","=""0070011""","Intellectual Disability","*","*"
"Berlin School District","=""0070011""","Learning Disability",75,81.5
"Berlin School District","=""0070011""","Other Disabilities","*","*"
"Berlin School District","=""0070011""","Other Health Impairment",41,73.2
"Berlin School District","=""0070011""","Speech Language Impairment",61,83.6
"Bethany School District","=""0080011""","All Disabilities",33,71.7
"Bethany School District","=""0080011""","Autism","*","*"
"Bethany School District","=""0080011""","Emotional Disturbance","*","*"
"Bethany School District","=""0080011""","Intellectual Disability",0,0
"Bethany School District","=""0080011""","Learning Disability",13,"*"
"Bethany School District","=""0080011""","Other Disabilities",0,0
"Bethany School District","=""0080011""","Other Health Impairment",8,"*"
"Bethany School District","=""0080011""","Speech Language Impairment",10,"*"
"Bethel School District","=""0090011""","All Disabilities",208,69.3
"Bethel School District","=""0090011""","Autism","*","*"
"Bethel School District","=""0090011""","Emotional Disturbance","*","*"
"Bethel School District","=""0090011""","Intellectual Disability",0,0
"Bethel School District","=""0090011""","Learning Disability",95,79.8
"Bethel School District","=""0090011""","Other Disabilities",18,46.2
"Bethel School District","=""0090011""","Other Health Impairment",52,83.9
"Bethel School District","=""0090011""","Speech Language Impairment",27,93.1
"Bloomfield School District","=""0110011""","All Disabilities",139,62.1
"Bloomfield School District","=""0110011""","Autism","*","*"
"Bloomfield School District","=""0110011""","Emotional Disturbance",10,47.6
"Bloomfield School District","=""0110011""","Intellectual Disability","*","*"
"Bloomfield School District","=""0110011""","Learning Disability",65,77.4
"Bloomfield School District","=""0110011""","Other Disabilities",6,28.6
"Bloomfield School District","=""0110011""","Other Health Impairment",22,68.8
"Bloomfield School District","=""0110011""","Speech Language Impairment",27,73.0
"Bolton School District","=""0120011""","All Disabilities",52,65.0
"Bolton School District","=""0120011""","Autism","*","*"
"Bolton School District","=""0120011""","Emotional Disturbance","*","*"
"Bolton School District","=""0120011""","Intellectual Disability",0,0
"Bolton School District","=""0120011""","Learning Disability",22,95.7
"Bolton School District","=""0120011""","Other Disabilities",0,0
"Bolton School District","=""0120011""","Other Health Impairment",16,69.6
"Bolton School District","=""0120011""","Speech Language Impairment",9,"*"
"Bozrah School District","=""0130011""","All Disabilities",26,72.2
"Bozrah School District","=""0130011""","Autism","*","*"
"Bozrah School District","=""0130011""","Emotional Disturbance","*","*"
"Bozrah School District","=""0130011""","Learning Disability",12,"*"
"Bozrah School District","=""0130011""","Other Disabilities","*","*"
"Bozrah School District","=""0130011""","Other Health Impairment","*","*"
"Bozrah School District","=""0130011""","Speech Language Impairment","*","*"
"Branford School District","=""0140011""","All Disabilities",273,66.3
