"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2015-16"
"All Districts, Intellectual Disability"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2015-16",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",6,"*"
"Avon School District","=""0040011""","*","*"
"Berlin School District","=""0070011""","*","*"
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""",0,0
"Bloomfield School District","=""0110011""","*","*"
"Bolton School District","=""0120011""",0,0
"Branford School District","=""0140011""","*","*"
"Bridgeport School District","=""0150011""",33,20.4
"Bristol School District","=""0170011""","*","*"
"Brookfield School District","=""0180011""","*","*"
"Brooklyn School District","=""0190011""","*","*"
"Canterbury School District","=""0220011""","*","*"
"Canton School District","=""0230011""","*","*"
"Cheshire School District","=""0250011""",7,28.0
"Chester School District","=""0260011""","*","*"
"Clinton School District","=""0270011""","*","*"
"Colchester School District","=""0280011""","*","*"
"Columbia School District","=""0300011""","*","*"
"Connecticut Technical High School System","=""9000016""","*","*"
"Coventry School District","=""0320011""","*","*"
"Cromwell School District","=""0330011""","*","*"
"Danbury School District","=""0340011""",8,14.3
"Darien School District","=""0350011""",0,0
"Deep River School District","=""0360011""",0,0
"Derby School District","=""0370011""","*","*"
"East Granby School District","=""0400011""","*","*"
"East Haddam School District","=""0410011""","*","*"
"East Hampton School District","=""0420011""",0,0
"East Hartford School District","=""0430011""",17,44.7
"East Haven School District","=""0440011""","*","*"
"East Lyme School District","=""0450011""","*","*"
"East Windsor School District","=""0470011""",0,0
"Easton School District","=""0460011""",0,0
"Ellington School District","=""0480011""","*","*"
"Enfield School District","=""0490011""",7,29.2
"Fairfield School District","=""0510011""",12,38.7
"Farmington School District","=""0520011""","*","*"
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""","*","*"
"Granby School District","=""0560011""","*","*"
"Greenwich School District","=""0570011""","*","*"
"Griswold School District","=""0580011""","*","*"
"Groton School District","=""0590011""",10,30.3
"Guilford School District","=""0600011""",12,"*"
"Hamden School District","=""0620011""","*","*"
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",89,48.6
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""","*","*"
"Killingly School District","=""0690011""","*","*"
"Lebanon School District","=""0710011""","*","*"
"Ledyard School District","=""0720011""","*","*"
"Lisbon School District","=""0730011""","*","*"
"Madison School District","=""0760011""","*","*"
"Manchester School District","=""0770011""",11,47.8
"Mansfield School District","=""0780011""","*","*"
"Marlborough School District","=""0790011""",0,0
"Meriden School District","=""0800011""",23,38.3
"Middletown School District","=""0830011""",17,50.0
"Milford School District","=""0840011""","*","*"
"Monroe School District","=""0850011""","*","*"
"Montville School District","=""0860011""","*","*"
"Naugatuck School District","=""0880011""",10,37.0
"New Britain School District","=""0890011""",22,24.7
"New Canaan School District","=""0900011""",0,0
"New Fairfield School District","=""0910011""","*","*"
"New Hartford School District","=""0920011""",0,0
"New Haven School District","=""0930011""",67,37.9
"New London School District","=""0950011""",11,32.4
"New Milford School District","=""0960011""",7,"*"
"Newington School District","=""0940011""",6,"*"
"Newtown School District","=""0970011""","*","*"
"North Branford School District","=""0990011""","*","*"
"North Canaan School District","=""1000011""",0,0
"North Haven School District","=""1010011""","*","*"
"North Stonington School District","=""1020011""","*","*"
"Norwalk School District","=""1030011""",8,20.0
"Norwich School District","=""1040011""",11,28.9
"Old Saybrook School District","=""1060011""",0,0
"Orange School District","=""1070011""",0,0
"Oxford School District","=""1080011""",0,0
"Plainfield School District","=""1090011""","*","*"
"Plainville School District","=""1100011""","*","*"
"Plymouth School District","=""1110011""",0,0
"Pomfret School District","=""1120011""","*","*"
"Portland School District","=""1130011""","*","*"
"Preston School District","=""1140011""","*","*"
"Putnam School District","=""1160011""","*","*"
"Regional School District 01","=""2010012""",0,0
"Regional School District 04","=""2040012""","*","*"
"Regional School District 05","=""2050012""","*","*"
"Regional School District 06","=""2060012""","*","*"
"Regional School District 07","=""2070012""",7,"*"
"Regional School District 08","=""2080012""","*","*"
"Regional School District 09","=""2090012""",0,0
"Regional School District 10","=""2100012""","*","*"
"Regional School District 11","=""2110012""",0,0
"Regional School District 12","=""2120012""",0,0
"Regional School District 13","=""2130012""","*","*"
"Regional School District 14","=""2140012""","*","*"
"Regional School District 15","=""2150012""",0,0
"Regional School District 16","=""2160012""","*","*"
"Regional School District 17","=""2170012""","*","*"
"Regional School District 18","=""2180012""","*","*"
"Regional School District 19","=""2190012""",0,0
"Ridgefield School District","=""1180011""","*","*"
"Rocky Hill School District","=""1190011""","*","*"
"Salem School District","=""1210011""","*","*"
"Scotland School District","=""1230011""",0,"*"
"Seymour School District","=""1240011""","*","*"
"Sharon School District","=""1250011""",0,0
"Shelton School District","=""1260011""","*","*"
"Sherman School District","=""1270011""",0,0
"Simsbury School District","=""1280011""","*","*"
"Somers School District","=""1290011""","*","*"
"South Windsor School District","=""1320011""","*","*"
"Southington School District","=""1310011""","*","*"
"Sprague School District","=""1330011""","*","*"
"Stafford School District","=""1340011""","*","*"
"Stamford School District","=""1350011""",7,10.9
"Sterling School District","=""1360011""",0,0
"Stonington School District","=""1370011""",0,0
"Stratford School District","=""1380011""",19,61.3
"Suffield School District","=""1390011""","*","*"
"Thomaston School District","=""1400011""","*","*"
"Thompson School District","=""1410011""",0,0
"Tolland School District","=""1420011""","*","*"
"Torrington School District","=""1430011""","*","*"
"Trumbull School District","=""1440011""","*","*"
"Unified School District #1","=""3360015""","*","*"
"Vernon School District","=""1460011""",7,35.0
"Voluntown School District","=""1470011""",0,0
"Wallingford School District","=""1480011""",10,41.7
"Waterbury School District","=""1510011""",19,17.1
"Waterford School District","=""1520011""","*","*"
"Watertown School District","=""1530011""","*","*"
"West Hartford School District","=""1550011""",8,28.6
"West Haven School District","=""1560011""",7,35.0
"Westbrook School District","=""1540011""","*","*"
"Weston School District","=""1570011""",0,0
"Westport School District","=""1580011""",0,0
"Wethersfield School District","=""1590011""",9,"*"
"Willington School District","=""1600011""","*","*"
"Wilton School District","=""1610011""",0,0
"Winchester School District","=""1620011""","*","*"
"Windham School District","=""1630011""",12,50.0
"Windsor Locks School District","=""1650011""","*","*"
"Windsor School District","=""1640011""","*","*"
"Wolcott School District","=""1660011""","*","*"
"Woodbridge School District","=""1670011""",0,0
"Woodstock School District","=""1690011""",0,0

