"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2014-15"
"All Districts, Learning Disability"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2014-15",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",88,84.6
"Ashford School District","=""0030011""","*","*"
"Avon School District","=""0040011""",64,75.3
"Barkhamsted School District","=""0050011""","*","*"
"Berlin School District","=""0070011""",73,73.0
"Bethany School District","=""0080011""",18,"*"
"Bethel School District","=""0090011""",90,76.3
"Bloomfield School District","=""0110011""",77,74.0
"Bolton School District","=""0120011""",17,"*"
"Bozrah School District","=""0130011""",12,"*"
"Branford School District","=""0140011""",83,76.1
"Bridgeport School District","=""0150011""",996,83.6
"Bristol School District","=""0170011""",409,76.3
"Brookfield School District","=""0180011""",95,79.8
"Brooklyn School District","=""0190011""",35,64.8
"Canaan School District","=""0210011""","*","*"
"Canterbury School District","=""0220011""",7,"*"
"Canton School District","=""0230011""",45,66.2
"Chaplin School District","=""0240011""",10,"*"
"Cheshire School District","=""0250011""",90,71.4
"Chester School District","=""0260011""",16,"*"
"Clinton School District","=""0270011""",56,98.2
"Colchester School District","=""0280011""",113,98.3
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""",25,89.3
"Connecticut Technical High School System","=""9000016""",560,99.6
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",71,88.8
"Cromwell School District","=""0330011""",53,80.3
"Danbury School District","=""0340011""",406,73.3
"Darien School District","=""0350011""",156,88.1
"Deep River School District","=""0360011""",16,"*"
"Department of Mental Health and Addiction Services","=""3370015""",0,"*"
"Derby School District","=""0370011""",43,82.7
"East Granby School District","=""0400011""",31,91.2
"East Haddam School District","=""0410011""",39,84.8
"East Hampton School District","=""0420011""",31,73.8
"East Hartford School District","=""0430011""",271,87.7
"East Haven School District","=""0440011""",113,86.3
"East Lyme School District","=""0450011""",126,93.3
"East Windsor School District","=""0470011""",55,66.3
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""",35,94.6
"Ellington School District","=""0480011""",116,81.7
"Enfield School District","=""0490011""",226,90.0
"Essex School District","=""0500011""",11,"*"
"Fairfield School District","=""0510011""",319,92.2
"Farmington School District","=""0520011""",101,77.7
"Franklin School District","=""0530011""",11,"*"
"Glastonbury School District","=""0540011""",150,88.2
"Granby School District","=""0560011""",49,75.4
"Greenwich School District","=""0570011""",292,80.9
"Griswold School District","=""0580011""",49,75.4
"Groton School District","=""0590011""",199,93.0
"Guilford School District","=""0600011""",97,88.2
"Hamden School District","=""0620011""",214,77.0
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",1143,90.9
"Hartland School District","=""0650011""",14,"*"
"Hebron School District","=""0670011""",29,85.3
"Kent School District","=""0680011""",13,"*"
"Killingly School District","=""0690011""",72,79.1
"Lebanon School District","=""0710011""",34,53.1
"Ledyard School District","=""0720011""",70,72.9
"Lisbon School District","=""0730011""",12,"*"
"Litchfield School District","=""0740011""",41,89.1
"Madison School District","=""0760011""",143,97.3
"Manchester School District","=""0770011""",255,89.2
"Mansfield School District","=""0780011""",53,91.4
"Marlborough School District","=""0790011""",20,90.9
"Meriden School District","=""0800011""",414,78.0
"Middletown School District","=""0830011""",155,84.2
"Milford School District","=""0840011""",118,87.4
"Monroe School District","=""0850011""",83,70.9
"Montville School District","=""0860011""",61,75.3
"Naugatuck School District","=""0880011""",200,76.0
"New Britain School District","=""0890011""",493,84.9
"New Canaan School District","=""0900011""",101,87.1
"New Fairfield School District","=""0910011""",70,97.2
"New Hartford School District","=""0920011""",17,85.0
"New Haven School District","=""0930011""",824,81.6
"New London School District","=""0950011""",141,69.1
"New Milford School District","=""0960011""",102,62.2
"Newington School District","=""0940011""",176,76.2
"Newtown School District","=""0970011""",93,86.1
"Norfolk School District","=""0980011""","*","*"
"North Branford School District","=""0990011""",95,96.0
"North Canaan School District","=""1000011""",8,"*"
"North Haven School District","=""1010011""",106,86.2
"North Stonington School District","=""1020011""",18,78.3
"Norwalk School District","=""1030011""",440,89.6
"Norwich School District","=""1040011""",132,52.2
"Old Saybrook School District","=""1060011""",41,85.4
"Orange School District","=""1070011""",28,77.8
"Oxford School District","=""1080011""",41,61.2
"Plainfield School District","=""1090011""",64,71.9
"Plainville School District","=""1100011""",61,93.8
"Plymouth School District","=""1110011""",53,88.3
"Pomfret School District","=""1120011""",13,"*"
"Portland School District","=""1130011""",56,98.2
"Preston School District","=""1140011""",15,"*"
"Putnam School District","=""1160011""",50,75.8
"Redding School District","=""1170011""",26,89.7
"Regional School District 01","=""2010012""",27,75.0
"Regional School District 04","=""2040012""",46,86.8
"Regional School District 05","=""2050012""",77,89.5
"Regional School District 06","=""2060012""",48,94.1
"Regional School District 07","=""2070012""",33,68.8
"Regional School District 08","=""2080012""",58,73.4
"Regional School District 09","=""2090012""",32,84.2
"Regional School District 10","=""2100012""",75,91.5
"Regional School District 11","=""2110012""",21,75.0
"Regional School District 12","=""2120012""",32,78.0
"Regional School District 13","=""2130012""",82,84.5
"Regional School District 14","=""2140012""",62,92.5
"Regional School District 15","=""2150012""",139,78.1
"Regional School District 16","=""2160012""",61,69.3
"Regional School District 17","=""2170012""",126,97.7
"Regional School District 18","=""2180012""",39,67.2
"Regional School District 19","=""2190012""",38,66.7
"Ridgefield School District","=""1180011""",156,91.2
"Rocky Hill School District","=""1190011""",71,89.9
"Salem School District","=""1210011""",26,81.3
"Salisbury School District","=""1220011""",10,"*"
"Scotland School District","=""1230011""","*","*"
"Seymour School District","=""1240011""",117,96.7
"Sharon School District","=""1250011""",7,"*"
"Shelton School District","=""1260011""",161,59.9
"Sherman School District","=""1270011""",17,70.8
"Simsbury School District","=""1280011""",165,83.8
"Somers School District","=""1290011""",43,84.3
"South Windsor School District","=""1320011""",140,90.9
"Southington School District","=""1310011""",169,69.8
"Sprague School District","=""1330011""",8,"*"
"Stafford School District","=""1340011""",31,47.0
"Stamford School District","=""1350011""",473,67.7
"Sterling School District","=""1360011""",20,87.0
"Stonington School District","=""1370011""",126,92.6
"Stratford School District","=""1380011""",209,91.3
"Suffield School District","=""1390011""",72,90.0
"Thomaston School District","=""1400011""",44,88.0
"Thompson School District","=""1410011""",21,70.0
"Tolland School District","=""1420011""",103,81.7
"Torrington School District","=""1430011""",185,64.9
"Trumbull School District","=""1440011""",164,78.8
"Unified School District #1","=""3360015""",55,87.3
"Unified School District #2","=""3470015""",0,0
"Union School District","=""1450011""",7,"*"
"Vernon School District","=""1460011""",130,86.1
"Voluntown School District","=""1470011""",19,63.3
"Wallingford School District","=""1480011""",190,90.5
"Waterbury School District","=""1510011""",819,71.0
"Waterford School District","=""1520011""",115,96.6
"Watertown School District","=""1530011""",79,80.6
"West Hartford School District","=""1550011""",252,84.8
"West Haven School District","=""1560011""",262,89.1
"Westbrook School District","=""1540011""",25,92.6
"Weston School District","=""1570011""",41,60.3
"Westport School District","=""1580011""",199,85.8
"Wethersfield School District","=""1590011""",137,93.8
"Willington School District","=""1600011""",18,90.0
"Wilton School District","=""1610011""",146,62.9
"Winchester School District","=""1620011""",32,50.0
"Windham School District","=""1630011""",130,89.7
"Windsor Locks School District","=""1650011""",79,84.9
"Windsor School District","=""1640011""",140,79.1
"Wolcott School District","=""1660011""",79,90.8
"Woodbridge School District","=""1670011""",18,"*"
"Woodstock School District","=""1690011""",24,38.7

