"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2012-13"
"All Districts"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,,"2012-13",
"District","District Code","Disability","Count","Rate (%)"
"Andover School District","=""0010011""","All Disabilities",14,70.0
"Andover School District","=""0010011""","Autism","*","*"
"Andover School District","=""0010011""","Intellectual Disability","*","*"
"Andover School District","=""0010011""","Learning Disability","*","*"
"Andover School District","=""0010011""","Other Health Impairment","*","*"
"Andover School District","=""0010011""","Speech Language Impairment","*","*"
"Ansonia School District","=""0020011""","All Disabilities",219,73.7
"Ansonia School District","=""0020011""","Autism",10,29.4
"Ansonia School District","=""0020011""","Emotional Disturbance",6,30.0
"Ansonia School District","=""0020011""","Intellectual Disability",16,69.6
"Ansonia School District","=""0020011""","Learning Disability",80,96.4
"Ansonia School District","=""0020011""","Other Disabilities",8,32.0
"Ansonia School District","=""0020011""","Other Health Impairment",63,82.9
"Ansonia School District","=""0020011""","Speech Language Impairment",36,100.0
"Ashford School District","=""0030011""","All Disabilities",32,72.7
"Ashford School District","=""0030011""","Autism","*","*"
"Ashford School District","=""0030011""","Emotional Disturbance","*","*"
"Ashford School District","=""0030011""","Intellectual Disability",0,0
"Ashford School District","=""0030011""","Learning Disability",7,"*"
"Ashford School District","=""0030011""","Other Disabilities",0,0
"Ashford School District","=""0030011""","Other Health Impairment",9,"*"
"Ashford School District","=""0030011""","Speech Language Impairment",10,"*"
"Avon School District","=""0040011""","All Disabilities",207,60.3
"Avon School District","=""0040011""","Autism","*","*"
"Avon School District","=""0040011""","Emotional Disturbance","*","*"
"Avon School District","=""0040011""","Intellectual Disability",0,0
"Avon School District","=""0040011""","Learning Disability",66,63.5
"Avon School District","=""0040011""","Other Disabilities",0,0
"Avon School District","=""0040011""","Other Health Impairment",50,67.6
"Avon School District","=""0040011""","Speech Language Impairment",59,84.3
"Barkhamsted School District","=""0050011""","All Disabilities",27,77.1
"Barkhamsted School District","=""0050011""","Autism","*","*"
"Barkhamsted School District","=""0050011""","Learning Disability",14,"*"
"Barkhamsted School District","=""0050011""","Other Disabilities",0,0
"Barkhamsted School District","=""0050011""","Other Health Impairment","*","*"
"Barkhamsted School District","=""0050011""","Speech Language Impairment",9,"*"
"Berlin School District","=""0070011""","All Disabilities",191,67.3
"Berlin School District","=""0070011""","Autism",18,52.9
"Berlin School District","=""0070011""","Emotional Disturbance",7,"*"
"Berlin School District","=""0070011""","Intellectual Disability","*","*"
"Berlin School District","=""0070011""","Learning Disability",69,76.7
"Berlin School District","=""0070011""","Other Disabilities","*","*"
"Berlin School District","=""0070011""","Other Health Impairment",37,64.9
"Berlin School District","=""0070011""","Speech Language Impairment",55,73.3
"Bethany School District","=""0080011""","All Disabilities",35,66.0
"Bethany School District","=""0080011""","Autism","*","*"
"Bethany School District","=""0080011""","Emotional Disturbance","*","*"
"Bethany School District","=""0080011""","Intellectual Disability",0,0
"Bethany School District","=""0080011""","Learning Disability",17,"*"
"Bethany School District","=""0080011""","Other Disabilities",0,0
"Bethany School District","=""0080011""","Other Health Impairment","*","*"
"Bethany School District","=""0080011""","Speech Language Impairment",11,"*"
"Bethel School District","=""0090011""","All Disabilities",215,71.4
"Bethel School District","=""0090011""","Autism",12,38.7
"Bethel School District","=""0090011""","Emotional Disturbance","*","*"
"Bethel School District","=""0090011""","Intellectual Disability","*","*"
"Bethel School District","=""0090011""","Learning Disability",97,80.2
"Bethel School District","=""0090011""","Other Disabilities",13,33.3
"Bethel School District","=""0090011""","Other Health Impairment",51,94.4
"Bethel School District","=""0090011""","Speech Language Impairment",36,100.0
"Bloomfield School District","=""0110011""","All Disabilities",134,63.5
"Bloomfield School District","=""0110011""","Autism","*","*"
"Bloomfield School District","=""0110011""","Emotional Disturbance",14,53.8
"Bloomfield School District","=""0110011""","Intellectual Disability",7,"*"
"Bloomfield School District","=""0110011""","Learning Disability",56,76.7
"Bloomfield School District","=""0110011""","Other Disabilities","*","*"
"Bloomfield School District","=""0110011""","Other Health Impairment",15,65.2
"Bloomfield School District","=""0110011""","Speech Language Impairment",34,85.0
"Bolton School District","=""0120011""","All Disabilities",54,64.3
"Bolton School District","=""0120011""","Autism","*","*"
"Bolton School District","=""0120011""","Emotional Disturbance",6,"*"
"Bolton School District","=""0120011""","Intellectual Disability","*","*"
"Bolton School District","=""0120011""","Learning Disability",21,77.8
"Bolton School District","=""0120011""","Other Disabilities","*","*"
"Bolton School District","=""0120011""","Other Health Impairment",15,55.6
"Bolton School District","=""0120011""","Speech Language Impairment",6,"*"
"Bozrah School District","=""0130011""","All Disabilities",28,71.8
"Bozrah School District","=""0130011""","Autism","*","*"
"Bozrah School District","=""0130011""","Emotional Disturbance","*","*"
"Bozrah School District","=""0130011""","Learning Disability",12,"*"
"Bozrah School District","=""0130011""","Other Disabilities","*","*"
"Bozrah School District","=""0130011""","Other Health Impairment","*","*"
"Bozrah School District","=""0130011""","Speech Language Impairment","*","*"
"Branford School District","=""0140011""","All Disabilities",287,65.7
"Branford School District","=""0140011""","Autism",17,41.5
"Branford School District","=""0140011""","Emotional Disturbance",31,53.4
"Branford School District","=""0140011""","Intellectual Disability","*","*"
"Branford School District","=""0140011""","Learning Disability",85,71.4
"Branford School District","=""0140011""","Other Disabilities","*","*"
"Branford School District","=""0140011""","Other Health Impairment",83,79.0
"Branford School District","=""0140011""","Speech Language Impairment",61,76.3
"Bridgeport School District","=""0150011""","All Disabilities",1200,46.4
"Bridgeport School District","=""0150011""","Autism",40,20.5
"Bridgeport School District","=""0150011""","Emotional Disturbance",77,30.4
"Bridgeport School District","=""0150011""","Intellectual Disability",25,19.7
"Bridgeport School District","=""0150011""","Learning Disability",552,55.4
