"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2014-15"
"All Districts"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,,"2014-15",
"District","District Code","Disability","Count","Rate (%)"
"Andover School District","=""0010011""","All Disabilities",12,"*"
"Andover School District","=""0010011""","Autism","*","*"
"Andover School District","=""0010011""","Intellectual Disability","*","*"
"Andover School District","=""0010011""","Learning Disability","*","*"
"Andover School District","=""0010011""","Other Health Impairment",7,"*"
"Andover School District","=""0010011""","Speech Language Impairment",0,"*"
"Ansonia School District","=""0020011""","All Disabilities",258,67.2
"Ansonia School District","=""0020011""","Autism",10,25.0
"Ansonia School District","=""0020011""","Emotional Disturbance",19,52.8
"Ansonia School District","=""0020011""","Intellectual Disability",6,30.0
"Ansonia School District","=""0020011""","Learning Disability",88,84.6
"Ansonia School District","=""0020011""","Other Disabilities",11,29.7
"Ansonia School District","=""0020011""","Other Health Impairment",76,79.2
"Ansonia School District","=""0020011""","Speech Language Impairment",48,94.1
"Ashford School District","=""0030011""","All Disabilities",27,65.9
"Ashford School District","=""0030011""","Autism","*","*"
"Ashford School District","=""0030011""","Emotional Disturbance","*","*"
"Ashford School District","=""0030011""","Intellectual Disability",0,0
"Ashford School District","=""0030011""","Learning Disability","*","*"
"Ashford School District","=""0030011""","Other Disabilities","*","*"
"Ashford School District","=""0030011""","Other Health Impairment",11,"*"
"Ashford School District","=""0030011""","Speech Language Impairment",6,"*"
"Avon School District","=""0040011""","All Disabilities",192,65.1
"Avon School District","=""0040011""","Autism",32,61.5
"Avon School District","=""0040011""","Emotional Disturbance",6,"*"
"Avon School District","=""0040011""","Intellectual Disability","*","*"
"Avon School District","=""0040011""","Learning Disability",64,75.3
"Avon School District","=""0040011""","Other Disabilities","*","*"
"Avon School District","=""0040011""","Other Health Impairment",42,66.7
"Avon School District","=""0040011""","Speech Language Impairment",43,86.0
"Barkhamsted School District","=""0050011""","All Disabilities",24,64.9
"Barkhamsted School District","=""0050011""","Autism",0,0
"Barkhamsted School District","=""0050011""","Emotional Disturbance","*","*"
"Barkhamsted School District","=""0050011""","Learning Disability","*","*"
"Barkhamsted School District","=""0050011""","Other Disabilities",0,0
"Barkhamsted School District","=""0050011""","Other Health Impairment",7,"*"
"Barkhamsted School District","=""0050011""","Speech Language Impairment",8,"*"
"Berlin School District","=""0070011""","All Disabilities",205,68.8
"Berlin School District","=""0070011""","Autism",19,55.9
"Berlin School District","=""0070011""","Emotional Disturbance",15,57.7
"Berlin School District","=""0070011""","Intellectual Disability","*","*"
"Berlin School District","=""0070011""","Learning Disability",73,73.0
"Berlin School District","=""0070011""","Other Disabilities","*","*"
"Berlin School District","=""0070011""","Other Health Impairment",37,69.8
"Berlin School District","=""0070011""","Speech Language Impairment",57,86.4
"Bethany School District","=""0080011""","All Disabilities",44,83.0
"Bethany School District","=""0080011""","Autism","*","*"
"Bethany School District","=""0080011""","Emotional Disturbance","*","*"
"Bethany School District","=""0080011""","Intellectual Disability","*","*"
"Bethany School District","=""0080011""","Learning Disability",18,"*"
"Bethany School District","=""0080011""","Other Disabilities","*","*"
"Bethany School District","=""0080011""","Other Health Impairment",8,"*"
"Bethany School District","=""0080011""","Speech Language Impairment",13,"*"
"Bethel School District","=""0090011""","All Disabilities",205,66.6
"Bethel School District","=""0090011""","Autism",12,41.4
"Bethel School District","=""0090011""","Emotional Disturbance",6,30.0
"Bethel School District","=""0090011""","Intellectual Disability",0,0
"Bethel School District","=""0090011""","Learning Disability",90,76.3
"Bethel School District","=""0090011""","Other Disabilities",14,35.9
"Bethel School District","=""0090011""","Other Health Impairment",48,78.7
"Bethel School District","=""0090011""","Speech Language Impairment",35,92.1
"Bloomfield School District","=""0110011""","All Disabilities",169,63.8
"Bloomfield School District","=""0110011""","Autism","*","*"
"Bloomfield School District","=""0110011""","Emotional Disturbance",11,"*"
"Bloomfield School District","=""0110011""","Intellectual Disability","*","*"
"Bloomfield School District","=""0110011""","Learning Disability",77,74.0
"Bloomfield School District","=""0110011""","Other Disabilities",8,30.8
"Bloomfield School District","=""0110011""","Other Health Impairment",30,68.2
"Bloomfield School District","=""0110011""","Speech Language Impairment",32,80.0
"Bolton School District","=""0120011""","All Disabilities",55,64.7
"Bolton School District","=""0120011""","Autism","*","*"
"Bolton School District","=""0120011""","Emotional Disturbance","*","*"
"Bolton School District","=""0120011""","Intellectual Disability",0,0
"Bolton School District","=""0120011""","Learning Disability",17,"*"
"Bolton School District","=""0120011""","Other Disabilities","*","*"
"Bolton School District","=""0120011""","Other Health Impairment",18,64.3
"Bolton School District","=""0120011""","Speech Language Impairment",14,"*"
"Bozrah School District","=""0130011""","All Disabilities",23,69.7
"Bozrah School District","=""0130011""","Autism","*","*"
"Bozrah School District","=""0130011""","Emotional Disturbance","*","*"
"Bozrah School District","=""0130011""","Learning Disability",12,"*"
