"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2014-15"
"All Districts, Autism"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2014-15",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",10,25.0
"Ashford School District","=""0030011""","*","*"
"Avon School District","=""0040011""",32,61.5
"Barkhamsted School District","=""0050011""",0,0
"Berlin School District","=""0070011""",19,55.9
"Bethany School District","=""0080011""","*","*"
"Bethel School District","=""0090011""",12,41.4
"Bloomfield School District","=""0110011""","*","*"
"Bolton School District","=""0120011""","*","*"
"Bozrah School District","=""0130011""","*","*"
"Branford School District","=""0140011""",17,44.7
"Bridgeport School District","=""0150011""",146,58.2
"Bristol School District","=""0170011""",32,40.5
"Brookfield School District","=""0180011""",24,54.5
"Brooklyn School District","=""0190011""","*","*"
"Canterbury School District","=""0220011""",14,"*"
"Canton School District","=""0230011""",16,61.5
"Chaplin School District","=""0240011""",0,0
"Cheshire School District","=""0250011""",36,57.1
"Chester School District","=""0260011""","*","*"
"Clinton School District","=""0270011""",13,50.0
"Colchester School District","=""0280011""",25,73.5
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""","*","*"
"Connecticut Technical High School System","=""9000016""",53,100.0
"Cornwall School District","=""0310011""","*","*"
"Coventry School District","=""0320011""",13,"*"
"Cromwell School District","=""0330011""",12,41.4
"Danbury School District","=""0340011""",65,46.4
"Darien School District","=""0350011""",20,48.8
"Deep River School District","=""0360011""","*","*"
"Derby School District","=""0370011""","*","*"
"East Granby School District","=""0400011""","*","*"
"East Haddam School District","=""0410011""",17,58.6
"East Hampton School District","=""0420011""",21,60.0
"East Hartford School District","=""0430011""",37,32.7
"East Haven School District","=""0440011""",28,52.8
"East Lyme School District","=""0450011""",33,68.8
"East Windsor School District","=""0470011""",8,30.8
"Eastford School District","=""0390011""","*","*"
"Easton School District","=""0460011""","*","*"
"Ellington School District","=""0480011""",14,58.3
"Enfield School District","=""0490011""",50,64.9
"Essex School District","=""0500011""",6,"*"
"Fairfield School District","=""0510011""",78,59.1
"Farmington School District","=""0520011""",41,51.9
"Franklin School District","=""0530011""","*","*"
"Glastonbury School District","=""0540011""",47,53.4
"Granby School District","=""0560011""",18,85.7
"Greenwich School District","=""0570011""",58,62.4
"Griswold School District","=""0580011""",14,45.2
"Groton School District","=""0590011""",52,50.0
"Guilford School District","=""0600011""",29,43.3
"Hamden School District","=""0620011""",53,40.2
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",199,60.5
"Hartland School District","=""0650011""","*","*"
"Hebron School District","=""0670011""","*","*"
"Kent School District","=""0680011""","*","*"
"Killingly School District","=""0690011""",31,59.6
"Lebanon School District","=""0710011""",6,30.0
"Ledyard School District","=""0720011""",25,54.3
"Lisbon School District","=""0730011""","*","*"
"Litchfield School District","=""0740011""","*","*"
"Madison School District","=""0760011""",36,66.7
"Manchester School District","=""0770011""",48,51.6
"Mansfield School District","=""0780011""",10,"*"
"Marlborough School District","=""0790011""","*","*"
"Meriden School District","=""0800011""",65,47.8
"Middletown School District","=""0830011""",43,59.7
"Milford School District","=""0840011""",43,43.4
"Monroe School District","=""0850011""",29,76.3
"Montville School District","=""0860011""","*","*"
"Naugatuck School District","=""0880011""",23,35.9
"New Britain School District","=""0890011""",63,42.6
"New Canaan School District","=""0900011""",25,51.0
"New Fairfield School District","=""0910011""",11,"*"
"New Hartford School District","=""0920011""","*","*"
"New Haven School District","=""0930011""",94,39.7
"New London School District","=""0950011""",29,43.3
"New Milford School District","=""0960011""",37,50.0
"Newington School District","=""0940011""",35,57.4
"Newtown School District","=""0970011""",48,58.5
"Norfolk School District","=""0980011""",0,"*"
"North Branford School District","=""0990011""",14,70.0
"North Canaan School District","=""1000011""","*","*"
"North Haven School District","=""1010011""",28,49.1
"North Stonington School District","=""1020011""",7,"*"
"Norwalk School District","=""1030011""",62,48.4
"Norwich School District","=""1040011""",21,23.3
"Old Saybrook School District","=""1060011""",21,61.8
"Orange School District","=""1070011""","*","*"
"Oxford School District","=""1080011""",14,48.3
"Plainfield School District","=""1090011""",15,48.4
"Plainville School District","=""1100011""",22,64.7
"Plymouth School District","=""1110011""","*","*"
"Pomfret School District","=""1120011""",8,"*"
"Portland School District","=""1130011""",8,"*"
"Preston School District","=""1140011""","*","*"
"Putnam School District","=""1160011""",12,41.4
"Redding School District","=""1170011""","*","*"
"Regional School District 01","=""2010012""","*","*"
"Regional School District 04","=""2040012""",13,65.0
"Regional School District 05","=""2050012""",19,43.2
"Regional School District 06","=""2060012""","*","*"
"Regional School District 07","=""2070012""",7,"*"
"Regional School District 08","=""2080012""",10,"*"
"Regional School District 09","=""2090012""","*","*"
"Regional School District 10","=""2100012""",26,60.5
"Regional School District 11","=""2110012""","*","*"
"Regional School District 12","=""2120012""",9,"*"
"Regional School District 13","=""2130012""",19,50.0
"Regional School District 14","=""2140012""",8,32.0
"Regional School District 15","=""2150012""",40,52.6
"Regional School District 16","=""2160012""",28,56.0
"Regional School District 17","=""2170012""",29,80.6
"Regional School District 18","=""2180012""",9,"*"
"Regional School District 19","=""2190012""","*","*"
"Ridgefield School District","=""1180011""",37,53.6
"Rocky Hill School District","=""1190011""",23,62.2
"Salem School District","=""1210011""","*","*"
"Salisbury School District","=""1220011""",0,0
"Seymour School District","=""1240011""",18,52.9
"Sharon School District","=""1250011""","*","*"
"Shelton School District","=""1260011""",22,32.4
"Sherman School District","=""1270011""",6,"*"
"Simsbury School District","=""1280011""",56,60.2
"Somers School District","=""1290011""",8,"*"
"South Windsor School District","=""1320011""",53,63.9
"Southington School District","=""1310011""",53,55.2
"Sprague School District","=""1330011""","*","*"
"Stafford School District","=""1340011""",17,70.8
"Stamford School District","=""1350011""",49,35.3
"Sterling School District","=""1360011""","*","*"
"Stonington School District","=""1370011""",33,71.7
"Stratford School District","=""1380011""",57,49.6
"Suffield School District","=""1390011""",35,74.5
"Thomaston School District","=""1400011""",9,"*"
"Thompson School District","=""1410011""","*","*"
"Tolland School District","=""1420011""",29,60.4
"Torrington School District","=""1430011""",26,38.2
"Trumbull School District","=""1440011""",41,45.1
"Unified School District #1","=""3360015""","*","*"
"Unified School District #2","=""3470015""",0,0
"Union School District","=""1450011""","*","*"
"Vernon School District","=""1460011""",31,52.5
"Voluntown School District","=""1470011""","*","*"
"Wallingford School District","=""1480011""",46,59.0
"Waterbury School District","=""1510011""",90,41.7
"Waterford School District","=""1520011""",35,72.9
"Watertown School District","=""1530011""",20,47.6
"West Hartford School District","=""1550011""",118,62.4
"West Haven School District","=""1560011""",28,35.0
"Westbrook School District","=""1540011""",13,"*"
"Weston School District","=""1570011""",8,24.2
"Westport School District","=""1580011""",29,56.9
"Wethersfield School District","=""1590011""",39,65.0
"Willington School District","=""1600011""","*","*"
"Wilton School District","=""1610011""",31,51.7
"Winchester School District","=""1620011""",14,38.9
"Windham School District","=""1630011""",26,57.8
"Windsor Locks School District","=""1650011""","*","*"
"Windsor School District","=""1640011""",34,59.6
"Wolcott School District","=""1660011""",12,54.5
"Woodbridge School District","=""1670011""","*","*"
"Woodstock School District","=""1690011""","*","*"

