"Students with Disabilities Spending 79.1-100% of Time with Nondisabled Peers (Ages 6-21), 2013-14"
"All Districts, Intellectual Disability"
"Notes:"
"Data included in this report represent students ages 6-21 only."
"At this time, the only data included in this report are for students spending 79.1-100% of Time with Nondisabled Peers. In the future this report will be updated to include all Time with Nondisabled Peer categories (i.e., 0-40% and 40.1-79%)."
"At the district-level, this report includes only students with disabilities for whom the district is fiscally responsible, regardless of where the student is educated. At the school-level, a student is included as long as they are attending the selected school, regardless of the district with fiscal responsibility."

"",,"2013-14",
"District","District Code","Count","Rate (%)"
"Andover School District","=""0010011""","*","*"
"Ansonia School District","=""0020011""",10,"*"
"Ashford School District","=""0030011""",0,0
"Avon School District","=""0040011""","*","*"
"Berlin School District","=""0070011""","*","*"
"Bethany School District","=""0080011""",0,0
"Bethel School District","=""0090011""",0,0
"Bloomfield School District","=""0110011""","*","*"
"Bolton School District","=""0120011""",0,0
"Branford School District","=""0140011""",6,"*"
"Bridgeport School District","=""0150011""",10,7.5
"Bristol School District","=""0170011""",6,"*"
"Brookfield School District","=""0180011""",0,0
"Brooklyn School District","=""0190011""",0,0
"Canton School District","=""0230011""","*","*"
"Cheshire School District","=""0250011""",7,28.0
"Clinton School District","=""0270011""","*","*"
"Colchester School District","=""0280011""","*","*"
"Colebrook School District","=""0290011""","*","*"
"Columbia School District","=""0300011""","*","*"
"Connecticut Technical High School System","=""9000016""","*","*"
"Coventry School District","=""0320011""","*","*"
"Cromwell School District","=""0330011""","*","*"
"Danbury School District","=""0340011""",7,14.0
"Darien School District","=""0350011""","*","*"
"Deep River School District","=""0360011""","*","*"
"Derby School District","=""0370011""","*","*"
"East Granby School District","=""0400011""","*","*"
"East Haddam School District","=""0410011""","*","*"
"East Hampton School District","=""0420011""",0,0
"East Hartford School District","=""0430011""",16,47.1
"East Haven School District","=""0440011""","*","*"
"East Lyme School District","=""0450011""","*","*"
"East Windsor School District","=""0470011""","*","*"
"Eastford School District","=""0390011""",0,"*"
"Easton School District","=""0460011""",0,0
"Ellington School District","=""0480011""","*","*"
"Enfield School District","=""0490011""",11,40.7
"Fairfield School District","=""0510011""",10,35.7
"Farmington School District","=""0520011""","*","*"
"Franklin School District","=""0530011""",0,0
"Glastonbury School District","=""0540011""",6,"*"
"Granby School District","=""0560011""","*","*"
"Greenwich School District","=""0570011""",11,40.7
"Griswold School District","=""0580011""","*","*"
"Groton School District","=""0590011""",16,45.7
"Guilford School District","=""0600011""",13,"*"
"Hamden School District","=""0620011""",6,25.0
"Hampton School District","=""0630011""","*","*"
"Hartford School District","=""0640011""",102,60.4
"Hartland School District","=""0650011""","*","*"
"Kent School District","=""0680011""",0,0
"Killingly School District","=""0690011""",7,"*"
"Lebanon School District","=""0710011""","*","*"
"Ledyard School District","=""0720011""","*","*"
"Lisbon School District","=""0730011""","*","*"
"Litchfield School District","=""0740011""","*","*"
"Madison School District","=""0760011""","*","*"
"Manchester School District","=""0770011""",7,"*"
"Mansfield School District","=""0780011""","*","*"
"Meriden School District","=""0800011""",28,50.0
"Middletown School District","=""0830011""",17,54.8
"Milford School District","=""0840011""","*","*"
"Monroe School District","=""0850011""","*","*"
"Montville School District","=""0860011""","*","*"
"Naugatuck School District","=""0880011""",14,63.6
"New Britain School District","=""0890011""",46,49.5
"New Canaan School District","=""0900011""","*","*"
"New Fairfield School District","=""0910011""","*","*"
"New Hartford School District","=""0920011""",0,0
"New Haven School District","=""0930011""",67,40.9
"New London School District","=""0950011""","*","*"
"New Milford School District","=""0960011""",12,"*"
"Newington School District","=""0940011""",6,"*"
"Newtown School District","=""0970011""",6,"*"
"North Branford School District","=""0990011""","*","*"
"North Canaan School District","=""1000011""",0,0
"North Haven School District","=""1010011""","*","*"
"North Stonington School District","=""1020011""","*","*"
"Norwalk School District","=""1030011""",12,32.4
"Norwich School District","=""1040011""",17,36.2
"Old Saybrook School District","=""1060011""","*","*"
"Orange School District","=""1070011""",0,0
"Oxford School District","=""1080011""",0,0
"Plainfield School District","=""1090011""","*","*"
"Plainville School District","=""1100011""","*","*"
"Plymouth School District","=""1110011""","*","*"
"Pomfret School District","=""1120011""","*","*"
"Preston School District","=""1140011""","*","*"
"Putnam School District","=""1160011""","*","*"
"Regional School District 01","=""2010012""",0,0
"Regional School District 04","=""2040012""","*","*"
"Regional School District 05","=""2050012""","*","*"
"Regional School District 06","=""2060012""","*","*"
"Regional School District 07","=""2070012""","*","*"
"Regional School District 08","=""2080012""","*","*"
"Regional School District 09","=""2090012""",0,0
"Regional School District 10","=""2100012""","*","*"
"Regional School District 11","=""2110012""","*","*"
"Regional School District 12","=""2120012""","*","*"
"Regional School District 13","=""2130012""","*","*"
"Regional School District 14","=""2140012""","*","*"
"Regional School District 15","=""2150012""",0,0
"Regional School District 16","=""2160012""","*","*"
"Regional School District 17","=""2170012""",0,0
"Regional School District 18","=""2180012""","*","*"
"Regional School District 19","=""2190012""",0,0
"Ridgefield School District","=""1180011""",0,0
"Rocky Hill School District","=""1190011""","*","*"
"Salem School District","=""1210011""","*","*"
"Scotland School District","=""1230011""",0,"*"
"Seymour School District","=""1240011""",8,"*"
"Sharon School District","=""1250011""",0,0
"Shelton School District","=""1260011""","*","*"
"Sherman School District","=""1270011""",0,0
"Simsbury School District","=""1280011""","*","*"
"Somers School District","=""1290011""","*","*"
"South Windsor School District","=""1320011""","*","*"
"Southington School District","=""1310011""","*","*"
"Sprague School District","=""1330011""",0,0
"Stafford School District","=""1340011""","*","*"
"Stamford School District","=""1350011""",11,18.6
"Sterling School District","=""1360011""","*","*"
"Stonington School District","=""1370011""","*","*"
"Stratford School District","=""1380011""",27,81.8
"Suffield School District","=""1390011""","*","*"
"Thomaston School District","=""1400011""","*","*"
"Thompson School District","=""1410011""","*","*"
"Tolland School District","=""1420011""","*","*"
"Torrington School District","=""1430011""","*","*"
"Trumbull School District","=""1440011""","*","*"
"Unified School District #1","=""3360015""","*","*"
"Unified School District #2","=""3470015""",0,0
"Vernon School District","=""1460011""",8,38.1
"Voluntown School District","=""1470011""","*","*"
"Wallingford School District","=""1480011""",9,39.1
"Waterbury School District","=""1510011""",27,26.2
"Waterford School District","=""1520011""","*","*"
"Watertown School District","=""1530011""","*","*"
"West Hartford School District","=""1550011""",11,36.7
"West Haven School District","=""1560011""",14,60.9
"Westbrook School District","=""1540011""","*","*"
"Weston School District","=""1570011""","*","*"
"Westport School District","=""1580011""","*","*"
"Wethersfield School District","=""1590011""",10,"*"
"Willington School District","=""1600011""","*","*"
"Wilton School District","=""1610011""",0,0
"Winchester School District","=""1620011""","*","*"
"Windham School District","=""1630011""",25,86.2
"Windsor Locks School District","=""1650011""","*","*"
"Windsor School District","=""1640011""",8,"*"
"Wolcott School District","=""1660011""","*","*"
"Woodbridge School District","=""1670011""",0,0
"Woodstock School District","=""1690011""","*","*"

