"Educator Race/Ethnicity Report for 2006-07"

"District","Race","Count","% of Total"
"Amistad Academy District","Hispanic or Latino",2,5.9
="Ansonia School District",="Hispanic or Latino",1,0.5
="Area Cooperative Educational Services",="Hispanic or Latino",11,3.7
="Avon School District",="Hispanic or Latino",2,0.7
="Berlin School District",="Hispanic or Latino",1,0.3
="Bethel School District",="Hispanic or Latino",1,0.4
="Bloomfield School District",="Hispanic or Latino",3,1.2
="Bolton School District",="Hispanic or Latino",1,1.0
="Bozrah School District",="Hispanic or Latino",1,3.2
="Branford School District",="Hispanic or Latino",4,1.2
="Bridgeport School District",="Hispanic or Latino",168,9.9
="Bristol School District",="Hispanic or Latino",10,1.4
="Brookfield School District",="Hispanic or Latino",2,0.8
="Brooklyn School District",="Hispanic or Latino",1,1.2
="Capitol Region Education Council",="Hispanic or Latino",16,4.4
="Cheshire School District",="Hispanic or Latino",4,1.0
="Colchester School District",="Hispanic or Latino",2,0.7
="Columbia School District",="Hispanic or Latino",1,1.5
="Common Ground High School District",="Hispanic or Latino",1,7.7
="Connecticut Technical High School System",="Hispanic or Latino",65,4.8
="Cooperative Educational Services",="Hispanic or Latino",2,1.4
="Coventry School District",="Hispanic or Latino",2,1.1
="Cromwell School District",="Hispanic or Latino",1,0.6
="Danbury School District",="Hispanic or Latino",34,4.0
="Darien School District",="Hispanic or Latino",7,1.5
="Deep River School District",="Hispanic or Latino",3,6.7
="Derby School District",="Hispanic or Latino",2,1.6
="East Hampton School District",="Hispanic or Latino",1,0.6
="East Hartford School District",="Hispanic or Latino",22,3.4
="East Haven School District",="Hispanic or Latino",4,1.3
="East Lyme School District",="Hispanic or Latino",1,0.3
="East Windsor School District",="Hispanic or Latino",1,0.8
="Easton School District",="Hispanic or Latino",1,1.0
="Ellington School District",="Hispanic or Latino",2,0.9
="Elm City College Preparatory School",="Hispanic or Latino",2,7.7
="Enfield School District",="Hispanic or Latino",4,0.7
="Essex School District",="Hispanic or Latino",2,3.3
="Fairfield School District",="Hispanic or Latino",16,1.7
="Farmington School District",="Hispanic or Latino",8,2.0
="Glastonbury School District",="Hispanic or Latino",9,1.6
="Granby School District",="Hispanic or Latino",1,0.5
="Greenwich School District",="Hispanic or Latino",35,3.7
="Groton School District",="Hispanic or Latino",7,1.4
="Guilford School District",="Hispanic or Latino",1,0.3
="Hamden School District",="Hispanic or Latino",18,3.2
="Hartford School District",="Hispanic or Latino",320,14.1
="Hebron School District",="Hispanic or Latino",1,1.0
="Interdistrict School for Arts and Comm District",="Hispanic or Latino",1,5.9
="Killingly School District",="Hispanic or Latino",1,0.4
="Learn",="Hispanic or Latino",6,4.9
="Lebanon School District",="Hispanic or Latino",2,1.5
="Ledyard School District",="Hispanic or Latino",2,0.8
="Madison School District",="Hispanic or Latino",2,0.6
="Manchester School District",="Hispanic or Latino",21,3.2
="Mansfield School District",="Hispanic or Latino",2,1.4
="Meriden School District",="Hispanic or Latino",51,7.0
="Middletown School District",="Hispanic or Latino",8,1.8
="Milford School District",="Hispanic or Latino",3,0.4
="Monroe School District",="Hispanic or Latino",3,0.9
="Montville School District",="Hispanic or Latino",4,1.5
="Naugatuck School District",="Hispanic or Latino",5,1.2
="New Beginnings Inc Family Academy District",="Hispanic or Latino",1,3.9
="New Britain School District",="Hispanic or Latino",95,10.8
="New Canaan School District",="Hispanic or Latino",3,0.7
="New Fairfield School District",="Hispanic or Latino",3,1.2
="New Hartford School District",="Hispanic or Latino",1,1.8
="New Haven School District",="Hispanic or Latino",137,7.6
="New London School District",="Hispanic or Latino",28,10.0
="New Milford School District",="Hispanic or Latino",4,1.0
="Newington School District",="Hispanic or Latino",3,0.8
="Newtown School District",="Hispanic or Latino",3,0.7
="North Branford School District",="Hispanic or Latino",1,0.5
="North Haven School District",="Hispanic or Latino",4,1.2
="Norwalk School District",="Hispanic or Latino",56,5.9
="Norwich Free Academy District",="Hispanic or Latino",3,1.6
="Norwich School District",="Hispanic or Latino",3,0.9
="Old Saybrook School District",="Hispanic or Latino",1,0.6
="Orange School District",="Hispanic or Latino",1,0.8
="Oxford School District",="Hispanic or Latino",1,0.9
="Plainville School District",="Hispanic or Latino",1,0.4
="Plymouth School District",="Hispanic or Latino",2,1.3
="Redding School District",="Hispanic or Latino",1,0.8
="Regional School District 04",="Hispanic or Latino",2,2.0
="Regional School District 05",="Hispanic or Latino",7,2.9
="Regional School District 06",="Hispanic or Latino",2,1.8
="Regional School District 07",="Hispanic or Latino",1,0.9
="Regional School District 08",="Hispanic or Latino",3,1.9
="Regional School District 09",="Hispanic or Latino",1,1.0
="Regional School District 10",="Hispanic or Latino",1,0.4
="Regional School District 12",="Hispanic or Latino",1,0.9
="Regional School District 13",="Hispanic or Latino",3,1.5
="Regional School District 14",="Hispanic or Latino",2,1.0
="Regional School District 15",="Hispanic or Latino",4,1.1
="Regional School District 16",="Hispanic or Latino",2,0.9
="Regional School District 17",="Hispanic or Latino",4,1.8
="Regional School District 19",="Hispanic or Latino",2,1.6
="Ridgefield School District",="Hispanic or Latino",6,1.3
="Rocky Hill School District",="Hispanic or Latino",3,1.3
="Salem School District",="Hispanic or Latino",1,1.8
="Shelton School District",="Hispanic or Latino",2,0.5
="Sherman School District",="Hispanic or Latino",1,2.2
="Simsbury School District",="Hispanic or Latino",4,0.9
="Somers School District",="Hispanic or Latino",2,1.3
="South Windsor School District",="Hispanic or Latino",9,2.2
="Southington School District",="Hispanic or Latino",2,0.3
="Sprague School District",="Hispanic or Latino",2,5.9
="Stafford School District",="Hispanic or Latino",1,0.6
="Stamford School District",="Hispanic or Latino",72,4.8
="Stonington School District",="Hispanic or Latino",1,0.4
="Stratford School District",="Hispanic or Latino",9,1.4
="Suffield School District",="Hispanic or Latino",5,2.2
="The Bridge Academy District",="Hispanic or Latino",3,14.3
="Thomaston School District",="Hispanic or Latino",1,0.9
="Tolland School District",="Hispanic or Latino",6,2.3
="Torrington School District",="Hispanic or Latino",10,2.4
="Trumbull School District",="Hispanic or Latino",11,1.9
="Unified School District #1",="Hispanic or Latino",6,2.9
="Unified School District #2",="Hispanic or Latino",2,1.9
="Vernon School District",="Hispanic or Latino",5,1.4
="Wallingford School District",="Hispanic or Latino",5,0.8
="Waterbury School District",="Hispanic or Latino",111,7.1
="Waterford School District",="Hispanic or Latino",4,1.5
="Watertown School District",="Hispanic or Latino",1,0.4
="West Hartford School District",="Hispanic or Latino",21,2.2
="West Haven School District",="Hispanic or Latino",11,1.9
="Weston School District",="Hispanic or Latino",3,1.2
="Westport School District",="Hispanic or Latino",15,2.5
="Wethersfield School District",="Hispanic or Latino",4,1.3
="Willington School District",="Hispanic or Latino",2,3.0
="Wilton School District",="Hispanic or Latino",4,1.0
="Winchester School District",="Hispanic or Latino",1,1.0
="Windham School District",="Hispanic or Latino",31,8.5
="Windsor Locks School District",="Hispanic or Latino",4,2.1
="Windsor School District",="Hispanic or Latino",9,2.1
="Wolcott School District",="Hispanic or Latino",1,0.4
="Woodstock Academy District",="Hispanic or Latino",1,1.0

