"Educator Race/Ethnicity Report for 2006-07"

"District","Race","Count","% of Total"
"Amistad Academy District","White",23,67.7
="Andover School District",="White",34,100.0
="Ansonia School District",="White",191,94.1
="Area Cooperative Educational Services",="White",266,90.5
="Ashford School District",="White",53,100.0
="Avon School District",="White",280,98.9
="Barkhamsted School District",="White",36,100.0
="Berlin School District",="White",293,99.0
="Bethany School District",="White",55,100.0
="Bethel School District",="White",283,99.0
="Bloomfield School District",="White",193,74.8
="Bolton School District",="White",95,99.0
="Bozrah School District",="White",30,96.8
="Branford School District",="White",332,98.2
="Bridgeport School District",="White",1254,74.0
="Bristol School District",="White",701,96.7
="Brookfield School District",="White",243,97.6
="Brooklyn School District",="White",81,98.8
="Canaan School District",="White",24,100.0
="Canterbury School District",="White",52,94.6
="Canton School District",="White",149,98.7
="Capitol Region Education Council",="White",318,88.3
="Chaplin School District",="White",30,100.0
="Cheshire School District",="White",403,97.1
="Chester School District",="White",40,100.0
="Clinton School District",="White",211,100.0
="Colchester School District",="White",273,98.6
="Colebrook School District",="White",19,100.0
="Columbia School District",="White",67,98.5
="Common Ground High School District",="White",12,92.3
="Connecticut Technical High School System",="White",1212,88.7
="Cooperative Educational Services",="White",132,91.7
="Cornwall School District",="White",27,100.0
="Coventry School District",="White",177,98.3
="Cromwell School District",="White",177,97.8
="Cross Cultural Academy District",="White",4,80.0
="Danbury School District",="White",775,91.2
="Darien School District",="White",442,97.1
="Deep River School District",="White",42,93.3
="Derby School District",="White",117,95.1
="East Granby School District",="White",86,97.7
="East Haddam School District",="White",123,99.2
="East Hampton School District",="White",163,98.2
="East Hartford School District",="White",600,91.3
="East Haven School District",="White",314,98.7
="East Lyme School District",="White",288,99.0
="East Windsor School District",="White",125,98.4
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="White",47,94.0
="Eastford School District",="White",21,100.0
="Easton School District",="White",102,99.0
="EdAdvance",="White",24,100.0
="Ellington School District",="White",211,97.7
="Elm City College Preparatory School",="White",17,65.4
="Enfield School District",="White",555,97.5
="Essex School District",="White",58,96.7
="Explorations District",="White",7,100.0
="Fairfield School District",="White",922,96.9
="Farmington School District",="White",376,95.7
="Franklin School District",="White",25,100.0
="Glastonbury School District",="White",558,96.7
="Granby School District",="White",189,99.0
="Greenwich School District",="White",865,91.9
="Griswold School District",="White",191,100.0
="Groton School District",="White",477,94.3
="Guilford School District",="White",342,98.6
="Hamden School District",="White",507,89.9
="Hampton School District",="White",22,95.7
="Hartford School District",="White",1555,68.7
="Hartland School District",="White",28,100.0
="Hebron School District",="White",97,98.0
="Highville Mustard Seed Charter School District",="White",20,95.2
="Integrated Day Charter School District",="White",22,100.0
="Interdistrict School for Arts and Comm District",="White",15,88.2
="Jumoke Academy District",="White",16,76.2
="Kent School District",="White",38,100.0
="Killingly School District",="White",261,98.5
="Learn",="White",113,92.6
="Lebanon School District",="White",133,96.4
="Ledyard School District",="White",251,98.1
="Lisbon School District",="White",57,100.0
="Litchfield School District",="White",121,100.0
="Madison School District",="White",326,98.5
="Manchester School District",="White",615,92.3
