"Educator Race/Ethnicity Report for 2013-14"

"District","Race","Count","% of Total"
"Achievement First Hartford Academy Inc. District","Hispanic or Latino",6,6.1
="Amistad Academy District",="Hispanic or Latino",6,4.9
="Ansonia School District",="Hispanic or Latino",5,2.5
="Area Cooperative Educational Services",="Hispanic or Latino",9,3.3
="Avon School District",="Hispanic or Latino",6,2.0
="Berlin School District",="Hispanic or Latino",2,0.7
="Bethany School District",="Hispanic or Latino",1,1.9
="Bethel School District",="Hispanic or Latino",3,1.1
="Bloomfield School District",="Hispanic or Latino",8,3.1
="Bolton School District",="Hispanic or Latino",2,2.3
="Branford School District",="Hispanic or Latino",7,2.2
="Bridgeport Achievement First District",="Hispanic or Latino",6,8.7
="Bridgeport School District",="Hispanic or Latino",176,10.8
="Bristol School District",="Hispanic or Latino",14,2.1
="Brookfield School District",="Hispanic or Latino",6,2.4
="Brooklyn School District",="Hispanic or Latino",1,1.3
="Capitol Region Education Council",="Hispanic or Latino",55,6.3
="Cheshire School District",="Hispanic or Latino",7,1.7
="Clinton School District",="Hispanic or Latino",4,2.0
="Colchester School District",="Hispanic or Latino",3,1.2
="Colebrook School District",="Hispanic or Latino",1,5.3
="Columbia School District",="Hispanic or Latino",1,1.9
="Common Ground High School District",="Hispanic or Latino",1,4.8
="Connecticut Technical High School System",="Hispanic or Latino",71,5.6
="Cooperative Educational Services",="Hispanic or Latino",5,2.9
="Coventry School District",="Hispanic or Latino",2,1.1
="Cromwell School District",="Hispanic or Latino",4,2.1
="Danbury School District",="Hispanic or Latino",54,6.1
="Darien School District",="Hispanic or Latino",10,2.0
="Deep River School District",="Hispanic or Latino",1,2.3
="Derby School District",="Hispanic or Latino",5,3.9
="East Granby School District",="Hispanic or Latino",2,2.0
="East Hampton School District",="Hispanic or Latino",3,1.7
="East Hartford School District",="Hispanic or Latino",31,4.7
="East Haven School District",="Hispanic or Latino",3,1.0
="East Lyme School District",="Hispanic or Latino",2,0.7
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Hispanic or Latino",2,1.9
="Easton School District",="Hispanic or Latino",2,2.0
="Ellington School District",="Hispanic or Latino",1,0.4
="Elm City College Preparatory School District",="Hispanic or Latino",1,2.3
="Enfield School District",="Hispanic or Latino",5,1.0
="Essex School District",="Hispanic or Latino",1,1.5
="Fairfield School District",="Hispanic or Latino",19,1.9
="Farmington School District",="Hispanic or Latino",10,2.5
="Glastonbury School District",="Hispanic or Latino",11,1.9
="Granby School District",="Hispanic or Latino",2,1.1
="Greenwich School District",="Hispanic or Latino",44,4.6
="Griswold School District",="Hispanic or Latino",3,1.6
="Groton School District",="Hispanic or Latino",9,1.9
="Guilford School District",="Hispanic or Latino",3,0.9
="Hamden School District",="Hispanic or Latino",18,3.1
="Hartford School District",="Hispanic or Latino",208,10.4
="Integrated Day Charter School District",="Hispanic or Latino",1,3.6
="Interdistrict School for Arts and Comm District",="Hispanic or Latino",1,3.3
="Jumoke Academy District",="Hispanic or Latino",4,9.3
="Learn",="Hispanic or Latino",11,4.9
="Lebanon School District",="Hispanic or Latino",2,1.7
="Ledyard School District",="Hispanic or Latino",3,1.3
="Litchfield School District",="Hispanic or Latino",3,2.6
="Madison School District",="Hispanic or Latino",6,1.9
="Manchester School District",="Hispanic or Latino",18,2.7
="Mansfield School District",="Hispanic or Latino",1,0.7
="Meriden School District",="Hispanic or Latino",51,7.5
="Middletown School District",="Hispanic or Latino",10,2.3
="Milford School District",="Hispanic or Latino",5,0.7
="Monroe School District",="Hispanic or Latino",5,1.7
="Montville School District",="Hispanic or Latino",6,2.4
="Naugatuck School District",="Hispanic or Latino",7,1.9
="New Beginnings Inc Family Academy District",="Hispanic or Latino",3,7.1
="New Britain School District",="Hispanic or Latino",92,11.4
="New Canaan School District",="Hispanic or Latino",7,1.6
="New Fairfield School District",="Hispanic or Latino",4,1.6
="New Hartford School District",="Hispanic or Latino",1,1.9
="New Haven School District",="Hispanic or Latino",149,7.6
="New London School District",="Hispanic or Latino",29,10.5
="New Milford School District",="Hispanic or Latino",10,2.6
="Newington School District",="Hispanic or Latino",7,1.8
="Newtown School District",="Hispanic or Latino",6,1.3
="North Branford School District",="Hispanic or Latino",1,0.5
="North Haven School District",="Hispanic or Latino",7,2.2
="North Stonington School District",="Hispanic or Latino",1,1.1
="Norwalk School District",="Hispanic or Latino",64,6.9
="Norwich Free Academy District",="Hispanic or Latino",5,2.6
="Norwich School District",="Hispanic or Latino",2,0.7
="Odyssey Community School District",="Hispanic or Latino",2,6.3
="Oxford School District",="Hispanic or Latino",2,1.2
="Park City Prep Charter School District",="Hispanic or Latino",1,5.0
="Plainville School District",="Hispanic or Latino",3,1.2
="Plymouth School District",="Hispanic or Latino",2,1.3
="Putnam School District",="Hispanic or Latino",1,0.8
="Redding School District",="Hispanic or Latino",2,1.6
="Regional School District 04",="Hispanic or Latino",1,1.0
="Regional School District 05",="Hispanic or Latino",8,3.4
="Regional School District 07",="Hispanic or Latino",1,0.9
="Regional School District 08",="Hispanic or Latino",5,2.8
="Regional School District 09",="Hispanic or Latino",2,1.9
="Regional School District 10",="Hispanic or Latino",2,0.8
="Regional School District 11",="Hispanic or Latino",1,2.5
="Regional School District 12",="Hispanic or Latino",3,2.9
="Regional School District 13",="Hispanic or Latino",2,1.0
="Regional School District 14",="Hispanic or Latino",3,1.6
="Regional School District 15",="Hispanic or Latino",5,1.3
="Regional School District 16",="Hispanic or Latino",2,1.0
="Regional School District 17",="Hispanic or Latino",1,0.4
="Regional School District 19",="Hispanic or Latino",2,1.6
="Ridgefield School District",="Hispanic or Latino",8,1.7
="Rocky Hill School District",="Hispanic or Latino",7,3.0
="Salem School District",="Hispanic or Latino",1,2.2
="Salisbury School District",="Hispanic or Latino",1,2.2
="Seymour School District",="Hispanic or Latino",1,0.5
="Shelton School District",="Hispanic or Latino",2,0.5
="Sherman School District",="Hispanic or Latino",1,2.1
="Side By Side Charter School District",="Hispanic or Latino",1,5.0
="Simsbury School District",="Hispanic or Latino",2,0.5
="Somers School District",="Hispanic or Latino",2,1.3
="South Windsor School District",="Hispanic or Latino",6,1.5
="Southington School District",="Hispanic or Latino",5,0.9
="Stafford School District",="Hispanic or Latino",2,1.2
="Stamford School District",="Hispanic or Latino",85,5.7
="Stonington School District",="Hispanic or Latino",1,0.4
="Stratford School District",="Hispanic or Latino",17,2.8
="Suffield School District",="Hispanic or Latino",5,2.3
="The Bridge Academy District",="Hispanic or Latino",1,4.6
="Tolland School District",="Hispanic or Latino",5,2.1
="Torrington School District",="Hispanic or Latino",17,4.3
="Trailblazers Academy District",="Hispanic or Latino",1,4.2
="Trumbull School District",="Hispanic or Latino",13,2.1
="Unified School District #1",="Hispanic or Latino",6,3.7
="Unified School District #2",="Hispanic or Latino",2,1.9
="Vernon School District",="Hispanic or Latino",6,1.7
="Wallingford School District",="Hispanic or Latino",10,1.7
="Waterbury School District",="Hispanic or Latino",122,7.2
="Waterford School District",="Hispanic or Latino",5,2.0
="Watertown School District",="Hispanic or Latino",3,1.2
="West Hartford School District",="Hispanic or Latino",27,2.8
="West Haven School District",="Hispanic or Latino",13,2.3
="Westbrook School District",="Hispanic or Latino",2,1.7
="Weston School District",="Hispanic or Latino",3,1.3
="Westport School District",="Hispanic or Latino",15,2.4
="Wethersfield School District",="Hispanic or Latino",7,2.2
="Willington School District",="Hispanic or Latino",2,3.6
="Wilton School District",="Hispanic or Latino",9,2.3
="Windham School District",="Hispanic or Latino",30,8.6
="Windsor Locks School District",="Hispanic or Latino",4,2.2
="Windsor School District",="Hispanic or Latino",11,2.8
="Wolcott School District",="Hispanic or Latino",1,0.4
="Woodbridge School District",="Hispanic or Latino",2,2.6
="Woodstock Academy District",="Hispanic or Latino",2,2.0

