"Educator Race/Ethnicity Report for 2003-04"

"District","Race","Count","% of Total"
"Amistad Academy District","White",19,79.2
="Andover School District",="White",33,100.0
="Ansonia School District",="White",182,93.8
="Area Cooperative Educational Services",="White",266,91.4
="Ashford School District",="White",53,100.0
="Avon School District",="White",265,99.3
="Barkhamsted School District",="White",34,100.0
="Berlin School District",="White",271,98.6
="Bethany School District",="White",53,100.0
="Bethel School District",="White",289,99.3
="Bloomfield School District",="White",192,76.2
="Bolton School District",="White",102,99.0
="Bozrah School District",="White",27,96.4
="Branford School District",="White",315,97.5
="Bridgeport School District",="White",1284,74.1
="Bristol School District",="White",676,96.6
="Brookfield School District",="White",255,97.7
="Brooklyn School District",="White",79,100.0
="Canaan School District",="White",25,100.0
="Canterbury School District",="White",48,94.1
="Canton School District",="White",143,100.0
="Capitol Region Education Council",="White",285,87.7
="Chaplin School District",="White",30,100.0
="Cheshire School District",="White",403,97.8
="Chester School District",="White",43,100.0
="Clinton School District",="White",212,99.5
="Colchester School District",="White",273,98.2
="Colebrook School District",="White",21,100.0
="Columbia School District",="White",65,98.5
="Common Ground High School District",="White",10,83.3
="Connecticut Technical High School System",="White",1114,86.8
="Cooperative Educational Services",="White",119,98.4
="Cornwall School District",="White",29,96.7
="Coventry School District",="White",173,97.2
="Cromwell School District",="White",170,98.3
="Danbury School District",="White",772,91.9
="Darien School District",="White",409,97.2
="Deep River School District",="White",46,100.0
="Derby School District",="White",120,98.4
="East Granby School District",="White",82,97.6
="East Haddam School District",="White",130,100.0
="East Hampton School District",="White",159,99.4
="East Hartford School District",="White",597,93.4
="East Haven School District",="White",306,98.7
="East Lyme School District",="White",278,98.2
="East Windsor School District",="White",123,97.6
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="White",57,98.3
="Eastford School District",="White",22,100.0
="Easton School District",="White",94,96.9
="EdAdvance",="White",21,100.0
="Ellington School District",="White",202,96.2
="Enfield School District",="White",560,97.6
="Essex School District",="White",54,96.4
="Explorations District",="White",7,100.0
="Fairfield School District",="White",858,97.5
="Farmington School District",="White",365,95.8
="Franklin School District",="White",24,100.0
="Glastonbury School District",="White",523,97.0
="Granby School District",="White",179,98.9
="Greenwich School District",="White",879,93.4
="Griswold School District",="White",187,99.5
="Groton School District",="White",491,95.7
="Guilford School District",="White",340,99.1
="Hamden School District",="White",491,91.8
="Hampton School District",="White",21,95.5
="Hartford School District",="White",1407,66.4
="Hartland School District",="White",33,100.0
="Hebron School District",="White",94,97.9
="Highville Mustard Seed Charter School District",="White",17,77.3
="Integrated Day Charter School District",="White",19,95.0
="Interdistrict School for Arts and Comm District",="White",12,92.3
="Jumoke Academy District",="White",19,82.6
="Kent School District",="White",39,100.0
="Killingly School District",="White",243,98.8
="Learn",="White",77,95.1
="Lebanon School District",="White",135,95.7
="Ledyard School District",="White",255,98.1
="Lisbon School District",="White",54,100.0
="Litchfield School District",="White",124,99.2
="Madison School District",="White",282,99.0
="Manchester School District",="White",609,92.8
="Mansfield School District",="White",142,97.3
="Marlborough School District",="White",59,98.3
="Meriden School District",="White",669,92.3
="Middletown School District",="White",422,91.7
="Milford School District",="White",695,98.3
="Monroe School District",="White",342,98.6
="Montville School District",="White",268,97.8
="Naugatuck School District",="White",419,98.8
="New Beginnings Inc Family Academy District",="White",11,64.7
="New Britain School District",="White",714,83.1
="New Canaan School District",="White",378,97.7
="New Fairfield School District",="White",257,99.2
="New Hartford School District",="White",56,100.0
="New Haven School District",="White",1203,71.0
="New London School District",="White",253,82.1
="New Milford School District",="White",396,98.8
="Newington School District",="White",377,97.7
="Newtown School District",="White",416,99.3
="Norfolk School District",="White",25,100.0
="North Branford School District",="White",196,99.5
="North Canaan School District",="White",44,100.0
="North Haven School District",="White",316,97.5
="North Stonington School District",="White",91,100.0
="Norwalk School District",="White",776,86.0
="Norwich Free Academy District",="White",165,93.8
="Norwich School District",="White",294,97.7
="Odyssey Community School District",="White",13,100.0
="Office of Early Childhood (OEC)",="White",48,100.0
="Old Saybrook School District",="White",163,97.6
="Orange School District",="White",126,99.2
="Oxford School District",="White",114,99.1
="Plainfield School District",="White",206,99.5
="Plainville School District",="White",240,98.0
="Plymouth School District",="White",165,98.8
="Pomfret School District",="White",47,100.0
="Portland School District",="White",136,99.3
="Preston School District",="White",52,98.1
="Project Oceanology",="White",6,100.0
="Putnam School District",="White",140,98.6
="Redding School District",="White",120,100.0
="Regional School District 01",="White",65,98.5
="Regional School District 04",="White",98,97.0
="Regional School District 05",="White",227,96.2
