"Educator Race/Ethnicity Report for 2012-13"

"District","Race","Count","% of Total"
"Achievement First Hartford Academy Inc. District","Black or African American",13,15.1
="Amistad Academy District",="Black or African American",11,11.5
="Ansonia School District",="Black or African American",5,2.5
="Area Cooperative Educational Services",="Black or African American",13,4.7
="Avon School District",="Black or African American",2,0.7
="Bethel School District",="Black or African American",1,0.4
="Bloomfield School District",="Black or African American",56,21.8
="Branford School District",="Black or African American",1,0.3
="Bridgeport Achievement First District",="Black or African American",10,16.1
="Bridgeport School District",="Black or African American",212,13.3
="Bristol School District",="Black or African American",12,1.8
="Brookfield School District",="Black or African American",2,0.8
="Canterbury School District",="Black or African American",1,2.0
="Capitol Region Education Council",="Black or African American",58,7.5
="Cheshire School District",="Black or African American",1,0.3
="Clinton School District",="Black or African American",1,0.5
="Colchester School District",="Black or African American",2,0.8
="Common Ground High School District",="Black or African American",1,4.4
="Connecticut Technical High School System",="Black or African American",55,4.4
="Cooperative Educational Services",="Black or African American",2,1.2
="Coventry School District",="Black or African American",2,1.1
="Cromwell School District",="Black or African American",3,1.6
="Danbury School District",="Black or African American",37,4.4
="Darien School District",="Black or African American",3,0.6
="Department of Social Services",="Black or African American",1,2.9
="East Granby School District",="Black or African American",1,1.0
="East Hartford School District",="Black or African American",33,5.1
="Easton School District",="Black or African American",1,1.0
="Ellington School District",="Black or African American",1,0.4
="Elm City College Preparatory School District",="Black or African American",8,15.4
="Enfield School District",="Black or African American",4,0.8
="Explorations District",="Black or African American",1,10.0
="Fairfield School District",="Black or African American",7,0.7
="Farmington School District",="Black or African American",7,1.8
="Glastonbury School District",="Black or African American",4,0.7
="Greenwich School District",="Black or African American",28,3.0
="Groton School District",="Black or African American",10,2.1
="Guilford School District",="Black or African American",2,0.6
="Hamden School District",="Black or African American",29,5.0
="Hartford School District",="Black or African American",269,13.8
="Highville Charter School District",="Black or African American",3,9.7
="Jumoke Academy District",="Black or African American",13,36.1
="Learn",="Black or African American",2,1.1
="Ledyard School District",="Black or African American",1,0.4
="Madison School District",="Black or African American",2,0.6
="Manchester School District",="Black or African American",32,4.8
="Mansfield School District",="Black or African American",3,2.1
="Marlborough School District",="Black or African American",1,1.9
="Meriden School District",="Black or African American",9,1.3
="Middletown School District",="Black or African American",13,2.9
="Milford School District",="Black or African American",4,0.6
="Montville School District",="Black or African American",1,0.4
="Naugatuck School District",="Black or African American",1,0.3
="New Beginnings Inc Family Academy District",="Black or African American",7,21.2
="New Britain School District",="Black or African American",42,5.4
="New Haven School District",="Black or African American",324,16.4
="New London School District",="Black or African American",19,7.4
="New Milford School District",="Black or African American",1,0.3
="Newington School District",="Black or African American",8,2.1
="Newtown School District",="Black or African American",1,0.2
="North Haven School District",="Black or African American",4,1.3
="Norwalk School District",="Black or African American",67,7.4
="Norwich Free Academy District",="Black or African American",10,5.1
="Norwich School District",="Black or African American",6,2.1
="Orange School District",="Black or African American",1,0.8
="Oxford School District",="Black or African American",2,1.2
="Park City Prep Charter School District",="Black or African American",4,20.0
="Plainville School District",="Black or African American",1,0.4
="Preston School District",="Black or African American",1,2.3
="Redding School District",="Black or African American",1,0.8
="Regional School District 05",="Black or African American",1,0.4
="Regional School District 08",="Black or African American",1,0.6
="Regional School District 10",="Black or African American",1,0.4
="Regional School District 15",="Black or African American",2,0.5
="Regional School District 18",="Black or African American",1,0.6
="Ridgefield School District",="Black or African American",1,0.2
="Simsbury School District",="Black or African American",3,0.7
="Somers School District",="Black or African American",2,1.3
="South Windsor School District",="Black or African American",6,1.5
="Southington School District",="Black or African American",4,0.7
="Stamford School District",="Black or African American",92,6.4
="Stonington School District",="Black or African American",1,0.4
="Stratford School District",="Black or African American",19,3.1
="Suffield School District",="Black or African American",3,1.4
="The Bridge Academy District",="Black or African American",2,9.5
="Tolland School District",="Black or African American",1,0.4
="Torrington School District",="Black or African American",2,0.5
="Trailblazers Academy District",="Black or African American",2,8.0
="Trumbull School District",="Black or African American",2,0.3
="Unified School District #1",="Black or African American",13,7.8
="Unified School District #2",="Black or African American",10,10.3
="Vernon School District",="Black or African American",6,1.7
="Wallingford School District",="Black or African American",8,1.4
="Waterbury School District",="Black or African American",60,3.7
="Waterford School District",="Black or African American",1,0.4
="Watertown School District",="Black or African American",1,0.4
="West Hartford School District",="Black or African American",19,2.0
="West Haven School District",="Black or African American",15,2.7
="Weston School District",="Black or African American",1,0.4
="Westport School District",="Black or African American",1,0.2
="Wethersfield School District",="Black or African American",4,1.3
="Wilton School District",="Black or African American",2,0.5
="Windham School District",="Black or African American",4,1.2
="Windsor Locks School District",="Black or African American",5,2.8
="Windsor School District",="Black or African American",36,8.8
="Wolcott School District",="Black or African American",1,0.4

