"Educator Race/Ethnicity Report for 2003-04"

"District","Race","Count","% of Total"
"Ansonia School District","Asian",1,0.5
="Avon School District",="Asian",1,0.4
="Berlin School District",="Asian",1,0.4
="Bloomfield School District",="Asian",2,0.8
="Branford School District",="Asian",1,0.3
="Bridgeport School District",="Asian",24,1.4
="Bristol School District",="Asian",4,0.6
="Capitol Region Education Council",="Asian",5,1.5
="Cheshire School District",="Asian",4,1.0
="Clinton School District",="Asian",1,0.5
="Colchester School District",="Asian",1,0.4
="Connecticut Technical High School System",="Asian",7,0.6
="Cooperative Educational Services",="Asian",1,0.8
="Danbury School District",="Asian",6,0.7
="Darien School District",="Asian",4,1.0
="East Hartford School District",="Asian",8,1.3
="East Lyme School District",="Asian",3,1.1
="Ellington School District",="Asian",1,0.5
="Enfield School District",="Asian",3,0.5
="Fairfield School District",="Asian",7,0.8
="Farmington School District",="Asian",4,1.1
="Glastonbury School District",="Asian",1,0.2
="Greenwich School District",="Asian",13,1.4
="Griswold School District",="Asian",1,0.5
="Groton School District",="Asian",5,1.0
="Hamden School District",="Asian",4,0.8
="Hartford School District",="Asian",21,1.0
="Killingly School District",="Asian",2,0.8
="Learn",="Asian",1,1.2
="Lebanon School District",="Asian",2,1.4
="Madison School District",="Asian",1,0.4
="Manchester School District",="Asian",2,0.3
="Marlborough School District",="Asian",1,1.7
="Meriden School District",="Asian",1,0.1
="Middletown School District",="Asian",7,1.5
="Milford School District",="Asian",1,0.1
="Monroe School District",="Asian",1,0.3
="Montville School District",="Asian",1,0.4
="New Beginnings Inc Family Academy District",="Asian",1,5.9
="New Britain School District",="Asian",6,0.7
="New Canaan School District",="Asian",2,0.5
="New Haven School District",="Asian",23,1.4
="New London School District",="Asian",2,0.7
="Newington School District",="Asian",2,0.5
="North Branford School District",="Asian",1,0.5
="North Haven School District",="Asian",1,0.3
="Norwalk School District",="Asian",5,0.6
="Norwich Free Academy District",="Asian",3,1.7
="Old Saybrook School District",="Asian",1,0.6
="Plainville School District",="Asian",1,0.4
="Plymouth School District",="Asian",1,0.6
="Regional School District 01",="Asian",1,1.5
="Regional School District 05",="Asian",1,0.4
="Ridgefield School District",="Asian",1,0.2
="Salisbury School District",="Asian",1,2.0
="Shelton School District",="Asian",2,0.5
="Sherman School District",="Asian",1,2.2
="Simsbury School District",="Asian",5,1.2
="Southington School District",="Asian",1,0.2
="Stafford School District",="Asian",1,0.5
="Stamford School District",="Asian",19,1.4
="Stonington School District",="Asian",1,0.5
="Stratford School District",="Asian",3,0.5
="Suffield School District",="Asian",1,0.5
="Torrington School District",="Asian",1,0.3
="Trumbull School District",="Asian",4,0.7
="Unified School District #2",="Asian",2,1.8
="Vernon School District",="Asian",1,0.3
="Wallingford School District",="Asian",1,0.2
="Waterbury School District",="Asian",10,0.7
="Waterford School District",="Asian",1,0.4
="West Hartford School District",="Asian",7,0.8
="West Haven School District",="Asian",2,0.3
="Weston School District",="Asian",3,1.3
="Westport School District",="Asian",3,0.5
="Wethersfield School District",="Asian",2,0.7
="Wilton School District",="Asian",3,0.8
="Windham School District",="Asian",4,1.1
="Windsor School District",="Asian",8,1.8
="Woodstock Academy District",="Asian",1,1.2

