"Educator Race/Ethnicity Report for 2004-05"

"District","Race","Count","% of Total"
"Amistad Academy District","Hispanic or Latino",2,8.7
="Ansonia School District",="Hispanic or Latino",2,1.0
="Area Cooperative Educational Services",="Hispanic or Latino",9,3.1
="Avon School District",="Hispanic or Latino",2,0.7
="Berlin School District",="Hispanic or Latino",2,0.7
="Bethel School District",="Hispanic or Latino",1,0.4
="Bloomfield School District",="Hispanic or Latino",3,1.2
="Bolton School District",="Hispanic or Latino",1,1.0
="Bozrah School District",="Hispanic or Latino",1,3.3
="Branford School District",="Hispanic or Latino",4,1.2
="Bridgeport School District",="Hispanic or Latino",161,9.4
="Bristol School District",="Hispanic or Latino",9,1.2
="Brookfield School District",="Hispanic or Latino",3,1.2
="Brooklyn School District",="Hispanic or Latino",1,1.2
="Canterbury School District",="Hispanic or Latino",1,1.8
="Capitol Region Education Council",="Hispanic or Latino",17,4.8
="Cheshire School District",="Hispanic or Latino",1,0.3
="Colchester School District",="Hispanic or Latino",2,0.7
="Columbia School District",="Hispanic or Latino",1,1.5
="Connecticut Technical High School System",="Hispanic or Latino",71,5.4
="Cooperative Educational Services",="Hispanic or Latino",2,1.6
="Coventry School District",="Hispanic or Latino",2,1.1
="Danbury School District",="Hispanic or Latino",28,3.3
="Darien School District",="Hispanic or Latino",7,1.7
="Deep River School District",="Hispanic or Latino",1,2.1
="Derby School District",="Hispanic or Latino",2,1.6
="East Haddam School District",="Hispanic or Latino",1,0.8
="East Hampton School District",="Hispanic or Latino",1,0.6
="East Hartford School District",="Hispanic or Latino",14,2.1
="East Haven School District",="Hispanic or Latino",3,0.9
="East Lyme School District",="Hispanic or Latino",3,1.0
="East Windsor School District",="Hispanic or Latino",2,1.6
="Easton School District",="Hispanic or Latino",2,1.9
="Ellington School District",="Hispanic or Latino",4,1.9
="Elm City College Preparatory School",="Hispanic or Latino",1,6.3
="Enfield School District",="Hispanic or Latino",4,0.7
="Essex School District",="Hispanic or Latino",2,3.4
="Fairfield School District",="Hispanic or Latino",12,1.3
="Farmington School District",="Hispanic or Latino",6,1.5
="Glastonbury School District",="Hispanic or Latino",9,1.6
="Granby School District",="Hispanic or Latino",1,0.5
="Greenwich School District",="Hispanic or Latino",33,3.5
="Groton School District",="Hispanic or Latino",6,1.2
="Guilford School District",="Hispanic or Latino",1,0.3
