"Educator Race/Ethnicity Report for 2010-11"

"District","Race","Count","% of Total"
"Achievement First Hartford Academy Inc. District","Black or African American",5,8.2
="Amistad Academy District",="Black or African American",6,6.7
="Ansonia School District",="Black or African American",6,2.9
="Area Cooperative Educational Services",="Black or African American",12,4.3
="Avon School District",="Black or African American",2,0.7
="Bethel School District",="Black or African American",1,0.4
="Bloomfield School District",="Black or African American",52,20.5
="Branford School District",="Black or African American",1,0.3
="Bridgeport Achievement First District",="Black or African American",8,20.5
="Bridgeport School District",="Black or African American",227,13.3
="Bristol School District",="Black or African American",13,1.8
="Brookfield School District",="Black or African American",2,0.8
="Canterbury School District",="Black or African American",1,1.9
="Canton School District",="Black or African American",1,0.7
="Capitol Region Education Council",="Black or African American",42,7.3
="Charter School for Young Children on Asylum Hill District",="Black or African American",3,16.7
="Cheshire School District",="Black or African American",1,0.3
="Colchester School District",="Black or African American",2,0.7
="Common Ground High School District",="Black or African American",1,5.3
="Connecticut Technical High School System",="Black or African American",60,4.9
="Cooperative Educational Services",="Black or African American",4,2.5
="Coventry School District",="Black or African American",2,1.2
="Cromwell School District",="Black or African American",3,1.6
="Danbury School District",="Black or African American",38,4.5
="Darien School District",="Black or African American",1,0.2
="Derby School District",="Black or African American",1,0.8
="East Granby School District",="Black or African American",2,2.2
="East Hartford School District",="Black or African American",30,4.5
="East Windsor School District",="Black or African American",1,0.8
="Ellington School District",="Black or African American",1,0.5
="Elm City College Preparatory School District",="Black or African American",3,6.4
="Enfield School District",="Black or African American",5,1.0
="Explorations District",="Black or African American",1,11.1
="Fairfield School District",="Black or African American",5,0.5
="Farmington School District",="Black or African American",6,1.6
="Glastonbury School District",="Black or African American",5,0.9
="Greenwich School District",="Black or African American",28,2.9
="Groton School District",="Black or African American",11,2.2
="Guilford School District",="Black or African American",3,0.9
="Hamden School District",="Black or African American",35,6.0
="Hartford School District",="Black or African American",267,14.3
="Hebron School District",="Black or African American",1,1.0
="Highville Charter School District",="Black or African American",2,9.1
="Interdistrict School for Arts and Comm District",="Black or African American",1,4.4
="Jumoke Academy District",="Black or African American",12,38.7
="Learn",="Black or African American",2,1.4
="Ledyard School District",="Black or African American",1,0.4
="Madison School District",="Black or African American",1,0.3
="Manchester School District",="Black or African American",30,4.6
="Mansfield School District",="Black or African American",2,1.4
="Meriden School District",="Black or African American",9,1.3
="Middletown School District",="Black or African American",14,3.1
="Milford School District",="Black or African American",4,0.6
="Montville School District",="Black or African American",2,0.8
="Naugatuck School District",="Black or African American",1,0.3
="New Beginnings Inc Family Academy District",="Black or African American",5,16.7
="New Britain School District",="Black or African American",44,5.3
="New Haven School District",="Black or African American",328,17.0
="New London School District",="Black or African American",20,7.0
="New Milford School District",="Black or African American",1,0.3
="Newington School District",="Black or African American",6,1.5
="Newtown School District",="Black or African American",1,0.2
="North Haven School District",="Black or African American",4,1.2
="Norwalk School District",="Black or African American",69,7.2
="Norwich Free Academy District",="Black or African American",9,4.8
="Norwich School District",="Black or African American",8,2.7
="Orange School District",="Black or African American",1,0.8
="Oxford School District",="Black or African American",2,1.2
="Park City Prep Charter School District",="Black or African American",1,5.3
="Plainville School District",="Black or African American",1,0.4
="Preston School District",="Black or African American",1,2.1
="Redding School District",="Black or African American",1,0.8
="Regional School District 05",="Black or African American",1,0.4
="Regional School District 07",="Black or African American",1,1.0
="Regional School District 08",="Black or African American",1,0.6
="Regional School District 10",="Black or African American",2,0.8
="Regional School District 15",="Black or African American",2,0.5
="Regional School District 17",="Black or African American",1,0.4
="Regional School District 18",="Black or African American",1,0.6
="Ridgefield School District",="Black or African American",1,0.2
="Simsbury School District",="Black or African American",2,0.5
="Somers School District",="Black or African American",1,0.6
="South Windsor School District",="Black or African American",4,1.0
="Southington School District",="Black or African American",3,0.5
="Stamford Academy District",="Black or African American",1,7.7
="Stamford School District",="Black or African American",97,6.6
="Stonington School District",="Black or African American",2,0.8
="Stratford School District",="Black or African American",17,2.8
="Suffield School District",="Black or African American",2,0.9
="The Bridge Academy District",="Black or African American",2,9.5
="Thomaston School District",="Black or African American",1,1.0
="Thompson School District",="Black or African American",1,0.9
="Tolland School District",="Black or African American",1,0.4
="Torrington School District",="Black or African American",2,0.5
="Trailblazers Academy District",="Black or African American",1,4.8
="Trumbull School District",="Black or African American",1,0.2
="Unified School District #1",="Black or African American",14,7.2
="Unified School District #2",="Black or African American",7,7.4
="Vernon School District",="Black or African American",5,1.4
="Wallingford School District",="Black or African American",7,1.2
="Waterbury School District",="Black or African American",61,3.8
="Waterford School District",="Black or African American",2,0.8
="West Hartford School District",="Black or African American",19,2.0
="West Haven School District",="Black or African American",19,3.4
="Weston School District",="Black or African American",1,0.4
="Westport School District",="Black or African American",2,0.3
="Wethersfield School District",="Black or African American",5,1.6
="Wilton School District",="Black or African American",2,0.5
="Windham School District",="Black or African American",1,0.3
="Windsor Locks School District",="Black or African American",4,2.1
="Windsor School District",="Black or African American",32,7.5
="Wolcott School District",="Black or African American",2,0.8

