"Educator Race/Ethnicity Report for 2007-08"

"District","Race","Count","% of Total"
"Amistad Academy District","Black or African American",9,20.9
="Ansonia School District",="Black or African American",7,3.4
="Area Cooperative Educational Services",="Black or African American",14,4.8
="Avon School District",="Black or African American",1,0.3
="Bethel School District",="Black or African American",1,0.4
="Bloomfield School District",="Black or African American",61,23.7
="Branford School District",="Black or African American",1,0.3
="Bridgeport Achievement First District",="Black or African American",5,62.5
="Bridgeport School District",="Black or African American",255,14.6
="Bristol School District",="Black or African American",8,1.1
="Brookfield School District",="Black or African American",2,0.8
="Canterbury School District",="Black or African American",1,1.9
="Capitol Region Education Council",="Black or African American",21,5.6
="Cheshire School District",="Black or African American",3,0.7
="Colchester School District",="Black or African American",1,0.4
="Connecticut Technical High School System",="Black or African American",66,5.0
="Cooperative Educational Services",="Black or African American",4,2.8
="Coventry School District",="Black or African American",1,0.6
="Cromwell School District",="Black or African American",3,1.6
="Danbury School District",="Black or African American",38,4.4
="Darien School District",="Black or African American",1,0.2
="Department of Social Services",="Black or African American",1,3.1
="Derby School District",="Black or African American",1,0.8
="East Granby School District",="Black or African American",2,2.3
="East Hampton School District",="Black or African American",1,0.6
="East Hartford School District",="Black or African American",30,4.6
="East Windsor School District",="Black or African American",1,0.8
="EdAdvance",="Black or African American",1,4.4
="Ellington School District",="Black or African American",2,0.9
="Elm City College Preparatory School",="Black or African American",7,18.4
="Enfield School District",="Black or African American",6,1.1
="Fairfield School District",="Black or African American",6,0.6
="Farmington School District",="Black or African American",6,1.5
="Glastonbury School District",="Black or African American",5,0.9
="Granby School District",="Black or African American",1,0.5
="Greenwich School District",="Black or African American",31,3.3
="Groton School District",="Black or African American",11,2.2
="Guilford School District",="Black or African American",3,0.9
="Hamden School District",="Black or African American",30,5.4
="Hartford School District",="Black or African American",334,15.4
="Hebron School District",="Black or African American",1,1.0
="Jumoke Academy District",="Black or African American",4,19.1
="Learn",="Black or African American",2,1.6
="Ledyard School District",="Black or African American",2,0.8
="Madison School District",="Black or African American",1,0.3
="Manchester School District",="Black or African American",28,4.2
="Mansfield School District",="Black or African American",2,1.4
="Meriden School District",="Black or African American",9,1.2
="Middletown School District",="Black or African American",16,3.5
="Milford School District",="Black or African American",5,0.7
="Montville School District",="Black or African American",2,0.7
="Naugatuck School District",="Black or African American",2,0.5
="New Beginnings Inc Family Academy District",="Black or African American",5,17.9
="New Britain School District",="Black or African American",45,5.2
="New Canaan School District",="Black or African American",3,0.7
="New Haven School District",="Black or African American",339,18.3
="New London School District",="Black or African American",23,8.0
="Newington School District",="Black or African American",5,1.3
="Newtown School District",="Black or African American",2,0.4
="North Haven School District",="Black or African American",3,0.9
="Norwalk School District",="Black or African American",72,7.5
="Norwich Free Academy District",="Black or African American",8,4.2
="Norwich School District",="Black or African American",5,1.5
="Park City Prep Charter School District",="Black or African American",3,25.0
="Plainville School District",="Black or African American",1,0.4
="Preston School District",="Black or African American",1,1.9
="Putnam School District",="Black or African American",1,0.8
="Redding School District",="Black or African American",1,0.8
="Regional School District 05",="Black or African American",1,0.4
="Regional School District 07",="Black or African American",1,0.9
="Regional School District 08",="Black or African American",1,0.6
="Regional School District 10",="Black or African American",2,0.8
="Regional School District 15",="Black or African American",3,0.8
="Regional School District 17",="Black or African American",1,0.4
="Ridgefield School District",="Black or African American",1,0.2
="Simsbury School District",="Black or African American",2,0.5
="Somers School District",="Black or African American",1,0.6
="South Windsor School District",="Black or African American",6,1.4
="Southington School District",="Black or African American",4,0.7
="Stamford Academy District",="Black or African American",1,8.3
="Stamford School District",="Black or African American",104,7.0
="Stonington School District",="Black or African American",2,0.9
="Stratford School District",="Black or African American",14,2.2
="Suffield School District",="Black or African American",1,0.4
="The Bridge Academy District",="Black or African American",1,4.6
="Thompson School District",="Black or African American",1,0.8
="Tolland School District",="Black or African American",2,0.8
="Torrington School District",="Black or African American",3,0.7
="Trumbull School District",="Black or African American",2,0.3
="Unified School District #1",="Black or African American",14,6.5
="Unified School District #2",="Black or African American",8,6.9
="Vernon School District",="Black or African American",3,0.9
="Wallingford School District",="Black or African American",7,1.1
="Waterbury School District",="Black or African American",57,3.6
="Waterford School District",="Black or African American",2,0.7
="West Hartford School District",="Black or African American",23,2.4
="West Haven School District",="Black or African American",21,3.6
="Weston School District",="Black or African American",2,0.8
="Westport School District",="Black or African American",4,0.7
="Wethersfield School District",="Black or African American",7,2.2
="Wilton School District",="Black or African American",2,0.5
="Windham School District",="Black or African American",2,0.5
="Windsor Locks School District",="Black or African American",4,2.1
="Windsor School District",="Black or African American",26,5.9
="Wolcott School District",="Black or African American",1,0.4

