"Educator Race/Ethnicity Report for 2012-13"

"District","Race","Count","% of Total"
"Achievement First Hartford Academy Inc. District","Hispanic or Latino",4,4.7
="Amistad Academy District",="Hispanic or Latino",4,4.2
="Ansonia School District",="Hispanic or Latino",4,2.0
="Area Cooperative Educational Services",="Hispanic or Latino",8,2.9
="Avon School District",="Hispanic or Latino",3,1.0
="Berlin School District",="Hispanic or Latino",2,0.7
="Bethel School District",="Hispanic or Latino",1,0.4
="Bloomfield School District",="Hispanic or Latino",7,2.7
="Bolton School District",="Hispanic or Latino",1,1.1
="Branford School District",="Hispanic or Latino",6,1.8
="Bridgeport Achievement First District",="Hispanic or Latino",5,8.1
="Bridgeport School District",="Hispanic or Latino",176,11.1
="Bristol School District",="Hispanic or Latino",14,2.1
="Brookfield School District",="Hispanic or Latino",4,1.6
="Capitol Region Education Council",="Hispanic or Latino",49,6.3
="Cheshire School District",="Hispanic or Latino",6,1.5
="Clinton School District",="Hispanic or Latino",2,1.0
="Colchester School District",="Hispanic or Latino",3,1.2
="Columbia School District",="Hispanic or Latino",1,1.9
="Connecticut Technical High School System",="Hispanic or Latino",68,5.5
="Cooperative Educational Services",="Hispanic or Latino",6,3.5
="Coventry School District",="Hispanic or Latino",2,1.1
="Cromwell School District",="Hispanic or Latino",4,2.2
="Danbury School District",="Hispanic or Latino",43,5.1
="Darien School District",="Hispanic or Latino",10,2.0
="Deep River School District",="Hispanic or Latino",1,2.4
="Derby School District",="Hispanic or Latino",3,2.4
="East Granby School District",="Hispanic or Latino",1,1.0
="East Hampton School District",="Hispanic or Latino",3,1.7
="East Hartford School District",="Hispanic or Latino",30,4.6
="East Haven School District",="Hispanic or Latino",2,0.7
="East Lyme School District",="Hispanic or Latino",1,0.4
="East Windsor School District",="Hispanic or Latino",1,0.7
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Hispanic or Latino",3,3.1
="Easton School District",="Hispanic or Latino",1,1.0
="Ellington School District",="Hispanic or Latino",2,0.9
="Enfield School District",="Hispanic or Latino",5,1.0
="Essex School District",="Hispanic or Latino",1,1.6
="Fairfield School District",="Hispanic or Latino",20,2.0
="Farmington School District",="Hispanic or Latino",8,2.1
="Glastonbury School District",="Hispanic or Latino",10,1.7
="Granby School District",="Hispanic or Latino",2,1.0
="Greenwich School District",="Hispanic or Latino",41,4.3
="Griswold School District",="Hispanic or Latino",2,1.1
="Groton School District",="Hispanic or Latino",10,2.1
="Guilford School District",="Hispanic or Latino",3,0.9
="Hamden School District",="Hispanic or Latino",17,2.9
="Hartford School District",="Hispanic or Latino",210,10.7
="Highville Charter School District",="Hispanic or Latino",1,3.2
="Integrated Day Charter School District",="Hispanic or Latino",1,3.6
="Jumoke Academy District",="Hispanic or Latino",4,11.1
="Learn",="Hispanic or Latino",11,6.0
="Lebanon School District",="Hispanic or Latino",2,1.7
="Ledyard School District",="Hispanic or Latino",3,1.3
="Litchfield School District",="Hispanic or Latino",3,2.6
="Madison School District",="Hispanic or Latino",4,1.2
="Manchester School District",="Hispanic or Latino",15,2.3
="Mansfield School District",="Hispanic or Latino",1,0.7
="Meriden School District",="Hispanic or Latino",51,7.5
="Middletown School District",="Hispanic or Latino",13,2.9
="Milford School District",="Hispanic or Latino",1,0.2
="Monroe School District",="Hispanic or Latino",5,1.6
="Montville School District",="Hispanic or Latino",3,1.2
="Naugatuck School District",="Hispanic or Latino",6,1.6
="New Beginnings Inc Family Academy District",="Hispanic or Latino",2,6.1
="New Britain School District",="Hispanic or Latino",92,11.9
="New Canaan School District",="Hispanic or Latino",7,1.6
="New Fairfield School District",="Hispanic or Latino",4,1.6
="New Hartford School District",="Hispanic or Latino",1,2.0
="New Haven School District",="Hispanic or Latino",152,7.7
="New London School District",="Hispanic or Latino",29,11.3
="New Milford School District",="Hispanic or Latino",9,2.3
="Newington School District",="Hispanic or Latino",5,1.3
="Newtown School District",="Hispanic or Latino",9,2.0
="North Branford School District",="Hispanic or Latino",1,0.5
="North Haven School District",="Hispanic or Latino",7,2.2
="North Stonington School District",="Hispanic or Latino",1,1.1
="Norwalk School District",="Hispanic or Latino",59,6.5
="Norwich Free Academy District",="Hispanic or Latino",5,2.6
="Norwich School District",="Hispanic or Latino",1,0.4
="Odyssey Community School District",="Hispanic or Latino",1,3.1
="Oxford School District",="Hispanic or Latino",3,1.8
="Park City Prep Charter School District",="Hispanic or Latino",1,5.0
="Plainville School District",="Hispanic or Latino",3,1.2
="Plymouth School District",="Hispanic or Latino",2,1.3
="Putnam School District",="Hispanic or Latino",1,0.8
="Redding School District",="Hispanic or Latino",2,1.5
="Regional School District 04",="Hispanic or Latino",1,1.0
="Regional School District 05",="Hispanic or Latino",9,3.7
="Regional School District 06",="Hispanic or Latino",1,0.9
="Regional School District 07",="Hispanic or Latino",1,0.9
="Regional School District 08",="Hispanic or Latino",4,2.3
="Regional School District 09",="Hispanic or Latino",1,1.0
="Regional School District 10",="Hispanic or Latino",2,0.8
="Regional School District 11",="Hispanic or Latino",1,2.5
="Regional School District 12",="Hispanic or Latino",3,2.7
="Regional School District 13",="Hispanic or Latino",3,1.4
="Regional School District 14",="Hispanic or Latino",3,1.6
="Regional School District 15",="Hispanic or Latino",5,1.3
="Regional School District 16",="Hispanic or Latino",2,0.9
="Regional School District 17",="Hispanic or Latino",1,0.5
="Regional School District 19",="Hispanic or Latino",2,1.6
="Ridgefield School District",="Hispanic or Latino",6,1.3
="Rocky Hill School District",="Hispanic or Latino",7,3.0
="Salem School District",="Hispanic or Latino",1,2.1
="Salisbury School District",="Hispanic or Latino",1,2.3
="Seymour School District",="Hispanic or Latino",1,0.5
="Shelton School District",="Hispanic or Latino",4,1.0
="Sherman School District",="Hispanic or Latino",1,2.2
="Simsbury School District",="Hispanic or Latino",3,0.7
="Somers School District",="Hispanic or Latino",2,1.3
="South Windsor School District",="Hispanic or Latino",6,1.5
="Southington School District",="Hispanic or Latino",5,0.9
="Stafford School District",="Hispanic or Latino",2,1.1
="Stamford School District",="Hispanic or Latino",80,5.5
="Stonington School District",="Hispanic or Latino",1,0.4
="Stratford School District",="Hispanic or Latino",16,2.6
="Suffield School District",="Hispanic or Latino",5,2.2
="The Bridge Academy District",="Hispanic or Latino",2,9.5
="Thompson School District",="Hispanic or Latino",1,0.9
="Tolland School District",="Hispanic or Latino",5,2.0
="Torrington School District",="Hispanic or Latino",13,3.3
="Trumbull School District",="Hispanic or Latino",12,2.0
="Unified School District #1",="Hispanic or Latino",6,3.6
="Unified School District #2",="Hispanic or Latino",1,1.0
="Vernon School District",="Hispanic or Latino",7,1.9
="Wallingford School District",="Hispanic or Latino",9,1.5
="Waterbury School District",="Hispanic or Latino",119,7.2
="Waterford School District",="Hispanic or Latino",5,2.0
="Watertown School District",="Hispanic or Latino",3,1.2
="West Hartford School District",="Hispanic or Latino",25,2.6
="West Haven School District",="Hispanic or Latino",12,2.1
="Westbrook School District",="Hispanic or Latino",2,1.8
="Weston School District",="Hispanic or Latino",3,1.3
="Westport School District",="Hispanic or Latino",14,2.3
="Wethersfield School District",="Hispanic or Latino",6,1.9
="Willington School District",="Hispanic or Latino",2,3.5
="Wilton School District",="Hispanic or Latino",8,2.0
="Windham School District",="Hispanic or Latino",26,8.0
="Windsor Locks School District",="Hispanic or Latino",3,1.7
="Windsor School District",="Hispanic or Latino",10,2.5
="Wolcott School District",="Hispanic or Latino",1,0.4
="Woodbridge School District",="Hispanic or Latino",2,2.6
="Woodstock Academy District",="Hispanic or Latino",2,1.9

