"Educator Race/Ethnicity Report for 2007-08"

"District","Race","Count","% of Total"
"Amistad Academy District","Asian",3,7.0
="Ansonia School District",="Asian",1,0.5
="Area Cooperative Educational Services",="Asian",1,0.3
="Avon School District",="Asian",1,0.3
="Berlin School District",="Asian",3,1.1
="Bethel School District",="Asian",1,0.4
="Bloomfield School District",="Asian",1,0.4
="Bridgeport School District",="Asian",41,2.4
="Bristol School District",="Asian",6,0.8
="Brookfield School District",="Asian",2,0.8
="Canaan School District",="Asian",1,4.2
="Canterbury School District",="Asian",1,1.9
="Canton School District",="Asian",1,0.7
="Capitol Region Education Council",="Asian",5,1.3
="Cheshire School District",="Asian",5,1.2
="Chester School District",="Asian",1,2.3
="Connecticut Technical High School System",="Asian",12,0.9
="Cooperative Educational Services",="Asian",1,0.7
="Danbury School District",="Asian",6,0.7
="Darien School District",="Asian",5,1.1
="Derby School District",="Asian",1,0.8
="East Hartford School District",="Asian",8,1.2
="East Lyme School District",="Asian",2,0.7
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Asian",2,3.0
="EdAdvance",="Asian",1,4.4
="Ellington School District",="Asian",2,0.9
="Elm City College Preparatory School",="Asian",1,2.6
="Enfield School District",="Asian",4,0.7
="Fairfield School District",="Asian",7,0.7
="Farmington School District",="Asian",3,0.8
="Glastonbury School District",="Asian",4,0.7
="Granby School District",="Asian",1,0.5
="Greenwich School District",="Asian",15,1.6
="Griswold School District",="Asian",1,0.5
="Groton School District",="Asian",9,1.8
="Guilford School District",="Asian",1,0.3
="Hamden School District",="Asian",5,0.9
="Hartford School District",="Asian",21,1.0
="Killingly School District",="Asian",3,1.1
="Learn",="Asian",1,0.8
="Lebanon School District",="Asian",2,1.5
="Ledyard School District",="Asian",1,0.4
="Litchfield School District",="Asian",1,0.8
="Madison School District",="Asian",3,0.9
="Manchester School District",="Asian",3,0.5
="Marlborough School District",="Asian",1,1.8
="Meriden School District",="Asian",3,0.4
="Middletown School District",="Asian",6,1.3
="Milford School District",="Asian",1,0.1
="Monroe School District",="Asian",1,0.3
="Montville School District",="Asian",2,0.7
="Naugatuck School District",="Asian",1,0.2
="New Beginnings Inc Family Academy District",="Asian",1,3.6
="New Britain School District",="Asian",10,1.2
="New Canaan School District",="Asian",3,0.7
="New Fairfield School District",="Asian",1,0.4
="New Haven School District",="Asian",24,1.3
="New London School District",="Asian",3,1.1
="Newington School District",="Asian",3,0.8
="North Haven School District",="Asian",2,0.6
="Norwalk School District",="Asian",11,1.2
="Norwich Free Academy District",="Asian",3,1.6
="Norwich School District",="Asian",4,1.2
="Old Saybrook School District",="Asian",1,0.6
="Orange School District",="Asian",1,0.8
="Plainville School District",="Asian",1,0.4
="Plymouth School District",="Asian",1,0.7
="Redding School District",="Asian",1,0.8
="Regional School District 01",="Asian",1,1.5
="Regional School District 04",="Asian",1,1.0
="Regional School District 10",="Asian",1,0.4
="Regional School District 18",="Asian",3,1.8
="Ridgefield School District",="Asian",2,0.4
="Rocky Hill School District",="Asian",1,0.4
="Salisbury School District",="Asian",1,2.2
="Seymour School District",="Asian",1,0.5
="Shelton School District",="Asian",2,0.4
="Sherman School District",="Asian",1,2.1
="Simsbury School District",="Asian",6,1.4
="Somers School District",="Asian",1,0.6
="South Windsor School District",="Asian",1,0.2
="Southington School District",="Asian",1,0.2
="Sprague School District",="Asian",1,3.0
="Stafford School District",="Asian",1,0.6
="Stamford School District",="Asian",27,1.8
="Stonington School District",="Asian",2,0.9
="Stratford School District",="Asian",3,0.5
="Suffield School District",="Asian",1,0.4
="Tolland School District",="Asian",1,0.4
="Torrington School District",="Asian",1,0.2
="Trumbull School District",="Asian",5,0.8
="Unified School District #1",="Asian",2,0.9
="Unified School District #2",="Asian",2,1.7
="Vernon School District",="Asian",2,0.6
="Wallingford School District",="Asian",1,0.2
="Waterbury School District",="Asian",11,0.7
="Waterford School District",="Asian",1,0.4
="West Hartford School District",="Asian",7,0.7
="West Haven School District",="Asian",1,0.2
="Weston School District",="Asian",3,1.2
="Westport School District",="Asian",3,0.5
="Wethersfield School District",="Asian",3,0.9
="Wilton School District",="Asian",1,0.3
="Windham School District",="Asian",4,1.1
="Windsor Locks School District",="Asian",1,0.5
="Windsor School District",="Asian",4,0.9
="Wolcott School District",="Asian",1,0.4
="Woodbridge School District",="Asian",1,1.2
="Woodstock Academy District",="Asian",1,1.0
="Woodstock School District",="Asian",1,1.3

