"Educator Race/Ethnicity Report for 2005-06"

"District","Race","Count","% of Total"
"Amistad Academy District","Hispanic or Latino",2,9.1
="Ansonia School District",="Hispanic or Latino",2,1.0
="Area Cooperative Educational Services",="Hispanic or Latino",10,3.4
="Avon School District",="Hispanic or Latino",1,0.4
="Berlin School District",="Hispanic or Latino",1,0.4
="Bethel School District",="Hispanic or Latino",1,0.4
="Bloomfield School District",="Hispanic or Latino",3,1.2
="Bolton School District",="Hispanic or Latino",1,1.0
="Bozrah School District",="Hispanic or Latino",1,3.5
="Branford School District",="Hispanic or Latino",4,1.2
="Bridgeport School District",="Hispanic or Latino",163,9.4
="Bristol School District",="Hispanic or Latino",9,1.3
="Brookfield School District",="Hispanic or Latino",3,1.2
="Brooklyn School District",="Hispanic or Latino",1,1.2
="Canterbury School District",="Hispanic or Latino",1,1.9
="Capitol Region Education Council",="Hispanic or Latino",13,3.8
="Cheshire School District",="Hispanic or Latino",3,0.7
="Colchester School District",="Hispanic or Latino",3,1.1
="Columbia School District",="Hispanic or Latino",1,1.5
="Common Ground High School District",="Hispanic or Latino",1,8.3
="Connecticut Technical High School System",="Hispanic or Latino",65,4.9
="Cooperative Educational Services",="Hispanic or Latino",2,1.5
="Coventry School District",="Hispanic or Latino",2,1.1
="Danbury School District",="Hispanic or Latino",32,3.9
="Darien School District",="Hispanic or Latino",7,1.6
="Deep River School District",="Hispanic or Latino",1,2.3
="Derby School District",="Hispanic or Latino",2,1.6
="East Hampton School District",="Hispanic or Latino",1,0.6
="East Hartford School District",="Hispanic or Latino",20,3.0
="East Haven School District",="Hispanic or Latino",4,1.3
="East Lyme School District",="Hispanic or Latino",4,1.4
="East Windsor School District",="Hispanic or Latino",1,0.8
="Easton School District",="Hispanic or Latino",1,1.0
="Ellington School District",="Hispanic or Latino",3,1.4
="Elm City College Preparatory School",="Hispanic or Latino",1,4.8
="Enfield School District",="Hispanic or Latino",4,0.7
="Essex School District",="Hispanic or Latino",2,3.4
="Fairfield School District",="Hispanic or Latino",15,1.6
="Farmington School District",="Hispanic or Latino",7,1.8
="Glastonbury School District",="Hispanic or Latino",8,1.4
="Granby School District",="Hispanic or Latino",1,0.5
="Greenwich School District",="Hispanic or Latino",33,3.5
="Groton School District",="Hispanic or Latino",5,1.0
="Guilford School District",="Hispanic or Latino",1,0.3
="Hamden School District",="Hispanic or Latino",16,2.8
="Hartford School District",="Hispanic or Latino",331,14.9
="Hartland School District",="Hispanic or Latino",1,3.6
="Hebron School District",="Hispanic or Latino",1,1.0
="Highville Mustard Seed Charter School District",="Hispanic or Latino",2,10.0
="Interdistrict School for Arts and Comm District",="Hispanic or Latino",1,6.3
="Killingly School District",="Hispanic or Latino",1,0.4
="Learn",="Hispanic or Latino",6,4.8
="Lebanon School District",="Hispanic or Latino",2,1.5
="Ledyard School District",="Hispanic or Latino",3,1.2
="Madison School District",="Hispanic or Latino",1,0.3
="Manchester School District",="Hispanic or Latino",16,2.5
="Mansfield School District",="Hispanic or Latino",2,1.4
="Meriden School District",="Hispanic or Latino",51,6.9
="Middletown School District",="Hispanic or Latino",6,1.3
="Milford School District",="Hispanic or Latino",3,0.4
="Monroe School District",="Hispanic or Latino",3,0.9
="Montville School District",="Hispanic or Latino",4,1.5
="Naugatuck School District",="Hispanic or Latino",5,1.2
="New Beginnings Inc Family Academy District",="Hispanic or Latino",1,4.6
="New Britain School District",="Hispanic or Latino",92,10.8
="New Canaan School District",="Hispanic or Latino",3,0.7
="New Fairfield School District",="Hispanic or Latino",2,0.8
="New Hartford School District",="Hispanic or Latino",1,1.8
="New Haven School District",="Hispanic or Latino",134,7.4
="New London School District",="Hispanic or Latino",27,9.9
="New Milford School District",="Hispanic or Latino",5,1.3
="Newington School District",="Hispanic or Latino",4,1.0
="Newtown School District",="Hispanic or Latino",1,0.2
="North Haven School District",="Hispanic or Latino",4,1.2
="Norwalk School District",="Hispanic or Latino",55,5.9
="Norwich Free Academy District",="Hispanic or Latino",4,2.2
="Norwich School District",="Hispanic or Latino",1,0.3
="Old Saybrook School District",="Hispanic or Latino",1,0.6
="Orange School District",="Hispanic or Latino",1,0.8
="Oxford School District",="Hispanic or Latino",1,0.9
="Plainville School District",="Hispanic or Latino",1,0.4
="Plymouth School District",="Hispanic or Latino",1,0.6
="Putnam School District",="Hispanic or Latino",1,0.8
="Redding School District",="Hispanic or Latino",1,0.8
="Regional School District 04",="Hispanic or Latino",3,2.9
="Regional School District 05",="Hispanic or Latino",6,2.5
="Regional School District 06",="Hispanic or Latino",1,0.9
="Regional School District 07",="Hispanic or Latino",1,0.9
="Regional School District 08",="Hispanic or Latino",3,2.0
="Regional School District 09",="Hispanic or Latino",1,1.0
="Regional School District 10",="Hispanic or Latino",2,0.8
="Regional School District 12",="Hispanic or Latino",1,0.9
="Regional School District 13",="Hispanic or Latino",1,0.5
="Regional School District 14",="Hispanic or Latino",2,1.1
="Regional School District 15",="Hispanic or Latino",2,0.5
="Regional School District 16",="Hispanic or Latino",1,0.5
="Regional School District 17",="Hispanic or Latino",3,1.3
="Regional School District 19",="Hispanic or Latino",2,1.6
="Ridgefield School District",="Hispanic or Latino",7,1.6
="Rocky Hill School District",="Hispanic or Latino",3,1.3
="Salem School District",="Hispanic or Latino",1,1.8
="Shelton School District",="Hispanic or Latino",2,0.5
="Sherman School District",="Hispanic or Latino",1,2.1
="Simsbury School District",="Hispanic or Latino",3,0.7
="Somers School District",="Hispanic or Latino",2,1.3
="South Windsor School District",="Hispanic or Latino",8,2.0
="Southington School District",="Hispanic or Latino",3,0.5
="Sprague School District",="Hispanic or Latino",2,5.1
="Stafford School District",="Hispanic or Latino",2,1.1
="Stamford School District",="Hispanic or Latino",69,4.7
="Stonington School District",="Hispanic or Latino",1,0.5
="Stratford School District",="Hispanic or Latino",7,1.1
="Suffield School District",="Hispanic or Latino",5,2.4
