"Educator Race/Ethnicity Report for 2011-12"

"District","Race","Count","% of Total"
"Achievement First Hartford Academy Inc. District","Black or African American",11,15.5
="Amistad Academy District",="Black or African American",8,8.5
="Ansonia School District",="Black or African American",4,2.0
="Area Cooperative Educational Services",="Black or African American",11,4.0
="Avon School District",="Black or African American",2,0.7
="Bethel School District",="Black or African American",1,0.4
="Bloomfield School District",="Black or African American",50,19.7
="Branford School District",="Black or African American",1,0.3
="Bridgeport Achievement First District",="Black or African American",11,21.2
="Bridgeport School District",="Black or African American",217,13.2
="Bristol School District",="Black or African American",14,2.0
="Brookfield School District",="Black or African American",3,1.2
="Canterbury School District",="Black or African American",1,2.0
="Canton School District",="Black or African American",1,0.6
="Capitol Region Education Council",="Black or African American",55,8.5
="Charter School for Young Children on Asylum Hill District",="Black or African American",2,11.8
="Cheshire School District",="Black or African American",1,0.3
="Clinton School District",="Black or African American",1,0.5
="Colchester School District",="Black or African American",2,0.8
="Common Ground High School District",="Black or African American",1,5.0
="Connecticut Technical High School System",="Black or African American",56,4.7
="Cooperative Educational Services",="Black or African American",3,1.7
="Coventry School District",="Black or African American",2,1.2
="Cromwell School District",="Black or African American",3,1.6
="Danbury School District",="Black or African American",39,4.7
="Darien School District",="Black or African American",2,0.4
="Department of Social Services",="Black or African American",1,3.0
="East Granby School District",="Black or African American",2,2.2
="East Hartford School District",="Black or African American",32,4.8
="Ellington School District",="Black or African American",1,0.4
="Elm City College Preparatory School District",="Black or African American",6,11.1
="Enfield School District",="Black or African American",6,1.2
="Essex School District",="Black or African American",1,1.5
="Explorations District",="Black or African American",1,11.1
="Fairfield School District",="Black or African American",6,0.6
="Farmington School District",="Black or African American",7,1.9
="Glastonbury School District",="Black or African American",3,0.5
="Greenwich School District",="Black or African American",28,2.9
="Groton School District",="Black or African American",9,1.9
="Guilford School District",="Black or African American",3,0.9
="Hamden School District",="Black or African American",28,4.9
="Hartford School District",="Black or African American",269,14.1
="Hebron School District",="Black or African American",1,1.1
="Highville Charter School District",="Black or African American",2,8.7
="Jumoke Academy District",="Black or African American",11,35.5
="Learn",="Black or African American",2,1.3
="Ledyard School District",="Black or African American",1,0.4
="Madison School District",="Black or African American",1,0.3
="Manchester School District",="Black or African American",32,4.8
="Mansfield School District",="Black or African American",3,2.1
="Meriden School District",="Black or African American",10,1.5
="Middletown School District",="Black or African American",14,3.2
="Milford School District",="Black or African American",3,0.4
="Monroe School District",="Black or African American",1,0.3
="Montville School District",="Black or African American",1,0.4
="Naugatuck School District",="Black or African American",1,0.3
="New Beginnings Inc Family Academy District",="Black or African American",8,25.8
="New Britain School District",="Black or African American",41,5.1
="New Haven School District",="Black or African American",327,16.9
="New London School District",="Black or African American",23,7.8
="New Milford School District",="Black or African American",1,0.3
="Newington School District",="Black or African American",8,2.1
="Newtown School District",="Black or African American",1,0.2
="North Haven School District",="Black or African American",4,1.2
="Norwalk School District",="Black or African American",68,6.9
="Norwich Free Academy District",="Black or African American",9,4.8
="Norwich School District",="Black or African American",6,2.1
="Orange School District",="Black or African American",1,0.8
="Oxford School District",="Black or African American",2,1.2
="Park City Prep Charter School District",="Black or African American",3,15.0
="Plainville School District",="Black or African American",1,0.4
="Preston School District",="Black or African American",1,2.1
="Redding School District",="Black or African American",1,0.8
="Regional School District 05",="Black or African American",1,0.4
="Regional School District 08",="Black or African American",1,0.6
="Regional School District 10",="Black or African American",2,0.8
="Regional School District 15",="Black or African American",2,0.5
="Regional School District 17",="Black or African American",1,0.4
="Regional School District 18",="Black or African American",1,0.6
="Ridgefield School District",="Black or African American",1,0.2
="Seymour School District",="Black or African American",1,0.5
="Simsbury School District",="Black or African American",3,0.7
="Somers School District",="Black or African American",1,0.6
="South Windsor School District",="Black or African American",5,1.2
="Southington School District",="Black or African American",3,0.5
="Stamford Academy District",="Black or African American",1,5.3
="Stamford School District",="Black or African American",96,6.6
="Stonington School District",="Black or African American",1,0.4
="Stratford School District",="Black or African American",17,2.9
="Suffield School District",="Black or African American",2,0.9
="The Bridge Academy District",="Black or African American",2,10.5
="Thomaston School District",="Black or African American",1,0.9
="Tolland School District",="Black or African American",1,0.4
="Torrington School District",="Black or African American",2,0.5
="Trailblazers Academy District",="Black or African American",2,8.3
="Trumbull School District",="Black or African American",2,0.3
="Unified School District #1",="Black or African American",13,7.4
="Unified School District #2",="Black or African American",11,11.1
="Vernon School District",="Black or African American",6,1.7
="Wallingford School District",="Black or African American",7,1.2
="Waterbury School District",="Black or African American",62,3.9
="Waterford School District",="Black or African American",2,0.8
="West Hartford School District",="Black or African American",17,1.8
="West Haven School District",="Black or African American",18,3.2
="Weston School District",="Black or African American",1,0.4
="Westport School District",="Black or African American",2,0.3
="Wethersfield School District",="Black or African American",5,1.6
="Wilton School District",="Black or African American",2,0.5
="Windham School District",="Black or African American",2,0.6
="Windsor Locks School District",="Black or African American",4,2.2
="Windsor School District",="Black or African American",33,7.9
="Wolcott School District",="Black or African American",2,0.9

