"Educator Race/Ethnicity Report for 2005-06"

"District","Race","Count","% of Total"
"Amistad Academy District","White",16,72.7
="Andover School District",="White",35,100.0
="Ansonia School District",="White",190,94.1
="Area Cooperative Educational Services",="White",271,90.9
="Ashford School District",="White",51,100.0
="Avon School District",="White",272,99.6
="Barkhamsted School District",="White",34,100.0
="Berlin School District",="White",286,99.0
="Bethany School District",="White",54,100.0
="Bethel School District",="White",276,99.3
="Bloomfield School District",="White",191,73.8
="Bolton School District",="White",95,99.0
="Bozrah School District",="White",28,96.6
="Branford School District",="White",332,97.9
="Bridgeport School District",="White",1275,73.3
="Bristol School District",="White",692,96.5
="Brookfield School District",="White",254,97.3
="Brooklyn School District",="White",82,98.8
="Canaan School District",="White",24,100.0
="Canterbury School District",="White",51,94.4
="Canton School District",="White",147,98.7
="Capitol Region Education Council",="White",302,89.1
="Chaplin School District",="White",31,100.0
="Cheshire School District",="White",403,97.3
="Chester School District",="White",38,100.0
="Clinton School District",="White",212,100.0
="Colchester School District",="White",274,97.9
="Colebrook School District",="White",20,100.0
="Columbia School District",="White",65,98.5
="Common Ground High School District",="White",11,91.7
="Connecticut Technical High School System",="White",1172,87.7
="Cooperative Educational Services",="White",122,93.9
="Cornwall School District",="White",28,100.0
="Coventry School District",="White",178,98.3
="Cromwell School District",="White",171,98.8
="Danbury School District",="White",759,91.2
="Darien School District",="White",417,96.8
="Deep River School District",="White",43,97.7
="Derby School District",="White",124,97.6
="East Granby School District",="White",83,97.7
="East Haddam School District",="White",128,100.0
="East Hampton School District",="White",162,99.4
="East Hartford School District",="White",605,92.1
="East Haven School District",="White",310,98.7
="East Lyme School District",="White",287,97.6
="East Windsor School District",="White",121,99.2
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="White",57,98.3
="Eastford School District",="White",22,100.0
="Easton School District",="White",102,99.0
="EdAdvance",="White",17,100.0
="Ellington School District",="White",203,97.1
="Elm City College Preparatory School",="White",15,71.4
="Enfield School District",="White",556,97.4
="Essex School District",="White",57,96.6
="Explorations District",="White",7,100.0
="Fairfield School District",="White",928,97.2
="Farmington School District",="White",383,96.0
="Franklin School District",="White",25,100.0
="Glastonbury School District",="White",549,97.0
="Granby School District",="White",188,99.0
="Greenwich School District",="White",878,92.8
="Griswold School District",="White",190,99.5
="Groton School District",="White",481,95.6
="Guilford School District",="White",337,98.5
="Hamden School District",="White",512,90.6
="Hampton School District",="White",21,95.5
="Hartford School District",="White",1517,68.4
="Hartland School District",="White",27,96.4
="Hebron School District",="White",97,98.0
="Highville Mustard Seed Charter School District",="White",16,80.0
="Integrated Day Charter School District",="White",21,91.3
