"Educator Race/Ethnicity Report for 2008-09"

"District","Race","Count","% of Total"
"Achievement First Hartford Academy Inc. District","Hispanic or Latino",3,11.5
="Amistad Academy District",="Hispanic or Latino",1,1.6
="Ansonia School District",="Hispanic or Latino",5,2.4
="Area Cooperative Educational Services",="Hispanic or Latino",9,2.9
="Avon School District",="Hispanic or Latino",2,0.7
="Berlin School District",="Hispanic or Latino",2,0.7
="Bethel School District",="Hispanic or Latino",1,0.4
="Bloomfield School District",="Hispanic or Latino",3,1.2
="Bolton School District",="Hispanic or Latino",1,1.0
="Branford School District",="Hispanic or Latino",5,1.5
="Bridgeport School District",="Hispanic or Latino",177,10.0
="Bristol School District",="Hispanic or Latino",11,1.5
="Brookfield School District",="Hispanic or Latino",4,1.7
="Brooklyn School District",="Hispanic or Latino",1,1.2
="Capitol Region Education Council",="Hispanic or Latino",23,4.8
="Cheshire School District",="Hispanic or Latino",4,0.9
="Clinton School District",="Hispanic or Latino",2,0.9
="Colchester School District",="Hispanic or Latino",3,1.1
="Columbia School District",="Hispanic or Latino",2,3.1
="Connecticut Technical High School System",="Hispanic or Latino",65,4.9
="Cooperative Educational Services",="Hispanic or Latino",6,3.9
="Coventry School District",="Hispanic or Latino",3,1.7
="Cromwell School District",="Hispanic or Latino",2,1.1
="Danbury School District",="Hispanic or Latino",37,4.3
="Darien School District",="Hispanic or Latino",6,1.2
="Deep River School District",="Hispanic or Latino",2,4.6
="Department of Social Services",="Hispanic or Latino",1,3.0
="Derby School District",="Hispanic or Latino",4,3.2
="East Hampton School District",="Hispanic or Latino",2,1.1
="East Hartford School District",="Hispanic or Latino",28,4.1
="East Haven School District",="Hispanic or Latino",4,1.2
="East Windsor School District",="Hispanic or Latino",2,1.5
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Hispanic or Latino",2,2.6
="Eastford School District",="Hispanic or Latino",1,4.6
="Easton School District",="Hispanic or Latino",1,0.9
="Ellington School District",="Hispanic or Latino",2,0.9
="Elm City College Preparatory School",="Hispanic or Latino",3,6.0
="Enfield School District",="Hispanic or Latino",4,0.7
="Essex School District",="Hispanic or Latino",1,1.6
="Fairfield School District",="Hispanic or Latino",17,1.7
="Farmington School District",="Hispanic or Latino",8,2.0
="Glastonbury School District",="Hispanic or Latino",9,1.5
="Granby School District",="Hispanic or Latino",1,0.5
="Greenwich School District",="Hispanic or Latino",39,4.1
="Griswold School District",="Hispanic or Latino",2,1.0
="Groton School District",="Hispanic or Latino",10,2.0
="Guilford School District",="Hispanic or Latino",3,0.9
="Hamden School District",="Hispanic or Latino",15,2.6
="Hartford School District",="Hispanic or Latino",279,13.5
="Hebron School District",="Hispanic or Latino",1,1.0
="Highville Charter School District",="Hispanic or Latino",1,4.2
="Integrated Day Charter School District",="Hispanic or Latino",2,8.0
="Interdistrict School for Arts and Comm District",="Hispanic or Latino",1,5.0
="Jumoke Academy District",="Hispanic or Latino",1,3.5
="Learn",="Hispanic or Latino",4,3.2
="Lebanon School District",="Hispanic or Latino",2,1.5
="Ledyard School District",="Hispanic or Latino",3,1.2
="Litchfield School District",="Hispanic or Latino",1,0.8
="Madison School District",="Hispanic or Latino",2,0.6
="Manchester School District",="Hispanic or Latino",16,2.4
="Mansfield School District",="Hispanic or Latino",2,1.4
="Marlborough School District",="Hispanic or Latino",1,1.7
="Meriden School District",="Hispanic or Latino",51,7.1
="Middletown School District",="Hispanic or Latino",8,1.7
="Milford School District",="Hispanic or Latino",5,0.7
="Monroe School District",="Hispanic or Latino",3,0.9
="Montville School District",="Hispanic or Latino",3,1.1
="Naugatuck School District",="Hispanic or Latino",5,1.2
="New Beginnings Inc Family Academy District",="Hispanic or Latino",1,3.2
="New Britain School District",="Hispanic or Latino",98,11.5
="New Canaan School District",="Hispanic or Latino",7,1.7
="New Fairfield School District",="Hispanic or Latino",3,1.2
="New Hartford School District",="Hispanic or Latino",1,1.7
="New Haven School District",="Hispanic or Latino",144,7.7
="New London School District",="Hispanic or Latino",29,9.8
="New Milford School District",="Hispanic or Latino",4,1.0
="Newington School District",="Hispanic or Latino",4,1.0
="Newtown School District",="Hispanic or Latino",3,0.7
="North Branford School District",="Hispanic or Latino",1,0.5
="North Haven School District",="Hispanic or Latino",4,1.2
="Norwalk School District",="Hispanic or Latino",57,5.9
="Norwich Free Academy District",="Hispanic or Latino",4,2.1
="Norwich School District",="Hispanic or Latino",3,0.9
="Old Saybrook School District",="Hispanic or Latino",1,0.6
="Orange School District",="Hispanic or Latino",1,0.8
="Oxford School District",="Hispanic or Latino",1,0.6
="Plainville School District",="Hispanic or Latino",2,0.8
="Plymouth School District",="Hispanic or Latino",2,1.3
="Redding School District",="Hispanic or Latino",2,1.5
="Regional School District 04",="Hispanic or Latino",2,1.9
="Regional School District 05",="Hispanic or Latino",7,2.8
="Regional School District 06",="Hispanic or Latino",2,1.9
="Regional School District 07",="Hispanic or Latino",1,0.9
="Regional School District 08",="Hispanic or Latino",2,1.2
="Regional School District 09",="Hispanic or Latino",1,0.9
="Regional School District 10",="Hispanic or Latino",3,1.2
="Regional School District 11",="Hispanic or Latino",1,2.4
="Regional School District 12",="Hispanic or Latino",2,1.7
="Regional School District 13",="Hispanic or Latino",4,1.9
="Regional School District 14",="Hispanic or Latino",2,1.0
="Regional School District 15",="Hispanic or Latino",2,0.5
="Regional School District 16",="Hispanic or Latino",1,0.4
="Regional School District 17",="Hispanic or Latino",2,0.9
="Regional School District 19",="Hispanic or Latino",2,1.6
="Ridgefield School District",="Hispanic or Latino",6,1.3
="Rocky Hill School District",="Hispanic or Latino",6,2.6
="Salem School District",="Hispanic or Latino",1,1.8
="Shelton School District",="Hispanic or Latino",2,0.5
="Sherman School District",="Hispanic or Latino",1,2.1
="Simsbury School District",="Hispanic or Latino",4,0.9
="Somers School District",="Hispanic or Latino",2,1.2
="South Windsor School District",="Hispanic or Latino",8,1.9
="Southington School District",="Hispanic or Latino",4,0.7
="Sprague School District",="Hispanic or Latino",1,2.9
="Stafford School District",="Hispanic or Latino",2,1.1
="Stamford School District",="Hispanic or Latino",77,5.2
="Stonington School District",="Hispanic or Latino",1,0.4
="Stratford School District",="Hispanic or Latino",12,1.9
="Suffield School District",="Hispanic or Latino",6,2.6
="The Bridge Academy District",="Hispanic or Latino",3,13.0
="Thomaston School District",="Hispanic or Latino",2,1.8
="Tolland School District",="Hispanic or Latino",5,1.9
="Torrington School District",="Hispanic or Latino",8,2.0
="Trailblazers Academy District",="Hispanic or Latino",1,4.8
="Trumbull School District",="Hispanic or Latino",14,2.3
="Unified School District #1",="Hispanic or Latino",6,2.7
="Unified School District #2",="Hispanic or Latino",1,0.9
="Vernon School District",="Hispanic or Latino",7,2.0
="Wallingford School District",="Hispanic or Latino",4,0.6
="Waterbury School District",="Hispanic or Latino",119,7.5
="Waterford School District",="Hispanic or Latino",5,1.9
="Watertown School District",="Hispanic or Latino",3,1.1
="West Hartford School District",="Hispanic or Latino",25,2.6
="West Haven School District",="Hispanic or Latino",11,1.9
="Weston School District",="Hispanic or Latino",2,0.8
="Westport School District",="Hispanic or Latino",16,2.6
="Wethersfield School District",="Hispanic or Latino",8,2.4
="Willington School District",="Hispanic or Latino",2,3.2
="Wilton School District",="Hispanic or Latino",5,1.2
="Windham School District",="Hispanic or Latino",34,9.6
="Windsor Locks School District",="Hispanic or Latino",5,2.6
="Windsor School District",="Hispanic or Latino",7,1.6
="Wolcott School District",="Hispanic or Latino",4,1.6
="Woodbridge School District",="Hispanic or Latino",2,2.5
="Woodstock Academy District",="Hispanic or Latino",2,2.0

