"Educator Race/Ethnicity Report for 2006-07"

"District","Race","Count","% of Total"
"Amistad Academy District","Black or African American",7,20.6
="Ansonia School District",="Black or African American",10,4.9
="Area Cooperative Educational Services",="Black or African American",16,5.4
="Avon School District",="Black or African American",1,0.4
="Berlin School District",="Black or African American",1,0.3
="Bethel School District",="Black or African American",1,0.4
="Bloomfield School District",="Black or African American",58,22.5
="Branford School District",="Black or African American",2,0.6
="Bridgeport School District",="Black or African American",244,14.4
="Bristol School District",="Black or African American",8,1.1
="Brookfield School District",="Black or African American",2,0.8
="Canterbury School District",="Black or African American",1,1.8
="Canton School District",="Black or African American",1,0.7
="Capitol Region Education Council",="Black or African American",21,5.8
="Cheshire School District",="Black or African American",3,0.7
="Colchester School District",="Black or African American",1,0.4
="Connecticut Technical High School System",="Black or African American",69,5.1
="Cooperative Educational Services",="Black or African American",5,3.5
="Coventry School District",="Black or African American",1,0.6
="Cromwell School District",="Black or African American",3,1.7
="Danbury School District",="Black or African American",35,4.1
="Darien School District",="Black or African American",1,0.2
="Derby School District",="Black or African American",1,0.8
="East Granby School District",="Black or African American",2,2.3
="East Hampton School District",="Black or African American",2,1.2
="East Hartford School District",="Black or African American",26,4.0
="East Windsor School District",="Black or African American",1,0.8
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Black or African American",1,2.0
="Ellington School District",="Black or African American",2,0.9
="Elm City College Preparatory School",="Black or African American",6,23.1
="Enfield School District",="Black or African American",5,0.9
="Fairfield School District",="Black or African American",5,0.5
="Farmington School District",="Black or African American",5,1.3
="Glastonbury School District",="Black or African American",6,1.0
="Granby School District",="Black or African American",1,0.5
="Greenwich School District",="Black or African American",26,2.8
="Groton School District",="Black or African American",11,2.2
="Guilford School District",="Black or African American",3,0.9
="Hamden School District",="Black or African American",33,5.9
="Hartford School District",="Black or African American",359,15.9
="Hebron School District",="Black or African American",1,1.0
="Highville Mustard Seed Charter School District",="Black or African American",1,4.8
="Jumoke Academy District",="Black or African American",5,23.8
="Learn",="Black or African American",2,1.6
="Ledyard School District",="Black or African American",3,1.2
="Manchester School District",="Black or African American",26,3.9
="Mansfield School District",="Black or African American",2,1.4
="Meriden School District",="Black or African American",10,1.4
="Middletown School District",="Black or African American",15,3.3
="Milford School District",="Black or African American",5,0.7
="Montville School District",="Black or African American",1,0.4
="New Beginnings Inc Family Academy District",="Black or African American",5,19.2
="New Britain School District",="Black or African American",43,4.9
="New Canaan School District",="Black or African American",3,0.7
="New Haven School District",="Black or African American",339,18.7
="New London School District",="Black or African American",23,8.2
="Newington School District",="Black or African American",5,1.3
="Newtown School District",="Black or African American",2,0.4
="North Haven School District",="Black or African American",3,0.9
="Norwalk School District",="Black or African American",72,7.6
="Norwich Free Academy District",="Black or African American",7,3.7
="Norwich School District",="Black or African American",5,1.6
="Park City Prep Charter School District",="Black or African American",1,10.0
="Plainville School District",="Black or African American",1,0.4
="Preston School District",="Black or African American",1,1.9
="Putnam School District",="Black or African American",1,0.8
="Regional School District 05",="Black or African American",1,0.4
="Regional School District 07",="Black or African American",1,0.9
="Regional School District 08",="Black or African American",1,0.6
="Regional School District 10",="Black or African American",1,0.4
="Regional School District 14",="Black or African American",1,0.5
="Regional School District 15",="Black or African American",3,0.8
="Regional School District 17",="Black or African American",1,0.4
="Ridgefield School District",="Black or African American",1,0.2
="Seymour School District",="Black or African American",1,0.5
="Simsbury School District",="Black or African American",2,0.5
="Somers School District",="Black or African American",1,0.7
="South Windsor School District",="Black or African American",5,1.2
="Southington School District",="Black or African American",5,0.8
="Stamford Academy District",="Black or African American",2,18.2
="Stamford School District",="Black or African American",104,6.9
="Stonington School District",="Black or African American",2,0.9
="Stratford School District",="Black or African American",14,2.2
="Suffield School District",="Black or African American",2,0.9
="The Bridge Academy District",="Black or African American",1,4.8
="Thompson School District",="Black or African American",1,0.8
="Tolland School District",="Black or African American",2,0.8
="Torrington School District",="Black or African American",2,0.5
="Trumbull School District",="Black or African American",2,0.4
="Unified School District #1",="Black or African American",14,6.7
="Unified School District #2",="Black or African American",8,7.5
="Vernon School District",="Black or African American",3,0.8
="Wallingford School District",="Black or African American",5,0.8
="Waterbury School District",="Black or African American",58,3.7
="Waterford School District",="Black or African American",2,0.7
="West Hartford School District",="Black or African American",19,2.0
="West Haven School District",="Black or African American",24,4.1
="Weston School District",="Black or African American",2,0.8
="Westport School District",="Black or African American",4,0.7
="Wethersfield School District",="Black or African American",7,2.2
="Wilton School District",="Black or African American",2,0.5
="Windham School District",="Black or African American",2,0.5
="Windsor Locks School District",="Black or African American",4,2.1
="Windsor School District",="Black or African American",25,5.7
="Wolcott School District",="Black or African American",1,0.4

