"Educator Race/Ethnicity Report for 2002-03"

"District","Race","Count","% of Total"
"Amistad Academy District","Hispanic or Latino",2,10.0
="Ansonia School District",="Hispanic or Latino",1,0.6
="Area Cooperative Educational Services",="Hispanic or Latino",9,3.0
="Berlin School District",="Hispanic or Latino",2,0.7
="Bethel School District",="Hispanic or Latino",3,1.0
="Bloomfield School District",="Hispanic or Latino",3,1.3
="Bolton School District",="Hispanic or Latino",1,1.0
="Bozrah School District",="Hispanic or Latino",1,3.5
="Branford School District",="Hispanic or Latino",3,0.9
="Bridgeport School District",="Hispanic or Latino",166,9.6
="Bristol School District",="Hispanic or Latino",9,1.3
="Brookfield School District",="Hispanic or Latino",4,1.5
="Canterbury School District",="Hispanic or Latino",1,1.9
="Capitol Region Education Council",="Hispanic or Latino",10,3.7
="Cheshire School District",="Hispanic or Latino",2,0.5
="Colchester School District",="Hispanic or Latino",2,0.7
="Columbia School District",="Hispanic or Latino",1,1.5
="Common Ground High School District",="Hispanic or Latino",1,7.7
="Connecticut Technical High School System",="Hispanic or Latino",73,5.6
="Coventry School District",="Hispanic or Latino",3,1.7
="Cromwell School District",="Hispanic or Latino",1,0.6
="Danbury School District",="Hispanic or Latino",20,2.4
="Darien School District",="Hispanic or Latino",4,1.0
="Derby School District",="Hispanic or Latino",1,0.9
="East Granby School District",="Hispanic or Latino",2,2.4
="East Hampton School District",="Hispanic or Latino",1,0.6
="East Hartford School District",="Hispanic or Latino",7,1.1
="East Haven School District",="Hispanic or Latino",3,1.0
="East Lyme School District",="Hispanic or Latino",2,0.7
="East Windsor School District",="Hispanic or Latino",2,1.6
="Easton School District",="Hispanic or Latino",2,2.1
="Ellington School District",="Hispanic or Latino",3,1.4
="Enfield School District",="Hispanic or Latino",4,0.7
="Essex School District",="Hispanic or Latino",1,1.9
="Fairfield School District",="Hispanic or Latino",8,0.9
="Farmington School District",="Hispanic or Latino",8,2.1
="Glastonbury School District",="Hispanic or Latino",9,1.7
="Granby School District",="Hispanic or Latino",1,0.6
="Greenwich School District",="Hispanic or Latino",25,2.7
="Groton School District",="Hispanic or Latino",6,1.2
="Guilford School District",="Hispanic or Latino",1,0.3
="Hamden School District",="Hispanic or Latino",12,2.2
="Hartford School District",="Hispanic or Latino",336,15.4
="Highville Mustard Seed Charter School District",="Hispanic or Latino",2,10.5
="Killingly School District",="Hispanic or Latino",1,0.4
="Learn",="Hispanic or Latino",4,4.8
="Lebanon School District",="Hispanic or Latino",3,2.1
="Ledyard School District",="Hispanic or Latino",3,1.2
="Manchester School District",="Hispanic or Latino",18,2.7
="Mansfield School District",="Hispanic or Latino",1,0.7
="Meriden School District",="Hispanic or Latino",44,6.0
="Middletown School District",="Hispanic or Latino",4,0.9
="Milford School District",="Hispanic or Latino",5,0.7
="Monroe School District",="Hispanic or Latino",3,0.9
="Montville School District",="Hispanic or Latino",2,0.7
="Naugatuck School District",="Hispanic or Latino",3,0.7
="New Beginnings Inc Family Academy District",="Hispanic or Latino",1,7.1
="New Britain School District",="Hispanic or Latino",97,11.5
="New Canaan School District",="Hispanic or Latino",1,0.3
="New Fairfield School District",="Hispanic or Latino",1,0.4
="New Haven School District",="Hispanic or Latino",125,7.7
="New London School District",="Hispanic or Latino",27,8.6
="New Milford School District",="Hispanic or Latino",3,0.8
="Newington School District",="Hispanic or Latino",3,0.8
="North Haven School District",="Hispanic or Latino",4,1.2
="Norwalk School District",="Hispanic or Latino",51,5.5
="Norwich Free Academy District",="Hispanic or Latino",5,2.8
="Old Saybrook School District",="Hispanic or Latino",2,1.2
="Orange School District",="Hispanic or Latino",2,1.6
="Oxford School District",="Hispanic or Latino",1,0.9
="Plainfield School District",="Hispanic or Latino",1,0.5
="Plainville School District",="Hispanic or Latino",1,0.4
="Plymouth School District",="Hispanic or Latino",1,0.6
="Portland School District",="Hispanic or Latino",2,1.5
="Putnam School District",="Hispanic or Latino",2,1.4
="Redding School District",="Hispanic or Latino",1,0.8
="Regional School District 04",="Hispanic or Latino",2,2.0
="Regional School District 05",="Hispanic or Latino",6,2.6
="Regional School District 06",="Hispanic or Latino",1,0.9
="Regional School District 08",="Hispanic or Latino",3,2.0
="Regional School District 09",="Hispanic or Latino",1,1.1
="Regional School District 10",="Hispanic or Latino",1,0.4
="Regional School District 12",="Hispanic or Latino",1,0.9
="Regional School District 13",="Hispanic or Latino",1,0.5
="Regional School District 14",="Hispanic or Latino",1,0.5
="Regional School District 15",="Hispanic or Latino",2,0.5
="Regional School District 16",="Hispanic or Latino",2,1.0
="Regional School District 17",="Hispanic or Latino",2,0.9
="Regional School District 18",="Hispanic or Latino",1,0.6
="Regional School District 19",="Hispanic or Latino",4,3.2
="Ridgefield School District",="Hispanic or Latino",6,1.4
="Rocky Hill School District",="Hispanic or Latino",3,1.4
="Salem School District",="Hispanic or Latino",1,1.8
="Shelton School District",="Hispanic or Latino",2,0.5
="Sherman School District",="Hispanic or Latino",1,2.2
="Side By Side Charter School District",="Hispanic or Latino",1,6.3
="Simsbury School District",="Hispanic or Latino",3,0.7
="Somers School District",="Hispanic or Latino",3,2.0
="South Windsor School District",="Hispanic or Latino",2,0.5
="Southington School District",="Hispanic or Latino",1,0.2
="Stafford School District",="Hispanic or Latino",1,0.5
="Stamford School District",="Hispanic or Latino",53,3.6
="Stratford School District",="Hispanic or Latino",6,0.9
="Suffield School District",="Hispanic or Latino",3,1.6
="The Bridge Academy District",="Hispanic or Latino",3,21.4
="Thomaston School District",="Hispanic or Latino",4,3.7
="Tolland School District",="Hispanic or Latino",6,2.3
="Torrington School District",="Hispanic or Latino",9,2.3
="Trumbull School District",="Hispanic or Latino",7,1.3
="Unified School District #1",="Hispanic or Latino",8,3.9
="Unified School District #2",="Hispanic or Latino",3,2.6
="Vernon School District",="Hispanic or Latino",3,0.8
="Wallingford School District",="Hispanic or Latino",2,0.3
="Waterbury School District",="Hispanic or Latino",97,6.9
="Waterford School District",="Hispanic or Latino",2,0.7
="Watertown School District",="Hispanic or Latino",2,0.7
="West Hartford School District",="Hispanic or Latino",18,2.0
="West Haven School District",="Hispanic or Latino",8,1.4
="Westbrook School District",="Hispanic or Latino",3,3.0
="Weston School District",="Hispanic or Latino",2,0.9
="Westport School District",="Hispanic or Latino",10,1.8
="Wethersfield School District",="Hispanic or Latino",3,1.0
="Willington School District",="Hispanic or Latino",3,4.5
="Wilton School District",="Hispanic or Latino",2,0.6
="Winchester School District",="Hispanic or Latino",1,0.9
="Windham School District",="Hispanic or Latino",33,8.9
="Windsor Locks School District",="Hispanic or Latino",4,2.1
="Windsor School District",="Hispanic or Latino",7,1.6
="Wolcott School District",="Hispanic or Latino",1,0.4

