"CT School Day SAT, 2015-16"
"All Districts, Math, High Needs (F/R, EL or SWD)"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","High Needs (F, R, ELL or SWD)","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",30,"*","*",13,43.3,14,46.7,"*","*","*","*",537
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Y",76,39,51.3,27,35.5,10,13.2,0,0.0,10,13.2,426
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","N",58,"*","*",22,37.9,19,32.8,"*","*","*","*",482
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Y",31,"*","*",11,35.5,8,25.8,"*","*","*","*",481
"Avon School District","=""0040011""","Avon High School","=""0046111""","N",211,"*","*",33,15.6,92,43.6,"*","*","*","*",622
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Y",43,16,37.2,19,44.2,"*","*","*","*",8,18.6,457
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","N",186,"*","*",67,36.0,85,45.7,"*","*","*","*",541
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Y",45,14,31.1,15,33.3,"*","*","*","*",16,35.6,474
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","N",149,"*","*",42,28.2,78,52.3,"*","*","*","*",548
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Y",63,"*","*",36,57.1,"*","*",0,0.0,"*","*",441
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","N",74,18,24.3,40,54.1,"*","*","*","*","*","*",473
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Y",12,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","N",16,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","N",57,"*","*","*","*","*","*","*","*","*","*",543
"Branford School District","=""0140011""","Branford High School","=""0146111""","Y",71,27,38.0,31,43.7,"*","*","*","*",13,18.3,450
"Branford School District","=""0140011""","Branford High School","=""0146111""","N",161,"*","*",70,43.5,46,28.6,"*","*","*","*",527
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Y",27,"*","*","*","*","*","*",0,0.0,"*","*",494
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","N",8,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Y",130,27,20.8,74,56.9,20,15.4,9,6.9,29,22.3,483
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Y",119,79,66.4,"*","*","*","*",0,0.0,"*","*",391
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Y",134,49,36.6,72,53.7,"*","*","*","*",13,9.7,441
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Y",90,67,74.4,"*","*","*","*",0,0.0,"*","*",385
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Y",234,109,46.6,97,41.5,28,12.0,0,0.0,28,12.0,425
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Y",175,135,77.1,"*","*","*","*",0,0.0,"*","*",376
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Y",132,45,34.1,62,47.0,"*","*","*","*",25,18.9,454
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Y",114,29,25.4,59,51.8,"*","*","*","*",26,22.8,468
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","N",148,"*","*",62,41.9,59,39.9,"*","*","*","*",528
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Y",103,35,34.0,49,47.6,"*","*","*","*",19,18.4,457
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","N",182,"*","*",87,47.8,64,35.2,"*","*","*","*",501
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Y",40,"*","*",20,50.0,6,15.0,"*","*","*","*",462
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","N",182,"*","*",60,33.0,90,49.5,"*","*","*","*",560
"Canton School District","=""0230011""","Canton High School","=""0236111""","Y",24,"*","*",7,29.2,6,25.0,"*","*","*","*",462
"Canton School District","=""0230011""","Canton High School","=""0236111""","N",91,"*","*",28,30.8,42,46.2,"*","*","*","*",568
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","Y",19,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","N",9,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Y",27,"*","*","*","*",8,29.6,"*","*","*","*",487
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","N",40,"*","*","*","*",16,40.0,"*","*","*","*",653
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Y",50,"*","*",20,40.0,"*","*",0,0.0,"*","*",421
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","N",46,"*","*",27,58.7,"*","*",0,0.0,"*","*",496
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","Y",38,"*","*",27,71.1,"*","*","*","*","*","*",452
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","N",21,"*","*",15,71.4,"*","*",0,0.0,"*","*",494
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Y",40,24,60.0,14,35.0,"*","*","*","*","*","*",412
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","N",47,12,25.5,22,46.8,"*","*","*","*","*","*",480
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Y",53,31,58.5,"*","*","*","*",0,0.0,"*","*",400
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","N",20,"*","*",11,55.0,"*","*",0,0.0,"*","*",443
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","Y",47,18,38.3,23,48.9,"*","*","*","*",6,12.8,441
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","N",47,9,19.1,21,44.7,"*","*","*","*",17,36.2,500
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Y",55,17,30.9,24,43.6,"*","*","*","*",14,25.5,467
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","N",313,"*","*",81,25.9,141,45.0,"*","*","*","*",581
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Y",24,11,45.8,"*","*","*","*",0,0.0,"*","*",425
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","N",99,16,16.2,49,49.5,"*","*","*","*","*","*",489
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Y",47,"*","*",18,38.3,10,21.3,"*","*","*","*",444
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","N",143,"*","*",66,46.2,58,40.6,"*","*","*","*",537
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Y",20,"*","*","*","*","*","*",0,0.0,"*","*",393
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","N",19,"*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Y",132,84,63.6,"*","*","*","*",0,0.0,"*","*",391
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","N",37,22,59.5,15,40.5,0,0.0,0,0.0,0,0.0,400
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Y",125,"*","*",68,54.4,"*","*",0,0.0,"*","*",441
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","N",49,17,34.7,27,55.1,"*","*","*","*","*","*",437
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Y",96,39,40.6,50,52.1,7,7.3,0,0.0,7,7.3,432
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","N",45,19,42.2,18,40.0,8,17.8,0,0.0,8,17.8,444
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Y",114,61,53.5,"*","*","*","*",0,0.0,"*","*",411
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","N",26,17,65.4,9,34.6,0,0.0,0,0.0,0,0.0,391
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Y",84,27,32.1,43,51.2,14,16.7,0,0.0,14,16.7,444
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","N",41,14,34.1,19,46.3,8,19.5,0,0.0,8,19.5,459
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Y",68,37,54.4,"*","*","*","*",0,0.0,"*","*",410
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","N",63,"*","*",33,52.4,"*","*",0,0.0,"*","*",446
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Y",81,26,32.1,43,53.1,"*","*","*","*",12,14.8,452
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","N",107,23,21.5,66,61.7,18,16.8,0,0.0,18,16.8,467
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Y",61,24,39.3,30,49.2,"*","*","*","*",7,11.5,439
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","N",93,33,35.5,48,51.6,"*","*","*","*",12,12.9,445
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Y",62,"*","*",32,51.6,"*","*",0,0.0,"*","*",436
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","N",83,"*","*",51,61.4,"*","*",0,0.0,"*","*",485
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Y",57,24,42.1,25,43.9,8,14.0,0,0.0,8,14.0,444
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","N",91,25,27.5,51,56.0,"*","*","*","*",15,16.5,467
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Y",50,11,22.0,28,56.0,"*","*","*","*",11,22.0,468
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","N",108,14,13.0,67,62.0,27,25.0,0,0.0,27,25.0,481
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Y",47,"*","*",30,63.8,"*","*",0,0.0,"*","*",441
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","N",110,21,19.1,57,51.8,"*","*","*","*","*","*",483
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Y",76,29,38.2,41,53.9,6,7.9,0,0.0,6,7.9,434
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","N",108,35,32.4,51,47.2,"*","*","*","*",22,20.4,462
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Y",72,38,52.8,"*","*","*","*",0,0.0,"*","*",420
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","N",67,"*","*",35,52.2,"*","*",0,0.0,"*","*",456
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Y",88,25,28.4,53,60.2,10,11.4,0,0.0,10,11.4,444
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","N",86,"*","*",51,59.3,20,23.3,"*","*","*","*",479
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Y",55,21,38.2,22,40.0,12,21.8,0,0.0,12,21.8,450
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","N",62,"*","*",34,54.8,15,24.2,"*","*","*","*",488
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Y",27,13,48.1,"*","*","*","*",0,0.0,"*","*",438
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","N",99,6,6.1,41,41.4,"*","*","*","*","*","*",537
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Y",51,"*","*",17,33.3,"*","*",0,0.0,"*","*",453
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","N",95,"*","*",38,40.0,40,42.1,"*","*","*","*",539
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Y",294,150,51.0,111,37.8,"*","*","*","*",33,11.2,424
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","N",325,"*","*",142,43.7,97,29.8,"*","*","*","*",503
"Darien School District","=""0350011""","Darien High School","=""0356111""","Y",42,"*","*",21,50.0,11,26.2,"*","*","*","*",515
"Darien School District","=""0350011""","Darien High School","=""0356111""","N",268,"*","*",22,8.2,106,39.6,"*","*","*","*",644
"Derby School District","=""0370011""","Derby High School","=""0376111""","Y",61,33,54.1,"*","*","*","*",0,0.0,"*","*",419
"Derby School District","=""0370011""","Derby High School","=""0376111""","N",25,"*","*",10,40.0,"*","*",0,0.0,"*","*",459
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","Y",15,"*","*","*","*","*","*","*","*","*","*","*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","N",46,"*","*","*","*","*","*","*","*","*","*",549
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","N",65,"*","*","*","*","*","*","*","*","*","*",494
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","Y",27,10,37.0,9,33.3,"*","*","*","*",8,29.6,456
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","N",101,"*","*",39,38.6,42,41.6,"*","*","*","*",523
"East Hampton School District","=""0420011""","Memorial School","=""0420111""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","Y",21,"*","*",13,61.9,"*","*","*","*","*","*",496
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""","N",29,"*","*",15,51.7,"*","*","*","*","*","*",541
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","Y",249,98,39.4,115,46.2,"*","*","*","*",36,14.5,441
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""","N",117,"*","*",50,42.7,31,26.5,"*","*","*","*",480
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Y","*","*","*","*","*",0,0.0,0,0.0,0,0.0,"*"
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Y",101,54,53.5,38,37.6,9,8.9,0,0.0,9,8.9,415
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","N",113,27,23.9,56,49.6,23,20.4,7,6.2,30,26.5,482
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Y",54,18,33.3,21,38.9,9,16.7,6,11.1,15,27.8,473
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","N",196,7,3.6,52,26.5,89,45.4,48,24.5,137,69.9,577
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Y",31,"*","*",15,48.4,"*","*",0,0.0,"*","*",448
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","N",34,"*","*",16,47.1,"*","*","*","*","*","*",503
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Y",15,"*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","N",15,"*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Y",6,"*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Y",18,"*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","N",18,"*","*","*","*","*","*","*","*","*","*","*"
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Y",28,12,42.9,11,39.3,"*","*","*","*","*","*",447
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","N",174,10,5.7,69,39.7,"*","*","*","*","*","*",542
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Y",23,"*","*","*","*","*","*","*","*","*","*",467
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","N",10,"*","*","*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Y",59,18,30.5,26,44.1,"*","*","*","*",15,25.4,464
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","N",90,"*","*",38,42.2,35,38.9,"*","*","*","*",518
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Y",68,24,35.3,34,50.0,"*","*","*","*",10,14.7,442
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","N",128,"*","*",58,45.3,40,31.3,"*","*","*","*",502
"Explorations District","=""2720013""","Explorations","=""2726113""","Y",11,"*","*","*","*","*","*","*","*","*","*","*"
"Explorations District","=""2720013""","Explorations","=""2726113""","N",10,"*","*","*","*","*","*","*","*","*","*","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Y",47,"*","*",21,44.7,12,25.5,"*","*","*","*",488
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","N",303,"*","*",69,22.8,161,53.1,"*","*","*","*",582
