"CT School Day SAT, 2015-16"
"All Districts, Math, All Students"

"",,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",30,"*","*",13,43.3,14,46.7,"*","*","*","*",537
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",44,11,25.0,23,52.3,"*","*","*","*",10,22.7,470
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",16,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""",242,12,5.0,44,18.2,100,41.3,86,35.5,186,76.9,604
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",194,26,13.4,57,29.4,91,46.9,20,10.3,111,57.2,531
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",137,40,29.2,76,55.5,"*","*","*","*",21,15.3,458
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",67,12,17.9,23,34.3,22,32.8,10,14.9,32,47.8,516
"Branford School District","=""0140011""","Branford High School","=""0146111""",232,47,20.3,101,43.5,57,24.6,27,11.6,84,36.2,503
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",35,7,20.0,14,40.0,14,40.0,0,0.0,14,40.0,489
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",130,27,20.8,74,56.9,20,15.4,9,6.9,29,22.3,483
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",119,79,66.4,"*","*","*","*",0,0.0,"*","*",391
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",134,49,36.6,72,53.7,"*","*","*","*",13,9.7,441
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",90,67,74.4,"*","*","*","*",0,0.0,"*","*",385
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",234,109,46.6,97,41.5,28,12.0,0,0.0,28,12.0,425
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",175,135,77.1,"*","*","*","*",0,0.0,"*","*",376
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",132,45,34.1,62,47.0,"*","*","*","*",25,18.9,454
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",262,42,16.0,121,46.2,83,31.7,16,6.1,99,37.8,502
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",285,59,20.7,136,47.7,80,28.1,10,3.5,90,31.6,485
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""",28,16,57.1,"*","*","*","*",0,0.0,"*","*",419
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",67,7,10.4,13,19.4,24,35.8,23,34.3,47,70.1,587
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",96,31,32.3,47,49.0,18,18.8,0,0.0,18,18.8,457
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",59,10,16.9,42,71.2,"*","*","*","*",7,11.9,467
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",87,36,41.4,36,41.4,"*","*","*","*",15,17.2,449
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",73,38,52.1,29,39.7,6,8.2,0,0.0,6,8.2,412
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",94,27,28.7,44,46.8,"*","*","*","*",23,24.5,471
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",368,29,7.9,105,28.5,152,41.3,82,22.3,234,63.6,564
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",39,18,46.2,17,43.6,"*","*","*","*","*","*",427
