"CT School Day SAT, 2015-16"
"All Districts, Math, Free/Reduced Price Meal Eligibility (3-leve"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility (3-level)","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","F",30,"*","*",13,43.3,14,46.7,"*","*","*","*",537
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","F",32,"*","*",19,59.4,7,21.9,"*","*","*","*",478
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","F",57,32,56.1,"*","*","*","*",0,0.0,"*","*",420
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","N",62,"*","*",22,35.5,20,32.3,"*","*","*","*",477
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","R",15,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","N",229,6,2.6,39,17.0,98,42.8,86,37.6,184,80.3,612
"Avon School District","=""0040011""","Avon High School","=""0046111""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","N",203,26,12.8,72,35.5,85,41.9,20,9.9,105,51.7,529
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","F",26,"*","*","*","*","*","*","*","*","*","*",481
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","N",158,16,10.1,46,29.1,79,50.0,17,10.8,96,60.8,540
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","R",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","F",45,"*","*","*","*","*","*",0,0.0,"*","*",439
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","N",81,22,27.2,43,53.1,"*","*","*","*",16,19.8,467
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","R",11,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","N",18,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","F",9,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","N",58,"*","*","*","*","*","*","*","*","*","*",539
"Branford School District","=""0140011""","Branford High School","=""0146111""","F",35,"*","*","*","*","*","*","*","*","*","*",462
"Branford School District","=""0140011""","Branford High School","=""0146111""","N",181,30,16.6,77,42.5,49,27.1,25,13.8,74,40.9,516
"Branford School District","=""0140011""","Branford High School","=""0146111""","R",16,"*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","F",6,"*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","F",20,"*","*","*","*",10,50.0,0,0.0,10,50.0,492
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","N",8,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","R",7,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","F",130,27,20.8,74,56.9,20,15.4,9,6.9,29,22.3,483
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","F",119,79,66.4,"*","*","*","*",0,0.0,"*","*",391
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","F",134,49,36.6,72,53.7,"*","*","*","*",13,9.7,441
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","F",90,67,74.4,"*","*","*","*",0,0.0,"*","*",385
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","F",234,109,46.6,97,41.5,28,12.0,0,0.0,28,12.0,425
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","F",175,135,77.1,"*","*","*","*",0,0.0,"*","*",376
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","F",132,45,34.1,62,47.0,"*","*","*","*",25,18.9,454
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","F",80,"*","*","*","*","*","*","*","*","*","*",475
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","N",166,20,12.0,72,43.4,60,36.1,14,8.4,74,44.6,516
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","R",16,"*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","F",66,"*","*","*","*","*","*","*","*","*","*",455
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","N",202,35,17.3,94,46.5,66,32.7,7,3.5,73,36.1,494
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","R",17,"*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","N",204,13,6.4,72,35.3,91,44.6,28,13.7,119,58.3,546
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","F",10,"*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","N",99,9,9.1,30,30.3,43,43.4,17,17.2,60,60.6,555
"Canton School District","=""0230011""","Canton High School","=""0236111""","R",6,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","F",13,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","F",18,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","N",42,"*","*","*","*",17,40.5,22,52.4,39,92.9,648
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","R",7,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","F",40,21,52.5,"*","*","*","*",0,0.0,"*","*",421
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","N",49,"*","*",28,57.1,"*","*",0,0.0,"*","*",495
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","R",7,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","F",30,"*","*",20,66.7,"*","*",0,0.0,"*","*",440
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","N",21,"*","*","*","*","*","*",0,0.0,"*","*",494
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","R",8,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","F",26,"*","*","*","*",0,0.0,0,0.0,0,0.0,403
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","N",54,17,31.5,23,42.6,"*","*","*","*","*","*",470
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","R",7,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","F",48,28,58.3,"*","*","*","*",0,0.0,"*","*",397
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","N","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","F",37,15,40.5,"*","*","*","*","*","*","*","*",438
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","N",49,"*","*",22,44.9,15,30.6,"*","*","*","*",494
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","R",8,"*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","F",20,"*","*","*","*","*","*","*","*","*","*",486
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","N",338,21,6.2,95,28.1,143,42.3,79,23.4,222,65.7,570
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","R",10,"*","*","*","*","*","*","*","*","*","*","*"
