"CT School Day SAT, 2015-16"
"All Districts, ELA, Gender"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Gender","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Female",20,"*","*","*","*","*","*","*","*","*","*",541
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Male",10,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Female",26,"*","*","*","*","*","*","*","*","*","*",531
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Male",18,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Female",63,"*","*",20,31.7,31,49.2,"*","*","*","*",486
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Male",71,23,32.4,"*","*",31,43.7,"*","*","*","*",471
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Female",131,"*","*","*","*",58,44.3,57,43.5,115,87.8,600
"Avon School District","=""0040011""","Avon High School","=""0046111""","Male",110,"*","*","*","*",44,40.0,59,53.6,103,93.6,617
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Female",117,"*","*",20,17.1,73,62.4,"*","*","*","*",546
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Male",112,"*","*",18,16.1,73,65.2,"*","*","*","*",518
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Female",104,6,5.8,12,11.5,60,57.7,26,25.0,86,82.7,558
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Male",90,13,14.4,10,11.1,58,64.4,9,10.0,67,74.4,525
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Female",68,19,27.9,"*","*",29,42.6,"*","*","*","*",470
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Male",69,22,31.9,"*","*",29,42.0,"*","*","*","*",467
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Female",14,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Male",14,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Female",39,"*","*","*","*",26,66.7,9,23.1,35,89.7,572
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Male",28,"*","*","*","*",14,50.0,6,21.4,20,71.4,533
"Branford School District","=""0140011""","Branford High School","=""0146111""","Female",100,7,7.0,21,21.0,53,53.0,19,19.0,72,72.0,533
"Branford School District","=""0140011""","Branford High School","=""0146111""","Male",132,26,19.7,27,20.5,54,40.9,25,18.9,79,59.8,518
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Female",17,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Male",17,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Female",48,"*","*",16,33.3,19,39.6,"*","*","*","*",480
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Male",82,"*","*",22,26.8,40,48.8,"*","*","*","*",477
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Female",58,32,55.2,"*","*","*","*",0,0.0,"*","*",409
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Male",61,40,65.6,17,27.9,"*","*","*","*","*","*",395
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Female",97,"*","*",31,32.0,37,38.1,"*","*","*","*",465
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Male",37,17,45.9,"*","*",9,24.3,"*","*","*","*",448
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Female",33,21,63.6,"*","*","*","*",0,0.0,"*","*",406
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Male",57,25,43.9,"*","*","*","*",0,0.0,"*","*",440
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Female",123,42,34.1,"*","*",44,35.8,"*","*","*","*",454
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Male",113,64,56.6,"*","*",26,23.0,"*","*","*","*",420
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Female",97,67,69.1,24,24.7,6,6.2,0,0.0,6,6.2,389
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Male",78,52,66.7,17,21.8,"*","*","*","*",9,11.5,400
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Female",45,16,35.6,"*","*",14,31.1,"*","*","*","*",460
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Male",87,"*","*",23,26.4,36,41.4,"*","*","*","*",482
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Female",126,15,11.9,24,19.0,70,55.6,17,13.5,87,69.0,524
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Male",136,19,14.0,26,19.1,75,55.1,16,11.8,91,66.9,512
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Female",150,11,7.3,29,19.3,95,63.3,15,10.0,110,73.3,524
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Male",135,21,15.6,24,17.8,79,58.5,11,8.1,90,66.7,505
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Female",100,"*","*","*","*",47,47.0,35,35.0,82,82.0,572
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Male",122,"*","*","*","*",85,69.7,22,18.0,107,87.7,561
"Canton School District","=""0230011""","Canton High School","=""0236111""","Female",57,"*","*","*","*",38,66.7,11,19.3,49,86.0,563
"Canton School District","=""0230011""","Canton High School","=""0236111""","Male",58,"*","*","*","*",24,41.4,23,39.7,47,81.0,580
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","Female",6,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","Male",22,"*","*","*","*","*","*",0,0.0,"*","*",411
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Female",17,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Male",50,"*","*","*","*","*","*","*","*","*","*",604
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Female",67,"*","*",14,20.9,29,43.3,"*","*","*","*",523
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Male",29,"*","*",9,31.0,8,27.6,"*","*","*","*",484
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","Female",51,"*","*","*","*","*","*","*","*","*","*",505
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","Male",8,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Female",49,"*","*",18,36.7,15,30.6,"*","*","*","*",491
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Male",38,"*","*",13,34.2,14,36.8,"*","*","*","*",510
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Female",21,"*","*",9,42.9,"*","*",0,0.0,"*","*",453
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Male",52,"*","*",14,26.9,12,23.1,"*","*","*","*",423
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","Female",48,10,20.8,12,25.0,19,39.6,7,14.6,26,54.2,500
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","Male",46,7,15.2,10,21.7,21,45.7,8,17.4,29,63.0,522
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Female",176,6,3.4,15,8.5,101,57.4,54,30.7,155,88.1,580
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Male",192,10,5.2,21,10.9,115,59.9,46,24.0,161,83.9,559
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Female",74,"*","*","*","*",48,64.9,14,18.9,62,83.8,551
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Male",50,"*","*",14,28.0,20,40.0,"*","*","*","*",513
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Female",105,9,8.6,14,13.3,63,60.0,19,18.1,82,78.1,553
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Male",86,6,7.0,14,16.3,48,55.8,18,20.9,66,76.7,548
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Female",17,"*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Male",22,"*","*","*","*","*","*","*","*","*","*",438
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Female",85,37,43.5,33,38.8,15,17.6,0,0.0,15,17.6,428
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Male",84,39,46.4,25,29.8,"*","*","*","*",20,23.8,430
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Female",101,29,28.7,39,38.6,33,32.7,0,0.0,33,32.7,447
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Male",73,25,34.2,24,32.9,"*","*","*","*",24,32.9,451
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Female",64,16,25.0,30,46.9,18,28.1,0,0.0,18,28.1,449
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Male",77,25,32.5,"*","*",35,45.5,"*","*","*","*",456
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Female",72,38,52.8,21,29.2,13,18.1,0,0.0,13,18.1,419
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Male",68,36,52.9,20,29.4,12,17.6,0,0.0,12,17.6,415
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Female",41,6,14.6,20,48.8,15,36.6,0,0.0,15,36.6,464
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Male",84,25,29.8,"*","*",37,44.0,"*","*","*","*",478
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Female",49,"*","*",17,34.7,21,42.9,"*","*","*","*",467
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Male",82,27,32.9,29,35.4,"*","*","*","*",26,31.7,450
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Female",78,"*","*",27,34.6,36,46.2,"*","*","*","*",483
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Male",110,"*","*",30,27.3,58,52.7,"*","*","*","*",481
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Female",44,"*","*",12,27.3,18,40.9,"*","*","*","*",469
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Male",110,"*","*",38,34.5,37,33.6,"*","*","*","*",469
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Female",50,"*","*",13,26.0,27,54.0,"*","*","*","*",495
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Male",95,"*","*",26,27.4,49,51.6,"*","*","*","*",489
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Female",31,"*","*",11,35.5,12,38.7,"*","*","*","*",473
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Male",117,"*","*",46,39.3,47,40.2,"*","*","*","*",475
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Female",51,"*","*",16,31.4,31,60.8,"*","*","*","*",502
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Male",107,"*","*",33,30.8,52,48.6,"*","*","*","*",491
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Female",58,"*","*",21,36.2,27,46.6,"*","*","*","*",499
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Male",99,"*","*",26,26.3,49,49.5,"*","*","*","*",504
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Female",67,"*","*",19,28.4,30,44.8,"*","*","*","*",469
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Male",117,"*","*",36,30.8,57,48.7,"*","*","*","*",483
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Female",38,10,26.3,17,44.7,"*","*","*","*",11,28.9,452
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""","Male",101,27,26.7,"*","*",43,42.6,"*","*","*","*",470
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Female",74,"*","*",22,29.7,43,58.1,"*","*","*","*",489
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""","Male",100,"*","*",22,22.0,59,59.0,"*","*","*","*",495
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Female",43,"*","*",15,34.9,18,41.9,"*","*","*","*",473
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""","Male",75,"*","*",20,26.7,30,40.0,"*","*","*","*",481
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
