"CT School Day SAT, 2015-16"
"All Districts, ELA, Free/Reduced Price Meal Eligibility (3-level"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility (3-level)","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","F",30,"*","*",7,23.3,17,56.7,"*","*","*","*",529
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","F",32,"*","*","*","*",21,65.6,"*","*","*","*",523
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","F",57,20,35.1,"*","*","*","*",0,0.0,"*","*",445
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","N",62,"*","*",17,27.4,31,50.0,"*","*","*","*",503
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","R",15,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","N",229,"*","*","*","*",97,42.4,115,50.2,212,92.6,614
"Avon School District","=""0040011""","Avon High School","=""0046111""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","N",203,19,9.4,32,15.8,129,63.5,23,11.3,152,74.9,535
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","R","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","F",26,"*","*","*","*","*","*","*","*","*","*",502
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","N",158,14,8.9,14,8.9,99,62.7,31,19.6,130,82.3,551
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","R",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","F",45,"*","*","*","*","*","*","*","*","*","*",450
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","N",81,22,27.2,"*","*",35,43.2,"*","*","*","*",479
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","R",11,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","F","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","N",18,"*","*","*","*","*","*","*","*","*","*","*"
