"CT School Day SAT, 2015-16"
"All Districts, Math, Special Education Status (SWD)"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Special Education","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","N","*",0,0.0,"*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",44,11,25.0,23,52.3,"*","*","*","*",10,22.7,470
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","N",121,"*","*","*","*","*","*","*","*","*","*",457
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","N",221,"*","*",38,17.2,94,42.5,"*","*","*","*",615
"Avon School District","=""0040011""","Avon High School","=""0046111""","Y",21,"*","*",6,28.6,6,28.6,"*","*","*","*",486
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","N",208,17,8.2,78,37.5,92,44.2,21,10.1,113,54.3,538
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Y",21,13,61.9,8,38.1,0,0.0,0,0.0,0,0.0,398
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","N",181,"*","*","*","*","*","*","*","*","*","*",540
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","N",124,"*","*","*","*","*","*","*","*","*","*",466
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","N","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","N",200,"*","*",92,46.0,"*","*",27,13.5,"*","*",519
"Branford School District","=""0140011""","Branford High School","=""0146111""","Y",32,20,62.5,"*","*","*","*",0,0.0,"*","*",404
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","N","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","N",120,"*","*","*","*","*","*","*","*","*","*",489
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","N",105,"*","*","*","*","*","*",0,0.0,"*","*",397
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Y",14,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","N",125,"*","*","*","*","*","*","*","*","*","*",447
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Y",9,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","N",77,"*","*","*","*","*","*",0,0.0,"*","*",392
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","N",204,83,40.7,"*","*","*","*",0,0.0,"*","*",435
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Y",30,"*","*","*","*",0,0.0,0,0.0,0,0.0,355
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","N",153,116,75.8,"*","*","*","*",0,0.0,"*","*",377
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Y",22,"*","*","*","*",0,0.0,0,0.0,0,0.0,368
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","N",125,"*","*","*","*","*","*","*","*","*","*",458
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Y",7,"*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","N",224,21,9.4,107,47.8,"*","*","*","*","*","*",517
