"CT School Day SAT, 2015-16"
"All Districts, ELA, All Students"

"",,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""",30,"*","*",7,23.3,17,56.7,"*","*","*","*",529
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""",44,6,13.6,"*","*",28,63.6,"*","*","*","*",515
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""",18,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""",241,7,2.9,16,6.6,102,42.3,116,48.1,218,90.5,608
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",194,19,9.8,22,11.3,118,60.8,35,18.0,153,78.9,543
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",137,41,29.9,"*","*",58,42.3,"*","*","*","*",469
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",67,6,9.0,6,9.0,40,59.7,15,22.4,55,82.1,555
"Branford School District","=""0140011""","Branford High School","=""0146111""",232,33,14.2,48,20.7,107,46.1,44,19.0,151,65.1,524
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""",34,"*","*","*","*",25,73.5,"*","*","*","*",515
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""",130,27,20.8,38,29.2,59,45.4,6,4.6,65,50.0,478
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",119,72,60.5,35,29.4,"*","*","*","*",12,10.1,402
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""",134,44,32.8,"*","*",46,34.3,"*","*","*","*",460
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""",90,46,51.1,24,26.7,20,22.2,0,0.0,20,22.2,427
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",236,106,44.9,"*","*",70,29.7,"*","*","*","*",438
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",175,119,68.0,41,23.4,"*","*","*","*",15,8.6,394
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""",132,37,28.0,35,26.5,50,37.9,10,7.6,60,45.5,475
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",262,34,13.0,50,19.1,145,55.3,33,12.6,178,67.9,518
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",285,32,11.2,53,18.6,174,61.1,26,9.1,200,70.2,515
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""",28,14,50.0,"*","*","*","*",0,0.0,"*","*",416
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""",67,"*","*","*","*",27,40.3,30,44.8,57,85.1,591
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""",96,18,18.8,23,24.0,37,38.5,18,18.8,55,57.3,511
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""",59,10,16.9,12,20.3,31,52.5,6,10.2,37,62.7,499
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""",87,12,13.8,31,35.6,29,33.3,15,17.2,44,50.6,499
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""",73,30,41.1,23,31.5,"*","*","*","*",20,27.4,432
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""",94,17,18.1,22,23.4,40,42.6,15,16.0,55,58.5,511
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",368,16,4.3,36,9.8,216,58.7,100,27.2,316,85.9,569
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""",39,16,41.0,"*","*",12,30.8,"*","*","*","*",462
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""",169,76,45.0,58,34.3,"*","*","*","*",35,20.7,429
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""",174,"*","*",63,36.2,56,32.2,"*","*","*","*",449
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""",141,"*","*",46,32.6,53,37.6,"*","*","*","*",453
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""",140,74,52.9,41,29.3,25,17.9,0,0.0,25,17.9,417
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""",125,"*","*",37,29.6,52,41.6,"*","*","*","*",473
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""",131,"*","*",46,35.1,44,33.6,"*","*","*","*",456
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""",188,30,16.0,57,30.3,94,50.0,7,3.7,101,53.7,482
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""",154,40,26.0,50,32.5,55,35.7,9,5.8,64,41.6,469
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""",145,23,15.9,39,26.9,76,52.4,7,4.8,83,57.2,491
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""",148,"*","*",57,38.5,59,39.9,"*","*","*","*",475
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""",158,20,12.7,49,31.0,83,52.5,6,3.8,89,56.3,494
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""",157,18,11.5,47,29.9,76,48.4,16,10.2,92,58.6,502
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""",184,36,19.6,55,29.9,87,47.3,6,3.3,93,50.5,478
"Connecticut Technical High School System","=""9000016""","Vinal Technical High School","=""9001816""",139,37,26.6,43,30.9,51,36.7,8,5.8,59,42.4,465
"Connecticut Technical High School System","=""9000016""","W. F. Kaynor Technical High School","=""9002316""",174,"*","*",44,25.3,102,58.6,"*","*","*","*",493
"Connecticut Technical High School System","=""9000016""","Windham Technical High School","=""9002416""",118,28,23.7,35,29.7,48,40.7,7,5.9,55,46.6,478
"Cooperative Educational Services","=""2430014""","Therapeutic Day Program","=""2439414""",10,"*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",146,23,15.8,18,12.3,82,56.2,23,15.8,105,71.9,529
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",23,"*","*","*","*",0,0.0,0,0.0,0,0.0,362
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",619,159,25.7,"*","*",258,41.7,"*","*","*","*",490
"Darien School District","=""0350011""","Darien High School","=""0356111""",310,6,1.9,10,3.2,130,41.9,164,52.9,294,94.8,619
"Derby School District","=""0370011""","Derby High School","=""0376111""",86,30,34.9,29,33.7,"*","*","*","*",27,31.4,446
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",78,10,12.8,8,10.3,47,60.3,13,16.7,60,76.9,532
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hampton School District","=""0420011""","Memorial School","=""0420111""","*","*","*","*","*","*","*","*","*","*","*","*"
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",50,"*","*","*","*",32,64.0,10,20.0,42,84.0,551
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",366,116,31.7,98,26.8,136,37.2,16,4.4,152,41.5,463
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",25,21,84.0,"*","*","*","*",0,0.0,"*","*",380
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","*","*","*","*","*","*","*","*","*","*","*","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","*","*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""",6,"*","*","*","*","*","*","*","*","*","*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",250,"*","*","*","*","*","*","*","*","*","*",577
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",65,10,15.4,14,21.5,35,53.8,6,9.2,41,63.1,501
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""",30,"*","*","*","*","*","*","*","*","*","*",522
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""",6,"*","*","*","*","*","*","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""",36,12,33.3,"*","*",16,44.4,"*","*","*","*",472
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","*","*","*","*","*","*","*","*","*","*","*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""",33,9,27.3,"*","*",16,48.5,"*","*","*","*",479
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","*",30,20.1,"*","*","*","*","*","*","*","*","*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",196,"*","*",51,26.0,107,54.6,"*","*","*","*",504
"Explorations District","=""2720013""","Explorations","=""2726113""",21,"*","*",10,47.6,"*","*","*","*","*","*",479
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",350,12,3.4,28,8.0,196,56.0,114,32.6,310,88.6,583
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",350,35,10.0,28,8.0,185,52.9,102,29.1,287,82.0,564
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""",9,"*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","*","*","*","*","*","*","*","*","*","*","*","*"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","*","*","*","*","*","*","*","*","*","*","*","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",477,"*","*","*","*","*","*","*","*","*","*",572
"Glastonbury School District","=""0540011""","LINKS Academy","=""0540111""",6,"*","*","*","*","*","*","*","*","*","*","*"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",151,9,6.0,16,10.6,83,55.0,43,28.5,126,83.4,565
"Greenwich School District","=""0570011""","Alternative High School Programs","=""0571411""",8,"*","*","*","*","*","*","*","*","*","*","*"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",609,"*","*","*","*","*","*","*","*","*","*",576
"Griswold School District","=""0580011""","Griswold Alternative School","=""0580111""","*","*","*","*","*","*","*","*","*","*","*","*"
