"CT School Day SAT, 2015-16"
"All Districts, ELA, High Needs (F/R, EL or SWD)"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","High Needs (F, R, ELL or SWD)","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",30,"*","*",7,23.3,17,56.7,"*","*","*","*",529
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Y",76,26,34.2,18,23.7,32,42.1,0,0.0,32,42.1,455
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","N",58,"*","*",17,29.3,30,51.7,"*","*","*","*",509
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Y",18,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Y",30,"*","*",8,26.7,12,40.0,"*","*","*","*",519
"Avon School District","=""0040011""","Avon High School","=""0046111""","N",211,"*","*","*","*",90,42.7,110,52.1,200,94.8,621
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Y",43,"*","*",10,23.3,22,51.2,"*","*","*","*",484
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","N",186,"*","*",28,15.1,124,66.7,"*","*","*","*",544
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Y",45,11,24.4,"*","*",20,44.4,"*","*","*","*",487
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","N",149,"*","*",12,8.1,98,65.8,"*","*","*","*",560
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Y",63,23,36.5,"*","*",24,38.1,"*","*","*","*",449
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","N",74,"*","*",18,24.3,34,45.9,"*","*","*","*",486
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Y",12,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","N",16,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","N",57,"*","*","*","*","*","*","*","*","*","*",578
"Branford School District","=""0140011""","Branford High School","=""0146111""","Y",71,21,29.6,"*","*",27,38.0,"*","*","*","*",466
"Branford School District","=""0140011""","Branford High School","=""0146111""","N",161,"*","*",29,18.0,80,49.7,"*","*","*","*",550
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Y",26,"*","*","*","*","*","*","*","*","*","*",508
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","N",8,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Y",130,27,20.8,38,29.2,59,45.4,6,4.6,65,50.0,478
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Y",119,72,60.5,35,29.4,"*","*","*","*",12,10.1,402
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Y",134,44,32.8,"*","*",46,34.3,"*","*","*","*",460
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Y",90,46,51.1,24,26.7,20,22.2,0,0.0,20,22.2,427
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Y",236,106,44.9,"*","*",70,29.7,"*","*","*","*",438
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Y",175,119,68.0,41,23.4,"*","*","*","*",15,8.6,394
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Y",132,37,28.0,35,26.5,50,37.9,10,7.6,60,45.5,475
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Y",114,"*","*",21,18.4,53,46.5,"*","*","*","*",481
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","N",148,"*","*",29,19.6,92,62.2,"*","*","*","*",546
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Y",103,21,20.4,30,29.1,46,44.7,6,5.8,52,50.5,479
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","N",182,11,6.0,23,12.6,128,70.3,20,11.0,148,81.3,535
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Y",40,"*","*",11,27.5,18,45.0,"*","*","*","*",488
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","N",182,0,0.0,"*","*",114,62.6,"*","*","*","*",583
"Canton School District","=""0230011""","Canton High School","=""0236111""","Y",24,"*","*","*","*",12,50.0,"*","*","*","*",500
"Canton School District","=""0230011""","Canton High School","=""0236111""","N",91,"*","*","*","*",50,54.9,"*","*","*","*",590
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","Y",19,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","N",9,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Y",27,6,22.2,"*","*",14,51.9,"*","*","*","*",509
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","N",40,0,0.0,"*","*",13,32.5,"*","*","*","*",646
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Y",50,"*","*","*","*",16,32.0,"*","*","*","*",456
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","N",46,"*","*","*","*",21,45.7,"*","*","*","*",571
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","Y",38,10,26.3,"*","*",17,44.7,"*","*","*","*",470
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","N",21,0,0.0,"*","*",14,66.7,"*","*","*","*",552
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Y",40,"*","*",14,35.0,12,30.0,"*","*","*","*",460
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","N",47,"*","*",17,36.2,17,36.2,"*","*","*","*",533
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Y",53,"*","*",16,30.2,"*","*",0,0.0,"*","*",420
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","N",20,"*","*",7,35.0,8,40.0,"*","*","*","*",463
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","Y",47,"*","*",16,34.0,17,36.2,"*","*","*","*",478
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","N",47,7,14.9,"*","*",23,48.9,"*","*","*","*",544
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Y",55,"*","*",12,21.8,29,52.7,"*","*","*","*",482
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","N",313,"*","*",24,7.7,187,59.7,"*","*","*","*",584
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Y",25,"*","*",7,28.0,10,40.0,"*","*","*","*",465
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","N",99,"*","*",15,15.2,58,58.6,"*","*","*","*",554
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Y",48,"*","*",15,31.3,19,39.6,"*","*","*","*",480
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","N",143,"*","*",13,9.1,92,64.3,"*","*","*","*",574
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Y",20,"*","*","*","*","*","*","*","*","*","*",416
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","N",19,"*","*","*","*","*","*","*","*","*","*","*"
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Y",132,61,46.2,49,37.1,"*","*","*","*",22,16.7,425
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","N",37,15,40.5,9,24.3,13,35.1,0,0.0,13,35.1,442
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Y",125,44,35.2,40,32.0,41,32.8,0,0.0,41,32.8,444
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","N",49,"*","*",23,46.9,15,30.6,"*","*","*","*",460
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Y",96,32,33.3,36,37.5,28,29.2,0,0.0,28,29.2,439
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","N",45,"*","*",10,22.2,25,55.6,"*","*","*","*",483
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Y",114,62,54.4,"*","*","*","*",0,0.0,"*","*",416
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","N",26,12,46.2,"*","*","*","*",0,0.0,"*","*",424
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Y",84,"*","*",29,34.5,30,35.7,"*","*","*","*",465
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","N",41,9,22.0,"*","*",22,53.7,"*","*","*","*",492
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Y",68,25,36.8,26,38.2,17,25.0,0,0.0,17,25.0,436
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","N",63,"*","*",20,31.7,27,42.9,"*","*","*","*",479
