"CT School Day SAT, 2015-16"
"All Districts, ELA, Free/Reduced Price Meal Eligibility (2-level"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility (2-level)","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",30,"*","*",7,23.3,17,56.7,"*","*","*","*",529
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Y",72,23,31.9,18,25.0,31,43.1,0,0.0,31,43.1,457
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","N",62,"*","*",17,27.4,31,50.0,"*","*","*","*",503
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Y",12,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","N",229,"*","*","*","*","*","*","*","*","*","*",614
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Y",26,"*","*",6,23.1,17,65.4,"*","*","*","*",510
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","N",203,"*","*",32,15.8,129,63.5,"*","*","*","*",535
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Y",36,"*","*",8,22.2,19,52.8,"*","*","*","*",509
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","N",158,"*","*",14,8.9,99,62.7,"*","*","*","*",551
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Y",56,19,33.9,"*","*",23,41.1,"*","*","*","*",453
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","N",81,22,27.2,"*","*",35,43.2,"*","*","*","*",479
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","N",18,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Y",9,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","N",58,"*","*","*","*","*","*","*","*","*","*",574
"Branford School District","=""0140011""","Branford High School","=""0146111""","Y",51,"*","*",13,25.5,21,41.2,"*","*","*","*",478
"Branford School District","=""0140011""","Branford High School","=""0146111""","N",181,"*","*",35,19.3,86,47.5,"*","*","*","*",537
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Y",26,"*","*","*","*","*","*","*","*","*","*",508
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","N",8,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Y",130,27,20.8,38,29.2,59,45.4,6,4.6,65,50.0,478
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Y",119,72,60.5,35,29.4,"*","*","*","*",12,10.1,402
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Y",134,44,32.8,"*","*",46,34.3,"*","*","*","*",460
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Y",90,46,51.1,24,26.7,20,22.2,0,0.0,20,22.2,427
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Y",236,106,44.9,"*","*",70,29.7,"*","*","*","*",438
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Y",175,119,68.0,41,23.4,"*","*","*","*",15,8.6,394
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Y",132,37,28.0,35,26.5,50,37.9,10,7.6,60,45.5,475
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Y",96,22,22.9,20,20.8,46,47.9,8,8.3,54,56.3,490
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","N",166,12,7.2,30,18.1,99,59.6,25,15.1,124,74.7,534
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Y",83,14,16.9,24,28.9,39,47.0,6,7.2,45,54.2,489
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","N",202,18,8.9,29,14.4,135,66.8,20,9.9,155,76.7,525
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Y",18,"*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","N",204,"*","*","*","*","*","*","*","*","*","*",568
"Canton School District","=""0230011""","Canton High School","=""0236111""","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","N",99,"*","*","*","*","*","*","*","*","*","*",579
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","N",12,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Y",25,6,24.0,"*","*",12,48.0,"*","*","*","*",507
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","N",42,0,0.0,"*","*",15,35.7,"*","*","*","*",640
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Y",47,"*","*","*","*",15,31.9,"*","*","*","*",455
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","N",49,"*","*","*","*",22,44.9,"*","*","*","*",565
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","Y",38,10,26.3,"*","*",17,44.7,"*","*","*","*",470
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","N",21,0,0.0,"*","*",14,66.7,"*","*","*","*",552
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Y",33,"*","*",11,33.3,10,30.3,"*","*","*","*",457
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","N",54,"*","*",20,37.0,19,35.2,"*","*","*","*",526
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Y",51,24,47.1,16,31.4,11,21.6,0,0.0,11,21.6,423
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","N",22,"*","*",7,31.8,8,36.4,"*","*","*","*",452
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
