"CT School Day SAT, 2015-16"
"All Districts, Math, Free/Reduced Price Meal Eligibility (2-level)"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Free/Reduced Price Meal Eligibility (2-level)","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y",30,"*","*",13,43.3,14,46.7,"*","*","*","*",537
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Y",72,36,50.0,27,37.5,9,12.5,0,0.0,9,12.5,427
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","N",62,"*","*",22,35.5,20,32.3,"*","*","*","*",477
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","N",229,"*","*","*","*","*","*","*","*","*","*",612
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Y",26,"*","*",14,53.8,7,26.9,"*","*","*","*",497
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","N",203,"*","*",72,35.5,85,41.9,"*","*","*","*",529
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Y",36,"*","*",11,30.6,12,33.3,"*","*","*","*",490
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","N",158,"*","*",46,29.1,79,50.0,"*","*","*","*",540
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Y",56,"*","*",33,58.9,"*","*",0,0.0,"*","*",445
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","N",81,22,27.2,43,53.1,"*","*","*","*","*","*",467
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","N",18,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Y",9,"*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","N",58,"*","*","*","*","*","*","*","*","*","*",539
"Branford School District","=""0140011""","Branford High School","=""0146111""","Y",51,17,33.3,24,47.1,"*","*","*","*",10,19.6,460
"Branford School District","=""0140011""","Branford High School","=""0146111""","N",181,"*","*",77,42.5,49,27.1,"*","*","*","*",516
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Y",27,"*","*","*","*","*","*",0,0.0,"*","*",494
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","N",8,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Y",130,27,20.8,74,56.9,20,15.4,9,6.9,29,22.3,483
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Y",119,79,66.4,"*","*","*","*",0,0.0,"*","*",391
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Y",134,49,36.6,72,53.7,"*","*","*","*",13,9.7,441
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Y",90,67,74.4,"*","*","*","*",0,0.0,"*","*",385
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Y",234,109,46.6,97,41.5,28,12.0,0,0.0,28,12.0,425
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Y",175,135,77.1,"*","*","*","*",0,0.0,"*","*",376
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Y",132,45,34.1,62,47.0,"*","*","*","*",25,18.9,454
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Y",96,"*","*",49,51.0,23,24.0,"*","*","*","*",477
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","N",166,"*","*",72,43.4,60,36.1,"*","*","*","*",516
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Y",83,24,28.9,42,50.6,"*","*","*","*",17,20.5,464
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","N",202,"*","*",94,46.5,66,32.7,"*","*","*","*",494
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Y",18,"*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","N",204,"*","*","*","*","*","*","*","*","*","*",546
"Canton School District","=""0230011""","Canton High School","=""0236111""","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","N",99,"*","*","*","*","*","*","*","*","*","*",555
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","Y",16,"*","*","*","*","*","*","*","*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","N",12,"*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","Y",25,"*","*","*","*",7,28.0,"*","*","*","*",484
"Capitol Region Education Council","=""2410014""","Academy of Aerospace and Engineering","=""2415114""","N",42,"*","*","*","*",17,40.5,"*","*","*","*",648
"Capitol Region Education Council","=""2410014""","Farmington Valley Regional Diagnostic Center","=""2419214""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","Y",47,25,53.2,"*","*","*","*",0,0.0,"*","*",417
"Capitol Region Education Council","=""2410014""","Greater Hartford Academy of  the Arts High School - Full Time","=""2416414""","N",49,"*","*",28,57.1,"*","*",0,0.0,"*","*",495
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","John J. Allison Polaris Center","=""2419014""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Lincoln Academy Regional Interdistrict Collaborative","=""2419614""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","Y",38,"*","*",27,71.1,"*","*","*","*","*","*",452
"Capitol Region Education Council","=""2410014""","Medical Professions and Teacher Preparation Academy","=""2416514""","N",21,"*","*",15,71.4,"*","*",0,0.0,"*","*",494
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","Y",33,19,57.6,"*","*",0,0.0,"*","*","*","*",415
"Capitol Region Education Council","=""2410014""","Metropolitan Learning Center for Global and International Studies","=""2416114""","N",54,17,31.5,23,42.6,"*","*","*","*","*","*",470
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","Y",51,29,56.9,"*","*","*","*",0,0.0,"*","*",401
"Capitol Region Education Council","=""2410014""","Public Safety Academy","=""2415214""","N",22,"*","*",11,50.0,"*","*",0,0.0,"*","*",437
"Capitol Region Education Council","=""2410014""","Soundbridge @ Wethersfield High School","=""2411014""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","Y",45,17,37.8,22,48.9,"*","*","*","*",6,13.3,445
"Capitol Region Education Council","=""2410014""","Two Rivers Magnet High School","=""2416714""","N",49,10,20.4,22,44.9,"*","*","*","*",17,34.7,494
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Y",30,"*","*",10,33.3,9,30.0,"*","*","*","*",499
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","N",338,"*","*",95,28.1,143,42.3,"*","*","*","*",570
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Y",19,"*","*","*","*","*","*","*","*","*","*","*"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","N",104,"*","*","*","*","*","*","*","*","*","*",484
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Y",34,"*","*",15,44.1,10,29.4,"*","*","*","*",477
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","N",156,"*","*",69,44.2,58,37.2,"*","*","*","*",522
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","Y",17,"*","*","*","*","*","*","*","*","*","*","*"
"Common Ground High School District","=""2680013""","Common Ground High School","=""2686113""","N",22,"*","*","*","*","*","*","*","*","*","*",459
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","Y",126,81,64.3,"*","*","*","*",0,0.0,"*","*",392
"Connecticut Technical High School System","=""9000016""","A. I. Prince Technical High School","=""9001516""","N",43,25,58.1,18,41.9,0,0.0,0,0.0,0,0.0,397
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","Y",119,"*","*",66,55.5,"*","*",0,0.0,"*","*",444
"Connecticut Technical High School System","=""9000016""","Bullard-Havens Technical High School","=""9001116""","N",55,21,38.2,29,52.7,"*","*","*","*","*","*",432
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","Y",91,35,38.5,49,53.8,7,7.7,0,0.0,7,7.7,435
"Connecticut Technical High School System","=""9000016""","E. C. Goodwin Technical High School","=""9001916""","N",50,23,46.0,19,38.0,8,16.0,0,0.0,8,16.0,437
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","Y",112,59,52.7,"*","*","*","*",0,0.0,"*","*",412
"Connecticut Technical High School System","=""9000016""","Eli Whitney Technical High School","=""9001416""","N",28,19,67.9,9,32.1,0,0.0,0,0.0,0,0.0,389
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","Y",78,25,32.1,40,51.3,13,16.7,0,0.0,13,16.7,446
"Connecticut Technical High School System","=""9000016""","Ella T. Grasso Southeastern Technical High School","=""9002716""","N",47,16,34.0,22,46.8,9,19.1,0,0.0,9,19.1,454
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","Y",60,"*","*",29,48.3,"*","*",0,0.0,"*","*",415
"Connecticut Technical High School System","=""9000016""","Emmett O'Brien Technical High School","=""9002516""","N",71,"*","*",33,46.5,"*","*",0,0.0,"*","*",438
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","Y",73,24,32.9,39,53.4,"*","*","*","*",10,13.7,450
"Connecticut Technical High School System","=""9000016""","H. C. Wilcox Technical High School","=""9001716""","N",115,25,21.7,70,60.9,"*","*","*","*",20,17.4,467
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","Y",57,20,35.1,30,52.6,"*","*","*","*",7,12.3,443
"Connecticut Technical High School System","=""9000016""","H. H. Ellis Technical High School","=""9001316""","N",97,37,38.1,48,49.5,"*","*","*","*",12,12.4,442
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","Y",51,"*","*",30,58.8,"*","*",0,0.0,"*","*",450
"Connecticut Technical High School System","=""9000016""","Henry Abbott Technical High School","=""9001216""","N",94,"*","*",53,56.4,"*","*",0,0.0,"*","*",471
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","Y",51,20,39.2,24,47.1,7,13.7,0,0.0,7,13.7,445
"Connecticut Technical High School System","=""9000016""","Howell Cheney Technical High School","=""9001616""","N",97,29,29.9,52,53.6,"*","*","*","*",16,16.5,465
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","Y",45,"*","*",25,55.6,10,22.2,"*","*","*","*",473
"Connecticut Technical High School System","=""9000016""","Norwich Technical High School","=""9002016""","N",113,16,14.2,70,61.9,27,23.9,0,0.0,27,23.9,478
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","Y",39,"*","*",27,69.2,"*","*",0,0.0,"*","*",451
"Connecticut Technical High School System","=""9000016""","Oliver Wolcott Technical High School","=""9002216""","N",118,26,22.0,60,50.8,"*","*","*","*","*","*",477
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","Y",67,"*","*",37,55.2,"*","*",0,0.0,"*","*",437
"Connecticut Technical High School System","=""9000016""","Platt Technical High School","=""9002616""","N",117,39,33.3,55,47.0,"*","*","*","*","*","*",458
