"CT School Day SAT, 2015-16"
"All Districts, ELA, Special Education Status (SWD)"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Special Education","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","N",44,6,13.6,"*","*",28,63.6,"*","*","*","*",515
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","N",121,"*","*","*","*","*","*","*","*","*","*",488
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Y",18,"*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","N",220,"*","*","*","*",94,42.7,"*","*","*","*",616
"Avon School District","=""0040011""","Avon High School","=""0046111""","Y",21,"*","*","*","*",8,38.1,"*","*","*","*",525
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","N",208,12,5.8,32,15.4,140,67.3,24,11.5,164,78.8,541
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Y",21,9,42.9,6,28.6,6,28.6,0,0.0,6,28.6,445
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","N",181,"*","*","*","*","*","*","*","*","*","*",553
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","N",124,"*","*","*","*","*","*","*","*","*","*",477
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Y",13,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","N","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","N",200,16,8.0,40,20.0,100,50.0,44,22.0,144,72.0,541
"Branford School District","=""0140011""","Branford High School","=""0146111""","Y",32,17,53.1,8,25.0,7,21.9,0,0.0,7,21.9,418
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","N","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Y","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","N",34,"*","*","*","*",25,73.5,"*","*","*","*",515
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","N",120,"*","*","*","*","*","*","*","*","*","*",484
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Y",10,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","N",105,"*","*","*","*","*","*","*","*","*","*",408
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Y",14,"*","*","*","*","*","*","*","*","*","*","*"
