"CT School Day SAT, 2015-16"
"All Districts, Math, Gender"

"",,,,,,"Level 1Not Met",,"Level 2Approaching",,"Level 3Met",,"Level 4Exceeded",,"Level 3&4Met or Exceeded",,""
"District","District Code","School","School Code","Gender","Total Numberwith Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","AverageScore"
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Female",20,0,0.0,"*","*","*","*","*","*","*","*",543
"Achievement First Hartford Academy Inc. District","=""2880013""","Achievement First Hartford Academy Inc.","=""2880113""","Male",10,"*","*","*","*","*","*","*","*","*","*","*"
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Female",26,"*","*","*","*","*","*",0,0.0,"*","*",467
"Amistad Academy District","=""2790013""","Amistad Academy","=""2795113""","Male",18,"*","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Female",63,23,36.5,25,39.7,"*","*","*","*",15,23.8,455
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Male",71,32,45.1,24,33.8,15,21.1,0,0.0,15,21.1,445
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Area Cooperative Educational Services","=""2440014""","Whitney High School North","=""2449114""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Female",131,6,4.6,29,22.1,58,44.3,38,29.0,96,73.3,591
"Avon School District","=""0040011""","Avon High School","=""0046111""","Male",111,6,5.4,15,13.5,42,37.8,48,43.2,90,81.1,619
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Female",117,13,11.1,41,35.0,50,42.7,13,11.1,63,53.8,534
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Male",112,17,15.2,45,40.2,42,37.5,8,7.1,50,44.6,516
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Female",104,11,10.6,37,35.6,45,43.3,11,10.6,56,53.8,531
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Male",90,15,16.7,20,22.2,46,51.1,9,10.0,55,61.1,530
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Female",68,19,27.9,38,55.9,11,16.2,0,0.0,11,16.2,459
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Male",69,21,30.4,38,55.1,"*","*","*","*",10,14.5,457
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Female",14,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Male",14,"*","*","*","*","*","*","*","*","*","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Female",39,"*","*",13,33.3,"*","*","*","*","*","*",531
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Male",28,"*","*",10,35.7,"*","*","*","*","*","*",494
"Branford School District","=""0140011""","Branford High School","=""0146111""","Female",100,15,15.0,51,51.0,25,25.0,9,9.0,34,34.0,503
"Branford School District","=""0140011""","Branford High School","=""0146111""","Male",132,32,24.2,50,37.9,32,24.2,18,13.6,50,37.9,503
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Branford School District","=""0140011""","Branford High School Horizons Program","=""0140211""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Female",18,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Achievement First Bridgeport Academy","=""2850113""","Male",17,"*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Female",48,13,27.1,26,54.2,"*","*","*","*",9,18.8,472
"Bridgeport School District","=""0150011""","Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus","=""0150811""","Male",82,14,17.1,48,58.5,"*","*","*","*",20,24.4,490
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Female",58,36,62.1,"*","*","*","*",0,0.0,"*","*",392
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""","Male",61,43,70.5,"*","*","*","*",0,0.0,"*","*",389
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Female",97,33,34.0,56,57.7,"*","*","*","*","*","*",442
"Bridgeport School District","=""0150011""","Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus","=""0150611""","Male",37,16,43.2,16,43.2,"*","*","*","*","*","*",438
"Bridgeport School District","=""0150011""","Bridgeport Learning Center","=""0159011""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Female",33,27,81.8,6,18.2,0,0.0,0,0.0,0,0.0,379
"Bridgeport School District","=""0150011""","Bridgeport Military Academy","=""0151611""","Male",57,40,70.2,"*","*","*","*",0,0.0,"*","*",389
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Career and Craftsmanship","=""0152711""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Female",123,46,37.4,61,49.6,16,13.0,0,0.0,16,13.0,436
"Bridgeport School District","=""0150011""","Central High School","=""0156211""","Male",111,63,56.8,36,32.4,12,10.8,0,0.0,12,10.8,413
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Female",97,78,80.4,"*","*","*","*",0,0.0,"*","*",369
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""","Male",78,57,73.1,"*","*","*","*",0,0.0,"*","*",384
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Female",45,16,35.6,26,57.8,"*","*","*","*","*","*",444
"Bridgeport School District","=""0150011""","Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus","=""0151511""","Male",87,29,33.3,36,41.4,"*","*","*","*","*","*",460
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Female",126,20,15.9,61,48.4,38,30.2,7,5.6,45,35.7,501
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""","Male",136,22,16.2,60,44.1,45,33.1,9,6.6,54,39.7,502
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Female",150,"*","*",78,52.0,36,24.0,"*","*","*","*",478
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""","Male",135,"*","*",58,43.0,44,32.6,"*","*","*","*",494
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Female","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""","Male","*","*","*","*","*","*","*","*","*","*","*","*"
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Female",100,9,9.0,39,39.0,39,39.0,13,13.0,52,52.0,533
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""","Male",122,7,5.7,41,33.6,57,46.7,17,13.9,74,60.7,550
"Canton School District","=""0230011""","Canton High School","=""0236111""","Female",57,"*","*",23,40.4,25,43.9,"*","*","*","*",530
"Canton School District","=""0230011""","Canton High School","=""0236111""","Male",58,"*","*",12,20.7,23,39.7,"*","*","*","*",562
"Capital Preparatory Harbor School Inc. District","=""2970013""","Capital Preparatory Harbor School Inc.","=""2970113""","Female",6,"*","*","*","*","*","*","*","*","*","*","*"
