"College Entrance and Persistence, 2009-10"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""",67.1,88.0
"Avon School District","=""0040011""",81.8,96.9
"Berlin School District","=""0070011""",75.7,94.4
"Bethel School District","=""0090011""",78.3,89.4
"Bloomfield School District","=""0110011""",67.1,77.4
"Bolton School District","=""0120011""",86.4,93.0
"Branford School District","=""0140011""",79.4,95.2
"Bridgeport School District","=""0150011""",57.6,79.9
"Bristol School District","=""0170011""",68.6,86.7
"Brookfield School District","=""0180011""",85.3,91.9
"Canton School District","=""0230011""",82.0,89.9
"Cheshire School District","=""0250011""",86.1,95.0
"Clinton School District","=""0270011""",75.7,90.6
"Colchester School District","=""0280011""",77.8,89.0
"Coventry School District","=""0320011""",73.2,89.0
"Cromwell School District","=""0330011""",75.5,86.1
"Danbury School District","=""0340011""",67.1,90.5
"Darien School District","=""0350011""",83.2,94.3
"Derby School District","=""0370011""",53.5,80.4
"East Granby School District","=""0400011""",93.5,93.0
"East Haddam School District","=""0410011""",78.9,84.9
"East Hampton School District","=""0420011""",78.3,84.8
"East Hartford School District","=""0430011""",60.1,84.0
"East Haven School District","=""0440011""",60.7,90.3
"East Lyme School District","=""0450011""",85.4,91.4
"East Windsor School District","=""0470011""",63.3,82.3
"Ellington School District","=""0480011""",84.7,89.0
"Enfield School District","=""0490011""",77.0,84.6
"Fairfield School District","=""0510011""",83.6,93.3
"Farmington School District","=""0520011""",82.8,93.0
"Glastonbury School District","=""0540011""",84.6,94.9
"Granby School District","=""0560011""",77.1,91.3
"Greenwich School District","=""0570011""",76.5,92.8
"Griswold School District","=""0580011""",64.7,79.1
"Groton School District","=""0590011""",74.3,86.5
"Guilford School District","=""0600011""",86.8,94.2
"Hamden School District","=""0620011""",71.5,86.0
"Hartford School District","=""0640011""",57.3,77.0
"Killingly School District","=""0690011""",67.3,82.9
"Lebanon School District","=""0710011""",69.4,95.2
"Ledyard School District","=""0720011""",75.8,86.6
"Lisbon School District","=""0730011""",*,*
"Litchfield School District","=""0740011""",79.2,85.7
"Madison School District","=""0760011""",83.6,93.7
"Manchester School District","=""0770011""",69.0,89.0
"Meriden School District","=""0800011""",59.0,80.0
"Middletown School District","=""0830011""",67.9,85.4
"Milford School District","=""0840011""",73.9,90.1
"Monroe School District","=""0850011""",85.2,92.1
"Montville School District","=""0860011""",73.6,81.7
"Naugatuck School District","=""0880011""",59.0,85.8
"New Britain School District","=""0890011""",54.9,78.9
"New Canaan School District","=""0900011""",81.0,94.0
"New Fairfield School District","=""0910011""",81.7,88.6
"New Haven School District","=""0930011""",58.9,75.2
"Newington School District","=""0940011""",78.6,90.2
"New London School District","=""0950011""",52.3,67.5
"New Milford School District","=""0960011""",77.1,88.2
"Newtown School District","=""0970011""",83.0,93.4
"North Branford School District","=""0990011""",81.6,94.2
"North Haven School District","=""1010011""",81.8,90.9
"North Stonington School District","=""1020011""",78.8,90.2
"Norwalk School District","=""1030011""",72.3,88.0
"Norwich School District","=""1040011""",*,*
"Old Saybrook School District","=""1060011""",84.0,94.0
"Oxford School District","=""1080011""",73.2,92.7
"Plainfield School District","=""1090011""",61.6,80.3
"Plainville School District","=""1100011""",70.4,87.4
"Plymouth School District","=""1110011""",65.3,88.9
"Portland School District","=""1130011""",78.4,88.4
"Putnam School District","=""1160011""",67.1,66.0
