"College Entrance and Persistence, Trend"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"",,,"2009-10",,"2010-11",,"2011-12",,"2012-13",,"2013-14",
"District","District Code","English Learner Status","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Avon School District","=""0040011""","English Language Learners",*,*,N/A,N/A,*,*,*,*,*,*
"Berlin School District","=""0070011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Bethel School District","=""0090011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Bloomfield School District","=""0110011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Branford School District","=""0140011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Bridgeport School District","=""0150011""","English Language Learners",41.1,84.3,43.5,84.2,40.9,92.1,40.0,70.4,46.5,80.0
"Bristol School District","=""0170011""","English Language Learners",*,*,*,*,57.1,*,55.0,*,40.7,*
"Brookfield School District","=""0180011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Clinton School District","=""0270011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Colchester School District","=""0280011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Cromwell School District","=""0330011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Danbury School District","=""0340011""","English Language Learners",35.3,77.8,37.0,81.1,39.8,78.4,49.2,81.0,45.6,82.3
"Darien School District","=""0350011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Derby School District","=""0370011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"East Hartford School District","=""0430011""","English Language Learners",73.9,*,48.5,*,47.1,*,45.7,*,41.0,64.0
"East Haven School District","=""0440011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"East Windsor School District","=""0470011""","English Language Learners",*,*,N/A,N/A,*,*,*,*,*,*
"Ellington School District","=""0480011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Enfield School District","=""0490011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
"Fairfield School District","=""0510011""","English Language Learners",*,*,*,*,*,*,64.0,*,59.3,*
"Farmington School District","=""0520011""","English Language Learners",*,*,N/A,N/A,*,*,*,*,*,*
"Glastonbury School District","=""0540011""","English Language Learners",*,*,*,*,*,*,*,*,*,*
