"College Entrance and Persistence, 2006-07"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","English Learner Status","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","English Language Learners",*,*
"Avon School District","=""0040011""","English Language Learners",*,*
"Berlin School District","=""0070011""","English Language Learners",*,*
"Bethel School District","=""0090011""","English Language Learners",*,*
"Bridgeport School District","=""0150011""","English Language Learners",35.2,64.0
"Bristol School District","=""0170011""","English Language Learners",*,*
"Clinton School District","=""0270011""","English Language Learners",*,*
"Cromwell School District","=""0330011""","English Language Learners",*,*
"Danbury School District","=""0340011""","English Language Learners",26.9,*
"Darien School District","=""0350011""","English Language Learners",*,*
"Derby School District","=""0370011""","English Language Learners",*,*
"East Haddam School District","=""0410011""","English Language Learners",*,*
"East Hartford School District","=""0430011""","English Language Learners",*,*
"East Haven School District","=""0440011""","English Language Learners",*,*
"East Lyme School District","=""0450011""","English Language Learners",*,*
"East Windsor School District","=""0470011""","English Language Learners",*,*
"Enfield School District","=""0490011""","English Language Learners",*,*
"Fairfield School District","=""0510011""","English Language Learners",*,*
"Glastonbury School District","=""0540011""","English Language Learners",*,*
"Greenwich School District","=""0570011""","English Language Learners",*,*
"Groton School District","=""0590011""","English Language Learners",*,*
"Guilford School District","=""0600011""","English Language Learners",*,*
"Hamden School District","=""0620011""","English Language Learners",*,*
"Hartford School District","=""0640011""","English Language Learners",36.8,68.0
"Killingly School District","=""0690011""","English Language Learners",*,*
"Ledyard School District","=""0720011""","English Language Learners",*,*
"Manchester School District","=""0770011""","English Language Learners",*,*
"Meriden School District","=""0800011""","English Language Learners",*,*
"Milford School District","=""0840011""","English Language Learners",*,*
"Montville School District","=""0860011""","English Language Learners",*,*
"Naugatuck School District","=""0880011""","English Language Learners",*,*
"New Britain School District","=""0890011""","English Language Learners",48.5,87.5
"New Canaan School District","=""0900011""","English Language Learners",*,*
"New Haven School District","=""0930011""","English Language Learners",30.6,*
"Newington School District","=""0940011""","English Language Learners",*,*
"New London School District","=""0950011""","English Language Learners",47.8,*
"New Milford School District","=""0960011""","English Language Learners",*,*
"North Branford School District","=""0990011""","English Language Learners",*,*
"Norwalk School District","=""1030011""","English Language Learners",25.6,*
"Old Saybrook School District","=""1060011""","English Language Learners",*,*
"Plainfield School District","=""1090011""","English Language Learners",*,*
"Plainville School District","=""1100011""","English Language Learners",*,*
"Plymouth School District","=""1110011""","English Language Learners",*,*
"Ridgefield School District","=""1180011""","English Language Learners",*,*
"Rocky Hill School District","=""1190011""","English Language Learners",*,*
"Shelton School District","=""1260011""","English Language Learners",*,*
"Southington School District","=""1310011""","English Language Learners",*,*
"South Windsor School District","=""1320011""","English Language Learners",*,*
"Stamford School District","=""1350011""","English Language Learners",31.9,70.0
"Stratford School District","=""1380011""","English Language Learners",*,*
"Thomaston School District","=""1400011""","English Language Learners",*,*
"Tolland School District","=""1420011""","English Language Learners",*,*
"Torrington School District","=""1430011""","English Language Learners",*,*
"Trumbull School District","=""1440011""","English Language Learners",*,*
"Vernon School District","=""1460011""","English Language Learners",*,*
"Wallingford School District","=""1480011""","English Language Learners",*,*
"Waterbury School District","=""1510011""","English Language Learners",30.4,85.7
"Waterford School District","=""1520011""","English Language Learners",*,*
"Watertown School District","=""1530011""","English Language Learners",*,*
"West Hartford School District","=""1550011""","English Language Learners",*,*
"West Haven School District","=""1560011""","English Language Learners",*,*
"Weston School District","=""1570011""","English Language Learners",*,*
"Wethersfield School District","=""1590011""","English Language Learners",*,*
"Windham School District","=""1630011""","English Language Learners",*,*
"Windsor School District","=""1640011""","English Language Learners",*,*
"Windsor Locks School District","=""1650011""","English Language Learners",*,*
"Regional School District 05","=""2050012""","English Language Learners",*,*
"Regional School District 07","=""2070012""","English Language Learners",*,*
"Regional School District 09","=""2090012""","English Language Learners",*,*
"Regional School District 17","=""2170012""","English Language Learners",*,*
"Stamford Academy District","=""2820013""","English Language Learners",*,*
"Connecticut Technical High School System","=""9000016""","English Language Learners",14.3,*
"Norwich Free Academy District","=""9010022""","English Language Learners",*,*
"The Gilbert School District","=""9020022""","English Language Learners",*,*

