"College Entrance and Persistence, 2010-11"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Race/Ethnicity","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","American Indian or Alaska Native",*,*
"Ansonia School District","=""0020011""","Asian",*,*
"Ansonia School District","=""0020011""","Black or African American",55.6,85.0
"Ansonia School District","=""0020011""","Hispanic or Latino",*,*
"Ansonia School District","=""0020011""","White",61.0,95.7
"Avon School District","=""0040011""","Asian",*,*
"Avon School District","=""0040011""","Black or African American",*,*
"Avon School District","=""0040011""","Hispanic or Latino",*,*
"Avon School District","=""0040011""","Two or More Races",*,*
"Avon School District","=""0040011""","White",83.7,95.4
"Berlin School District","=""0070011""","American Indian or Alaska Native",*,*
"Berlin School District","=""0070011""","Asian",*,*
"Berlin School District","=""0070011""","Black or African American",*,*
"Berlin School District","=""0070011""","Hispanic or Latino",*,*
"Berlin School District","=""0070011""","Two or More Races",*,*
"Berlin School District","=""0070011""","White",83.5,92.5
"Bethel School District","=""0090011""","Asian",*,*
"Bethel School District","=""0090011""","Black or African American",*,*
"Bethel School District","=""0090011""","Hispanic or Latino",*,*
"Bethel School District","=""0090011""","White",82.2,91.4
"Bloomfield School District","=""0110011""","Asian",*,*
"Bloomfield School District","=""0110011""","Black or African American",76.1,85.7
"Bloomfield School District","=""0110011""","Hispanic or Latino",*,*
"Bloomfield School District","=""0110011""","White",*,*
"Bolton School District","=""0120011""","Black or African American",*,*
"Bolton School District","=""0120011""","Hispanic or Latino",*,*
"Bolton School District","=""0120011""","White",89.1,93.0
"Branford School District","=""0140011""","American Indian or Alaska Native",*,*
"Branford School District","=""0140011""","Asian",*,*
"Branford School District","=""0140011""","Black or African American",*,*
"Branford School District","=""0140011""","Hispanic or Latino",*,*
"Branford School District","=""0140011""","Two or More Races",*,*
"Branford School District","=""0140011""","White",77.9,90.9
"Bridgeport School District","=""0150011""","American Indian or Alaska Native",74.6,88.6
"Bridgeport School District","=""0150011""","Asian",72.7,79.2
"Bridgeport School District","=""0150011""","Black or African American",63.8,78.5
"Bridgeport School District","=""0150011""","Hispanic or Latino",48.6,74.2
"Bridgeport School District","=""0150011""","Two or More Races",*,*
"Bridgeport School District","=""0150011""","White",44.4,87.5
"Bristol School District","=""0170011""","American Indian or Alaska Native",*,*
"Bristol School District","=""0170011""","Asian",*,*
"Bristol School District","=""0170011""","Black or African American",64.7,59.1
"Bristol School District","=""0170011""","Hispanic or Latino",54.9,79.5
"Bristol School District","=""0170011""","Two or More Races",*,*
"Bristol School District","=""0170011""","White",71.1,87.6
"Brookfield School District","=""0180011""","Asian",*,*
"Brookfield School District","=""0180011""","Black or African American",*,*
"Brookfield School District","=""0180011""","Hispanic or Latino",*,*
"Brookfield School District","=""0180011""","White",80.5,89.5
"Canton School District","=""0230011""","Asian",*,*
"Canton School District","=""0230011""","Black or African American",*,*
"Canton School District","=""0230011""","Hispanic or Latino",*,*
"Canton School District","=""0230011""","Two or More Races",*,*
"Canton School District","=""0230011""","White",74.8,92.2
"Cheshire School District","=""0250011""","Asian",80.0,100.0
"Cheshire School District","=""0250011""","Black or African American",*,*
"Cheshire School District","=""0250011""","Hispanic or Latino",*,*
"Cheshire School District","=""0250011""","White",88.8,94.2
"Clinton School District","=""0270011""","Asian",*,*
"Clinton School District","=""0270011""","Black or African American",*,*
"Clinton School District","=""0270011""","Hispanic or Latino",*,*
"Clinton School District","=""0270011""","Native Hawaiian or Other Pacific Islander",*,*
"Clinton School District","=""0270011""","Two or More Races",*,*
"Clinton School District","=""0270011""","White",70.9,90.4
"Colchester School District","=""0280011""","Asian",*,*
"Colchester School District","=""0280011""","Black or African American",*,*
"Colchester School District","=""0280011""","Hispanic or Latino",*,*
"Colchester School District","=""0280011""","White",79.3,89.2
"Coventry School District","=""0320011""","Black or African American",*,*
"Coventry School District","=""0320011""","Hispanic or Latino",*,*
"Coventry School District","=""0320011""","Two or More Races",*,*
"Coventry School District","=""0320011""","White",65.4,88.8
"Cromwell School District","=""0330011""","Asian",*,*
"Cromwell School District","=""0330011""","Black or African American",*,*
"Cromwell School District","=""0330011""","Hispanic or Latino",*,*
"Cromwell School District","=""0330011""","Native Hawaiian or Other Pacific Islander",*,*
"Cromwell School District","=""0330011""","White",80.9,90.9
"Danbury School District","=""0340011""","American Indian or Alaska Native",*,*
"Danbury School District","=""0340011""","Asian",*,*
"Danbury School District","=""0340011""","Black or African American",71.9,89.1
"Danbury School District","=""0340011""","Hispanic or Latino",53.0,86.0
"Danbury School District","=""0340011""","Two or More Races",*,*
"Danbury School District","=""0340011""","White",76.6,88.6
"Darien School District","=""0350011""","Asian",*,*
"Darien School District","=""0350011""","Black or African American",*,*
"Darien School District","=""0350011""","Hispanic or Latino",*,*
"Darien School District","=""0350011""","White",82.5,96.7
