"College Entrance and Persistence, 2007-08"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Gender","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Female",67.1,80.7
"Ansonia School District","=""0020011""","Male",56.3,77.5
"Avon School District","=""0040011""","Female",86.7,99.0
"Avon School District","=""0040011""","Male",84.0,96.4
"Berlin School District","=""0070011""","Female",83.9,91.3
"Berlin School District","=""0070011""","Male",71.2,88.1
"Bethel School District","=""0090011""","Female",78.5,90.5
"Bethel School District","=""0090011""","Male",66.1,95.2
"Bloomfield School District","=""0110011""","Female",75.0,86.7
"Bloomfield School District","=""0110011""","Male",61.7,86.2
"Bolton School District","=""0120011""","Female",82.9,96.6
"Bolton School District","=""0120011""","Male",84.6,100.0
"Branford School District","=""0140011""","Female",80.6,91.3
"Branford School District","=""0140011""","Male",69.2,92.2
"Bridgeport School District","=""0150011""","Female",56.1,85.0
"Bridgeport School District","=""0150011""","Male",41.6,80.7
"Bristol School District","=""0170011""","Female",73.9,90.4
"Bristol School District","=""0170011""","Male",62.0,84.7
"Brookfield School District","=""0180011""","Female",89.6,94.7
"Brookfield School District","=""0180011""","Male",80.3,91.2
"Canton School District","=""0230011""","Female",93.0,84.9
"Canton School District","=""0230011""","Male",73.4,97.9
"Cheshire School District","=""0250011""","Female",90.3,94.7
"Cheshire School District","=""0250011""","Male",81.6,92.3
"Clinton School District","=""0270011""","Female",74.7,87.7
"Clinton School District","=""0270011""","Male",76.5,92.3
"Colchester School District","=""0280011""","Female",81.0,91.8
"Colchester School District","=""0280011""","Male",67.4,85.1
"Coventry School District","=""0320011""","Female",78.6,92.7
"Coventry School District","=""0320011""","Male",72.6,88.9
"Cromwell School District","=""0330011""","Female",82.8,92.5
"Cromwell School District","=""0330011""","Male",66.1,89.2
"Danbury School District","=""0340011""","Female",69.1,89.9
"Danbury School District","=""0340011""","Male",71.8,85.4
"Darien School District","=""0350011""","Female",89.6,98.2
"Darien School District","=""0350011""","Male",84.3,92.8
"Derby School District","=""0370011""","Female",64.6,90.3
"Derby School District","=""0370011""","Male",53.2,68.0
"East Granby School District","=""0400011""","Female",77.8,85.7
"East Granby School District","=""0400011""","Male",81.6,90.3
"East Haddam School District","=""0410011""","Female",86.1,74.2
"East Haddam School District","=""0410011""","Male",65.0,80.8
"East Hampton School District","=""0420011""","Female",87.1,88.5
"East Hampton School District","=""0420011""","Male",62.7,85.7
"East Hartford School District","=""0430011""","Female",63.3,77.0
"East Hartford School District","=""0430011""","Male",53.4,73.8
"East Haven School District","=""0440011""","Female",73.1,89.5
"East Haven School District","=""0440011""","Male",63.8,84.0
"East Lyme School District","=""0450011""","Female",84.6,94.6
"East Lyme School District","=""0450011""","Male",77.6,94.2
"East Windsor School District","=""0470011""","Female",68.2,88.9
"East Windsor School District","=""0470011""","Male",56.3,92.6
"Ellington School District","=""0480011""","Female",83.1,96.9
"Ellington School District","=""0480011""","Male",76.6,88.9
"Enfield School District","=""0490011""","Female",80.9,84.5
"Enfield School District","=""0490011""","Male",67.9,84.7
"Fairfield School District","=""0510011""","Female",84.3,96.6
"Fairfield School District","=""0510011""","Male",79.8,94.0
"Farmington School District","=""0520011""","Female",78.1,93.0
"Farmington School District","=""0520011""","Male",77.0,94.4
"Glastonbury School District","=""0540011""","Female",89.7,94.9
"Glastonbury School District","=""0540011""","Male",83.2,88.9
"Granby School District","=""0560011""","Female",85.4,85.5
"Granby School District","=""0560011""","Male",69.1,86.8
"Greenwich School District","=""0570011""","Female",78.9,94.7
"Greenwich School District","=""0570011""","Male",73.6,95.4
"Griswold School District","=""0580011""","Female",69.0,81.0
"Griswold School District","=""0580011""","Male",57.0,86.7
"Groton School District","=""0590011""","Female",66.7,90.6
"Groton School District","=""0590011""","Male",62.8,79.1
"Guilford School District","=""0600011""","Female",88.8,91.9
"Guilford School District","=""0600011""","Male",83.0,96.6
"Hamden School District","=""0620011""","Female",77.0,83.2
"Hamden School District","=""0620011""","Male",70.8,89.0
"Hartford School District","=""0640011""","Female",61.1,78.9
"Hartford School District","=""0640011""","Male",51.3,82.5
"Killingly School District","=""0690011""","Female",51.4,89.1
"Killingly School District","=""0690011""","Male",48.1,84.2
"Lebanon School District","=""0710011""","Female",77.4,93.8
"Lebanon School District","=""0710011""","Male",65.6,92.5
"Ledyard School District","=""0720011""","Female",66.9,85.5
"Ledyard School District","=""0720011""","Male",70.5,87.2
"Litchfield School District","=""0740011""","Female",85.1,97.5
"Litchfield School District","=""0740011""","Male",73.3,88.6
"Madison School District","=""0760011""","Female",88.8,97.2
"Madison School District","=""0760011""","Male",80.8,98.4
"Manchester School District","=""0770011""","Female",71.7,85.3
"Manchester School District","=""0770011""","Male",64.1,82.6
"Meriden School District","=""0800011""","Female",66.8,82.1
"Meriden School District","=""0800011""","Male",59.1,76.7
"Middletown School District","=""0830011""","Female",78.3,83.7
"Middletown School District","=""0830011""","Male",61.3,79.3
"Milford School District","=""0840011""","Female",80.7,92.8
"Milford School District","=""0840011""","Male",68.3,88.7
"Monroe School District","=""0850011""","Female",85.6,95.5
