"College Entrance and Persistence, Trend"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"",,,"2009-10",,"2010-11",,"2011-12",,"2012-13",,"2013-14",
"District","District Code","Free/Reduced Price Meal Eligibility","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Eligible for Free or Reduced-Price Meals",60.7,84.3,47.8,81.8,52.2,79.7,53.4,76.2,53.8,71.4
"Avon School District","=""0040011""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,90.0,*,76.9,85.0
"Berlin School District","=""0070011""","Eligible for Free or Reduced-Price Meals",*,*,58.3,*,53.8,90.5,54.5,*,71.1,78.1
"Bethel School District","=""0090011""","Eligible for Free or Reduced-Price Meals",51.2,95.2,54.1,95.0,67.5,81.5,63.0,86.2,59.2,72.4
"Bloomfield School District","=""0110011""","Eligible for Free or Reduced-Price Meals",60.2,74.0,68.7,77.2,65.8,69.9,64.2,78.6,66.7,75.6
"Bolton School District","=""0120011""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"Branford School District","=""0140011""","Eligible for Free or Reduced-Price Meals",62.5,96.0,68.8,87.9,67.7,78.6,57.6,76.3,61.3,91.8
"Bridgeport School District","=""0150011""","Eligible for Free or Reduced-Price Meals",57.3,79.5,57.5,78.3,55.7,81.4,56.3,76.7,52.8,79.6
"Bristol School District","=""0170011""","Eligible for Free or Reduced-Price Meals",47.8,76.6,54.3,72.9,42.3,85.1,46.0,74.7,45.8,77.6
"Brookfield School District","=""0180011""","Eligible for Free or Reduced-Price Meals",*,*,55.0,*,*,*,89.7,88.5,81.3,88.5
"Canton School District","=""0230011""","Eligible for Free or Reduced-Price Meals",*,*,*,*,*,*,*,*,*,*
"Cheshire School District","=""0250011""","Eligible for Free or Reduced-Price Meals",*,*,73.0,85.2,71.4,85.7,58.3,89.3,76.1,88.6
