"College Entrance and Persistence, 2007-08"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Race/Ethnicity","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Asian",*,*
"Ansonia School District","=""0020011""","Black or African American",55.6,90.0
"Ansonia School District","=""0020011""","Hispanic or Latino",68.2,*
"Ansonia School District","=""0020011""","White",63.9,79.0
"Avon School District","=""0040011""","Asian",*,*
"Avon School District","=""0040011""","Black or African American",*,*
"Avon School District","=""0040011""","Hispanic or Latino",*,*
"Avon School District","=""0040011""","White",85.5,97.4
"Berlin School District","=""0070011""","Asian",*,*
"Berlin School District","=""0070011""","Black or African American",*,*
"Berlin School District","=""0070011""","Hispanic or Latino",*,*
"Berlin School District","=""0070011""","White",77.6,89.9
"Bethel School District","=""0090011""","Asian",*,*
"Bethel School District","=""0090011""","Black or African American",*,*
"Bethel School District","=""0090011""","Hispanic or Latino",*,*
"Bethel School District","=""0090011""","White",73.2,92.4
"Bloomfield School District","=""0110011""","Black or African American",71.7,88.9
"Bloomfield School District","=""0110011""","Hispanic or Latino",*,*
"Bloomfield School District","=""0110011""","White",*,*
"Bolton School District","=""0120011""","Asian",*,*
"Bolton School District","=""0120011""","White",*,*
"Branford School District","=""0140011""","American Indian or Alaska Native",*,*
"Branford School District","=""0140011""","Asian",*,*
"Branford School District","=""0140011""","Black or African American",*,*
"Branford School District","=""0140011""","Hispanic or Latino",*,*
"Branford School District","=""0140011""","White",76.0,91.4
"Bridgeport School District","=""0150011""","American Indian or Alaska Native",*,*
"Bridgeport School District","=""0150011""","Asian",*,93.8
"Bridgeport School District","=""0150011""","Black or African American",54.2,83.0
"Bridgeport School District","=""0150011""","Hispanic or Latino",38.2,79.7
"Bridgeport School District","=""0150011""","White",57.3,91.5
"Bristol School District","=""0170011""","American Indian or Alaska Native",*,*
"Bristol School District","=""0170011""","Asian",*,*
"Bristol School District","=""0170011""","Black or African American",52.5,90.5
"Bristol School District","=""0170011""","Hispanic or Latino",*,*
"Bristol School District","=""0170011""","White",72.5,88.5
"Brookfield School District","=""0180011""","Asian",*,*
"Brookfield School District","=""0180011""","Black or African American",*,*
"Brookfield School District","=""0180011""","Hispanic or Latino",*,*
"Brookfield School District","=""0180011""","White",85.9,93.4
"Canton School District","=""0230011""","Asian",*,*
"Canton School District","=""0230011""","Black or African American",*,*
"Canton School District","=""0230011""","White",83.6,90.7
"Cheshire School District","=""0250011""","Asian",91.7,100.0
"Cheshire School District","=""0250011""","Black or African American",*,*
"Cheshire School District","=""0250011""","Hispanic or Latino",*,*
"Cheshire School District","=""0250011""","White",85.7,93.2
"Clinton School District","=""0270011""","Asian",*,*
"Clinton School District","=""0270011""","Hispanic or Latino",*,*
"Clinton School District","=""0270011""","White",77.0,89.5
"Colchester School District","=""0280011""","American Indian or Alaska Native",*,*
"Colchester School District","=""0280011""","Black or African American",*,*
"Colchester School District","=""0280011""","Hispanic or Latino",*,*
"Colchester School District","=""0280011""","White",74.7,88.9
"Coventry School District","=""0320011""","Black or African American",*,*
"Coventry School District","=""0320011""","Hispanic or Latino",*,*
"Coventry School District","=""0320011""","White",77.7,91.5
"Cromwell School District","=""0330011""","Asian",*,*
"Cromwell School District","=""0330011""","Black or African American",*,*
"Cromwell School District","=""0330011""","Hispanic or Latino",*,*
"Cromwell School District","=""0330011""","White",76.2,92.2
"Danbury School District","=""0340011""","Asian",82.2,94.6
"Danbury School District","=""0340011""","Black or African American",61.3,89.5
"Danbury School District","=""0340011""","Hispanic or Latino",59.2,76.6
"Danbury School District","=""0340011""","White",74.0,89.7
"Darien School District","=""0350011""","Asian",*,*
"Darien School District","=""0350011""","Black or African American",*,*
"Darien School District","=""0350011""","Hispanic or Latino",*,*
"Darien School District","=""0350011""","White",87.1,96.0
"Derby School District","=""0370011""","Black or African American",*,*
"Derby School District","=""0370011""","Hispanic or Latino",*,*
"Derby School District","=""0370011""","White",68.1,79.6
"East Granby School District","=""0400011""","Asian",*,*
"East Granby School District","=""0400011""","Black or African American",*,*
"East Granby School District","=""0400011""","Hispanic or Latino",*,*
"East Granby School District","=""0400011""","White",82.8,89.6
"East Haddam School District","=""0410011""","American Indian or Alaska Native",*,*
"East Haddam School District","=""0410011""","Black or African American",*,*
"East Haddam School District","=""0410011""","Hispanic or Latino",*,*
"East Haddam School District","=""0410011""","White",73.6,*
"East Hampton School District","=""0420011""","American Indian or Alaska Native",*,*
"East Hampton School District","=""0420011""","Asian",*,*
"East Hampton School District","=""0420011""","Hispanic or Latino",*,*
"East Hampton School District","=""0420011""","White",75.0,86.9
"East Hartford School District","=""0430011""","Asian",90.9,75.0
"East Hartford School District","=""0430011""","Black or African American",56.0,74.8
"East Hartford School District","=""0430011""","Hispanic or Latino",50.3,69.2
"East Hartford School District","=""0430011""","White",66.3,81.8
"East Haven School District","=""0440011""","Asian",*,*
"East Haven School District","=""0440011""","Black or African American",*,*
"East Haven School District","=""0440011""","Hispanic or Latino",*,*
"East Haven School District","=""0440011""","White",69.5,86.5
"East Lyme School District","=""0450011""","American Indian or Alaska Native",*,*
"East Lyme School District","=""0450011""","Asian",86.4,*
"East Lyme School District","=""0450011""","Black or African American",*,*
"East Lyme School District","=""0450011""","Hispanic or Latino",*,*
"East Lyme School District","=""0450011""","White",81.1,94.4
"East Windsor School District","=""0470011""","Black or African American",*,*
"East Windsor School District","=""0470011""","Hispanic or Latino",*,*
"East Windsor School District","=""0470011""","White",66.3,88.9
"Ellington School District","=""0480011""","Black or African American",*,*
"Ellington School District","=""0480011""","Hispanic or Latino",*,*
"Ellington School District","=""0480011""","White",80.1,92.5
"Enfield School District","=""0490011""","American Indian or Alaska Native",*,*
"Enfield School District","=""0490011""","Asian",*,*
"Enfield School District","=""0490011""","Black or African American",76.9,90.0
"Enfield School District","=""0490011""","Hispanic or Latino",*,*
"Enfield School District","=""0490011""","White",73.3,85.5
"Fairfield School District","=""0510011""","American Indian or Alaska Native",*,*
"Fairfield School District","=""0510011""","Asian",73.3,86.4
"Fairfield School District","=""0510011""","Black or African American",*,*
"Fairfield School District","=""0510011""","Hispanic or Latino",*,*
"Fairfield School District","=""0510011""","White",83.2,96.3
"Farmington School District","=""0520011""","American Indian or Alaska Native",*,*
"Farmington School District","=""0520011""","Asian",85.0,*
"Farmington School District","=""0520011""","Black or African American",*,*
"Farmington School District","=""0520011""","Hispanic or Latino",*,*
"Farmington School District","=""0520011""","White",76.5,94.2
"Glastonbury School District","=""0540011""","American Indian or Alaska Native",*,*
"Glastonbury School District","=""0540011""","Asian",90.9,100.0
"Glastonbury School District","=""0540011""","Black or African American",*,*
"Glastonbury School District","=""0540011""","Hispanic or Latino",68.2,*
"Glastonbury School District","=""0540011""","White",87.4,92.3
"Granby School District","=""0560011""","American Indian or Alaska Native",*,*
"Granby School District","=""0560011""","Asian",*,*
"Granby School District","=""0560011""","Black or African American",*,*
"Granby School District","=""0560011""","Hispanic or Latino",*,*
"Granby School District","=""0560011""","White",76.2,85.8
"Greenwich School District","=""0570011""","Asian",57.8,100.0
"Greenwich School District","=""0570011""","Black or African American",*,*
"Greenwich School District","=""0570011""","Hispanic or Latino",64.4,93.1
"Greenwich School District","=""0570011""","White",80.6,95.1
"Griswold School District","=""0580011""","American Indian or Alaska Native",*,*
"Griswold School District","=""0580011""","Asian",*,*
"Griswold School District","=""0580011""","Black or African American",*,*
"Griswold School District","=""0580011""","White",62.8,85.7
"Groton School District","=""0590011""","American Indian or Alaska Native",*,*
"Groton School District","=""0590011""","Asian",62.1,*
"Groton School District","=""0590011""","Black or African American",48.1,*
"Groton School District","=""0590011""","Hispanic or Latino",*,*
"Groton School District","=""0590011""","White",70.4,84.8
"Guilford School District","=""0600011""","Asian",*,*
"Guilford School District","=""0600011""","Black or African American",*,*
"Guilford School District","=""0600011""","Hispanic or Latino",*,*
"Guilford School District","=""0600011""","White",85.7,95.0
"Hamden School District","=""0620011""","Asian",84.6,72.7
"Hamden School District","=""0620011""","Black or African American",69.0,72.0
"Hamden School District","=""0620011""","Hispanic or Latino",57.1,89.3
"Hamden School District","=""0620011""","White",78.7,93.0
"Hartford School District","=""0640011""","American Indian or Alaska Native",*,*
"Hartford School District","=""0640011""","Asian",*,*
"Hartford School District","=""0640011""","Black or African American",58.6,82.4
"Hartford School District","=""0640011""","Hispanic or Latino",49.6,74.0
"Hartford School District","=""0640011""","White",75.4,86.5
"Killingly School District","=""0690011""",,*,*
"Killingly School District","=""0690011""","American Indian or Alaska Native",*,*
"Killingly School District","=""0690011""","Asian",*,*
"Killingly School District","=""0690011""","Black or African American",*,*
"Killingly School District","=""0690011""","Hispanic or Latino",*,*
"Killingly School District","=""0690011""","White",52.7,86.4
"Lebanon School District","=""0710011""","Asian",*,*
"Lebanon School District","=""0710011""","Black or African American",*,*
"Lebanon School District","=""0710011""","Hispanic or Latino",*,*
"Lebanon School District","=""0710011""","White",72.4,94.0
"Ledyard School District","=""0720011""","American Indian or Alaska Native",*,*
"Ledyard School District","=""0720011""","Asian",*,*
"Ledyard School District","=""0720011""","Black or African American",*,*
"Ledyard School District","=""0720011""","Hispanic or Latino",*,*
"Ledyard School District","=""0720011""","White",69.8,86.5
"Litchfield School District","=""0740011""","Black or African American",*,*
"Litchfield School District","=""0740011""","Hispanic or Latino",*,*
"Litchfield School District","=""0740011""","White",*,*
"Madison School District","=""0760011""","Asian",*,*
"Madison School District","=""0760011""","Black or African American",*,*
"Madison School District","=""0760011""","Hispanic or Latino",*,*
"Madison School District","=""0760011""","White",85.4,97.7
"Manchester School District","=""0770011""","American Indian or Alaska Native",*,*
"Manchester School District","=""0770011""","Asian",81.0,*
"Manchester School District","=""0770011""","Black or African American",58.7,75.9
"Manchester School District","=""0770011""","Hispanic or Latino",58.6,82.4
"Manchester School District","=""0770011""","White",72.6,85.8
"Meriden School District","=""0800011""","American Indian or Alaska Native",*,*
"Meriden School District","=""0800011""","Asian",*,*
"Meriden School District","=""0800011""","Black or African American",56.7,68.4
"Meriden School District","=""0800011""","Hispanic or Latino",52.1,65.3
"Meriden School District","=""0800011""","White",69.2,86.8
"Middletown School District","=""0830011""","American Indian or Alaska Native",*,*
"Middletown School District","=""0830011""","Asian",*,*
