"College Entrance and Persistence, 2009-10"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Race/Ethnicity","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","American Indian or Alaska Native",*,*
"Ansonia School District","=""0020011""","Asian",*,*
"Ansonia School District","=""0020011""","Black or African American",71.1,74.1
"Ansonia School District","=""0020011""","Hispanic or Latino",52.2,*
"Ansonia School District","=""0020011""","White",67.4,92.2
"Avon School District","=""0040011""","Asian",*,*
"Avon School District","=""0040011""","Black or African American",*,*
"Avon School District","=""0040011""","Hispanic or Latino",*,*
"Avon School District","=""0040011""","White",81.5,97.0
"Berlin School District","=""0070011""","Asian",*,*
"Berlin School District","=""0070011""","Black or African American",*,*
"Berlin School District","=""0070011""","Hispanic or Latino",*,*
"Berlin School District","=""0070011""","White",75.9,94.0
"Bethel School District","=""0090011""","American Indian or Alaska Native",*,*
"Bethel School District","=""0090011""","Asian",*,*
"Bethel School District","=""0090011""","Black or African American",*,*
"Bethel School District","=""0090011""","Hispanic or Latino",56.5,*
"Bethel School District","=""0090011""","White",79.1,89.0
"Bloomfield School District","=""0110011""","Asian",*,*
"Bloomfield School District","=""0110011""","Black or African American",68.4,76.9
"Bloomfield School District","=""0110011""","Hispanic or Latino",*,*
"Bloomfield School District","=""0110011""","White",*,*
"Bolton School District","=""0120011""","Asian",*,*
"Bolton School District","=""0120011""","Black or African American",*,*
"Bolton School District","=""0120011""","White",85.7,*
"Branford School District","=""0140011""","American Indian or Alaska Native",*,*
"Branford School District","=""0140011""","Asian",*,*
"Branford School District","=""0140011""","Black or African American",*,*
"Branford School District","=""0140011""","Hispanic or Latino",*,*
"Branford School District","=""0140011""","White",80.4,94.7
"Bridgeport School District","=""0150011""","Asian",77.8,82.1
"Bridgeport School District","=""0150011""","Black or African American",62.5,79.9
"Bridgeport School District","=""0150011""","Hispanic or Latino",49.0,79.2
"Bridgeport School District","=""0150011""","White",59.0,81.6
"Bristol School District","=""0170011""","American Indian or Alaska Native",*,*
"Bristol School District","=""0170011""","Asian",*,*
"Bristol School District","=""0170011""","Black or African American",62.2,87.0
"Bristol School District","=""0170011""","Hispanic or Latino",50.0,87.5
"Bristol School District","=""0170011""","White",70.7,86.2
"Brookfield School District","=""0180011""","Asian",*,*
"Brookfield School District","=""0180011""","Black or African American",*,*
"Brookfield School District","=""0180011""","Hispanic or Latino",*,*
"Brookfield School District","=""0180011""","White",85.5,91.5
"Canton School District","=""0230011""","Asian",*,*
"Canton School District","=""0230011""","Black or African American",*,*
"Canton School District","=""0230011""","Hispanic or Latino",*,*
"Canton School District","=""0230011""","White",82.4,90.3
"Cheshire School District","=""0250011""","Asian",80.0,100.0
"Cheshire School District","=""0250011""","Black or African American",*,*
"Cheshire School District","=""0250011""","Hispanic or Latino",*,*
"Cheshire School District","=""0250011""","White",86.9,94.8
"Clinton School District","=""0270011""","Asian",*,*
"Clinton School District","=""0270011""","Black or African American",*,*
"Clinton School District","=""0270011""","Hispanic or Latino",*,*
"Clinton School District","=""0270011""","White",76.0,90.5
"Colchester School District","=""0280011""","American Indian or Alaska Native",*,*
"Colchester School District","=""0280011""","Asian",*,*
"Colchester School District","=""0280011""","Black or African American",*,*
"Colchester School District","=""0280011""","Hispanic or Latino",*,*
"Colchester School District","=""0280011""","White",79.5,89.8
"Coventry School District","=""0320011""","Asian",*,*
"Coventry School District","=""0320011""","Hispanic or Latino",*,*
"Coventry School District","=""0320011""","White",*,90.1
"Cromwell School District","=""0330011""","Asian",*,*
"Cromwell School District","=""0330011""","Black or African American",*,*
"Cromwell School District","=""0330011""","Hispanic or Latino",*,*
"Cromwell School District","=""0330011""","White",78.1,87.0
"Danbury School District","=""0340011""","Asian",79.2,92.9
"Danbury School District","=""0340011""","Black or African American",68.4,94.2
"Danbury School District","=""0340011""","Hispanic or Latino",45.7,82.4
"Danbury School District","=""0340011""","White",76.9,92.1
"Darien School District","=""0350011""","American Indian or Alaska Native",*,*
"Darien School District","=""0350011""","Asian",*,*
"Darien School District","=""0350011""","Black or African American",*,*
"Darien School District","=""0350011""","Hispanic or Latino",*,*
"Darien School District","=""0350011""","White",83.8,94.3
"Derby School District","=""0370011""","Asian",*,*
"Derby School District","=""0370011""","Black or African American",*,*
"Derby School District","=""0370011""","Hispanic or Latino",*,*
"Derby School District","=""0370011""","White",67.3,80.0
"East Granby School District","=""0400011""","American Indian or Alaska Native",*,*
"East Granby School District","=""0400011""","Asian",*,*
"East Granby School District","=""0400011""","Black or African American",*,*
"East Granby School District","=""0400011""","White",97.4,92.1
"East Haddam School District","=""0410011""","Asian",*,*
"East Haddam School District","=""0410011""","Black or African American",*,*
"East Haddam School District","=""0410011""","Hispanic or Latino",*,*
"East Haddam School District","=""0410011""","White",79.8,*
"East Hampton School District","=""0420011""","Asian",*,*
