"College Entrance and Persistence, 2013-14"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Special Education Status","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Students with Disabilities",31.8,*
"Avon School District","=""0040011""","Students with Disabilities",77.1,81.5
"Berlin School District","=""0070011""","Students with Disabilities",74.3,76.9
"Bethel School District","=""0090011""","Students with Disabilities",61.3,*
"Bloomfield School District","=""0110011""","Students with Disabilities",45.5,*
"Bolton School District","=""0120011""","Students with Disabilities",*,*
"Branford School District","=""0140011""","Students with Disabilities",64.8,80.0
"Bridgeport School District","=""0150011""","Students with Disabilities",26.3,77.4
"Bristol School District","=""0170011""","Students with Disabilities",34.5,60.5
"Brookfield School District","=""0180011""","Students with Disabilities",66.7,*
"Canton School District","=""0230011""","Students with Disabilities",52.0,*
"Cheshire School District","=""0250011""","Students with Disabilities",64.2,76.5
"Clinton School District","=""0270011""","Students with Disabilities",*,*
"Colchester School District","=""0280011""","Students with Disabilities",50.0,*
"Coventry School District","=""0320011""","Students with Disabilities",34.8,*
"Cromwell School District","=""0330011""","Students with Disabilities",*,*
"Danbury School District","=""0340011""","Students with Disabilities",42.7,86.8
"Darien School District","=""0350011""","Students with Disabilities",88.5,90.7
"Derby School District","=""0370011""","Students with Disabilities",*,*
"East Granby School District","=""0400011""","Students with Disabilities",*,*
"East Haddam School District","=""0410011""","Students with Disabilities",*,*
"East Hampton School District","=""0420011""","Students with Disabilities",*,*
"East Hartford School District","=""0430011""","Students with Disabilities",34.1,61.3
"East Haven School District","=""0440011""","Students with Disabilities",38.2,*
"East Lyme School District","=""0450011""","Students with Disabilities",60.0,*
"East Windsor School District","=""0470011""","Students with Disabilities",27.3,*
"Ellington School District","=""0480011""","Students with Disabilities",40.0,*
"Enfield School District","=""0490011""","Students with Disabilities",42.6,62.1
"Fairfield School District","=""0510011""","Students with Disabilities",68.5,88.5
"Farmington School District","=""0520011""","Students with Disabilities",58.8,75.0
"Glastonbury School District","=""0540011""","Students with Disabilities",74.4,87.5
"Granby School District","=""0560011""","Students with Disabilities",66.7,*
"Greenwich School District","=""0570011""","Students with Disabilities",76.6,80.6
"Griswold School District","=""0580011""","Students with Disabilities",37.5,*
"Groton School District","=""0590011""","Students with Disabilities",31.4,*
"Guilford School District","=""0600011""","Students with Disabilities",66.7,90.9
"Hamden School District","=""0620011""","Students with Disabilities",49.1,88.9
"Hartford School District","=""0640011""","Students with Disabilities",30.8,54.1
"Killingly School District","=""0690011""","Students with Disabilities",38.5,*
"Lebanon School District","=""0710011""","Students with Disabilities",*,*
"Ledyard School District","=""0720011""","Students with Disabilities",63.2,83.3
"Litchfield School District","=""0740011""","Students with Disabilities",*,*
"Madison School District","=""0760011""","Students with Disabilities",90.2,91.9
"Manchester School District","=""0770011""","Students with Disabilities",30.4,58.3
"Meriden School District","=""0800011""","Students with Disabilities",39.8,71.4
"Middletown School District","=""0830011""","Students with Disabilities",57.5,69.6
"Milford School District","=""0840011""","Students with Disabilities",44.8,76.7
"Monroe School District","=""0850011""","Students with Disabilities",62.5,88.0
"Montville School District","=""0860011""","Students with Disabilities",33.3,*
"Naugatuck School District","=""0880011""","Students with Disabilities",34.0,*
"New Britain School District","=""0890011""","Students with Disabilities",31.1,*
"New Canaan School District","=""0900011""","Students with Disabilities",87.5,97.1
