"College Entrance and Persistence, 2006-07"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"District","District Code","Special Education Status","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Students with Disabilities",24.0,*
"Avon School District","=""0040011""","Students with Disabilities",53.6,*
"Berlin School District","=""0070011""","Students with Disabilities",*,*
"Bethel School District","=""0090011""","Students with Disabilities",26.1,*
"Bloomfield School District","=""0110011""","Students with Disabilities",*,*
"Bolton School District","=""0120011""","Students with Disabilities",*,*
"Branford School District","=""0140011""","Students with Disabilities",40.0,*
"Bridgeport School District","=""0150011""","Students with Disabilities",19.1,*
"Bristol School District","=""0170011""","Students with Disabilities",25.4,*
"Brookfield School District","=""0180011""","Students with Disabilities",*,*
"Canton School District","=""0230011""","Students with Disabilities",*,*
"Cheshire School District","=""0250011""","Students with Disabilities",56.7,*
"Clinton School District","=""0270011""","Students with Disabilities",65.0,*
"Colchester School District","=""0280011""","Students with Disabilities",*,*
"Coventry School District","=""0320011""","Students with Disabilities",*,*
"Cromwell School District","=""0330011""","Students with Disabilities",*,*
"Danbury School District","=""0340011""","Students with Disabilities",33.3,*
"Darien School District","=""0350011""","Students with Disabilities",73.1,*
"Derby School District","=""0370011""","Students with Disabilities",*,*
"Eastford School District","=""0390011""","Students with Disabilities",*,*
"East Granby School District","=""0400011""","Students with Disabilities",*,*
"East Haddam School District","=""0410011""","Students with Disabilities",*,*
"East Hampton School District","=""0420011""","Students with Disabilities",*,*
"East Hartford School District","=""0430011""","Students with Disabilities",31.1,*
"East Haven School District","=""0440011""","Students with Disabilities",*,*
"East Lyme School District","=""0450011""","Students with Disabilities",45.9,*
"East Windsor School District","=""0470011""","Students with Disabilities",*,*
"Ellington School District","=""0480011""","Students with Disabilities",*,*
"Enfield School District","=""0490011""","Students with Disabilities",41.9,*
"Fairfield School District","=""0510011""","Students with Disabilities",66.1,90.2
"Farmington School District","=""0520011""","Students with Disabilities",52.0,*
"Glastonbury School District","=""0540011""","Students with Disabilities",56.4,81.8
"Granby School District","=""0560011""","Students with Disabilities",*,*
"Greenwich School District","=""0570011""","Students with Disabilities",60.2,86.5
"Griswold School District","=""0580011""","Students with Disabilities",*,*
"Groton School District","=""0590011""","Students with Disabilities",*,*
"Guilford School District","=""0600011""","Students with Disabilities",64.9,70.8
"Hamden School District","=""0620011""","Students with Disabilities",43.7,80.6
