"Primary Disability (K-12), 2012-13"
"All Districts, Learning Disability"

"",,"2012-13",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""",7,2.4,31.8
"Ansonia School District","=""0020011""",83,3.2,26.6
"Ashford School District","=""0030011""",9,2.2,18.0
"Avon School District","=""0040011""",104,3.0,29.2
"Barkhamsted School District","=""0050011""",18,5.5,48.6
"Berlin School District","=""0070011""",90,3.0,30.1
"Bethany School District","=""0080011""",19,4.1,35.2
"Bethel School District","=""0090011""",121,4.1,37.9
"Bloomfield School District","=""0110011""",73,3.3,32.6
"Bolton School District","=""0120011""",27,3.3,31.4
"Bozrah School District","=""0130011""",13,3.9,32.5
"Branford School District","=""0140011""",119,3.6,26.6
"Bridgeport School District","=""0150011""",997,4.6,35.8
"Bristol School District","=""0170011""",424,5.1,34.4
"Brookfield School District","=""0180011""",92,3.3,31.5
"Brooklyn School District","=""0190011""",61,5.1,43.0
"Canaan School District","=""0210011""","*","*","*"
"Canterbury School District","=""0220011""",15,2.2,22.4
"Canton School District","=""0230011""",48,2.7,31.2
"Chaplin School District","=""0240011""",9,5.7,56.3
"Cheshire School District","=""0250011""",118,2.5,25.5
"Chester School District","=""0260011""",17,6.7,39.5
"Clinton School District","=""0270011""",62,3.2,31.6
"Colchester School District","=""0280011""",105,3.6,30.4
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""",24,3.4,34.8
"Connecticut Technical High School System","=""9000016""",457,4.3,57.3
"Cornwall School District","=""0310011""","*","*","*"
"Coventry School District","=""0320011""",74,4.1,35.1
"Cromwell School District","=""0330011""",54,2.7,27.1
"Danbury School District","=""0340011""",464,4.5,41.4
"Darien School District","=""0350011""",179,3.7,30.7
"Deep River School District","=""0360011""",13,3.7,31.7
"Derby School District","=""0370011""",51,3.3,27.1
"East Granby School District","=""0400011""",37,4.1,40.7
"East Haddam School District","=""0410011""",44,3.5,27.5
"East Hampton School District","=""0420011""",38,2.0,25.0
"East Hartford School District","=""0430011""",282,3.6,25.9
"East Haven School District","=""0440011""",109,3.1,24.7
"East Lyme School District","=""0450011""",127,4.7,39.0
"East Windsor School District","=""0470011""",70,5.3,34.5
"Eastford School District","=""0390011""","*","*","*"
"Easton School District","=""0460011""",23,2.3,30.7
"Ellington School District","=""0480011""",132,4.8,46.0
"Enfield School District","=""0490011""",232,4.1,31.1
"Essex School District","=""0500011""","*","*","*"
"Fairfield School District","=""0510011""",359,3.5,32.5
"Farmington School District","=""0520011""",112,2.7,25.6
"Franklin School District","=""0530011""",9,3.3,27.3
"Glastonbury School District","=""0540011""",161,2.4,26.6
"Granby School District","=""0560011""",66,3.2,36.1
"Greenwich School District","=""0570011""",336,3.9,38.8
"Griswold School District","=""0580011""",74,4.1,31.1
"Groton School District","=""0590011""",220,4.4,31.2
"Guilford School District","=""0600011""",112,3.1,30.5
"Hamden School District","=""0620011""",232,3.4,28.7
"Hampton School District","=""0630011""","*","*","*"
"Hartford School District","=""0640011""",1368,6.7,40.4
"Hartland School District","=""0650011""",11,3.7,37.9
"Hebron School District","=""0670011""",28,3.0,26.4
"Kent School District","=""0680011""",15,5.9,53.6
"Killingly School District","=""0690011""",69,2.8,18.8
"Lebanon School District","=""0710011""",62,5.5,41.1
"Ledyard School District","=""0720011""",83,3.4,24.9
"Lisbon School District","=""0730011""",25,4.0,30.9
"Litchfield School District","=""0740011""",48,4.6,40.0
"Madison School District","=""0760011""",140,4.2,39.8
"Manchester School District","=""0770011""",291,4.1,31.0
"Mansfield School District","=""0780011""",54,4.4,38.3
"Marlborough School District","=""0790011""",31,4.9,53.4
"Meriden School District","=""0800011""",440,4.9,34.0
"Middletown School District","=""0830011""",158,3.1,26.6
"Milford School District","=""0840011""",149,2.2,17.9
"Monroe School District","=""0850011""",131,3.7,35.9
"Montville School District","=""0860011""",75,3.0,26.1
"Naugatuck School District","=""0880011""",224,4.9,38.5
"New Britain School District","=""0890011""",548,5.0,34.1
"New Canaan School District","=""0900011""",108,2.6,28.1
"New Fairfield School District","=""0910011""",86,3.2,31.4
"New Hartford School District","=""0920011""",14,2.5,24.6
"New Haven School District","=""0930011""",864,4.6,36.9
"New London School District","=""0950011""",169,4.9,27.1
"New Milford School District","=""0960011""",154,3.4,26.0
"Newington School District","=""0940011""",211,4.8,39.1
"Newtown School District","=""0970011""",103,2.0,26.0
"Norfolk School District","=""0980011""","*","*","*"
"North Branford School District","=""0990011""",90,4.2,32.1
"North Canaan School District","=""1000011""",10,3.3,23.3
"North Haven School District","=""1010011""",109,3.1,30.9
"North Stonington School District","=""1020011""",24,3.2,35.3
"Norwalk School District","=""1030011""",430,3.8,36.2
"Norwich School District","=""1040011""",236,4.3,26.5
"Old Saybrook School District","=""1060011""",46,3.2,22.4
"Orange School District","=""1070011""",41,3.3,36.6
"Oxford School District","=""1080011""",55,2.6,35.7
"Plainfield School District","=""1090011""",75,3.2,25.6
"Plainville School District","=""1100011""",80,3.3,25.6
"Plymouth School District","=""1110011""",74,4.2,30.0
"Pomfret School District","=""1120011""",25,3.8,37.3
"Portland School District","=""1130011""",46,3.3,37.1
"Preston School District","=""1140011""",11,1.8,13.4
"Putnam School District","=""1160011""",63,5.4,36.2
"Redding School District","=""1170011""",32,3.0,23.9
"Regional School District 01","=""2010012""",30,7.0,51.7
"Regional School District 04","=""2040012""",59,5.8,42.4
"Regional School District 05","=""2050012""",99,4.1,35.6
"Regional School District 06","=""2060012""",48,5.5,43.2
"Regional School District 07","=""2070012""",41,3.8,36.3
"Regional School District 08","=""2080012""",82,4.4,36.1
"Regional School District 09","=""2090012""",35,3.3,28.5
"Regional School District 10","=""2100012""",90,3.4,34.4
"Regional School District 11","=""2110012""",26,7.9,37.7
"Regional School District 12","=""2120012""",50,6.2,39.7
"Regional School District 13","=""2130012""",97,5.0,34.9
"Regional School District 14","=""2140012""",65,3.8,32.5
"Regional School District 15","=""2150012""",198,4.8,39.9
"Regional School District 16","=""2160012""",66,2.8,24.8
"Regional School District 17","=""2170012""",123,5.4,39.5
"Regional School District 18","=""2180012""",55,3.9,34.8
"Regional School District 19","=""2190012""",56,5.1,32.2
"Ridgefield School District","=""1180011""",178,3.4,39.9
"Rocky Hill School District","=""1190011""",68,2.6,31.3
"Salem School District","=""1210011""",20,2.9,32.3
"Salisbury School District","=""1220011""",13,4.5,37.1
"Scotland School District","=""1230011""","*","*","*"
"Seymour School District","=""1240011""",105,4.4,43.2
"Sharon School District","=""1250011""",13,7.5,44.8
"Shelton School District","=""1260011""",221,4.3,38.8
"Sherman School District","=""1270011""",23,4.2,33.3
"Simsbury School District","=""1280011""",185,4.0,34.6
"Somers School District","=""1290011""",58,3.7,35.2
"South Windsor School District","=""1320011""",135,3.1,25.0
"Southington School District","=""1310011""",241,3.6,31.1
"Sprague School District","=""1330011""","*","*","*"
"Stafford School District","=""1340011""",57,3.5,31.1
"Stamford School District","=""1350011""",618,3.9,40.3
"Sterling School District","=""1360011""",29,4.6,31.9
"Stonington School District","=""1370011""",115,4.8,37.7
"Stratford School District","=""1380011""",208,2.8,28.8
"Suffield School District","=""1390011""",98,4.1,39.7
"Thomaston School District","=""1400011""",47,4.1,32.9
"Thompson School District","=""1410011""",36,3.1,27.9
"Tolland School District","=""1420011""",127,4.4,40.3
"Torrington School District","=""1430011""",281,6.2,38.4
"Trumbull School District","=""1440011""",181,2.7,30.2
"Unified School District #1","=""3360015""",80,12.5,32.8
"Unified School District #2","=""3470015""",10,4.4,5.7
"Union School District","=""1450011""","*","*","*"
"Vernon School District","=""1460011""",126,3.5,28.2
"Voluntown School District","=""1470011""",13,3.3,32.5
