"Primary Disability (K-12), 2010-11"
"All Districts, Learning Disability"

"",,"2010-11",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""",6,2.0,27.3
"Ansonia School District","=""0020011""",70,2.5,22.7
"Ashford School District","=""0030011""",12,2.8,22.6
"Avon School District","=""0040011""",103,2.9,28.1
"Barkhamsted School District","=""0050011""",14,4.1,40.0
"Berlin School District","=""0070011""",88,2.8,28.6
"Bethany School District","=""0080011""",27,5.4,42.9
"Bethel School District","=""0090011""",128,4.4,40.8
"Bloomfield School District","=""0110011""",64,2.7,29.5
"Bolton School District","=""0120011""",21,2.5,25.9
"Bozrah School District","=""0130011""",17,4.8,34.7
"Branford School District","=""0140011""",126,3.7,27.2
"Bridgeport School District","=""0150011""",964,4.5,36.2
"Bristol School District","=""0170011""",375,4.4,31.7
"Brookfield School District","=""0180011""",62,2.1,26.5
"Brooklyn School District","=""0190011""",56,4.6,41.5
"Canaan School District","=""0210011""",6,6.6,37.5
"Canterbury School District","=""0220011""",18,2.6,24.7
"Canton School District","=""0230011""",57,3.2,37.3
"Chaplin School District","=""0240011""","*","*","*"
"Cheshire School District","=""0250011""",124,2.6,27.0
"Chester School District","=""0260011""",11,4.0,34.4
"Clinton School District","=""0270011""",95,4.7,38.3
"Colchester School District","=""0280011""",113,3.7,30.9
"Colebrook School District","=""0290011""",6,5.2,30.0
"Columbia School District","=""0300011""",16,2.1,26.7
"Connecticut Technical High School System","=""9000016""",420,3.9,56.7
"Cornwall School District","=""0310011""",6,5.0,30.0
"Coventry School District","=""0320011""",73,3.9,34.9
"Cromwell School District","=""0330011""",44,2.2,22.6
"Danbury School District","=""0340011""",470,4.7,42.1
"Darien School District","=""0350011""",168,3.5,32.2
"Deep River School District","=""0360011""",10,2.8,28.6
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*"
"Derby School District","=""0370011""",32,2.1,20.9
"East Granby School District","=""0400011""",33,3.6,36.7
"East Haddam School District","=""0410011""",43,3.2,27.7
"East Hampton School District","=""0420011""",31,1.6,21.2
"East Hartford School District","=""0430011""",272,3.5,25.7
"East Haven School District","=""0440011""",110,3.0,25.3
"East Lyme School District","=""0450011""",113,4.0,33.3
"East Windsor School District","=""0470011""",65,4.8,38.9
"Eastford School District","=""0390011""",6,2.5,19.4
"Easton School District","=""0460011""",28,2.6,31.8
"Ellington School District","=""0480011""",117,4.3,44.2
"Enfield School District","=""0490011""",254,4.3,32.6
"Essex School District","=""0500011""",10,1.8,24.4
"Fairfield School District","=""0510011""",360,3.6,35.0
"Farmington School District","=""0520011""",108,2.6,25.8
"Franklin School District","=""0530011""",12,4.1,37.5
"Glastonbury School District","=""0540011""",199,2.9,29.5
"Granby School District","=""0560011""",59,2.7,33.5
"Greenwich School District","=""0570011""",335,3.9,37.1
"Griswold School District","=""0580011""",81,4.5,35.8
"Groton School District","=""0590011""",185,3.8,29.5
"Guilford School District","=""0600011""",129,3.5,36.0
"Hamden School District","=""0620011""",258,3.7,29.2
"Hampton School District","=""0630011""","*","*","*"
"Hartford School District","=""0640011""",1325,6.5,44.0
"Hartland School District","=""0650011""",8,2.6,27.6
"Hebron School District","=""0670011""",31,2.9,30.4
"Kent School District","=""0680011""",16,5.9,39.0
"Killingly School District","=""0690011""",71,2.8,20.2
"Lebanon School District","=""0710011""",48,3.9,34.0
"Ledyard School District","=""0720011""",84,3.4,26.1
"Lisbon School District","=""0730011""",22,3.2,27.2
"Litchfield School District","=""0740011""",42,3.6,35.6
"Madison School District","=""0760011""",151,4.2,41.6
"Manchester School District","=""0770011""",295,4.0,31.0
"Mansfield School District","=""0780011""",58,4.7,39.5
"Marlborough School District","=""0790011""",16,2.4,44.4
"Meriden School District","=""0800011""",370,4.2,30.9
"Middletown School District","=""0830011""",170,3.2,28.2
"Milford School District","=""0840011""",146,2.1,17.3
"Monroe School District","=""0850011""",131,3.5,38.9
"Montville School District","=""0860011""",70,2.6,25.5
"Naugatuck School District","=""0880011""",184,3.9,34.6
"New Britain School District","=""0890011""",474,4.5,32.3
"New Canaan School District","=""0900011""",120,2.9,29.3
"New Fairfield School District","=""0910011""",108,3.8,36.4
"New Hartford School District","=""0920011""",10,1.7,15.9
"New Haven School District","=""0930011""",689,3.9,32.4
"New London School District","=""0950011""",158,4.6,27.4
"New Milford School District","=""0960011""",191,4.1,29.7
"Newington School District","=""0940011""",222,5.0,43.6
"Newtown School District","=""0970011""",133,2.5,30.9
"Norfolk School District","=""0980011""","*","*","*"
"North Branford School District","=""0990011""",89,3.8,30.2
"North Canaan School District","=""1000011""",7,2.4,20.0
"North Haven School District","=""1010011""",101,2.8,26.2
"North Stonington School District","=""1020011""",25,3.1,36.2
"Norwalk School District","=""1030011""",463,4.1,40.6
"Norwich School District","=""1040011""",268,4.9,31.8
"Old Saybrook School District","=""1060011""",38,2.5,22.9
"Orange School District","=""1070011""",44,3.5,35.2
"Oxford School District","=""1080011""",54,2.4,39.1
"Plainfield School District","=""1090011""",75,3.0,26.1
"Plainville School District","=""1100011""",96,3.9,29.6
"Plymouth School District","=""1110011""",62,3.4,26.3
"Pomfret School District","=""1120011""",31,4.4,36.9
"Portland School District","=""1130011""",27,1.9,26.5
"Preston School District","=""1140011""",20,3.0,19.0
"Putnam School District","=""1160011""",56,4.6,29.2
"Redding School District","=""1170011""",34,2.8,24.1
"Regional School District 01","=""2010012""",33,6.4,48.5
"Regional School District 04","=""2040012""",64,6.5,47.4
"Regional School District 05","=""2050012""",104,4.1,36.5
"Regional School District 06","=""2060012""",44,4.7,42.3
"Regional School District 07","=""2070012""",43,4.0,34.4
"Regional School District 08","=""2080012""",98,5.3,40.5
"Regional School District 09","=""2090012""",32,3.2,25.0
"Regional School District 10","=""2100012""",86,3.1,35.1
"Regional School District 11","=""2110012""",18,5.5,29.0
"Regional School District 12","=""2120012""",43,4.8,34.7
"Regional School District 13","=""2130012""",95,4.7,34.8
"Regional School District 14","=""2140012""",76,4.1,32.2
"Regional School District 15","=""2150012""",222,5.0,42.5
"Regional School District 16","=""2160012""",49,1.9,19.4
"Regional School District 17","=""2170012""",100,4.1,35.0
"Regional School District 18","=""2180012""",57,3.9,40.1
"Regional School District 19","=""2190012""",64,5.6,33.9
"Ridgefield School District","=""1180011""",173,3.2,39.7
"Rocky Hill School District","=""1190011""",79,3.0,35.3
"Salem School District","=""1210011""",22,3.0,35.5
"Salisbury School District","=""1220011""",9,3.1,32.1
"Scotland School District","=""1230011""","*","*","*"
"Seymour School District","=""1240011""",78,3.2,34.4
"Sharon School District","=""1250011""",9,5.0,29.0
"Shelton School District","=""1260011""",143,2.7,28.2
"Sherman School District","=""1270011""",22,3.9,34.4
"Simsbury School District","=""1280011""",214,4.4,37.6
"Somers School District","=""1290011""",57,3.5,35.8
"South Windsor School District","=""1320011""",112,2.4,20.7
"Southington School District","=""1310011""",229,3.4,31.6
"Sprague School District","=""1330011""",6,1.3,13.6
"Stafford School District","=""1340011""",56,3.2,32.7
"Stamford School District","=""1350011""",573,3.7,40.8
"Sterling School District","=""1360011""",22,3.5,33.8
"Stonington School District","=""1370011""",129,5.2,41.3
"Stratford School District","=""1380011""",224,3.0,32.0
"Suffield School District","=""1390011""",94,3.9,39.5
"Thomaston School District","=""1400011""",56,4.6,35.2
"Thompson School District","=""1410011""",30,2.4,21.6
"Tolland School District","=""1420011""",118,3.8,37.3
"Torrington School District","=""1430011""",318,6.8,39.8
"Trumbull School District","=""1440011""",195,2.9,33.7
"Unified School District #1","=""3360015""",124,15.2,35.3
"Unified School District #2","=""3470015""",16,5.2,6.9
"Union School District","=""1450011""","*","*","*"
"Vernon School District","=""1460011""",117,3.2,29.7
"Voluntown School District","=""1470011""",13,3.3,33.3
"Wallingford School District","=""1480011""",248,3.8,31.2
"Waterbury School District","=""1510011""",920,5.4,32.1
"Waterford School District","=""1520011""",88,3.0,26.5
"Watertown School District","=""1530011""",115,3.6,34.0
"West Hartford School District","=""1550011""",323,3.1,29.2
"West Haven School District","=""1560011""",222,3.1,27.4
"Westbrook School District","=""1540011""",35,3.8,47.3
"Weston School District","=""1570011""",74,2.9,35.1
"Westport School District","=""1580011""",278,4.8,47.0
"Wethersfield School District","=""1590011""",82,2.1,20.7
"Willington School District","=""1600011""",22,4.5,31.0
"Wilton School District","=""1610011""",194,4.5,43.5
"Winchester School District","=""1620011""",72,5.3,29.5
"Windham School District","=""1630011""",155,4.9,28.0
"Windsor Locks School District","=""1650011""",79,4.3,39.7
"Windsor School District","=""1640011""",179,4.4,35.2
"Wolcott School District","=""1660011""",86,3.0,33.6
"Woodbridge School District","=""1670011""",20,2.8,31.7
"Woodstock School District","=""1690011""",42,3.1,46.7

