"Primary Disability (K-12), 2014-15"
"All Districts, Other Health Impairment"

"",,"2014-15",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""",7,2.8,46.7
"Ansonia School District","=""0020011""",96,3.8,23.1
"Ashford School District","=""0030011""",12,3.2,25.5
"Avon School District","=""0040011""",63,1.9,20.1
"Barkhamsted School District","=""0050011""",7,2.3,18.9
"Berlin School District","=""0070011""",53,1.8,16.8
"Bethany School District","=""0080011""",10,2.6,18.2
"Bethel School District","=""0090011""",61,2.1,18.9
"Bloomfield School District","=""0110011""",45,2.1,16.2
"Bolton School District","=""0120011""",28,3.5,30.4
"Bozrah School District","=""0130011""","*","*","*"
"Branford School District","=""0140011""",107,3.5,26.0
"Bridgeport School District","=""0150011""",558,2.5,17.6
"Bristol School District","=""0170011""",328,4.0,24.1
"Brookfield School District","=""0180011""",81,3.0,25.1
"Brooklyn School District","=""0190011""",16,1.4,12.6
"Canaan School District","=""0210011""","*","*","*"
"Canterbury School District","=""0220011""",17,2.6,23.9
"Canton School District","=""0230011""",35,2.1,20.1
"Chaplin School District","=""0240011""","*","*","*"
"Cheshire School District","=""0250011""",119,2.6,25.2
"Chester School District","=""0260011""","*","*","*"
"Clinton School District","=""0270011""",50,2.6,24.8
"Colchester School District","=""0280011""",54,2.0,15.0
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""",23,3.3,30.7
"Connecticut Technical High School System","=""9000016""",248,2.3,25.7
"Cornwall School District","=""0310011""","*","*","*"
"Coventry School District","=""0320011""",35,2.0,17.1
"Cromwell School District","=""0330011""",32,1.6,15.0
"Danbury School District","=""0340011""",192,1.8,15.5
"Darien School District","=""0350011""",159,3.3,28.8
"Deep River School District","=""0360011""",14,4.4,29.2
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*"
"Derby School District","=""0370011""",51,3.3,23.9
"East Granby School District","=""0400011""",15,1.7,16.1
"East Haddam School District","=""0410011""",25,2.2,14.7
"East Hampton School District","=""0420011""",24,1.3,15.4
"East Hartford School District","=""0430011""",231,2.9,20.9
"East Haven School District","=""0440011""",72,2.2,16.9
"East Lyme School District","=""0450011""",76,2.9,22.2
"East Windsor School District","=""0470011""",30,2.4,13.8
"Eastford School District","=""0390011""","*","*","*"
"Easton School District","=""0460011""",11,1.2,12.4
"Ellington School District","=""0480011""",34,1.3,11.8
"Enfield School District","=""0490011""",107,2.0,14.0
"Essex School District","=""0500011""",7,1.7,11.9
"Fairfield School District","=""0510011""",254,2.5,23.2
"Farmington School District","=""0520011""",102,2.5,21.9
"Franklin School District","=""0530011""",6,2.4,18.8
"Glastonbury School District","=""0540011""",152,2.4,24.6
"Granby School District","=""0560011""",59,3.0,29.6
"Greenwich School District","=""0570011""",146,1.7,16.6
"Griswold School District","=""0580011""",62,3.6,25.2
"Groton School District","=""0590011""",104,2.2,14.3
"Guilford School District","=""0600011""",81,2.4,20.7
"Hamden School District","=""0620011""",195,3.0,20.5
"Hampton School District","=""0630011""","*","*","*"
"Hartford School District","=""0640011""",626,3.1,17.6
"Hartland School District","=""0650011""","*","*","*"
"Hebron School District","=""0670011""",14,1.8,13.3
"Killingly School District","=""0690011""",93,4.1,23.4
"Lebanon School District","=""0710011""",28,2.7,17.8
"Ledyard School District","=""0720011""",85,3.5,24.0
"Lisbon School District","=""0730011""",13,2.2,18.6
"Litchfield School District","=""0740011""",27,2.8,23.7
"Madison School District","=""0760011""",100,3.2,27.5
"Manchester School District","=""0770011""",171,2.4,19.2
"Mansfield School District","=""0780011""",23,2.0,16.1
"Marlborough School District","=""0790011""",6,1.0,13.0
"Meriden School District","=""0800011""",303,3.4,20.4
"Middletown School District","=""0830011""",124,2.5,19.5
"Milford School District","=""0840011""",204,3.2,26.8
"Monroe School District","=""0850011""",74,2.2,21.1
"Montville School District","=""0860011""",59,2.4,20.8
"Naugatuck School District","=""0880011""",142,3.2,22.2
"New Britain School District","=""0890011""",372,3.4,22.1
"New Canaan School District","=""0900011""",76,1.8,19.7
"New Fairfield School District","=""0910011""",60,2.4,24.8
"New Hartford School District","=""0920011""",10,2.0,18.9
"New Haven School District","=""0930011""",543,2.8,20.6
"New London School District","=""0950011""",138,4.0,20.8
"New Milford School District","=""0960011""",129,3.0,22.9
"Newington School District","=""0940011""",79,1.9,15.0
"Newtown School District","=""0970011""",92,1.9,21.0
"Norfolk School District","=""0980011""","*","*","*"
"North Branford School District","=""0990011""",50,2.5,17.3
"North Canaan School District","=""1000011""","*","*","*"
"North Haven School District","=""1010011""",68,2.0,17.6
"North Stonington School District","=""1020011""",15,2.0,23.4
"Norwalk School District","=""1030011""",243,2.1,18.5
"Norwich School District","=""1040011""",179,3.2,19.6
"Old Saybrook School District","=""1060011""",55,4.0,27.6
"Orange School District","=""1070011""",15,1.3,14.7
"Oxford School District","=""1080011""",60,3.0,25.9
"Plainfield School District","=""1090011""",64,2.9,20.8
"Plainville School District","=""1100011""",80,3.4,25.4
"Plymouth School District","=""1110011""",62,3.7,26.5
"Pomfret School District","=""1120011""",7,1.2,12.5
"Portland School District","=""1130011""",21,1.5,15.3
"Preston School District","=""1140011""",19,3.2,18.4
"Putnam School District","=""1160011""",18,1.5,10.0
"Redding School District","=""1170011""",28,2.9,22.4
"Regional School District 01","=""2010012""",8,2.0,11.8
"Regional School District 04","=""2040012""",30,3.0,22.7
"Regional School District 05","=""2050012""",61,2.6,22.6
"Regional School District 06","=""2060012""",19,2.4,17.6
"Regional School District 07","=""2070012""",18,1.8,15.5
"Regional School District 08","=""2080012""",73,4.1,33.0
"Regional School District 09","=""2090012""",41,3.8,33.9
"Regional School District 10","=""2100012""",51,2.0,20.2
