"Primary Disability (K-12), 2010-11"
"All Districts, Emotional Disturbance"

"",,"2010-11",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Ansonia School District","=""0020011""",34,1.2,11.0
"Ashford School District","=""0030011""","*","*","*"
"Avon School District","=""0040011""",16,0.4,4.4
"Berlin School District","=""0070011""",17,0.5,5.5
"Bethany School District","=""0080011""","*","*","*"
"Bethel School District","=""0090011""",17,0.6,5.4
"Bloomfield School District","=""0110011""",32,1.4,14.7
"Bolton School District","=""0120011""",12,1.4,14.8
"Bozrah School District","=""0130011""","*","*","*"
"Branford School District","=""0140011""",50,1.5,10.8
"Bridgeport School District","=""0150011""",241,1.1,9.0
"Bristol School District","=""0170011""",104,1.2,8.8
"Brookfield School District","=""0180011""","*","*","*"
"Brooklyn School District","=""0190011""",14,1.2,10.4
"Canaan School District","=""0210011""","*","*","*"
"Canterbury School District","=""0220011""","*","*","*"
"Canton School District","=""0230011""",9,0.5,5.9
"Cheshire School District","=""0250011""",33,0.7,7.2
"Clinton School District","=""0270011""",19,0.9,7.7
"Colchester School District","=""0280011""",40,1.3,10.9
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""","*","*","*"
"Connecticut Technical High School System","=""9000016""",39,0.4,5.3
"Coventry School District","=""0320011""",37,2.0,17.7
"Cromwell School District","=""0330011""",8,0.4,4.1
"Danbury School District","=""0340011""",59,0.6,5.3
"Darien School District","=""0350011""",14,0.3,2.7
"Deep River School District","=""0360011""","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*"
"Derby School District","=""0370011""",12,0.8,7.8
"East Granby School District","=""0400011""",6,0.7,6.7
"East Haddam School District","=""0410011""",10,0.7,6.5
"East Hampton School District","=""0420011""",12,0.6,8.2
"East Hartford School District","=""0430011""",122,1.6,11.5
"East Haven School District","=""0440011""",23,0.6,5.3
"East Lyme School District","=""0450011""",21,0.7,6.2
"East Windsor School District","=""0470011""",16,1.2,9.6
"Eastford School District","=""0390011""","*","*","*"
"Easton School District","=""0460011""","*","*","*"
"Ellington School District","=""0480011""",25,0.9,9.4
"Enfield School District","=""0490011""",80,1.3,10.3
"Essex School District","=""0500011""","*","*","*"
"Fairfield School District","=""0510011""",44,0.4,4.3
"Farmington School District","=""0520011""",31,0.8,7.4
"Franklin School District","=""0530011""","*","*","*"
"Glastonbury School District","=""0540011""",54,0.8,8.0
"Granby School District","=""0560011""",13,0.6,7.4
"Greenwich School District","=""0570011""",51,0.6,5.6
"Griswold School District","=""0580011""",23,1.3,10.2
"Groton School District","=""0590011""",55,1.1,8.8
"Guilford School District","=""0600011""",23,0.6,6.4
"Hamden School District","=""0620011""",89,1.3,10.1
"Hartford School District","=""0640011""",378,1.9,12.5
"Hebron School District","=""0670011""","*","*","*"
"Killingly School District","=""0690011""",33,1.3,9.4
"Lebanon School District","=""0710011""",10,0.8,7.1
"Ledyard School District","=""0720011""",25,1.0,7.8
"Lisbon School District","=""0730011""","*","*","*"
"Litchfield School District","=""0740011""","*","*","*"
"Madison School District","=""0760011""",25,0.7,6.9
"Manchester School District","=""0770011""",109,1.5,11.5
"Mansfield School District","=""0780011""","*","*","*"
"Marlborough School District","=""0790011""","*","*","*"
"Meriden School District","=""0800011""",138,1.5,11.5
"Middletown School District","=""0830011""",64,1.2,10.6
"Milford School District","=""0840011""",88,1.3,10.4
"Monroe School District","=""0850011""",13,0.3,3.9
"Montville School District","=""0860011""",31,1.2,11.3
"Naugatuck School District","=""0880011""",28,0.6,5.3
"New Britain School District","=""0890011""",118,1.1,8.0
"New Canaan School District","=""0900011""","*","*","*"
"New Fairfield School District","=""0910011""","*","*","*"
"New Hartford School District","=""0920011""","*","*","*"
"New Haven School District","=""0930011""",248,1.4,11.7
"New London School District","=""0950011""",52,1.5,9.0
"New Milford School District","=""0960011""",54,1.2,8.4
"Newington School District","=""0940011""",27,0.6,5.3
"Newtown School District","=""0970011""",21,0.4,4.9
"North Branford School District","=""0990011""",25,1.1,8.5
"North Canaan School District","=""1000011""","*","*","*"
"North Haven School District","=""1010011""",44,1.2,11.4
"North Stonington School District","=""1020011""","*","*","*"
"Norwalk School District","=""1030011""",33,0.3,2.9
"Norwich School District","=""1040011""",124,2.2,14.7
"Old Saybrook School District","=""1060011""",9,0.6,5.4
"Orange School District","=""1070011""","*","*","*"
"Oxford School District","=""1080011""","*","*","*"
"Plainfield School District","=""1090011""",33,1.3,11.5
"Plainville School District","=""1100011""",33,1.3,10.2
"Plymouth School District","=""1110011""",33,1.8,14.0
"Pomfret School District","=""1120011""","*","*","*"
"Portland School District","=""1130011""","*","*","*"
"Preston School District","=""1140011""","*","*","*"
"Putnam School District","=""1160011""","*","*","*"
"Redding School District","=""1170011""","*","*","*"
"Regional School District 01","=""2010012""",6,1.2,8.8
"Regional School District 04","=""2040012""","*","*","*"
"Regional School District 05","=""2050012""",15,0.6,5.3
"Regional School District 06","=""2060012""",9,1.0,8.7
"Regional School District 07","=""2070012""",20,1.8,16.0
"Regional School District 08","=""2080012""",25,1.4,10.3
"Regional School District 09","=""2090012""",12,1.2,9.4
"Regional School District 10","=""2100012""",27,1.0,11.0
"Regional School District 11","=""2110012""",15,4.6,24.2
"Regional School District 12","=""2120012""","*","*","*"
"Regional School District 13","=""2130012""",13,0.6,4.8
"Regional School District 14","=""2140012""",7,0.4,3.0
"Regional School District 15","=""2150012""",15,0.3,2.9
"Regional School District 16","=""2160012""",15,0.6,5.9
"Regional School District 17","=""2170012""",27,1.1,9.4
"Regional School District 18","=""2180012""",8,0.5,5.6
"Regional School District 19","=""2190012""",23,2.0,12.2
"Ridgefield School District","=""1180011""",35,0.6,8.0
