"Primary Disability (K-12), 2011-12"
"All Districts, Learning Disability"

"",,"2011-12",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""",9,3.1,45.0
"Ansonia School District","=""0020011""",77,2.9,25.8
"Ashford School District","=""0030011""",10,2.3,21.3
"Avon School District","=""0040011""",110,3.1,29.7
"Barkhamsted School District","=""0050011""",13,3.8,44.8
"Berlin School District","=""0070011""",88,2.9,29.9
"Bethany School District","=""0080011""",25,5.2,39.7
"Bethel School District","=""0090011""",122,4.2,38.9
"Bloomfield School District","=""0110011""",76,3.3,31.5
"Bolton School District","=""0120011""",26,3.1,29.9
"Bozrah School District","=""0130011""",13,3.8,31.7
"Branford School District","=""0140011""",123,3.7,27.2
"Bridgeport School District","=""0150011""",967,4.5,35.4
"Bristol School District","=""0170011""",380,4.5,31.4
"Brookfield School District","=""0180011""",77,2.7,31.0
"Brooklyn School District","=""0190011""",60,5.0,44.4
"Canaan School District","=""0210011""",8,9.0,57.1
"Canterbury School District","=""0220011""",16,2.3,22.9
"Canton School District","=""0230011""",48,2.7,29.4
"Chaplin School District","=""0240011""","*","*","*"
"Cheshire School District","=""0250011""",124,2.6,26.5
"Chester School District","=""0260011""",16,6.1,48.5
"Clinton School District","=""0270011""",69,3.5,32.4
"Colchester School District","=""0280011""",101,3.4,29.2
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""",18,2.5,31.6
"Connecticut Technical High School System","=""9000016""",421,4.0,55.4
"Cornwall School District","=""0310011""","*","*","*"
"Coventry School District","=""0320011""",75,4.1,36.8
"Cromwell School District","=""0330011""",46,2.3,22.7
"Danbury School District","=""0340011""",447,4.4,41.2
"Darien School District","=""0350011""",173,3.6,29.7
"Deep River School District","=""0360011""",16,4.4,41.0
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*"
"Derby School District","=""0370011""",40,2.6,24.7
"East Granby School District","=""0400011""",32,3.7,37.6
"East Haddam School District","=""0410011""",41,3.2,25.3
"East Hampton School District","=""0420011""",39,2.0,27.3
"East Hartford School District","=""0430011""",281,3.6,25.7
"East Haven School District","=""0440011""",102,2.9,23.6
"East Lyme School District","=""0450011""",125,4.6,37.4
"East Windsor School District","=""0470011""",58,4.3,34.9
"Eastford School District","=""0390011""","*","*","*"
"Easton School District","=""0460011""",21,2.0,28.0
"Ellington School District","=""0480011""",127,4.6,46.5
"Enfield School District","=""0490011""",229,4.0,30.5
"Essex School District","=""0500011""",6,1.1,14.3
"Fairfield School District","=""0510011""",357,3.5,33.7
"Farmington School District","=""0520011""",94,2.3,23.3
"Franklin School District","=""0530011""",12,4.3,38.7
"Glastonbury School District","=""0540011""",157,2.3,25.5
"Granby School District","=""0560011""",64,3.0,34.0
"Greenwich School District","=""0570011""",322,3.7,37.4
"Griswold School District","=""0580011""",72,4.0,32.1
"Groton School District","=""0590011""",195,3.9,28.6
"Guilford School District","=""0600011""",128,3.5,34.2
"Hamden School District","=""0620011""",238,3.5,29.3
"Hampton School District","=""0630011""","*","*","*"
"Hartford School District","=""0640011""",1355,6.7,43.1
"Hartland School District","=""0650011""",9,2.9,29.0
"Hebron School District","=""0670011""",29,2.9,27.4
"Kent School District","=""0680011""",14,5.3,45.2
"Killingly School District","=""0690011""",69,2.8,19.2
"Lebanon School District","=""0710011""",49,4.2,35.0
"Ledyard School District","=""0720011""",79,3.2,25.2
"Lisbon School District","=""0730011""",24,3.8,28.9
"Litchfield School District","=""0740011""",42,3.7,34.7
"Madison School District","=""0760011""",140,4.1,40.0
"Manchester School District","=""0770011""",313,4.4,31.9
"Mansfield School District","=""0780011""",52,4.2,34.2
"Marlborough School District","=""0790011""",24,3.6,49.0
"Meriden School District","=""0800011""",400,4.5,31.6
"Middletown School District","=""0830011""",161,3.1,26.1
"Milford School District","=""0840011""",143,2.1,17.4
"Monroe School District","=""0850011""",124,3.5,36.3
"Montville School District","=""0860011""",76,2.9,27.0
"Naugatuck School District","=""0880011""",218,4.7,39.0
"New Britain School District","=""0890011""",506,4.7,33.1
"New Canaan School District","=""0900011""",121,2.9,30.3
"New Fairfield School District","=""0910011""",91,3.3,32.6
"New Hartford School District","=""0920011""",10,1.7,16.7
"New Haven School District","=""0930011""",765,4.2,34.5
"New London School District","=""0950011""",164,4.8,27.8
"New Milford School District","=""0960011""",171,3.8,28.0
"Newington School District","=""0940011""",204,4.6,39.2
"Newtown School District","=""0970011""",105,2.0,25.9
"Norfolk School District","=""0980011""","*","*","*"
"North Branford School District","=""0990011""",79,3.5,29.9
"North Canaan School District","=""1000011""",10,3.5,26.3
"North Haven School District","=""1010011""",111,3.1,32.4
"North Stonington School District","=""1020011""",25,3.3,34.7
"Norwalk School District","=""1030011""",417,3.7,38.1
"Norwich School District","=""1040011""",240,4.4,27.8
"Old Saybrook School District","=""1060011""",42,2.8,22.7
"Orange School District","=""1070011""",39,3.1,30.5
"Oxford School District","=""1080011""",53,2.4,39.6
"Plainfield School District","=""1090011""",77,3.1,25.6
"Plainville School District","=""1100011""",90,3.7,29.2
"Plymouth School District","=""1110011""",71,4.0,29.6
"Pomfret School District","=""1120011""",32,4.8,41.0
"Portland School District","=""1130011""",40,2.9,35.4
"Preston School District","=""1140011""",13,2.1,14.1
"Putnam School District","=""1160011""",54,4.5,32.1
"Redding School District","=""1170011""",36,3.1,24.3
"Regional School District 01","=""2010012""",30,6.4,46.2
"Regional School District 04","=""2040012""",61,6.3,44.5
"Regional School District 05","=""2050012""",102,4.1,36.6
"Regional School District 06","=""2060012""",48,5.2,41.0
"Regional School District 07","=""2070012""",50,4.7,37.3
"Regional School District 08","=""2080012""",84,4.5,35.3
"Regional School District 09","=""2090012""",32,3.1,25.6
"Regional School District 10","=""2100012""",88,3.3,33.5
"Regional School District 11","=""2110012""",28,8.5,40.0
"Regional School District 12","=""2120012""",49,5.7,38.0
"Regional School District 13","=""2130012""",94,4.7,34.3
"Regional School District 14","=""2140012""",64,3.6,31.1
"Regional School District 15","=""2150012""",208,4.9,41.1
"Regional School District 16","=""2160012""",62,2.5,24.8
"Regional School District 17","=""2170012""",110,4.7,35.3
"Regional School District 18","=""2180012""",54,3.8,35.3
"Regional School District 19","=""2190012""",63,5.5,35.6
"Ridgefield School District","=""1180011""",174,3.3,41.4
"Rocky Hill School District","=""1190011""",72,2.8,33.8
"Salem School District","=""1210011""",19,2.7,32.8
"Salisbury School District","=""1220011""",10,3.4,35.7
"Scotland School District","=""1230011""","*","*","*"
"Seymour School District","=""1240011""",91,3.8,38.6
"Sharon School District","=""1250011""","*","*","*"
"Shelton School District","=""1260011""",192,3.6,35.6
"Sherman School District","=""1270011""",24,4.3,34.8
"Simsbury School District","=""1280011""",192,4.0,34.8
"Somers School District","=""1290011""",57,3.5,34.8
"South Windsor School District","=""1320011""",121,2.7,23.5
"Southington School District","=""1310011""",220,3.3,30.5
"Sprague School District","=""1330011""","*","*","*"
"Stafford School District","=""1340011""",53,3.1,31.5
"Stamford School District","=""1350011""",587,3.8,40.1
"Sterling School District","=""1360011""",20,3.3,29.0
"Stonington School District","=""1370011""",126,5.2,41.4
"Stratford School District","=""1380011""",208,2.8,29.8
"Suffield School District","=""1390011""",96,4.0,38.9
"Thomaston School District","=""1400011""",45,3.8,32.8
"Thompson School District","=""1410011""",28,2.3,21.2
"Tolland School District","=""1420011""",123,4.1,39.5
"Torrington School District","=""1430011""",297,6.4,38.5
"Trumbull School District","=""1440011""",175,2.6,31.0
"Unified School District #1","=""3360015""",90,12.1,30.4
"Unified School District #2","=""3470015""",14,5.3,7.0
"Union School District","=""1450011""","*","*","*"
"Vernon School District","=""1460011""",117,3.2,27.5
"Voluntown School District","=""1470011""",15,3.7,33.3
"Wallingford School District","=""1480011""",251,4.0,31.5
"Waterbury School District","=""1510011""",891,5.2,31.8
"Waterford School District","=""1520011""",90,3.2,26.5
"Watertown School District","=""1530011""",111,3.6,33.3
"West Hartford School District","=""1550011""",310,3.0,28.5
"West Haven School District","=""1560011""",236,3.4,28.4
"Westbrook School District","=""1540011""",35,3.9,46.7
"Weston School District","=""1570011""",70,2.8,32.1
"Westport School District","=""1580011""",251,4.4,44.3
"Wethersfield School District","=""1590011""",104,2.7,24.7
"Willington School District","=""1600011""",20,4.2,33.3
"Wilton School District","=""1610011""",214,5.0,46.2
"Winchester School District","=""1620011""",77,5.8,29.7
"Windham School District","=""1630011""",153,4.9,29.0
"Windsor Locks School District","=""1650011""",102,5.5,48.1
"Windsor School District","=""1640011""",192,4.8,35.4
"Wolcott School District","=""1660011""",77,2.8,31.2
"Woodbridge School District","=""1670011""",13,1.8,20.3
"Woodstock School District","=""1690011""",42,3.2,48.8

