"Primary Disability (K-12), 2011-12"
"All Districts, Intellectual Disability"

"",,"2011-12",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","*","*","*"
"Ansonia School District","=""0020011""",25,0.9,8.4
"Ashford School District","=""0030011""","*","*","*"
"Avon School District","=""0040011""",13,0.4,3.5
"Berlin School District","=""0070011""","*","*","*"
"Bethany School District","=""0080011""","*","*","*"
"Bethel School District","=""0090011""",6,0.2,1.9
"Bloomfield School District","=""0110011""",16,0.7,6.6
"Bolton School District","=""0120011""",7,0.8,8.0
"Branford School District","=""0140011""",25,0.7,5.5
"Bridgeport School District","=""0150011""",125,0.6,4.6
"Bristol School District","=""0170011""",15,0.2,1.2
"Brookfield School District","=""0180011""","*","*","*"
"Brooklyn School District","=""0190011""","*","*","*"
"Canterbury School District","=""0220011""","*","*","*"
"Canton School District","=""0230011""","*","*","*"
"Chaplin School District","=""0240011""","*","*","*"
"Cheshire School District","=""0250011""",23,0.5,4.9
"Clinton School District","=""0270011""",7,0.4,3.3
"Colchester School District","=""0280011""",15,0.5,4.3
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""","*","*","*"
"Connecticut Technical High School System","=""9000016""","*","*","*"
"Coventry School District","=""0320011""","*","*","*"
"Cromwell School District","=""0330011""",11,0.5,5.4
"Danbury School District","=""0340011""",41,0.4,3.8
"Darien School District","=""0350011""",9,0.2,1.5
"Deep River School District","=""0360011""","*","*","*"
"Derby School District","=""0370011""",8,0.5,4.9
"East Granby School District","=""0400011""","*","*","*"
"East Haddam School District","=""0410011""",9,0.7,5.6
"East Hampton School District","=""0420011""",6,0.3,4.2
"East Hartford School District","=""0430011""",39,0.5,3.6
"East Haven School District","=""0440011""",17,0.5,3.9
"East Lyme School District","=""0450011""",9,0.3,2.7
"East Windsor School District","=""0470011""",10,0.7,6.0
"Eastford School District","=""0390011""","*","*","*"
"Easton School District","=""0460011""","*","*","*"
"Ellington School District","=""0480011""","*","*","*"
"Enfield School District","=""0490011""",31,0.5,4.1
"Fairfield School District","=""0510011""",28,0.3,2.6
"Farmington School District","=""0520011""",15,0.4,3.7
"Franklin School District","=""0530011""","*","*","*"
"Glastonbury School District","=""0540011""",15,0.2,2.4
"Granby School District","=""0560011""",8,0.4,4.3
"Greenwich School District","=""0570011""",27,0.3,3.1
"Griswold School District","=""0580011""",6,0.3,2.7
"Groton School District","=""0590011""",36,0.7,5.3
"Guilford School District","=""0600011""",16,0.4,4.3
"Hamden School District","=""0620011""",28,0.4,3.4
"Hampton School District","=""0630011""","*","*","*"
"Hartford School District","=""0640011""",172,0.9,5.5
"Hartland School District","=""0650011""","*","*","*"
"Hebron School District","=""0670011""","*","*","*"
"Kent School District","=""0680011""","*","*","*"
"Killingly School District","=""0690011""",21,0.8,5.8
"Lebanon School District","=""0710011""",13,1.1,9.3
"Ledyard School District","=""0720011""",11,0.4,3.5
"Lisbon School District","=""0730011""","*","*","*"
"Litchfield School District","=""0740011""","*","*","*"
"Madison School District","=""0760011""",6,0.2,1.7
"Manchester School District","=""0770011""",21,0.3,2.1
"Mansfield School District","=""0780011""","*","*","*"
"Marlborough School District","=""0790011""","*","*","*"
"Meriden School District","=""0800011""",54,0.6,4.3
"Middletown School District","=""0830011""",36,0.7,5.8
"Milford School District","=""0840011""",17,0.2,2.1
"Monroe School District","=""0850011""",17,0.5,5.0
"Montville School District","=""0860011""",10,0.4,3.6
"Naugatuck School District","=""0880011""",21,0.5,3.8
"New Britain School District","=""0890011""",99,0.9,6.5
"New Canaan School District","=""0900011""","*","*","*"
"New Fairfield School District","=""0910011""","*","*","*"
"New Hartford School District","=""0920011""","*","*","*"
"New Haven School District","=""0930011""",143,0.8,6.5
"New London School District","=""0950011""",29,0.8,4.9
"New Milford School District","=""0960011""",16,0.4,2.6
"Newington School District","=""0940011""",20,0.5,3.8
"Newtown School District","=""0970011""",14,0.3,3.4
"North Branford School District","=""0990011""",12,0.5,4.5
"North Canaan School District","=""1000011""","*","*","*"
"North Haven School District","=""1010011""",16,0.4,4.7
"North Stonington School District","=""1020011""","*","*","*"
"Norwalk School District","=""1030011""",31,0.3,2.8
"Norwich School District","=""1040011""",49,0.9,5.7
"Old Saybrook School District","=""1060011""","*","*","*"
"Oxford School District","=""1080011""","*","*","*"
"Plainfield School District","=""1090011""",18,0.7,6.0
"Plainville School District","=""1100011""","*","*","*"
"Plymouth School District","=""1110011""",7,0.4,2.9
"Pomfret School District","=""1120011""","*","*","*"
"Portland School District","=""1130011""","*","*","*"
"Preston School District","=""1140011""","*","*","*"
"Putnam School District","=""1160011""",16,1.3,9.5
"Redding School District","=""1170011""","*","*","*"
"Regional School District 01","=""2010012""","*","*","*"
"Regional School District 04","=""2040012""","*","*","*"
"Regional School District 05","=""2050012""",9,0.4,3.2
"Regional School District 06","=""2060012""",8,0.9,6.8
"Regional School District 07","=""2070012""","*","*","*"
"Regional School District 08","=""2080012""","*","*","*"
"Regional School District 09","=""2090012""","*","*","*"
"Regional School District 10","=""2100012""",9,0.3,3.4
"Regional School District 12","=""2120012""","*","*","*"
"Regional School District 13","=""2130012""","*","*","*"
"Regional School District 14","=""2140012""",8,0.5,3.9
"Regional School District 15","=""2150012""",6,0.1,1.2
"Regional School District 16","=""2160012""",10,0.4,4.0
"Regional School District 17","=""2170012""",7,0.3,2.2
"Regional School District 18","=""2180012""",7,0.5,4.6
"Regional School District 19","=""2190012""",12,1.1,6.8
"Ridgefield School District","=""1180011""",9,0.2,2.1
"Rocky Hill School District","=""1190011""","*","*","*"
"Salem School District","=""1210011""","*","*","*"
"Seymour School District","=""1240011""",10,0.4,4.2
"Shelton School District","=""1260011""",10,0.2,1.9
"Sherman School District","=""1270011""","*","*","*"
"Simsbury School District","=""1280011""",22,0.5,4.0
"Somers School District","=""1290011""",6,0.4,3.7
"South Windsor School District","=""1320011""",12,0.3,2.3
"Southington School District","=""1310011""",16,0.2,2.2
"Sprague School District","=""1330011""","*","*","*"
"Stafford School District","=""1340011""",8,0.5,4.8
"Stamford School District","=""1350011""",53,0.3,3.6
"Sterling School District","=""1360011""","*","*","*"
"Stonington School District","=""1370011""",14,0.6,4.6
"Stratford School District","=""1380011""",35,0.5,5.0
"Suffield School District","=""1390011""",9,0.4,3.6
"Thomaston School District","=""1400011""","*","*","*"
"Thompson School District","=""1410011""","*","*","*"
"Tolland School District","=""1420011""",12,0.4,3.9
"Torrington School District","=""1430011""",19,0.4,2.5
"Trumbull School District","=""1440011""",26,0.4,4.6
"Unified School District #1","=""3360015""",6,0.8,2.0
"Unified School District #2","=""3470015""",6,2.3,3.0
"Vernon School District","=""1460011""",24,0.7,5.6
"Voluntown School District","=""1470011""","*","*","*"
"Wallingford School District","=""1480011""",23,0.4,2.9
"Waterbury School District","=""1510011""",111,0.7,4.0
"Waterford School District","=""1520011""",16,0.6,4.7
"Watertown School District","=""1530011""",19,0.6,5.7
"West Hartford School District","=""1550011""",27,0.3,2.5
"West Haven School District","=""1560011""",23,0.3,2.8
"Westbrook School District","=""1540011""","*","*","*"
"Weston School District","=""1570011""","*","*","*"
"Westport School District","=""1580011""",7,0.1,1.2
"Wethersfield School District","=""1590011""",19,0.5,4.5
"Willington School District","=""1600011""","*","*","*"
"Wilton School District","=""1610011""",6,0.1,1.3
"Winchester School District","=""1620011""",10,0.8,3.9
"Windham School District","=""1630011""",35,1.1,6.6
"Windsor Locks School District","=""1650011""",15,0.8,7.1
"Windsor School District","=""1640011""",18,0.5,3.3
"Wolcott School District","=""1660011""",16,0.6,6.5
"Woodbridge School District","=""1670011""","*","*","*"
"Woodstock School District","=""1690011""","*","*","*"

