"Primary Disability (K-12), 2014-15"
"All Districts"

"",,,"2014-15",,
"District","District Code","Disability","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","All Disabilities",15,5.9,100.0
"Andover School District","=""0010011""","Autism","*","*","*"
"Andover School District","=""0010011""","Intellectual Disability","*","*","*"
"Andover School District","=""0010011""","Learning Disability","*","*","*"
"Andover School District","=""0010011""","Other Health Impairment",7,2.8,46.7
"Andover School District","=""0010011""","Speech Language Impairment","*","*","*"
"Ansonia School District","=""0020011""","All Disabilities",415,16.4,100.0
"Ansonia School District","=""0020011""","Autism",48,1.9,11.6
"Ansonia School District","=""0020011""","Emotional Disturbance",36,1.4,8.7
"Ansonia School District","=""0020011""","Intellectual Disability",20,0.8,4.8
"Ansonia School District","=""0020011""","Learning Disability",104,4.1,25.1
"Ansonia School District","=""0020011""","Other Disabilities",52,2.1,12.5
"Ansonia School District","=""0020011""","Other Health Impairment",96,3.8,23.1
"Ansonia School District","=""0020011""","Speech Language Impairment",59,2.3,14.2
"Ashford School District","=""0030011""","All Disabilities",47,12.5,100.0
"Ashford School District","=""0030011""","Autism",6,1.6,12.8
"Ashford School District","=""0030011""","Emotional Disturbance","*","*","*"
"Ashford School District","=""0030011""","Intellectual Disability","*","*","*"
"Ashford School District","=""0030011""","Learning Disability",9,2.4,19.1
"Ashford School District","=""0030011""","Other Disabilities",6,1.6,12.8
"Ashford School District","=""0030011""","Other Health Impairment",12,3.2,25.5
"Ashford School District","=""0030011""","Speech Language Impairment",11,2.9,23.4
"Avon School District","=""0040011""","All Disabilities",313,9.4,100.0
"Avon School District","=""0040011""","Autism",53,1.6,16.9
"Avon School District","=""0040011""","Emotional Disturbance",17,0.5,5.4
"Avon School District","=""0040011""","Intellectual Disability",9,0.3,2.9
"Avon School District","=""0040011""","Learning Disability",85,2.5,27.2
"Avon School District","=""0040011""","Other Disabilities",30,0.9,9.6
"Avon School District","=""0040011""","Other Health Impairment",63,1.9,20.1
"Avon School District","=""0040011""","Speech Language Impairment",56,1.7,17.9
"Barkhamsted School District","=""0050011""","All Disabilities",37,12.3,100.0
"Barkhamsted School District","=""0050011""","Autism","*","*","*"
"Barkhamsted School District","=""0050011""","Emotional Disturbance","*","*","*"
"Barkhamsted School District","=""0050011""","Learning Disability",12,4.0,32.4
"Barkhamsted School District","=""0050011""","Other Disabilities","*","*","*"
"Barkhamsted School District","=""0050011""","Other Health Impairment",7,2.3,18.9
"Barkhamsted School District","=""0050011""","Speech Language Impairment",13,4.3,35.1
"Berlin School District","=""0070011""","All Disabilities",316,10.6,100.0
"Berlin School District","=""0070011""","Autism",37,1.2,11.7
"Berlin School District","=""0070011""","Emotional Disturbance",26,0.9,8.2
"Berlin School District","=""0070011""","Intellectual Disability",6,0.2,1.9
"Berlin School District","=""0070011""","Learning Disability",100,3.4,31.6
"Berlin School District","=""0070011""","Other Disabilities",23,0.8,7.3
"Berlin School District","=""0070011""","Other Health Impairment",53,1.8,16.8
