"Primary Disability (K-12), 2011-12"
"All Districts"

"",,,"2011-12",,
"District","District Code","Disability","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","All Disabilities",20,6.9,100.0
"Andover School District","=""0010011""","Autism","*","*","*"
"Andover School District","=""0010011""","Intellectual Disability","*","*","*"
"Andover School District","=""0010011""","Learning Disability",9,3.1,45.0
"Andover School District","=""0010011""","Other Disabilities","*","*","*"
"Andover School District","=""0010011""","Speech Language Impairment",6,2.1,30.0
"Ansonia School District","=""0020011""","All Disabilities",298,11.1,100.0
"Ansonia School District","=""0020011""","Autism",35,1.3,11.7
"Ansonia School District","=""0020011""","Emotional Disturbance",24,0.9,8.1
"Ansonia School District","=""0020011""","Intellectual Disability",25,0.9,8.4
"Ansonia School District","=""0020011""","Learning Disability",77,2.9,25.8
"Ansonia School District","=""0020011""","Other Disabilities",21,0.8,7.0
"Ansonia School District","=""0020011""","Other Health Impairment",73,2.7,24.5
"Ansonia School District","=""0020011""","Speech Language Impairment",43,1.6,14.4
"Ashford School District","=""0030011""","All Disabilities",47,10.8,100.0
"Ashford School District","=""0030011""","Autism",6,1.4,12.8
"Ashford School District","=""0030011""","Emotional Disturbance","*","*","*"
"Ashford School District","=""0030011""","Intellectual Disability","*","*","*"
"Ashford School District","=""0030011""","Learning Disability",10,2.3,21.3
"Ashford School District","=""0030011""","Other Disabilities","*","*","*"
"Ashford School District","=""0030011""","Other Health Impairment",10,2.3,21.3
"Ashford School District","=""0030011""","Speech Language Impairment",17,3.9,36.2
"Avon School District","=""0040011""","All Disabilities",370,10.5,100.0
"Avon School District","=""0040011""","Autism",55,1.6,14.9
"Avon School District","=""0040011""","Emotional Disturbance",17,0.5,4.6
"Avon School District","=""0040011""","Intellectual Disability",13,0.4,3.5
"Avon School District","=""0040011""","Learning Disability",110,3.1,29.7
"Avon School District","=""0040011""","Other Disabilities",18,0.5,4.9
"Avon School District","=""0040011""","Other Health Impairment",77,2.2,20.8
"Avon School District","=""0040011""","Speech Language Impairment",80,2.3,21.6
"Barkhamsted School District","=""0050011""","All Disabilities",29,8.6,100.0
"Barkhamsted School District","=""0050011""","Autism","*","*","*"
"Barkhamsted School District","=""0050011""","Learning Disability",13,3.8,44.8
"Barkhamsted School District","=""0050011""","Other Disabilities","*","*","*"
"Barkhamsted School District","=""0050011""","Other Health Impairment","*","*","*"
"Barkhamsted School District","=""0050011""","Speech Language Impairment",10,2.9,34.5
"Berlin School District","=""0070011""","All Disabilities",294,9.6,100.0
"Berlin School District","=""0070011""","Autism",42,1.4,14.3
"Berlin School District","=""0070011""","Emotional Disturbance",16,0.5,5.4
"Berlin School District","=""0070011""","Intellectual Disability","*","*","*"
"Berlin School District","=""0070011""","Learning Disability",88,2.9,29.9
"Berlin School District","=""0070011""","Other Disabilities","*","*","*"
"Berlin School District","=""0070011""","Other Health Impairment",52,1.7,17.7
"Berlin School District","=""0070011""","Speech Language Impairment",79,2.6,26.9
"Bethany School District","=""0080011""","All Disabilities",63,13.0,100.0
"Bethany School District","=""0080011""","Autism","*","*","*"
"Bethany School District","=""0080011""","Emotional Disturbance","*","*","*"
"Bethany School District","=""0080011""","Intellectual Disability","*","*","*"
"Bethany School District","=""0080011""","Learning Disability",25,5.2,39.7
"Bethany School District","=""0080011""","Other Disabilities",6,1.2,9.5
"Bethany School District","=""0080011""","Other Health Impairment",8,1.7,12.7
"Bethany School District","=""0080011""","Speech Language Impairment",17,3.5,27.0
"Bethel School District","=""0090011""","All Disabilities",314,10.8,100.0
"Bethel School District","=""0090011""","Autism",31,1.1,9.9
"Bethel School District","=""0090011""","Emotional Disturbance",20,0.7,6.4
"Bethel School District","=""0090011""","Intellectual Disability",6,0.2,1.9
"Bethel School District","=""0090011""","Learning Disability",122,4.2,38.9
"Bethel School District","=""0090011""","Other Disabilities",43,1.5,13.7
"Bethel School District","=""0090011""","Other Health Impairment",44,1.5,14.0
"Bethel School District","=""0090011""","Speech Language Impairment",48,1.6,15.3
"Bloomfield School District","=""0110011""","All Disabilities",241,10.6,100.0
"Bloomfield School District","=""0110011""","Autism",14,0.6,5.8
"Bloomfield School District","=""0110011""","Emotional Disturbance",33,1.5,13.7
"Bloomfield School District","=""0110011""","Intellectual Disability",16,0.7,6.6
"Bloomfield School District","=""0110011""","Learning Disability",76,3.3,31.5
"Bloomfield School District","=""0110011""","Other Disabilities",24,1.1,10.0
"Bloomfield School District","=""0110011""","Other Health Impairment",24,1.1,10.0
"Bloomfield School District","=""0110011""","Speech Language Impairment",54,2.4,22.4
"Bolton School District","=""0120011""","All Disabilities",87,10.4,100.0
"Bolton School District","=""0120011""","Autism","*","*","*"
"Bolton School District","=""0120011""","Emotional Disturbance",13,1.6,14.9
"Bolton School District","=""0120011""","Intellectual Disability",7,0.8,8.0
"Bolton School District","=""0120011""","Learning Disability",26,3.1,29.9
"Bolton School District","=""0120011""","Other Disabilities","*","*","*"
"Bolton School District","=""0120011""","Other Health Impairment",23,2.8,26.4
"Bolton School District","=""0120011""","Speech Language Impairment",8,1.0,9.2
"Bozrah School District","=""0130011""","All Disabilities",41,12.1,100.0
"Bozrah School District","=""0130011""","Autism","*","*","*"
"Bozrah School District","=""0130011""","Emotional Disturbance","*","*","*"
"Bozrah School District","=""0130011""","Learning Disability",13,3.8,31.7
"Bozrah School District","=""0130011""","Other Disabilities","*","*","*"
"Bozrah School District","=""0130011""","Other Health Impairment",8,2.4,19.5
"Bozrah School District","=""0130011""","Speech Language Impairment",8,2.4,19.5
"Branford School District","=""0140011""","All Disabilities",452,13.5,100.0
"Branford School District","=""0140011""","Autism",45,1.3,10.0
"Branford School District","=""0140011""","Emotional Disturbance",49,1.5,10.8
"Branford School District","=""0140011""","Intellectual Disability",25,0.7,5.5
"Branford School District","=""0140011""","Learning Disability",123,3.7,27.2
"Branford School District","=""0140011""","Other Disabilities",12,0.4,2.7
"Branford School District","=""0140011""","Other Health Impairment",100,3.0,22.1
"Branford School District","=""0140011""","Speech Language Impairment",98,2.9,21.7
"Bridgeport School District","=""0150011""","All Disabilities",2735,12.7,100.0
"Bridgeport School District","=""0150011""","Autism",188,0.9,6.9
"Bridgeport School District","=""0150011""","Emotional Disturbance",257,1.2,9.4
"Bridgeport School District","=""0150011""","Intellectual Disability",125,0.6,4.6
