"Primary Disability (K-12), 2014-15"
"All Districts, Autism"

"",,"2014-15",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","*","*","*"
"Ansonia School District","=""0020011""",48,1.9,11.6
"Ashford School District","=""0030011""",6,1.6,12.8
"Avon School District","=""0040011""",53,1.6,16.9
"Barkhamsted School District","=""0050011""","*","*","*"
"Berlin School District","=""0070011""",37,1.2,11.7
"Bethany School District","=""0080011""","*","*","*"
"Bethel School District","=""0090011""",32,1.1,9.9
"Bloomfield School District","=""0110011""",22,1.0,7.9
"Bolton School District","=""0120011""","*","*","*"
"Bozrah School District","=""0130011""",6,2.0,18.2
"Branford School District","=""0140011""",42,1.4,10.2
"Bridgeport School District","=""0150011""",255,1.1,8.0
"Bristol School District","=""0170011""",83,1.0,6.1
"Brookfield School District","=""0180011""",44,1.6,13.6
"Brooklyn School District","=""0190011""",9,0.8,7.1
"Canterbury School District","=""0220011""",19,2.9,26.8
"Canton School District","=""0230011""",27,1.6,15.5
"Chaplin School District","=""0240011""","*","*","*"
"Cheshire School District","=""0250011""",68,1.5,14.4
"Chester School District","=""0260011""","*","*","*"
"Clinton School District","=""0270011""",26,1.4,12.9
"Colchester School District","=""0280011""",35,1.3,9.7
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""","*","*","*"
"Connecticut Technical High School System","=""9000016""",53,0.5,5.5
"Cornwall School District","=""0310011""","*","*","*"
"Coventry School District","=""0320011""",20,1.2,9.8
"Cromwell School District","=""0330011""",29,1.4,13.6
"Danbury School District","=""0340011""",143,1.4,11.5
"Darien School District","=""0350011""",41,0.8,7.4
"Deep River School District","=""0360011""",6,1.9,12.5
"Derby School District","=""0370011""",26,1.7,12.2
"East Granby School District","=""0400011""",10,1.1,10.8
"East Haddam School District","=""0410011""",30,2.6,17.6
"East Hampton School District","=""0420011""",36,1.9,23.1
"East Hartford School District","=""0430011""",118,1.5,10.7
"East Haven School District","=""0440011""",55,1.7,12.9
"East Lyme School District","=""0450011""",48,1.8,14.0
"East Windsor School District","=""0470011""",26,2.1,11.9
"Eastford School District","=""0390011""","*","*","*"
"Easton School District","=""0460011""","*","*","*"
"Ellington School District","=""0480011""",26,1.0,9.0
"Enfield School District","=""0490011""",92,1.7,12.1
"Essex School District","=""0500011""",11,2.7,18.6
"Fairfield School District","=""0510011""",135,1.3,12.3
"Farmington School District","=""0520011""",84,2.1,18.1
"Franklin School District","=""0530011""","*","*","*"
"Glastonbury School District","=""0540011""",94,1.5,15.2
"Granby School District","=""0560011""",21,1.1,10.6
"Greenwich School District","=""0570011""",98,1.1,11.1
"Griswold School District","=""0580011""",33,1.9,13.4
"Groton School District","=""0590011""",108,2.2,14.9
"Guilford School District","=""0600011""",69,2.0,17.6
"Hamden School District","=""0620011""",143,2.2,15.1
"Hampton School District","=""0630011""","*","*","*"
"Hartford School District","=""0640011""",363,1.8,10.2
"Hartland School District","=""0650011""",6,2.2,18.2
"Hebron School District","=""0670011""",14,1.8,13.3
"Kent School District","=""0680011""","*","*","*"
"Killingly School District","=""0690011""",54,2.4,13.6
"Lebanon School District","=""0710011""",20,1.9,12.7
"Ledyard School District","=""0720011""",49,2.0,13.8
"Lisbon School District","=""0730011""",6,1.0,8.6
"Litchfield School District","=""0740011""",9,0.9,7.9
"Madison School District","=""0760011""",55,1.7,15.1
"Manchester School District","=""0770011""",97,1.3,10.9
"Mansfield School District","=""0780011""",17,1.4,11.9
"Marlborough School District","=""0790011""",6,1.0,13.0
"Meriden School District","=""0800011""",142,1.6,9.6
"Middletown School District","=""0830011""",76,1.5,12.0
"Milford School District","=""0840011""",101,1.6,13.3
"Monroe School District","=""0850011""",38,1.1,10.8
"Montville School District","=""0860011""",29,1.2,10.2
"Naugatuck School District","=""0880011""",73,1.6,11.4
"New Britain School District","=""0890011""",154,1.4,9.1
"New Canaan School District","=""0900011""",51,1.2,13.2
"New Fairfield School District","=""0910011""",18,0.7,7.4
"New Hartford School District","=""0920011""","*","*","*"
"New Haven School District","=""0930011""",255,1.3,9.7
"New London School District","=""0950011""",77,2.2,11.6
"New Milford School District","=""0960011""",76,1.8,13.5
"Newington School District","=""0940011""",64,1.5,12.1
"Newtown School District","=""0970011""",89,1.9,20.3
"Norfolk School District","=""0980011""","*","*","*"
"North Branford School District","=""0990011""",20,1.0,6.9
"North Canaan School District","=""1000011""",9,3.3,20.0
"North Haven School District","=""1010011""",58,1.7,15.0
"North Stonington School District","=""1020011""",8,1.1,12.5
"Norwalk School District","=""1030011""",130,1.1,9.9
"Norwich School District","=""1040011""",92,1.7,10.1
"Old Saybrook School District","=""1060011""",34,2.5,17.1
"Orange School District","=""1070011""",11,1.0,10.8
"Oxford School District","=""1080011""",29,1.4,12.5
"Plainfield School District","=""1090011""",33,1.5,10.7
"Plainville School District","=""1100011""",39,1.6,12.4
"Plymouth School District","=""1110011""",27,1.6,11.5
"Pomfret School District","=""1120011""",14,2.4,25.0
"Portland School District","=""1130011""",14,1.0,10.2
"Preston School District","=""1140011""",13,2.2,12.6
"Putnam School District","=""1160011""",31,2.6,17.2
"Redding School District","=""1170011""",12,1.3,9.6
"Regional School District 01","=""2010012""",8,2.0,11.8
"Regional School District 04","=""2040012""",20,2.0,15.2
"Regional School District 05","=""2050012""",44,1.9,16.3
"Regional School District 06","=""2060012""",8,1.0,7.4
"Regional School District 07","=""2070012""",13,1.3,11.2
"Regional School District 08","=""2080012""",19,1.1,8.6
"Regional School District 09","=""2090012""",17,1.6,14.0
"Regional School District 10","=""2100012""",44,1.7,17.4
"Regional School District 11","=""2110012""","*","*","*"
"Regional School District 12","=""2120012""",13,1.8,11.3
"Regional School District 13","=""2130012""",40,2.2,15.4
"Regional School District 14","=""2140012""",25,1.6,14.3
"Regional School District 15","=""2150012""",77,2.0,16.3
"Regional School District 16","=""2160012""",52,2.3,16.4
"Regional School District 17","=""2170012""",37,1.7,11.3
"Regional School District 18","=""2180012""",16,1.2,9.7
"Regional School District 19","=""2190012""",16,1.6,9.7
"Ridgefield School District","=""1180011""",71,1.4,15.2
"Rocky Hill School District","=""1190011""",39,1.5,16.2
"Salem School District","=""1210011""",11,1.7,14.3
"Salisbury School District","=""1220011""","*","*","*"
"Seymour School District","=""1240011""",35,1.5,13.1
"Sharon School District","=""1250011""","*","*","*"
"Shelton School District","=""1260011""",68,1.3,10.9
"Sherman School District","=""1270011""",10,2.0,13.9
"Simsbury School District","=""1280011""",100,2.3,17.8
"Somers School District","=""1290011""",18,1.2,11.3
"South Windsor School District","=""1320011""",90,2.1,16.5
"Southington School District","=""1310011""",96,1.4,12.1
"Sprague School District","=""1330011""","*","*","*"
"Stafford School District","=""1340011""",25,1.6,13.5
"Stamford School District","=""1350011""",155,1.0,8.9
"Sterling School District","=""1360011""",13,2.2,16.7
"Stonington School District","=""1370011""",48,2.1,14.4
"Stratford School District","=""1380011""",123,1.7,15.8
"Suffield School District","=""1390011""",53,2.3,22.8
"Thomaston School District","=""1400011""",13,1.3,9.5
"Thompson School District","=""1410011""",13,1.2,10.7
"Tolland School District","=""1420011""",55,2.0,17.7
"Torrington School District","=""1430011""",69,1.5,9.1
"Trumbull School District","=""1440011""",95,1.5,15.0
"Unified School District #1","=""3360015""","*","*","*"
"Unified School District #2","=""3470015""","*","*","*"
"Union School District","=""1450011""","*","*","*"
"Vernon School District","=""1460011""",62,1.8,12.4
"Voluntown School District","=""1470011""","*","*","*"
"Wallingford School District","=""1480011""",83,1.4,12.1
"Waterbury School District","=""1510011""",217,1.2,6.7
"Waterford School District","=""1520011""",51,1.9,13.0
"Watertown School District","=""1530011""",45,1.6,13.2
"West Hartford School District","=""1550011""",198,2.0,17.1
"West Haven School District","=""1560011""",85,1.2,8.7
"Westbrook School District","=""1540011""",18,2.3,20.0
"Weston School District","=""1570011""",34,1.4,17.0
"Westport School District","=""1580011""",55,1.0,9.6
"Wethersfield School District","=""1590011""",63,1.6,12.3
"Willington School District","=""1600011""","*","*","*"
"Wilton School District","=""1610011""",65,1.5,11.9
"Winchester School District","=""1620011""",37,3.1,15.9
"Windham School District","=""1630011""",50,1.6,10.0
"Windsor Locks School District","=""1650011""",18,1.1,8.8
"Windsor School District","=""1640011""",59,1.6,10.0
"Wolcott School District","=""1660011""",23,0.9,10.0
"Woodbridge School District","=""1670011""",6,0.8,9.5
"Woodstock School District","=""1690011""",14,1.1,12.4

