"Primary Disability (K-12), 2015-16"
"All Districts, All Disabilities"

"",,"2015-16",
"District","District Code","Count","Overall Prevalence Rate (%)"
"Andover School District","=""0010011""",16,6.7
"Ansonia School District","=""0020011""",450,18.0
"Ashford School District","=""0030011""",44,12.1
"Avon School District","=""0040011""",290,8.8
"Barkhamsted School District","=""0050011""",35,13.4
"Berlin School District","=""0070011""",335,11.4
"Bethany School District","=""0080011""",48,12.9
"Bethel School District","=""0090011""",317,11.0
"Bloomfield School District","=""0110011""",315,14.6
"Bolton School District","=""0120011""",87,11.2
"Bozrah School District","=""0130011""",33,11.3
"Branford School District","=""0140011""",418,13.8
"Bridgeport School District","=""0150011""",3373,14.8
"Bristol School District","=""0170011""",1382,16.9
"Brookfield School District","=""0180011""",335,12.4
"Brooklyn School District","=""0190011""",128,11.2
"Canaan School District","=""0210011""",8,10.8
"Canterbury School District","=""0220011""",69,10.8
"Canton School District","=""0230011""",181,11.0
"Chaplin School District","=""0240011""",27,15.8
"Cheshire School District","=""0250011""",484,11.0
"Chester School District","=""0260011""",34,16.0
"Clinton School District","=""0270011""",204,11.2
"Colchester School District","=""0280011""",367,14.1
"Colebrook School District","=""0290011""",19,21.1
"Columbia School District","=""0300011""",91,13.2
"Connecticut Technical High School System","=""9000016""",1017,9.5
"Cornwall School District","=""0310011""",13,14.3
"Coventry School District","=""0320011""",208,12.3
"Cromwell School District","=""0330011""",222,10.8
"Danbury School District","=""0340011""",1304,12.1
"Darien School District","=""0350011""",587,12.2
"Deep River School District","=""0360011""",43,14.1
"Department of Mental Health and Addiction Services","=""3370015""","*","*"
"Derby School District","=""0370011""",207,13.9
"East Granby School District","=""0400011""",100,11.2
"East Haddam School District","=""0410011""",162,14.8
"East Hampton School District","=""0420011""",159,8.2
"East Hartford School District","=""0430011""",1150,14.8
"East Haven School District","=""0440011""",439,13.3
"East Lyme School District","=""0450011""",327,12.8
"East Windsor School District","=""0470011""",191,16.0
"Eastford School District","=""0390011""",25,14.2
"Easton School District","=""0460011""",85,9.5
"Ellington School District","=""0480011""",296,11.0
"Enfield School District","=""0490011""",779,14.5
"Essex School District","=""0500011""",54,14.7
"Fairfield School District","=""0510011""",1066,10.6
"Farmington School District","=""0520011""",478,11.8
"Franklin School District","=""0530011""",31,12.8
"Glastonbury School District","=""0540011""",639,10.3
"Granby School District","=""0560011""",215,11.1
"Greenwich School District","=""0570011""",892,10.4
"Griswold School District","=""0580011""",242,14.1
"Groton School District","=""0590011""",740,15.5
"Guilford School District","=""0600011""",397,11.6
"Hamden School District","=""0620011""",1023,15.9
"Hampton School District","=""0630011""",16,16.8
"Hartford School District","=""0640011""",3735,18.4
"Hartland School District","=""0650011""",35,13.1
"Hebron School District","=""0670011""",88,12.4
"Kent School District","=""0680011""",25,11.1
"Killingly School District","=""0690011""",392,17.2
"Lebanon School District","=""0710011""",142,14.1
"Ledyard School District","=""0720011""",359,15.4
"Lisbon School District","=""0730011""",64,11.4
"Litchfield School District","=""0740011""",113,11.8
"Madison School District","=""0760011""",354,11.8
"Manchester School District","=""0770011""",873,12.2
"Mansfield School District","=""0780011""",137,11.6
"Marlborough School District","=""0790011""",42,7.7
"Meriden School District","=""0800011""",1509,17.3
"Middletown School District","=""0830011""",643,13.0
"Milford School District","=""0840011""",750,12.2
"Monroe School District","=""0850011""",353,11.1
"Montville School District","=""0860011""",330,13.9
"Naugatuck School District","=""0880011""",675,15.4
"New Britain School District","=""0890011""",1755,15.8
"New Canaan School District","=""0900011""",402,9.6
"New Fairfield School District","=""0910011""",230,9.5
"New Hartford School District","=""0920011""",56,11.6
"New Haven School District","=""0930011""",2775,14.1
"New London School District","=""0950011""",660,18.8
"New Milford School District","=""0960011""",557,13.5
"Newington School District","=""0940011""",515,12.3
"Newtown School District","=""0970011""",473,10.3
"Norfolk School District","=""0980011""",16,15.2
"North Branford School District","=""0990011""",278,14.4
"North Canaan School District","=""1000011""",45,17.9
"North Haven School District","=""1010011""",358,11.1
"North Stonington School District","=""1020011""",66,9.2
"Norwalk School District","=""1030011""",1421,12.3
"Norwich School District","=""1040011""",873,16.0
"Old Saybrook School District","=""1060011""",176,13.4
"Orange School District","=""1070011""",95,8.2
"Oxford School District","=""1080011""",245,12.2
"Plainfield School District","=""1090011""",301,13.7
"Plainville School District","=""1100011""",304,12.8
"Plymouth School District","=""1110011""",236,14.4
"Pomfret School District","=""1120011""",65,11.2
"Portland School District","=""1130011""",140,10.1
"Preston School District","=""1140011""",98,16.0
"Putnam School District","=""1160011""",190,16.8
"Redding School District","=""1170011""",116,12.7
"Regional School District 01","=""2010012""",70,16.5
"Regional School District 04","=""2040012""",143,15.0
"Regional School District 05","=""2050012""",277,12.1
"Regional School District 06","=""2060012""",118,15.1
"Regional School District 07","=""2070012""",120,11.7
"Regional School District 08","=""2080012""",202,11.9
"Regional School District 09","=""2090012""",130,12.3
"Regional School District 10","=""2100012""",247,10.1
"Regional School District 11","=""2110012""",61,21.5
"Regional School District 12","=""2120012""",112,16.7
"Regional School District 13","=""2130012""",251,14.5
"Regional School District 14","=""2140012""",165,11.1
"Regional School District 15","=""2150012""",501,13.2
"Regional School District 16","=""2160012""",316,14.1
"Regional School District 17","=""2170012""",346,16.3
"Regional School District 18","=""2180012""",158,12.0
"Regional School District 19","=""2190012""",173,17.7
"Ridgefield School District","=""1180011""",451,9.0
"Rocky Hill School District","=""1190011""",262,9.5
"Salem School District","=""1210011""",94,15.1
"Salisbury School District","=""1220011""",29,11.2
"Scotland School District","=""1230011""",16,15.1
"Seymour School District","=""1240011""",268,11.8
"Sharon School District","=""1250011""",24,16.6
"Shelton School District","=""1260011""",647,12.7
"Sherman School District","=""1270011""",62,12.9
"Simsbury School District","=""1280011""",549,12.9
"Somers School District","=""1290011""",163,11.3
"South Windsor School District","=""1320011""",530,12.4
"Southington School District","=""1310011""",781,11.8
"Sprague School District","=""1330011""",67,14.7
"Stafford School District","=""1340011""",190,12.5
"Stamford School District","=""1350011""",1807,11.5
"Sterling School District","=""1360011""",78,13.6
"Stonington School District","=""1370011""",331,15.0
"Stratford School District","=""1380011""",841,11.8
"Suffield School District","=""1390011""",247,11.0
"Thomaston School District","=""1400011""",143,14.3
"Thompson School District","=""1410011""",124,12.1
"Tolland School District","=""1420011""",311,11.7
"Torrington School District","=""1430011""",814,18.5
"Trumbull School District","=""1440011""",679,10.5
"Unified School District #1","=""3360015""",167,42.8
"Unified School District #2","=""3470015""",135,78.0
"Union School District","=""1450011""",17,16.2
"Vernon School District","=""1460011""",511,15.2
"Voluntown School District","=""1470011""",65,17.1
"Wallingford School District","=""1480011""",694,11.9
"Waterbury School District","=""1510011""",3307,18.6
"Waterford School District","=""1520011""",388,14.4
"Watertown School District","=""1530011""",351,12.5
"West Hartford School District","=""1550011""",1175,11.9
"West Haven School District","=""1560011""",1019,14.9
"Westbrook School District","=""1540011""",94,12.6
"Weston School District","=""1570011""",209,8.8
"Westport School District","=""1580011""",579,10.2
"Wethersfield School District","=""1590011""",517,13.3
"Willington School District","=""1600011""",70,16.6
"Wilton School District","=""1610011""",539,13.1
"Winchester School District","=""1620011""",249,21.1
"Windham School District","=""1630011""",527,16.6
"Windsor Locks School District","=""1650011""",239,14.3
"Windsor School District","=""1640011""",604,15.9
"Wolcott School District","=""1660011""",257,10.6
"Woodbridge School District","=""1670011""",63,8.3
"Woodstock School District","=""1690011""",116,9.3

