"Primary Disability (K-12), 2011-12"
"State of Connecticut"

"",,"2011-12",,
"District","Disability","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"State of Connecticut","All Disabilities",63645,11.7,100.0
"State of Connecticut","Autism",6401,1.2,10.1
"State of Connecticut","Emotional Disturbance",5298,1.0,8.3
"State of Connecticut","Intellectual Disability",2418,0.4,3.8
"State of Connecticut","Learning Disability",21046,3.9,33.1
"State of Connecticut","Other Disabilities",5219,1.0,8.2
"State of Connecticut","Other Health Impairment",12133,2.2,19.1
"State of Connecticut","Speech Language Impairment",11130,2.1,17.5

