"Primary Disability (K-12), 2015-16"
"All Districts, Other Health Impairment"

"",,"2015-16",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","*","*","*"
"Ansonia School District","=""0020011""",106,4.2,23.6
"Ashford School District","=""0030011""",12,3.3,27.3
"Avon School District","=""0040011""",54,1.6,18.6
"Barkhamsted School District","=""0050011""","*","*","*"
"Berlin School District","=""0070011""",57,1.9,17.0
"Bethany School District","=""0080011""",7,1.9,14.6
"Bethel School District","=""0090011""",58,2.0,18.3
"Bloomfield School District","=""0110011""",50,2.3,15.9
"Bolton School District","=""0120011""",25,3.2,28.7
"Bozrah School District","=""0130011""",8,2.7,24.2
"Branford School District","=""0140011""",111,3.7,26.6
"Bridgeport School District","=""0150011""",596,2.6,17.7
"Bristol School District","=""0170011""",327,4.0,23.7
"Brookfield School District","=""0180011""",76,2.8,22.7
"Brooklyn School District","=""0190011""",11,1.0,8.6
"Canaan School District","=""0210011""","*","*","*"
"Canterbury School District","=""0220011""",15,2.3,21.7
"Canton School District","=""0230011""",36,2.2,19.9
"Chaplin School District","=""0240011""","*","*","*"
"Cheshire School District","=""0250011""",129,2.9,26.7
"Chester School District","=""0260011""","*","*","*"
"Clinton School District","=""0270011""",50,2.7,24.5
"Colchester School District","=""0280011""",56,2.2,15.3
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""",30,4.4,33.0
"Connecticut Technical High School System","=""9000016""",271,2.5,26.6
"Cornwall School District","=""0310011""","*","*","*"
"Coventry School District","=""0320011""",39,2.3,18.8
"Cromwell School District","=""0330011""",31,1.5,14.0
"Danbury School District","=""0340011""",205,1.9,15.7
"Darien School District","=""0350011""",180,3.7,30.7
"Deep River School District","=""0360011""",14,4.6,32.6
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*"
"Derby School District","=""0370011""",45,3.0,21.7
"East Granby School District","=""0400011""",15,1.7,15.0
"East Haddam School District","=""0410011""",24,2.2,14.8
"East Hampton School District","=""0420011""",25,1.3,15.7
"East Hartford School District","=""0430011""",255,3.3,22.2
"East Haven School District","=""0440011""",75,2.3,17.1
"East Lyme School District","=""0450011""",75,2.9,22.9
"East Windsor School District","=""0470011""",27,2.3,14.1
"Eastford School District","=""0390011""","*","*","*"
"Easton School District","=""0460011""",16,1.8,18.8
"Ellington School District","=""0480011""",49,1.8,16.6
"Enfield School District","=""0490011""",108,2.0,13.9
"Essex School District","=""0500011""",8,2.2,14.8
"Fairfield School District","=""0510011""",260,2.6,24.4
"Farmington School District","=""0520011""",104,2.6,21.8
"Franklin School District","=""0530011""",9,3.7,29.0
"Glastonbury School District","=""0540011""",154,2.5,24.1
"Granby School District","=""0560011""",67,3.5,31.2
"Greenwich School District","=""0570011""",163,1.9,18.3
"Griswold School District","=""0580011""",62,3.6,25.6
"Groton School District","=""0590011""",113,2.4,15.3
"Guilford School District","=""0600011""",88,2.6,22.2
"Hamden School District","=""0620011""",205,3.2,20.0
"Hampton School District","=""0630011""","*","*","*"
"Hartford School District","=""0640011""",687,3.4,18.4
"Hartland School District","=""0650011""","*","*","*"
"Hebron School District","=""0670011""",15,2.1,17.0
"Kent School District","=""0680011""","*","*","*"
"Killingly School District","=""0690011""",92,4.0,23.5
"Lebanon School District","=""0710011""",28,2.8,19.7
"Ledyard School District","=""0720011""",99,4.2,27.6
"Lisbon School District","=""0730011""",13,2.3,20.3
"Litchfield School District","=""0740011""",25,2.6,22.1
"Madison School District","=""0760011""",103,3.4,29.1
"Manchester School District","=""0770011""",171,2.4,19.6
"Mansfield School District","=""0780011""",22,1.9,16.1
"Marlborough School District","=""0790011""",6,1.1,14.3
"Meriden School District","=""0800011""",319,3.7,21.1
"Middletown School District","=""0830011""",123,2.5,19.1
"Milford School District","=""0840011""",206,3.3,27.5
"Monroe School District","=""0850011""",93,2.9,26.3
"Montville School District","=""0860011""",68,2.9,20.6
"Naugatuck School District","=""0880011""",157,3.6,23.3
"New Britain School District","=""0890011""",405,3.6,23.1
"New Canaan School District","=""0900011""",84,2.0,20.9
"New Fairfield School District","=""0910011""",60,2.5,26.1
"New Hartford School District","=""0920011""",11,2.3,19.6
"New Haven School District","=""0930011""",572,2.9,20.6
"New London School District","=""0950011""",142,4.0,21.5
"New Milford School District","=""0960011""",137,3.3,24.6
"Newington School District","=""0940011""",74,1.8,14.4
"Newtown School District","=""0970011""",102,2.2,21.6
"Norfolk School District","=""0980011""","*","*","*"
"North Branford School District","=""0990011""",59,3.1,21.2
"North Canaan School District","=""1000011""","*","*","*"
"North Haven School District","=""1010011""",60,1.9,16.8
"North Stonington School District","=""1020011""",18,2.5,27.3
"Norwalk School District","=""1030011""",259,2.2,18.2
"Norwich School District","=""1040011""",180,3.3,20.6
"Old Saybrook School District","=""1060011""",46,3.5,26.1
"Orange School District","=""1070011""",11,1.0,11.6
"Oxford School District","=""1080011""",64,3.2,26.1
"Plainfield School District","=""1090011""",62,2.8,20.6
"Plainville School District","=""1100011""",77,3.2,25.3
"Plymouth School District","=""1110011""",65,4.0,27.5
"Pomfret School District","=""1120011""",9,1.5,13.8
"Portland School District","=""1130011""",21,1.5,15.0
"Preston School District","=""1140011""",22,3.6,22.4
"Putnam School District","=""1160011""",23,2.0,12.1
"Redding School District","=""1170011""",30,3.3,25.9
"Regional School District 01","=""2010012""",8,1.9,11.4
"Regional School District 04","=""2040012""",34,3.6,23.8
"Regional School District 05","=""2050012""",60,2.6,21.7
"Regional School District 06","=""2060012""",21,2.7,17.8
"Regional School District 07","=""2070012""",20,1.9,16.7
"Regional School District 08","=""2080012""",61,3.6,30.2
"Regional School District 09","=""2090012""",39,3.7,30.0
"Regional School District 10","=""2100012""",47,1.9,19.0
"Regional School District 11","=""2110012""",18,6.3,29.5
"Regional School District 12","=""2120012""",27,4.0,24.1
"Regional School District 13","=""2130012""",49,2.8,19.5
"Regional School District 14","=""2140012""",34,2.3,20.6
"Regional School District 15","=""2150012""",93,2.5,18.6
"Regional School District 16","=""2160012""",65,2.9,20.6
"Regional School District 17","=""2170012""",79,3.7,22.8
"Regional School District 18","=""2180012""",25,1.9,15.8
"Regional School District 19","=""2190012""",43,4.4,24.9
"Ridgefield School District","=""1180011""",74,1.5,16.4
"Rocky Hill School District","=""1190011""",56,2.0,21.4
"Salem School District","=""1210011""",21,3.4,22.3
"Salisbury School District","=""1220011""","*","*","*"
"Scotland School District","=""1230011""","*","*","*"
"Seymour School District","=""1240011""",31,1.4,11.6
"Sharon School District","=""1250011""","*","*","*"
"Shelton School District","=""1260011""",108,2.1,16.7
"Sherman School District","=""1270011""",14,2.9,22.6
"Simsbury School District","=""1280011""",142,3.3,25.9
"Somers School District","=""1290011""",40,2.8,24.5
"South Windsor School District","=""1320011""",138,3.2,26.0
"Southington School District","=""1310011""",206,3.1,26.4
"Sprague School District","=""1330011""",16,3.5,23.9
"Stafford School District","=""1340011""",42,2.8,22.1
"Stamford School District","=""1350011""",360,2.3,19.9
"Sterling School District","=""1360011""",19,3.3,24.4
"Stonington School District","=""1370011""",70,3.2,21.1
"Stratford School District","=""1380011""",210,2.9,25.0
"Suffield School District","=""1390011""",57,2.5,23.1
"Thomaston School District","=""1400011""",21,2.1,14.7
"Thompson School District","=""1410011""",16,1.6,12.9
"Tolland School District","=""1420011""",65,2.4,20.9
"Torrington School District","=""1430011""",181,4.1,22.2
"Trumbull School District","=""1440011""",167,2.6,24.6
"Unified School District #1","=""3360015""",39,10.0,23.4
"Unified School District #2","=""3470015""",21,12.1,15.6
"Union School District","=""1450011""","*","*","*"
"Vernon School District","=""1460011""",66,2.0,12.9
"Voluntown School District","=""1470011""",6,1.6,9.2
"Wallingford School District","=""1480011""",167,2.9,24.1
"Waterbury School District","=""1510011""",704,4.0,21.3
"Waterford School District","=""1520011""",116,4.3,29.9
"Watertown School District","=""1530011""",106,3.8,30.2
"West Hartford School District","=""1550011""",263,2.7,22.4
"West Haven School District","=""1560011""",130,1.9,12.8
"Westbrook School District","=""1540011""",15,2.0,16.0
"Weston School District","=""1570011""",42,1.8,20.1
"Westport School District","=""1580011""",116,2.0,20.0
"Wethersfield School District","=""1590011""",98,2.5,19.0
"Willington School District","=""1600011""",17,4.0,24.3
"Wilton School District","=""1610011""",130,3.2,24.1
"Winchester School District","=""1620011""",52,4.4,20.9
"Windham School District","=""1630011""",91,2.9,17.3
"Windsor Locks School District","=""1650011""",46,2.7,19.2
