"Primary Disability (K-12), 2013-14"
"State of Connecticut"

"",,"2013-14",,
"District","Disability","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"State of Connecticut","All Disabilities",66131,12.4,100.0
"State of Connecticut","Autism",7289,1.4,11.0
"State of Connecticut","Emotional Disturbance",5231,1.0,7.9
"State of Connecticut","Intellectual Disability",2326,0.4,3.5
"State of Connecticut","Learning Disability",22272,4.2,33.7
"State of Connecticut","Other Disabilities",5345,1.0,8.1
"State of Connecticut","Other Health Impairment",13394,2.5,20.3
"State of Connecticut","Speech Language Impairment",10274,1.9,15.5

