"Primary Disability (K-12), 2010-11"
"All Districts, Autism"

"",,"2010-11",,
"District","District Code","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","*","*","*"
"Ansonia School District","=""0020011""",34,1.2,11.0
"Ashford School District","=""0030011""",7,1.6,13.2
"Avon School District","=""0040011""",49,1.4,13.4
"Barkhamsted School District","=""0050011""","*","*","*"
"Berlin School District","=""0070011""",39,1.2,12.7
"Bethany School District","=""0080011""","*","*","*"
"Bethel School District","=""0090011""",30,1.0,9.6
"Bloomfield School District","=""0110011""",12,0.5,5.5
"Bolton School District","=""0120011""","*","*","*"
"Bozrah School District","=""0130011""","*","*","*"
"Branford School District","=""0140011""",40,1.2,8.6
"Bridgeport School District","=""0150011""",160,0.7,6.0
"Bristol School District","=""0170011""",57,0.7,4.8
"Brookfield School District","=""0180011""",39,1.4,16.7
"Brooklyn School District","=""0190011""","*","*","*"
"Canterbury School District","=""0220011""",10,1.4,13.7
"Canton School District","=""0230011""",21,1.2,13.7
"Cheshire School District","=""0250011""",55,1.2,12.0
"Chester School District","=""0260011""","*","*","*"
"Clinton School District","=""0270011""",19,0.9,7.7
"Colchester School District","=""0280011""",30,1.0,8.2
"Colebrook School District","=""0290011""","*","*","*"
"Columbia School District","=""0300011""","*","*","*"
"Connecticut Technical High School System","=""9000016""",30,0.3,4.0
"Cornwall School District","=""0310011""","*","*","*"
"Coventry School District","=""0320011""","*","*","*"
"Cromwell School District","=""0330011""",19,0.9,9.7
"Danbury School District","=""0340011""",96,1.0,8.6
"Darien School District","=""0350011""",51,1.1,9.8
"Deep River School District","=""0360011""",9,2.5,25.7
"Derby School District","=""0370011""",7,0.5,4.6
"East Granby School District","=""0400011""",8,0.9,8.9
"East Haddam School District","=""0410011""",18,1.3,11.6
"East Hampton School District","=""0420011""",26,1.3,17.8
"East Hartford School District","=""0430011""",76,1.0,7.2
"East Haven School District","=""0440011""",39,1.1,9.0
"East Lyme School District","=""0450011""",44,1.6,13.0
"East Windsor School District","=""0470011""",14,1.0,8.4
"Eastford School District","=""0390011""","*","*","*"
"Easton School District","=""0460011""",12,1.1,13.6
"Ellington School District","=""0480011""","*","*","*"
"Enfield School District","=""0490011""",71,1.2,9.1
"Essex School District","=""0500011""",7,1.3,17.1
"Fairfield School District","=""0510011""",133,1.3,12.9
"Farmington School District","=""0520011""",71,1.7,16.9
"Franklin School District","=""0530011""","*","*","*"
"Glastonbury School District","=""0540011""",81,1.2,12.0
"Granby School District","=""0560011""",13,0.6,7.4
"Greenwich School District","=""0570011""",85,1.0,9.4
"Griswold School District","=""0580011""",16,0.9,7.1
"Groton School District","=""0590011""",79,1.6,12.6
"Guilford School District","=""0600011""",47,1.3,13.1
"Hamden School District","=""0620011""",88,1.3,10.0
"Hartford School District","=""0640011""",189,0.9,6.3
"Hartland School District","=""0650011""","*","*","*"
"Hebron School District","=""0670011""",8,0.7,7.8
"Kent School District","=""0680011""","*","*","*"
"Killingly School District","=""0690011""",45,1.8,12.8
"Lebanon School District","=""0710011""",10,0.8,7.1
"Ledyard School District","=""0720011""",50,2.0,15.5
"Lisbon School District","=""0730011""",10,1.4,12.3
"Litchfield School District","=""0740011""",6,0.5,5.1
"Madison School District","=""0760011""",40,1.1,11.0
"Manchester School District","=""0770011""",72,1.0,7.6
"Mansfield School District","=""0780011""",14,1.1,9.5
"Marlborough School District","=""0790011""","*","*","*"
"Meriden School District","=""0800011""",86,1.0,7.2
"Middletown School District","=""0830011""",48,0.9,8.0
"Milford School District","=""0840011""",84,1.2,9.9
"Monroe School District","=""0850011""",28,0.7,8.3
"Montville School District","=""0860011""",27,1.0,9.8
"Naugatuck School District","=""0880011""",46,1.0,8.6
"New Britain School District","=""0890011""",121,1.1,8.2
"New Canaan School District","=""0900011""",39,0.9,9.5
"New Fairfield School District","=""0910011""",18,0.6,6.1
"New Hartford School District","=""0920011""","*","*","*"
"New Haven School District","=""0930011""",189,1.1,8.9
"New London School District","=""0950011""",52,1.5,9.0
"New Milford School District","=""0960011""",74,1.6,11.5
"Newington School District","=""0940011""",52,1.2,10.2
"Newtown School District","=""0970011""",76,1.4,17.6
"Norfolk School District","=""0980011""","*","*","*"
"North Branford School District","=""0990011""",19,0.8,6.4
"North Canaan School District","=""1000011""","*","*","*"
"North Haven School District","=""1010011""",50,1.4,13.0
"North Stonington School District","=""1020011""","*","*","*"
"Norwalk School District","=""1030011""",100,0.9,8.8
"Norwich School District","=""1040011""",41,0.7,4.9
"Old Saybrook School District","=""1060011""",21,1.4,12.7
"Orange School District","=""1070011""",15,1.2,12.0
"Oxford School District","=""1080011""",20,0.9,14.5
"Plainfield School District","=""1090011""",40,1.6,13.9
"Plainville School District","=""1100011""","*","*","*"
"Plymouth School District","=""1110011""",23,1.2,9.7
"Pomfret School District","=""1120011""",11,1.6,13.1
"Portland School District","=""1130011""",14,1.0,13.7
"Preston School District","=""1140011""",16,2.4,15.2
"Putnam School District","=""1160011""",25,2.0,13.0
"Redding School District","=""1170011""",19,1.6,13.5
"Regional School District 01","=""2010012""",8,1.6,11.8
"Regional School District 04","=""2040012""",13,1.3,9.6
"Regional School District 05","=""2050012""",43,1.7,15.1
"Regional School District 06","=""2060012""","*","*","*"
"Regional School District 07","=""2070012""",12,1.1,9.6
"Regional School District 08","=""2080012""",15,0.8,6.2
"Regional School District 09","=""2090012""",11,1.1,8.6
"Regional School District 10","=""2100012""",32,1.2,13.1
"Regional School District 11","=""2110012""","*","*","*"
"Regional School District 12","=""2120012""",10,1.1,8.1
"Regional School District 13","=""2130012""",30,1.5,11.0
"Regional School District 14","=""2140012""",30,1.6,12.7
"Regional School District 15","=""2150012""",43,1.0,8.2
"Regional School District 16","=""2160012""",39,1.6,15.4
"Regional School District 17","=""2170012""",32,1.3,11.2
"Regional School District 18","=""2180012""",12,0.8,8.5
"Regional School District 19","=""2190012""",8,0.7,4.2
"Ridgefield School District","=""1180011""",57,1.1,13.1
"Rocky Hill School District","=""1190011""",24,0.9,10.7
"Salem School District","=""1210011""",8,1.1,12.9
"Salisbury School District","=""1220011""","*","*","*"
"Scotland School District","=""1230011""","*","*","*"
"Seymour School District","=""1240011""",30,1.2,13.2
"Sharon School District","=""1250011""","*","*","*"
"Shelton School District","=""1260011""",59,1.1,11.6
"Sherman School District","=""1270011""",7,1.2,10.9
"Simsbury School District","=""1280011""",88,1.8,15.5
"Somers School District","=""1290011""",13,0.8,8.2
"South Windsor School District","=""1320011""",56,1.2,10.4
"Southington School District","=""1310011""",69,1.0,9.5
"Sprague School District","=""1330011""","*","*","*"
"Stafford School District","=""1340011""",24,1.4,14.0
"Stamford School District","=""1350011""",100,0.7,7.1
"Sterling School District","=""1360011""",7,1.1,10.8
"Stonington School District","=""1370011""",35,1.4,11.2
"Stratford School District","=""1380011""",91,1.2,13.0
"Suffield School District","=""1390011""",36,1.5,15.1
"Thomaston School District","=""1400011""","*","*","*"
"Thompson School District","=""1410011""",7,0.6,5.0
"Tolland School District","=""1420011""",45,1.5,14.2
"Torrington School District","=""1430011""",59,1.3,7.4
"Trumbull School District","=""1440011""",82,1.2,14.2
"Unified School District #2","=""3470015""","*","*","*"
"Vernon School District","=""1460011""",32,0.9,8.1
"Voluntown School District","=""1470011""","*","*","*"
"Wallingford School District","=""1480011""",82,1.3,10.3
"Waterbury School District","=""1510011""",166,1.0,5.8
"Waterford School District","=""1520011""",27,0.9,8.1
"Watertown School District","=""1530011""",31,1.0,9.2
"West Hartford School District","=""1550011""",140,1.4,12.7
"West Haven School District","=""1560011""",69,1.0,8.5
"Westbrook School District","=""1540011""",10,1.1,13.5
"Weston School District","=""1570011""",33,1.3,15.6
"Westport School District","=""1580011""",48,0.8,8.1
"Wethersfield School District","=""1590011""",60,1.5,15.2
"Willington School District","=""1600011""",7,1.4,9.9
"Wilton School District","=""1610011""",51,1.2,11.4
"Winchester School District","=""1620011""",31,2.3,12.7
"Windham School District","=""1630011""",36,1.1,6.5
"Windsor Locks School District","=""1650011""",25,1.4,12.6
"Windsor School District","=""1640011""",52,1.3,10.2
"Wolcott School District","=""1660011""",24,0.8,9.4
"Woodbridge School District","=""1670011""","*","*","*"
"Woodstock School District","=""1690011""",10,0.7,11.1

