"Primary Disability (K-12), 2015-16"
"All Districts"

"",,,"2015-16",,
"District","District Code","Disability","Count","Overall Prevalence Rate (%)","Within Special Education Prevalence Rate (%)"
"Andover School District","=""0010011""","All Disabilities",16,6.7,100.0
"Andover School District","=""0010011""","Autism","*","*","*"
"Andover School District","=""0010011""","Intellectual Disability","*","*","*"
"Andover School District","=""0010011""","Learning Disability","*","*","*"
"Andover School District","=""0010011""","Other Disabilities","*","*","*"
"Andover School District","=""0010011""","Other Health Impairment","*","*","*"
"Andover School District","=""0010011""","Speech Language Impairment","*","*","*"
"Ansonia School District","=""0020011""","All Disabilities",450,18.0,100.0
"Ansonia School District","=""0020011""","Autism",50,2.0,11.1
"Ansonia School District","=""0020011""","Emotional Disturbance",31,1.2,6.9
"Ansonia School District","=""0020011""","Intellectual Disability",18,0.7,4.0
"Ansonia School District","=""0020011""","Learning Disability",121,4.8,26.9
"Ansonia School District","=""0020011""","Other Disabilities",62,2.5,13.8
"Ansonia School District","=""0020011""","Other Health Impairment",106,4.2,23.6
"Ansonia School District","=""0020011""","Speech Language Impairment",62,2.5,13.8
"Ashford School District","=""0030011""","All Disabilities",44,12.1,100.0
"Ashford School District","=""0030011""","Autism","*","*","*"
"Ashford School District","=""0030011""","Emotional Disturbance","*","*","*"
"Ashford School District","=""0030011""","Learning Disability",11,3.0,25.0
"Ashford School District","=""0030011""","Other Disabilities",6,1.6,13.6
"Ashford School District","=""0030011""","Other Health Impairment",12,3.3,27.3
"Ashford School District","=""0030011""","Speech Language Impairment",8,2.2,18.2
"Avon School District","=""0040011""","All Disabilities",290,8.8,100.0
"Avon School District","=""0040011""","Autism",53,1.6,18.3
"Avon School District","=""0040011""","Emotional Disturbance",16,0.5,5.5
"Avon School District","=""0040011""","Intellectual Disability",7,0.2,2.4
"Avon School District","=""0040011""","Learning Disability",84,2.5,29.0
"Avon School District","=""0040011""","Other Disabilities",26,0.8,9.0
"Avon School District","=""0040011""","Other Health Impairment",54,1.6,18.6
"Avon School District","=""0040011""","Speech Language Impairment",50,1.5,17.2
"Barkhamsted School District","=""0050011""","All Disabilities",35,13.4,100.0
"Barkhamsted School District","=""0050011""","Autism","*","*","*"
"Barkhamsted School District","=""0050011""","Emotional Disturbance","*","*","*"
"Barkhamsted School District","=""0050011""","Learning Disability",13,5.0,37.1
"Barkhamsted School District","=""0050011""","Other Disabilities","*","*","*"
"Barkhamsted School District","=""0050011""","Other Health Impairment","*","*","*"
"Barkhamsted School District","=""0050011""","Speech Language Impairment",11,4.2,31.4
"Berlin School District","=""0070011""","All Disabilities",335,11.4,100.0
"Berlin School District","=""0070011""","Autism",38,1.3,11.3
"Berlin School District","=""0070011""","Emotional Disturbance",24,0.8,7.2
"Berlin School District","=""0070011""","Intellectual Disability",7,0.2,2.1
"Berlin School District","=""0070011""","Learning Disability",108,3.7,32.2
"Berlin School District","=""0070011""","Other Disabilities",27,0.9,8.1
"Berlin School District","=""0070011""","Other Health Impairment",57,1.9,17.0
"Berlin School District","=""0070011""","Speech Language Impairment",74,2.5,22.1
"Bethany School District","=""0080011""","All Disabilities",48,12.9,100.0
"Bethany School District","=""0080011""","Autism","*","*","*"
"Bethany School District","=""0080011""","Emotional Disturbance","*","*","*"
"Bethany School District","=""0080011""","Intellectual Disability","*","*","*"
"Bethany School District","=""0080011""","Learning Disability",13,3.5,27.1
"Bethany School District","=""0080011""","Other Disabilities","*","*","*"
"Bethany School District","=""0080011""","Other Health Impairment",7,1.9,14.6
"Bethany School District","=""0080011""","Speech Language Impairment",16,4.3,33.3
"Bethel School District","=""0090011""","All Disabilities",317,11.0,100.0
"Bethel School District","=""0090011""","Autism",38,1.3,12.0
"Bethel School District","=""0090011""","Emotional Disturbance","*","*","*"
"Bethel School District","=""0090011""","Intellectual Disability","*","*","*"
"Bethel School District","=""0090011""","Learning Disability",119,4.1,37.5
"Bethel School District","=""0090011""","Other Disabilities",42,1.5,13.2
"Bethel School District","=""0090011""","Other Health Impairment",58,2.0,18.3
"Bethel School District","=""0090011""","Speech Language Impairment",37,1.3,11.7
"Bloomfield School District","=""0110011""","All Disabilities",315,14.6,100.0
"Bloomfield School District","=""0110011""","Autism",26,1.2,8.3
"Bloomfield School District","=""0110011""","Emotional Disturbance",19,0.9,6.0
"Bloomfield School District","=""0110011""","Intellectual Disability",16,0.7,5.1
"Bloomfield School District","=""0110011""","Learning Disability",118,5.5,37.5
"Bloomfield School District","=""0110011""","Other Disabilities",37,1.7,11.7
"Bloomfield School District","=""0110011""","Other Health Impairment",50,2.3,15.9
"Bloomfield School District","=""0110011""","Speech Language Impairment",49,2.3,15.6
"Bolton School District","=""0120011""","All Disabilities",87,11.2,100.0
"Bolton School District","=""0120011""","Autism",6,0.8,6.9
"Bolton School District","=""0120011""","Emotional Disturbance",6,0.8,6.9
"Bolton School District","=""0120011""","Intellectual Disability",7,0.9,8.0
"Bolton School District","=""0120011""","Learning Disability",25,3.2,28.7
"Bolton School District","=""0120011""","Other Disabilities",6,0.8,6.9
"Bolton School District","=""0120011""","Other Health Impairment",25,3.2,28.7
"Bolton School District","=""0120011""","Speech Language Impairment",12,1.5,13.8
"Bozrah School District","=""0130011""","All Disabilities",33,11.3,100.0
"Bozrah School District","=""0130011""","Autism",6,2.0,18.2
"Bozrah School District","=""0130011""","Emotional Disturbance","*","*","*"
"Bozrah School District","=""0130011""","Learning Disability",12,4.1,36.4
"Bozrah School District","=""0130011""","Other Disabilities","*","*","*"
"Bozrah School District","=""0130011""","Other Health Impairment",8,2.7,24.2
"Branford School District","=""0140011""","All Disabilities",418,13.8,100.0
"Branford School District","=""0140011""","Autism",36,1.2,8.6
"Branford School District","=""0140011""","Emotional Disturbance",41,1.4,9.8
"Branford School District","=""0140011""","Intellectual Disability",17,0.6,4.1
"Branford School District","=""0140011""","Learning Disability",115,3.8,27.5
"Branford School District","=""0140011""","Other Disabilities",27,0.9,6.5
"Branford School District","=""0140011""","Other Health Impairment",111,3.7,26.6
"Branford School District","=""0140011""","Speech Language Impairment",71,2.3,17.0
"Bridgeport School District","=""0150011""","All Disabilities",3373,14.8,100.0
"Bridgeport School District","=""0150011""","Autism",285,1.2,8.4
"Bridgeport School District","=""0150011""","Emotional Disturbance",274,1.2,8.1
"Bridgeport School District","=""0150011""","Intellectual Disability",162,0.7,4.8
"Bridgeport School District","=""0150011""","Learning Disability",1291,5.7,38.3
"Bridgeport School District","=""0150011""","Other Disabilities",409,1.8,12.1
"Bridgeport School District","=""0150011""","Other Health Impairment",596,2.6,17.7
"Bridgeport School District","=""0150011""","Speech Language Impairment",356,1.6,10.6
"Bristol School District","=""0170011""","All Disabilities",1382,16.9,100.0
"Bristol School District","=""0170011""","Autism",96,1.2,6.9
"Bristol School District","=""0170011""","Emotional Disturbance",135,1.6,9.8
"Bristol School District","=""0170011""","Intellectual Disability",7,0.1,0.5
"Bristol School District","=""0170011""","Learning Disability",569,7.0,41.2
"Bristol School District","=""0170011""","Other Disabilities",124,1.5,9.0
"Bristol School District","=""0170011""","Other Health Impairment",327,4.0,23.7
"Bristol School District","=""0170011""","Speech Language Impairment",124,1.5,9.0
"Brookfield School District","=""0180011""","All Disabilities",335,12.4,100.0
"Brookfield School District","=""0180011""","Autism",47,1.7,14.0
"Brookfield School District","=""0180011""","Emotional Disturbance","*","*","*"
"Brookfield School District","=""0180011""","Intellectual Disability","*","*","*"
"Brookfield School District","=""0180011""","Learning Disability",135,5.0,40.3
"Brookfield School District","=""0180011""","Other Disabilities",19,0.7,5.7
"Brookfield School District","=""0180011""","Other Health Impairment",76,2.8,22.7
"Brookfield School District","=""0180011""","Speech Language Impairment",39,1.4,11.6
"Brooklyn School District","=""0190011""","All Disabilities",128,11.2,100.0
"Brooklyn School District","=""0190011""","Autism",12,1.0,9.4
"Brooklyn School District","=""0190011""","Emotional Disturbance",12,1.0,9.4
"Brooklyn School District","=""0190011""","Intellectual Disability",7,0.6,5.5
"Brooklyn School District","=""0190011""","Learning Disability",51,4.4,39.8
"Brooklyn School District","=""0190011""","Other Disabilities",9,0.8,7.0
"Brooklyn School District","=""0190011""","Other Health Impairment",11,1.0,8.6
"Brooklyn School District","=""0190011""","Speech Language Impairment",26,2.3,20.3
"Canaan School District","=""0210011""","All Disabilities",8,10.8,100.0
"Canaan School District","=""0210011""","Emotional Disturbance","*","*","*"
"Canaan School District","=""0210011""","Learning Disability","*","*","*"
"Canaan School District","=""0210011""","Other Health Impairment","*","*","*"
"Canterbury School District","=""0220011""","All Disabilities",69,10.8,100.0
"Canterbury School District","=""0220011""","Autism",18,2.8,26.1
"Canterbury School District","=""0220011""","Emotional Disturbance",9,1.4,13.0
"Canterbury School District","=""0220011""","Intellectual Disability","*","*","*"
"Canterbury School District","=""0220011""","Learning Disability",14,2.2,20.3
"Canterbury School District","=""0220011""","Other Disabilities","*","*","*"
"Canterbury School District","=""0220011""","Other Health Impairment",15,2.3,21.7
"Canterbury School District","=""0220011""","Speech Language Impairment",8,1.2,11.6
"Canton School District","=""0230011""","All Disabilities",181,11.0,100.0
"Canton School District","=""0230011""","Autism",28,1.7,15.5
"Canton School District","=""0230011""","Emotional Disturbance","*","*","*"
"Canton School District","=""0230011""","Intellectual Disability","*","*","*"
"Canton School District","=""0230011""","Learning Disability",63,3.8,34.8
"Canton School District","=""0230011""","Other Disabilities",16,1.0,8.8
"Canton School District","=""0230011""","Other Health Impairment",36,2.2,19.9
"Canton School District","=""0230011""","Speech Language Impairment",18,1.1,9.9
"Chaplin School District","=""0240011""","All Disabilities",27,15.8,100.0
"Chaplin School District","=""0240011""","Autism","*","*","*"
"Chaplin School District","=""0240011""","Emotional Disturbance","*","*","*"
"Chaplin School District","=""0240011""","Learning Disability",10,5.8,37.0
"Chaplin School District","=""0240011""","Other Disabilities","*","*","*"
"Chaplin School District","=""0240011""","Other Health Impairment","*","*","*"
"Chaplin School District","=""0240011""","Speech Language Impairment",7,4.1,25.9
"Cheshire School District","=""0250011""","All Disabilities",484,11.0,100.0
"Cheshire School District","=""0250011""","Autism",70,1.6,14.5
"Cheshire School District","=""0250011""","Emotional Disturbance",37,0.8,7.6
"Cheshire School District","=""0250011""","Intellectual Disability",26,0.6,5.4
"Cheshire School District","=""0250011""","Learning Disability",130,3.0,26.9
"Cheshire School District","=""0250011""","Other Disabilities",36,0.8,7.4
"Cheshire School District","=""0250011""","Other Health Impairment",129,2.9,26.7
"Cheshire School District","=""0250011""","Speech Language Impairment",56,1.3,11.6
"Chester School District","=""0260011""","All Disabilities",34,16.0,100.0
"Chester School District","=""0260011""","Autism","*","*","*"
"Chester School District","=""0260011""","Intellectual Disability","*","*","*"
"Chester School District","=""0260011""","Learning Disability",15,7.1,44.1
"Chester School District","=""0260011""","Other Disabilities","*","*","*"
"Chester School District","=""0260011""","Other Health Impairment","*","*","*"
"Chester School District","=""0260011""","Speech Language Impairment",7,3.3,20.6
"Clinton School District","=""0270011""","All Disabilities",204,11.2,100.0
"Clinton School District","=""0270011""","Autism",21,1.2,10.3
"Clinton School District","=""0270011""","Emotional Disturbance",17,0.9,8.3
"Clinton School District","=""0270011""","Intellectual Disability",11,0.6,5.4
"Clinton School District","=""0270011""","Learning Disability",63,3.5,30.9
"Clinton School District","=""0270011""","Other Disabilities",14,0.8,6.9
"Clinton School District","=""0270011""","Other Health Impairment",50,2.7,24.5
"Clinton School District","=""0270011""","Speech Language Impairment",28,1.5,13.7
"Colchester School District","=""0280011""","All Disabilities",367,14.1,100.0
"Colchester School District","=""0280011""","Autism",40,1.5,10.9
"Colchester School District","=""0280011""","Emotional Disturbance",40,1.5,10.9
"Colchester School District","=""0280011""","Intellectual Disability",13,0.5,3.5
"Colchester School District","=""0280011""","Learning Disability",106,4.1,28.9
"Colchester School District","=""0280011""","Other Disabilities",9,0.3,2.5
"Colchester School District","=""0280011""","Other Health Impairment",56,2.2,15.3
"Colchester School District","=""0280011""","Speech Language Impairment",103,4.0,28.1
"Colebrook School District","=""0290011""","All Disabilities",19,21.1,100.0
"Colebrook School District","=""0290011""","Autism","*","*","*"
"Colebrook School District","=""0290011""","Learning Disability",9,10.0,47.4
"Colebrook School District","=""0290011""","Other Disabilities","*","*","*"
"Colebrook School District","=""0290011""","Other Health Impairment","*","*","*"
"Colebrook School District","=""0290011""","Speech Language Impairment","*","*","*"
"Columbia School District","=""0300011""","All Disabilities",91,13.2,100.0
"Columbia School District","=""0300011""","Autism","*","*","*"
"Columbia School District","=""0300011""","Emotional Disturbance",11,1.6,12.1
"Columbia School District","=""0300011""","Intellectual Disability","*","*","*"
"Columbia School District","=""0300011""","Learning Disability",28,4.1,30.8
"Columbia School District","=""0300011""","Other Disabilities",9,1.3,9.9
"Columbia School District","=""0300011""","Other Health Impairment",30,4.4,33.0
"Columbia School District","=""0300011""","Speech Language Impairment",6,0.9,6.6
"Connecticut Technical High School System","=""9000016""","All Disabilities",1017,9.5,100.0
"Connecticut Technical High School System","=""9000016""","Autism",53,0.5,5.2
"Connecticut Technical High School System","=""9000016""","Emotional Disturbance",45,0.4,4.4
"Connecticut Technical High School System","=""9000016""","Intellectual Disability","*","*","*"
"Connecticut Technical High School System","=""9000016""","Learning Disability",584,5.5,57.4
"Connecticut Technical High School System","=""9000016""","Other Disabilities","*","*","*"
"Connecticut Technical High School System","=""9000016""","Other Health Impairment",271,2.5,26.6
"Connecticut Technical High School System","=""9000016""","Speech Language Impairment",49,0.5,4.8
"Cornwall School District","=""0310011""","All Disabilities",13,14.3,100.0
"Cornwall School District","=""0310011""","Autism","*","*","*"
"Cornwall School District","=""0310011""","Emotional Disturbance","*","*","*"
"Cornwall School District","=""0310011""","Learning Disability",7,7.7,53.8
"Cornwall School District","=""0310011""","Other Health Impairment","*","*","*"
"Cornwall School District","=""0310011""","Speech Language Impairment","*","*","*"
"Coventry School District","=""0320011""","All Disabilities",208,12.3,100.0
"Coventry School District","=""0320011""","Autism",19,1.1,9.1
"Coventry School District","=""0320011""","Emotional Disturbance",21,1.2,10.1
"Coventry School District","=""0320011""","Intellectual Disability","*","*","*"
"Coventry School District","=""0320011""","Learning Disability",88,5.2,42.3
"Coventry School District","=""0320011""","Other Disabilities",20,1.2,9.6
"Coventry School District","=""0320011""","Other Health Impairment",39,2.3,18.8
"Coventry School District","=""0320011""","Speech Language Impairment","*","*","*"
"Cromwell School District","=""0330011""","All Disabilities",222,10.8,100.0
"Cromwell School District","=""0330011""","Autism",33,1.6,14.9
"Cromwell School District","=""0330011""","Emotional Disturbance",19,0.9,8.6
"Cromwell School District","=""0330011""","Intellectual Disability",6,0.3,2.7
"Cromwell School District","=""0330011""","Learning Disability",63,3.1,28.4
"Cromwell School District","=""0330011""","Other Disabilities",19,0.9,8.6
"Cromwell School District","=""0330011""","Other Health Impairment",31,1.5,14.0
"Cromwell School District","=""0330011""","Speech Language Impairment",51,2.5,23.0
"Danbury School District","=""0340011""","All Disabilities",1304,12.1,100.0
"Danbury School District","=""0340011""","Autism",149,1.4,11.4
"Danbury School District","=""0340011""","Emotional Disturbance",48,0.4,3.7
"Danbury School District","=""0340011""","Intellectual Disability",56,0.5,4.3
"Danbury School District","=""0340011""","Learning Disability",576,5.3,44.2
"Danbury School District","=""0340011""","Other Disabilities",116,1.1,8.9
"Danbury School District","=""0340011""","Other Health Impairment",205,1.9,15.7
"Danbury School District","=""0340011""","Speech Language Impairment",154,1.4,11.8
"Darien School District","=""0350011""","All Disabilities",587,12.2,100.0
"Darien School District","=""0350011""","Autism",42,0.9,7.2
"Darien School District","=""0350011""","Emotional Disturbance",14,0.3,2.4
"Darien School District","=""0350011""","Intellectual Disability",11,0.2,1.9
"Darien School District","=""0350011""","Learning Disability",185,3.8,31.5
"Darien School District","=""0350011""","Other Disabilities",46,1.0,7.8
"Darien School District","=""0350011""","Other Health Impairment",180,3.7,30.7
"Darien School District","=""0350011""","Speech Language Impairment",109,2.3,18.6
"Deep River School District","=""0360011""","All Disabilities",43,14.1,100.0
"Deep River School District","=""0360011""","Autism",6,2.0,14.0
"Deep River School District","=""0360011""","Emotional Disturbance","*","*","*"
"Deep River School District","=""0360011""","Intellectual Disability","*","*","*"
"Deep River School District","=""0360011""","Learning Disability",17,5.6,39.5
"Deep River School District","=""0360011""","Other Disabilities","*","*","*"
"Deep River School District","=""0360011""","Other Health Impairment",14,4.6,32.6
"Deep River School District","=""0360011""","Speech Language Impairment","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","All Disabilities","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Emotional Disturbance","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Other Health Impairment","*","*","*"
"Derby School District","=""0370011""","All Disabilities",207,13.9,100.0
"Derby School District","=""0370011""","Autism",28,1.9,13.5
"Derby School District","=""0370011""","Emotional Disturbance","*","*","*"
"Derby School District","=""0370011""","Intellectual Disability","*","*","*"
"Derby School District","=""0370011""","Learning Disability",54,3.6,26.1
"Derby School District","=""0370011""","Other Disabilities",21,1.4,10.1
"Derby School District","=""0370011""","Other Health Impairment",45,3.0,21.7
"Derby School District","=""0370011""","Speech Language Impairment",43,2.9,20.8
